name,price,year,state
infiniti mpv,15010,2019,texas
jeep mpv,5800,2019,ohio
land sport,23200,2018,california
hyundai door,8000,2015,pennsylvania
nissan doors,3390,2018,california
nissan doors,3140,2017,new jersey
chevrolet door,25,2007,texas
bmw door,15000,2014,illinois
chevrolet cab,10440,2011,florida
ford f-150,23911,2017,michigan
ford pk,25,2010,oklahoma
gmc acadia,21400,2018,new jersey
gmc cab,5380,2011,utah
jeep mpv,11000,2019,michigan
jeep mpv,4950,2019,ohio
land sport,22500,2018,california
maserati ghibli,30300,2017,florida
nissan doors,2630,2018,california
nissan doors,3140,2017,new jersey
chevrolet door,2300,2011,arkansas
chevrolet door,4310,2011,florida
ford door,26012,2017,michigan
ford door,75,2014,oklahoma
gmc 1500,48500,2019,pennsylvania
gmc mpv,3330,2009,utah
jeep mpv,11200,2019,michigan
hyundai mpv,4730,2019,ohio
mercedes-benz glc,24900,2018,california
mercedes-benz e-class,29400,2017,florida
nissan cab,8350,2018,california
peterbilt truck,475,2012,florida
nissan doors,3210,2017,new jersey
chevrolet van,25,2006,arkansas
chevrolet cutaway,4200,2006,wisconsin
chevrolet utility,8430,2011,florida
ford f-150,25503,2017,michigan
ford pickup,0,1996,oklahoma
gmc limited,26000,2019,pennsylvania
honda doors,3900,2017,virginia
jeep mpv,11200,2019,michigan
jeep mpv,8610,2019,ohio
mercedes-benz gle,28000,2018,california
mercedes-benz sl-class,84900,2017,florida
lexus mpv,10840,2017,california
peterbilt truck,100,2012,florida
ram door,11050,2017,new jersey
chevrolet door,0,2012,oklahoma
chevrolet door,1000,2005,wisconsin
dodge door,3570,2015,georgia
ford door,25001,2017,michigan
ford door,0,2010,oklahoma
gmc mpv,5630,2017,virginia
jeep mpv,11100,2019,michigan
hyundai mpv,4650,2019,ohio
lincoln door,0,2005,minnesota
nissan mpv,3820,2016,california
peterbilt truck,0,2009,florida
nissan doors,2900,2017,new jersey
chevrolet door,50,2008,texas
chevrolet pickup,5100,2004,wisconsin
dodge door,4700,2015,georgia
ford f-150,29502,2017,michigan
ford door,0,2008,oklahoma
honda door,6160,2017,virginia
jeep mpv,10910,2019,michigan
hyundai doors,3440,2019,ohio
mazda cx-3,16000,2016,florida
kia door,3810,2016,california
peterbilt truck,1025,2010,georgia
nissan doors,3020,2017,new jersey
chevrolet door,0,2003,texas
chevrolet pickup,2000,2003,wisconsin
ford door,3870,2010,florida
ford door,24811,2017,michigan
ford door,75,2007,oklahoma
honda doors,5420,2017,virginia
