ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
downton abbey,36,1.78,2.78%,26.56%,169.67,9.14
miss peregrine,36,1.33,2.78%,58.33%,183.61,4.39
onfray,36,1.17,2.78%,52.38%,232.11,7.53
python,36,1.31,2.78%,46.81%,493.75,12.64
Game of thrones,35,1.51,2.86%,30.19%,107.29,7.14
kim thuy,35,1.49,0.00%,48.08%,234.34,8.89
moonlight,35,1.46,0.00%,62.75%,174.49,9.31
westworld,35,1.37,17.14%,50.00%,226.0,3.71
9 le film,34,1.12,14.71%,57.89%,171.88,3.88
doctor strange,34,1.21,5.88%,53.66%,129.47,6.44
La femme qui fuit,34,1.32,8.82%,44.44%,451.15,7.59
Madame figaro,34,1.32,0.00%,35.56%,193.35,3.29
michel tremblay,34,1.41,0.00%,68.75%,202.53,5.91
xavier dolan,34,1.44,2.94%,46.94%,246.65,9.12
bine,33,1.03,6.06%,8.82%,88.58,2.76
hygge,33,1.82,12.12%,20.00%,116.76,7.45
lion,33,1.06,9.09%,68.57%,168.79,4.0
juste la fin du monde,32,1.41,0.00%,53.33%,231.78,7.06
la mort d'une princesse,32,1.13,6.25%,41.67%,173.5,3.56
les furies,32,1.22,6.25%,38.46%,86.53,4.03
nelly arcand,32,1.63,3.13%,36.54%,328.38,7.69
star trek,32,1.19,0.00%,55.26%,223.63,8.06
antoine corriveau,31,1.06,0.00%,51.52%,84.1,2.39
Danielle Ouimet,31,1.03,0.00%,28.13%,74.23,3.77
Girls,31,1.16,9.68%,66.67%,66.9,3.45
Arrival,30,1.37,0.00%,41.46%,155.93,8.3
Inferno,30,1.17,6.67%,71.43%,112.43,2.8
jack reacher,30,1.4,0.00%,71.43%,175.07,3.63
james patterson,30,1.3,3.33%,38.46%,327.57,11.43
Manchester by the sea,30,1.07,36.67%,46.88%,136.07,1.9
tfi,30,2.1,20.00%,17.46%,534.47,11.9
jonathan kellerman,29,1.07,17.24%,61.29%,77.79,2.97
mr. robot,29,1.28,13.79%,56.76%,74.0,3.45
naruto,29,1.38,0.00%,62.50%,202.31,8.62
nelly arcan,29,1.21,0.00%,68.57%,136.28,6.14
populisme,29,1.52,0.00%,20.45%,438.28,7.0
sapiens,29,1.34,3.45%,43.59%,142.62,6.17
serge bouchard,29,1.41,3.45%,36.59%,134.31,6.76
the walking dead,28,1.32,0.00%,43.24%,236.11,3.89
chanson douce,27,1.74,0.00%,29.79%,153.0,3.56
demain,27,1.37,3.70%,51.35%,198.67,7.67
Denise bombardier,27,1.0,7.41%,44.44%,117.15,3.37
dune,27,1.48,3.70%,55.00%,163.81,6.59
hacksaw ridge,27,1.26,0.00%,67.65%,191.15,7.37
Jeux de miroirs,27,1.11,7.41%,46.67%,119.63,3.26
L'amie prodigieuse,27,1.33,3.70%,27.78%,481.78,8.67
Le pacte des anges,27,1.0,0.00%,70.37%,22.11,1.81
Le plongeur,27,1.37,3.70%,27.03%,171.7,4.07
le saut de l'ange,27,1.3,7.41%,37.14%,230.52,4.78
Michel Onfray,27,1.22,7.41%,54.55%,415.3,11.85
psychologie,27,1.37,3.70%,67.57%,211.07,5.44
sicario,27,1.22,3.70%,63.64%,285.89,7.3
stranger things,27,1.11,7.41%,60.00%,59.3,1.96
bates motel,26,1.35,0.00%,37.14%,373.08,12.27
chocolat,26,1.08,7.69%,67.86%,134.92,3.65
Entrepreneurship,26,1.5,0.00%,17.95%,743.35,14.46
fargo,26,1.08,7.69%,57.14%,84.58,3.19
james baldwin,26,1.23,7.69%,56.25%,248.04,6.96
l'amie prodigieuse,26,1.31,3.85%,38.24%,351.85,5.46
lise dion,26,1.27,0.00%,51.52%,132.5,4.35
scandal,26,1.08,0.00%,50.00%,85.27,3.5
the knick,26,1.27,3.85%,54.55%,122.19,4.62
tricot,26,1.42,3.85%,40.54%,483.85,17.58
agatha christie,25,1.32,4.00%,54.55%,341.16,11.44
bridget jones,25,1.28,0.00%,68.75%,180.92,5.36
feux,25,1.12,4.00%,35.71%,233.52,4.4
Harry Potter,25,1.36,4.00%,41.18%,246.4,6.56
java,25,1.44,0.00%,41.67%,318.12,13.08
lady gaga,25,1.64,0.00%,39.02%,164.0,7.4
Le dÃ©mon de la faim,25,1.04,4.00%,11.54%,22.2,1.36
Ne renonÃ§ons Ã  rien,25,1.16,56.00%,20.69%,80.16,2.0
paul auster,25,1.28,0.00%,28.13%,242.48,8.08
portugal,25,1.52,0.00%,39.47%,359.52,11.2
protÃ©gez-vous,25,1.12,0.00%,25.00%,204.28,6.0
adele,24,1.25,0.00%,53.33%,131.21,4.0
american horror story,24,1.88,4.17%,42.22%,258.83,7.71
architecture,24,1.46,4.17%,54.29%,322.58,14.42
c,24,1.38,12.50%,39.39%,249.04,5.46
fear the walking dead,24,1.08,8.33%,65.38%,115.92,5.08
guide de la route,24,2.08,0.00%,32.00%,574.83,13.71
jojo moyes,24,1.5,4.17%,30.56%,273.5,6.54
Lisa gardner,24,1.29,0.00%,25.81%,252.13,9.46
louise penny,24,1.38,4.17%,36.36%,161.33,7.04
marc levy,24,1.38,0.00%,66.67%,405.79,11.67
meditation,24,1.58,0.00%,47.37%,369.42,12.13
michael connelly,24,1.33,0.00%,37.50%,290.67,7.92
moana,24,1.46,8.33%,45.71%,180.38,9.04
Nora Roberts,24,1.25,0.00%,46.67%,431.5,18.04
orange is the new black,24,1.42,12.50%,55.88%,284.5,4.54
storks,24,1.04,4.17%,96.00%,56.5,1.54
wordpress,24,1.83,4.17%,38.64%,530.42,13.46
cuisine,23,1.3,0.00%,66.67%,364.43,10.17
danielle steel,23,1.17,4.35%,62.96%,140.78,3.0
empire,23,1.43,8.70%,54.55%,159.83,4.65
expo 67,23,1.87,21.74%,34.88%,445.65,15.57
Ferrante,23,1.43,0.00%,51.52%,147.26,5.09
Figaro magazine,23,1.04,0.00%,20.83%,107.52,2.87
gilles archambault,23,1.22,4.35%,39.29%,164.35,4.35
House of cards,23,1.48,4.35%,23.53%,103.09,5.09
john wick,23,1.26,4.35%,51.72%,302.3,7.22
kathy griffin,23,1.13,4.35%,65.38%,109.48,4.39
king dave,23,1.09,0.00%,76.00%,53.87,2.78
leonard cohen,23,1.26,4.35%,79.31%,218.26,8.04
musso,23,1.43,4.35%,54.55%,155.39,7.22
Outlander,23,1.26,8.70%,20.69%,222.91,4.61
Peggy dans les phares,23,1.17,4.35%,55.56%,89.13,4.13
playstation 4,23,1.0,0.00%,30.43%,192.43,14.09
Sherlock,23,1.3,8.70%,33.33%,110.7,4.43
Suicide squad,23,1.17,0.00%,55.56%,173.48,5.39
the fall,23,1.22,13.04%,53.57%,121.52,3.78
the flash,23,1.22,0.00%,75.00%,275.43,5.17
the light between oceans,23,1.17,13.04%,70.37%,31.43,0.52
the wire,23,1.09,0.00%,48.00%,265.65,6.57
tony robbins,23,1.52,0.00%,40.00%,335.61,6.52
twin peaks,23,1.3,0.00%,46.67%,136.65,8.0
visible cloaks,23,1.13,4.35%,84.62%,33.48,2.09
american honey,22,1.18,13.64%,73.08%,53.95,1.09
anglais,22,1.41,0.00%,51.61%,592.68,6.18
brian tracy,22,1.18,4.55%,23.08%,254.95,4.18
captain america,22,1.64,4.55%,38.89%,320.82,10.77
cuba,22,1.23,0.00%,37.04%,231.09,8.55
fanny britt,22,1.23,0.00%,70.37%,342.68,6.64
ferrante,22,1.05,9.09%,78.26%,69.09,2.64
happy valley,22,1.0,36.36%,40.91%,87.59,0.82
kamel daoud,22,1.14,13.64%,48.00%,114.41,3.23
le petit robert,22,1.14,0.00%,8.00%,72.0,2.45
Le saut de l'ange,22,1.14,4.55%,52.00%,97.77,3.41
maya angelou,22,1.55,0.00%,38.24%,533.0,8.82
metallica,22,1.23,0.00%,55.56%,146.14,5.68
nalini singh,22,1.09,18.18%,66.67%,82.68,3.77
nicole bordeleau,22,1.59,0.00%,48.57%,164.77,8.27
pascal bruckner,22,1.09,9.09%,45.83%,269.86,7.36
pierre jean jacques et les autres,22,1.23,0.00%,18.52%,146.18,4.09
Snowden,22,1.09,4.55%,75.00%,74.5,3.68
2017,21,1.05,28.57%,45.45%,136.48,8.62
Air force one,21,1.38,23.81%,17.24%,45.33,1.81
ccna,21,1.29,4.76%,51.85%,274.19,4.38
chagall,21,1.19,4.76%,48.00%,333.43,9.95
criterion blu ray,21,1.0,28.57%,28.57%,107.57,4.0
espagnol,21,1.33,0.00%,50.00%,273.14,14.86
gotham,21,1.38,9.52%,44.83%,172.14,10.33
houellebecq,21,1.1,9.52%,60.87%,293.38,5.29
islande,21,1.76,0.00%,48.65%,674.1,12.76
kresley cole,21,1.05,14.29%,63.64%,80.29,3.48
led zeppelin,21,1.0,4.76%,71.43%,198.29,7.62
ne renonÃ§ons Ã  rien,21,1.19,47.62%,24.00%,92.38,0.9
patrick senecal,21,1.71,4.76%,38.89%,339.86,8.24
paulo coelho,21,1.24,0.00%,65.38%,280.14,7.05
ps4,21,1.14,4.76%,58.33%,101.9,6.67
putain,21,1.05,4.76%,63.64%,83.86,4.95
room,21,1.33,0.00%,67.86%,211.29,6.38
suits,21,1.33,9.52%,42.86%,191.71,4.1
bat for lashes,20,1.2,0.00%,75.00%,36.15,1.55
bob dylan,20,1.3,10.00%,46.15%,236.95,8.2
bones,20,1.15,15.00%,60.87%,293.3,5.7
broad city,20,1.0,35.00%,35.00%,26.6,1.3
bruno mars,20,1.6,0.00%,56.25%,149.2,5.05
chirovici,20,1.2,20.00%,41.67%,50.3,2.6
denis villeneuve,20,1.5,0.00%,50.00%,245.7,8.85
Denise Bombardier,20,1.2,5.00%,29.17%,108.1,4.7
don't breathe,20,1.05,0.00%,85.71%,42.3,2.85
george orwell,20,1.2,0.00%,62.50%,188.8,8.15
haruki murakami,20,1.25,5.00%,44.00%,446.6,15.15
hell on wheels,20,1.3,0.00%,42.31%,94.7,7.6
hitler,20,1.4,5.00%,57.14%,329.25,12.05
ilhareguy,20,1.05,5.00%,9.52%,8.4,1.2
Lisa Gardner,20,1.25,5.00%,24.00%,212.0,9.65
marie kondo,20,1.45,5.00%,37.93%,299.9,5.45
migos,20,1.15,0.00%,91.30%,20.3,1.6
