Title,Locations,Distributor,Director,Writer
The Last Black Man in San Francisco,"Chateau Tivoli, 1057 Steiner St",A32,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Freebie and the Bean,Broadway and Columbus Avenue (North Beach),American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
Magnum Force,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)",Warner Bros. Pictures,Ted Post,John Milius
"Looking ""Special""","The Stud, 399 9th Street",HBO,Andrew Haigh,Michael Lannan
Looking Season 2 ep 210,"Willy's Barber shop, 3227 22nd Street",HBO,Andrew Haigh,Michael Lannan
The Presidio,Presidio (Golden Gate National Recreation Area),Paramount Pictures,Peter Hyams,Larry Ferguson
Alcatraz,Chestnut St. from Larkin to Columbus,Warner Bros. Television,J.J. Abrams,Steven Lilien
"Murder in the First, Season 1",Alamo Square Park,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
GirlBoss,Clarion Alley between Valencia and Mission,Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Twisted,The Saloon (1232 Grant Avenue),Paramount Pictures,Philip Kaufman,Sarah Thorp
Chance- Season 1 ep103,San Bruno and Alameda,HULU,Michael Lehmann,Kem Nunn
Chance- Season 1 ep106,Washington Square Park,HULU,Sara Gran,Dan Attias
Ant-Man,Pine between Kearney and Davis,Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari
Looking Season 2 ep 209,1890 Clay Street,HBO,Andrew Haigh,Michael Lannan
Vertigo,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",Paramount Pictures,Alfred Hitchcock,Alec Coppel
American Graffiti,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",Universal Pictures',George Lucas,George Lucas
Need For Speed,Embarcadero from Broadway to Folsom,Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins
Experiment in Terror,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)",Columbia Pictures,Blake Edwards,The Gordons
Magnum Force,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",Warner Bros. Pictures,Ted Post,John Milius
Bee Season,,Fox Searchlight Pictures,Scott McGehee,David Siegel
The Presidio,Battery Street (The Embarcadero),Paramount Pictures,Peter Hyams,Larry Ferguson
The OA Part II,16th Avenue Steps,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Star Trek IV: The Voyage Home,Intersection of Columbus & Mason Streets,Paramount Pictures,Leonard Nimoy,Steve Meerson
Cardinal X,Lyon at Chestnut St.,,Annie Wang,Annie Wang
Doctor Dolittle,2107 Union Street,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
Looking Season 2 ep 210,67 Deming Street,HBO,Andrew Haigh,Michael Lannan
Vertigo,Gough & Eddy Streets (Western Addition),Paramount Pictures,Alfred Hitchcock,Alec Coppel
Godzilla,Eddy & Taylor St.,Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Sudden Impact,"Fairmont Hotel (950 Mason Street, Nob Hill)",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
The Caine Mutiny,Golden Gate Bridge,Columbia Pictures,Edward Dmytryk,Stanley Roberts
Americana,Coi Restaurant (373 Broadway),,Zachary Shedd,Zachary Shedd
Pushing Dead,5th Ave @ Fulton Street in Golden Gate Park,TBD,Tom Brown,Tom Brown
Beautiful Boy,Divisadero between Broadway and Greenwich,Amazon Studios,Felix van Groeningen,Luke Davies
Invasion of the Body Snatchers,Transamerica Building (600 Montgomery Street at Clay),United Artists,Philip Kaufman,Jack Finney
Sense8,Clarion Alley between Valencia & Mission St.,Netflix,The Wachowskis,The Wachowskis
"Murder in the First, Season 1",Cameron House (920 Sacramento Street),Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Star Trek IV: The Voyage Home,Intersection of Columbus & Kearney Streets,Paramount Pictures,Leonard Nimoy,Steve Meerson
Ant-Man and the Wasp,Lombard St btwn Polk and Leavenworth,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
Happy Gilmore,,Universal Pictures,Dennis Dugan,Tim Herlihy
Vertigo,Brocklebank Apartments (1000 Mason Street),Paramount Pictures,Alfred Hitchcock,Alec Coppel
Steve Jobs,War Memorial Opera House (401 Van Ness Avenue),Universal Pictures,Danny Boyle,Aaron Sorkin
When a Man Loves a Woman,1521 Masonic Avenue at Piedmont Street,Buena Vista Pictures,Luis Mandoki,Ronald Bass
Joy Luck Club,901 Union Street,National Broadcasting Company (NBC),Wayne Wang,Amy Tan
Broken-A Modern Love Story,Ina Coolbrith Park (1700 Taylor Street),,Ryan K. Whiting,Ryan K. Whiting
The OA Part II,Washington btwn Gough and Octavia St,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Time After Time,100 Block of Union Street (Cow Hollow),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
"Play it Again, Sam",Balboa at 22nd Avenue,Paramount Pictures,Herbert Ross,Woody Allen
Milk,Market & Castro Street,Focus Features,Gus Van Sant,Dustin Lance Black
Etruscan Smile,"Andronico's, 1200 Irving Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Magnum Force,Hall of Justice (850 Bryant Street),Warner Bros. Pictures,Ted Post,John Milius
The Diary of a Teenage Girl,304 Lily St.,Sony Pictures Classics,Marielle Heller,Marielle Heller
Chance- Season 1 ep110,1 Urbano,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
Chance Season 2,Columbus between Filbert and Lombard St,Hulu,Rozann Dawson,Alexandra Cunningham
Chan is Missing,"Li Po (916 Grant Avenue at Washington, Chinatown)",New Yorker Films,Wayne Wang,Wayne Wang
Patch Adams,Sheraton Palace Hotel (639 Market Street),Universal Pictures,Tom Shadyac,Steve Oedekerk
Invasion of the Body Snatchers,"Postcard Row (Alamo Square, Hayes Valley)",United Artists,Philip Kaufman,Jack Finney
Invasion of the Body Snatchers,"Department of Public Health (101 Grove Street at Polk, Civic Center)",United Artists,Philip Kaufman,Jack Finney
Birth of the Dragon,Pier 45 - Jeremiah O'Brien Liberty Ship,Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
The Last Black Man in San Francisco,801 Innes Ave,A27,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Good NeighborSam,Various locations in San Francisco during driving scene,Columbia Pictures,David Swift,James Fritzell
High Anxiety,"Conservatory of Flowers, Golden Gate Park",Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
Chance- Season 1 ep103,17th and Arkansas,HULU,Michael Lehmann,Kem Nunn
Looking,Mr. S Leather,Home Box Office (HBO),Andrew Haigh,Michael Lannan
"Murder in the First, Season 2",Pier 50,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
The Dead Pool,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Chance- Season 1 ep103,350 Santa Ana Ave.,HULU,Michael Lehmann,Kem Nunn
A View to a Kill,Golden Gate Bridge,MGM/UA Entertainment Company,John Glen,Richard Maibaum
Sudden Fear,The Tamalpais Building (1201 Greenwich Street at Hyde),RKO Pictures,David Miller,Lenore J. Coffee
Bicentennial Man,Treasure Island,Buena Vista Pictures,Chris Columbus,Nicholas Kazan
Freebie and the Bean,Embarcadero Freeway,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
The Dead Pool,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Looking Season 2 ep 202,Church @ Duboce Street,HBO,Andrew Haigh,Michael Lannan
Chance- Season 1 ep103,60 Leavenworth St.,HULU,Michael Lehmann,Kem Nunn
50 First Dates,Rainforest Caf̩ (145 Jefferson Street),Columbia Pictures,Peter Segal,George Wing
A View to a Kill,Embarcadero Freeway,MGM/UA Entertainment Company,John Glen,Richard Maibaum
Looking,Doc's Clock,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Americana,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,,Zachary Shedd,Zachary Shedd
Dawn of the Planet of the Apes,California & Powell ,Twentieth Century Fox,Matt Reeves,Rick Jaffa
Foul Play,Sacramento & Hyde Streets (Nob Hill),Paramount Pictures,Colin Higgins,Colin Higgins
Americana,Roxie Theater (3117 16th St.),,Zachary Shedd,Zachary Shedd
Bullitt,1153-57 Taylor Street,Warner Brothers,Peter Yates,Alan R. Trustman
San Andreas,Washington Square,Warner Bros.,Brad Peyton,Allan Loeb 
Chance- Season 1 ep106,2 Rowland,HULU,Sara Gran,Dan Attias
Etruscan Smile,"Benu Restaurant, 22 Hawthorne Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Hulk,Treasure Island,Universal Pictures,Ang Lee,Stan Lee
"Smile Again, Jenny Lee",Manor West (750 Harrison St.),,Carlo Caldana,Linda Demetrick
Maxie,Grace Cathedral Episcopal Church (1100 California Street),Orion Pictures Corporation,Paul Aaron,Patricia Resnick
Sense8,16th St.,Netflix,The Wachowskis,The Wachowskis
Petulia,2417 Franklin Street,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus
When We Rise,Bay Bridge,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
Alcatraz,Leavenworth from Filbert & Francisco St,Warner Bros. Television,J.J. Abrams,Steven Lilien
What's Up Doc?,Alta Plaza Park (Steiner Street),Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry
When We Rise,Buena Vista Park,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
The Matrix,skyline/ exterior scenes,Warner Bros. Pictures,The Wachowski Brothers,The Wachowski Brothers
"Budding Prospects, Pilot",1167 Alabama Street,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
Chance- Season 1 ep102,"Betelnut restaurant, 2030 Union St.",HULU,Lenny Abrahamson,Alexandra Cunningham
Birth of the Dragon,Grant between Bush and Broadway,Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele"
Final Analysis,"Presidio, Golden Gate National Recreation Area",Warner Bros. Pictures,Phil Joanou,Robert Berger
"Murder in the First, Season 1",Palace of Fine Arts (3301 Lyon Street),Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Marnie,"On Board the SS President Cleveland, docked at Pier 50",Universal Pictures,Alfred Hitchcock,Jay Presson Allen
Time After Time,Golden Gate Bridge,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Americana,Bernal Heights Park,,Zachary Shedd,Zachary Shedd
180,Epic Roasthouse (399 Embarcadero),,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba"
The Enforcer,Sutter & Webster Streets,Warner Bros. Pictures,James Fargo,Stirling Silliphant
Experiment in Terror,2632 Larkin Street at Lombard,Columbia Pictures,Blake Edwards,The Gordons
Interview With The Vampire,Ferry Building,Geffen Pictures,Neil Jordan,Anne Rice
When a Man Loves a Woman,766 Vallejo Street at Stockton Street (North Beach),Buena Vista Pictures,Luis Mandoki,Ronald Bass
Quitters,21st St & Sanchez,,Noah Pritzker,Noah Pritzker
Sweet November,Christopher's Books (1400 18th Street),Warner Bros. Pictures,Pat O'Connor,Paul Yurick
High Crimes,Vesuvio Caf̩ (255 Columbus Avenue),Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
Vertigo,"Fort Point (Presidio, Golden Gate National Recreation Area)",Paramount Pictures,Alfred Hitchcock,Alec Coppel
Magnum Force,City Hall,Warner Bros. Pictures,Ted Post,John Milius
"Looking ""Special""",San Francisco City Hall,HBO,Andrew Haigh,Michael Lannan
The Internship,Montgomery and Union St.,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn
Nine Months,Jack Kerouac Alley between Columbus & Grant Streets,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
"Smile Again, Jenny Lee",Kansas St at 17th St.,,Carlo Caldana,Linda Demetrick
By Hook or By Crook,"Royan Hotel (405 Valencia Street, Mission District)",Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard
"Smile Again, Jenny Lee",2100 Pacific Ave at Laguna St,,Carlo Caldana,Linda Demetrick
Dopamine,"South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets)",Sundance Channel Home Entertainment,Mark Decena,Mark Decena & Timothy Breitbach
Looking,Jawbone at 99 Rhode Island St.,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Chance - Season 1 Pilot,"Warren's Antiques, 375 9th St.",HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Hemingway & Gelhorn,Muni Metro East (501 Cesar Chavez),Home Box Office (HBO),Philip Kaufman,Jerry Stahl & Barbara Turner
Dirty Harry,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Warner Brothers,Don Siegel,Harry Julian Fink
Venom,Grant Ave btwn Clay and Jackson,"Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
Looking,Golden Gate Park,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Godzilla,California & Davis St,Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Venom,"Huntington Park, Pine/Kearny, Bush/Hyde","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
Sudden Impact,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
By Hook or By Crook,"Royan Hotel (405 Valencia Street, Mission District)",Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard
Freebie and the Bean,Stockton Tunnel (Stockton Street at Sutter Street),American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
Bedazzled,Montgomery & Market Streets,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis
Flower Drum Song,Chinatown,Universal Pictures,Henry Koster,Joseph Fields
Chance Season 2,Waller St between Masonic and Del Mar St,Hulu,Rozann Dawson,Alexandra Cunningham
Magnum Force,280 Freeway at Pennsylvania and Mariposa Streets,Warner Bros. Pictures,Ted Post,John Milius
Foul Play,California & Larkin Streets (Nob Hill),Paramount Pictures,Colin Higgins,Colin Higgins
Americana,Jackson St. at Spruce,,Zachary Shedd,Zachary Shedd
The Pursuit of Happyness,Golden Gate Park Children's Playground ,Columbia Pictures,Steven Conrad,Gabriele Muccino
Bullitt,Brocklebank Apartments (1000 Mason Street),Warner Brothers,Peter Yates,Alan R. Trustman
Need For Speed,Mason St from Pine to Sacramento,Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins
"Murder in the First, Season 1",50 California Street,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Experiment in Terror,George Washington High School (600 32nd Avenue ),Columbia Pictures,Blake Edwards,The Gordons
Chance Season 2,Lombard St between Leavenworth and Hyde St,Hulu,Rozann Dawson,Alexandra Cunningham
Looking Season 2 ep 208,1111 California Street,HBO,Andrew Haigh,Michael Lannan
Chance- Season 1 ep106,Washington Square Park,HULU,Sara Gran,Dan Attias
The Net,Montgomery & Market Streets,Columbia Pictures,Irwin Winkler,John Brancato
Sudden Impact,"McDonald's Restaurant (701 3rd Street, SOMA)",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
Sense8 - Season 2,Filbert between Hyde and Jones,Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
The Diary of a Teenage Girl,SPECS' Twelve Adler Museum Caf̩,Sony Pictures Classics,Marielle Heller,Marielle Heller
Summertime,Alamo Square,7 Distribution,Gabriele Muccino,Gabriele Muccino
The Graduate,San Francisco Zoo (2701 Sloat Blvd.),Embassy Pictures Corporation,Mike Nichols,Calder Willingham
San Andreas,"Vallejo St. Garage, 766 Vallejo St.",Warner Bros.,Brad Peyton,Allan Loeb
The Presidio,"Fort Point (Presidio, Golden Gate National Recreation Area)",Paramount Pictures,Peter Hyams,Larry Ferguson
Bullitt,Taylor & Vallejo Streets (Russian Hill),Warner Brothers,Peter Yates,Alan R. Trustman
The Lineup,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Columbia Pictures,Don Siegel,Stirling Silliphant
"Looking ""Special""",Fisherman's Wharf,HBO,Andrew Haigh,Michael Lannan
Mona Lisa Smile,,Columbia Pictures,Mike Newell,Lawrence Konner
Blue Jasmine,Heald College,Sony Pictures Classics,Woody Allen,Woody Allen
It Came From Beneath the Sea,Chrissy Field,Columbia Pictures,Robert Gordon,George Worthing Yates
San Andreas,TransAmerica Pyramid (600 Montgomery Street),Warner Bros.,Brad Peyton,Allan Loeb 
The Bachelor,Nina M. Designs (52 2nd Street at Jessie),New Line Cinema,Gary Sinyor,Steve Cohen
Sudden Impact,"McDonald's Restaurant (701 3rd Street, SOMA)",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
Looking,Fort Funston,Home Box Office (HBO),Andrew Haigh,Michael Lannan
"Murder in the First, Season 1",1541 Grove Street,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Terminator - Genisys,Howard St. from Embarcadero to 11 St.,Paramount Pictures,Alan Taylor,James Cameron
Blue Jasmine,2178 Palou Ave.,Sony Pictures Classics,Woody Allen,Woody Allen
Terminator - Genisys,Pine St. between Market and Kearny,Paramount Pictures,Alan Taylor,James Cameron
Dopamine,"Fort Point (Presidio, Golden Gate National Recreation Area)",Sundance Channel Home Entertainment,Mark Decena,Mark Decena & Timothy Breitbach
The Towering Inferno,Firestation #38 (California & Laguna),Twentieth Century - Fox,John Guillermin,Stirling Silliphant
"Smile Again, Jenny Lee",475 Diamond St.,,Carlo Caldana,Linda Demetrick
Godzilla,Broadway & Sansome,Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Big Eyes,Pine St. & Grant,Weinstein Company,Tim Burton,Scott Alexander
Pleasure of His Company,2700 Vallejo Street (Pacific Heights),Parmaount Pictures,George Seaton,Samuel A. Taylor
Innerspace,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Warner Bros. Pictures,Joe Dante,Chip Proser
Etruscan Smile,San Francisco Airport,TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
50 First Dates,Rainforest Caf̩ (145 Jefferson Street),Columbia Pictures,Peter Segal,George Wing
The Core,Golden Gate Bridge,Paramount Pictures,John Amiel,Cooper Lane
Freebie and the Bean,Candlestick Park (602 Jamestown Ave.),American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
The Assassination of Richard Nixon,"Tosca Caf̩ (242 Columbus Avenue, North Beach)",THINKFilm,Niels Mueller,Niels Mueller & Kevin Kennedy
Bitter Melon,66 Danton St,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza
Woman on the Run,835-865 Market Street at 5th Street,Universal Pictures,Norman Foster,Norman Foster
The Assassination of Richard Nixon,766 Sutter Street,THINKFilm,Niels Mueller,Niels Mueller & Kevin Kennedy
Ant-Man,420 Jones St. at Ellis St.,Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari 
"Murder in the First, Season 3",535 Octavia Street,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Tales of the City,Valencia btwn 16th and 17th St,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley"
Chance- Season 1 ep106,McAllister between Leavenworth and Hyde,HULU,Sara Gran,Dan Attias
Nine Months,Wasteland Store (1600 Haight Street),Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
Joy Luck Club,610 Rhode Island Street (Potrero Hill),National Broadcasting Company (NBC),Wayne Wang,Amy Tan
Invasion of the Body Snatchers,Hamlin Hotel (385 Eddy Street),United Artists,Philip Kaufman,Jack Finney
Alcatraz,Taylor St. from Broadway to Filbert,Warner Bros. Television,J.J. Abrams,Steven Lilien
San Francisco,The Barbary Coast,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos
The Woman In Red,"Postcard Row (Alamo Square, Hayes Valley)",MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert
Interview With The Vampire,6th Street On-ramp to Highway 280,Geffen Pictures,Neil Jordan,Anne Rice
Pacific Heights,Chinatown,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne
Sudden Impact,"Near Point Lobos, El Camino Del Mar ",Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
Venom,Grant Ave at Green St,"Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
Time After Time,United Nations Plaza (Civic Center),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
James and the Giant Peach,,Walt Disney Studios Home Entertainment,Henry Selick,Karey Kirkpatrick
The Dead Pool,One Thousand Powell Apartments (1000 Powell Street),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Chance- Season 1 ep102,Westin St. Francis,HULU,Lenny Abrahamson,Alexandra Cunningham
Family Plot,"Fairmont Hotel (950 Mason Street, Nob Hill)",Universal Pictures,Alfred Hitchcock,Ernest Lehman
The Dead Pool,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Bullitt,2700 Vallejo Street (Pacific Heights),Warner Brothers,Peter Yates,Alan R. Trustman
Time After Time,"Huntington Park (California & Taylor Streets, Nob Hill)",Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Cardinal X,3639 Taraval St,,Annie Wang,Annie Wang
Time After Time,California Academy of Sciences (Golden Gate Park),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Chance - Season 1 ep105,"The Drew School, 2901 California",HULU,Victoria Morrow,Roxann Dawson
The Presidio,Golden Gate Bridge,Paramount Pictures,Peter Hyams,Larry Ferguson
Edtv,19 Green Street (North Beach),MCA / Universal Pictures,Ron Howard,Lowell Ganz
Twisted,Pier 39,Paramount Pictures,Philip Kaufman,Sarah Thorp
San Andreas,"Asia Star Fantasy, 1126 Grant Ave.",Warner Bros.,Brad Peyton,Allan Loeb 
Petulia,"Fairmont Hotel (950 Mason Street, Nob Hill)",Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus
Guess Who's Coming to Dinner,Mel's Drive-In (Corner South Van Ness & Mission St.),Columbia Pictures,Stanley Kramer,William Rose
Summertime,Stanyan & Belgrave,8 Distribution,Gabriele Muccino,Gabriele Muccino
The Game,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)",Polygram Filmed Entertainment,David Fincher,John Brancato
Woman on the Run,Cable Car Signal Box (California Street at Powell Street),Universal Pictures,Norman Foster,Norman Foster
Looking,Dolores Park,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Quitters,4015 21st St,,Noah Pritzker,Noah Pritzker
Venom,Embarcadero btwn Folsom and Bryant,"Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
Time After Time,Palace of Fine Arts (3301 Lyon Street),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Cardinal X,812 22nd St. and Tennessee,,Annie Wang,Annie Wang
The Internship,Epic Roasthouse,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn
The Conversation,"Westin St. Francis Hotel (335 Powell Street, Union Square)",Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola
Getting Even with Dad,Mason Street at Jackson,Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
"Looking ""Special""","Encore Karaoke, 1550 California Street",HBO,Andrew Haigh,Michael Lannan
Golden Gate,Ross Alley (Chinatown),The Samuel Goldwyn Company,John Madden,David Henry Hwang
I Am Michael,Ocean Beach @ Balboa,,Justin Kelly,Justin Kelly
Mrs. Doubtfire,516 Green Street,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer
Bedazzled,Vaillancourt Fountain (Justin Herman Plaza),Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis
Joy Luck Club,Hang Ah Alley (Chinatown),National Broadcasting Company (NBC),Wayne Wang,Amy Tan
"Hello Frisco, Hello",,Twentieth Century Fox Film Corporation,Bruce Humberstone,Robert Ellis
Dirty Harry,"California Hall (625 Polk Street, Van Ness/Civic Center)",Warner Brothers,Don Siegel,Harry Julian Fink
Looking Season 2 ep 205,"Always Open Car Wash, 2560 Marin Street",HBO,Andrew Haigh,Michael Lannan
Getting Even with Dad,War Memorial Building (401 Van Ness Avenue),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
