Title,Locations,Distributor,Director,Writer
Sense8,S. Van Ness,Netflix,The Wachowskis,The Wachowskis
Chu Chu and the Philly Flash,Transbay Terminal (Mission Street at 1st Street),Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana
The Presidio,900 Block of Grant Avenue (Chinatown),Paramount Pictures,Peter Hyams,Larry Ferguson
Bee Season,,Fox Searchlight Pictures,Scott McGehee,David Siegel
The Times of Harvey Milk,The Castro,TC Films International,Rob Epstein,Rob Epstein
Edtv,Moose's Restaurant (1652 Stockton),MCA / Universal Pictures,Ron Howard,Lowell Ganz
Pushing Dead,"Blind Cat, 3050 24th Street, San Francisco",TBD,Tom Brown,Tom Brown
Maxie,"Asian Art Museum (200 Larkin Street, Civic Center)",Orion Pictures Corporation,Paul Aaron,Patricia Resnick
Copycat,"Java House (Pier 40, Embarcadero)",Warner Bros. Pictures,Jon Amiel,Ann Biderman
San Andreas,TransAmerica Pyramid (600 Montgomery Street),Warner Bros.,Brad Peyton,Allan Loeb 
"Smile Again, Jenny Lee",Clay St. at Sansome,,Carlo Caldana,Linda Demetrick
Etruscan Smile,"Legion of Honor, 100 34th Ave",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Time After Time,"Ghirardelli Square (900 North Point Street, Fisherman's Wharf)",Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Sister Act,"St. Paul's Church (Church Street, Noe Valley)",Buena Vista Pictures,Emile Ardolino,Joseph Howard
The Conversation,"Saks Fifth Avenue (384 Post Street, Union Square)",Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola
"Budding Prospects, Pilot",2007 Franklin Street,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
Blue Jasmine,2179 48th Ave,Sony Pictures Classics,Woody Allen,Woody Allen
Freebie and the Bean,Nob Hill,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
24 Hours on Craigslist,,Zealot Pictures,Michael Ferris Gibson,
The Dead Pool,1954 Mason Street (North Beach),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Etruscan Smile,"Marriott Marquis, 780 Mission Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
The Game,Washington Street & Waverly Place (Chinatown),Polygram Filmed Entertainment,David Fincher,John Brancato
Steve Jobs,Davies Symphony Hall (201 Van Ness Ave.),Universal Pictures,Danny Boyle,Aaron Sorkin
Flower Drum Song,Golden Gate Bridge,Universal Pictures,Henry Koster,Joseph Fields
The Rock,The San Francisco Bay,Buena Vista Pictures,Michael Bay,David Weisberg
Looking Season 2 ep 206,1890 Clay Street,HBO,Andrew Haigh,Michael Lannan
Summertime,Chinatown (Stockton @ Jackson & Jackson toward Grant,10 Distribution,Gabriele Muccino,Gabriele Muccino
Fat Man and Little Boy,"Postcard Row (Alamo Square, Hayes Valley)",Paramount Pictures,Roland Joffe,Roland Joffe
High Crimes,Condor Club (Columbus and Broadway),Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
Dirty Harry,Dante Building (1606 Stockton Street at Union),Warner Brothers,Don Siegel,Harry Julian Fink
Basic Instinct,Raw Hide II (280 Seventh Street),TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Bicentennial Man,Golden Gate Bridge,Buena Vista Pictures,Chris Columbus,Nicholas Kazan
Dark Passage,"Filbert Steps, Filbert Street",Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis
The Matrix,skyline/ exterior scenes,Warner Bros. Pictures,The Wachowski Brothers,The Wachowski Brothers
Looking Season 2 ep 203,"Mad Dog Bar, 530 Haight Street",HBO,Andrew Haigh,Michael Lannan
Sweet November,Farley's Caf̩ (1315 18th Street Near Missouri),Warner Bros. Pictures,Pat O'Connor,Paul Yurick
The Princess Diaries,Baker Beach,Buena Vista Pictures,Garry Marshall,Gina Wendkos
The Wedding Planner,Pleasant Street at Taylor,Sony Pictures Entertainment,Adam Shankman,Pamela Falk
The Bachelor,Danilo's Bakery (Green Street & Bannam Place),New Line Cinema,Gary Sinyor,Steve Cohen
Chance - Season 1 ep105,"The Drew School, 2901 California",HULU,Victoria Morrow,Roxann Dawson
Sense8 - Season 2,Clay between Stockton and Grant,Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
Etruscan Smile,"Bentley Reserve, 301 Battery Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Nine Months,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
The Maltese Falcon,Golden Gate Bridge,Warner Bros. Pictures,John Huston,John Huston
San Andreas,Battery Spencer,Warner Bros.,Brad Peyton,Allan Loeb 
Blue Jasmine,2934 24th St.,Sony Pictures Classics,Woody Allen,Woody Allen
Americana,Jackson St. at Spruce,,Zachary Shedd,Zachary Shedd
Chance Season 2,20th St between Church and Dolores St,Hulu,Rozann Dawson,Alexandra Cunningham
San Andreas,Bay St. at Polk,Warner Bros.,Brad Peyton,Allan Loeb 
"Budding Prospects, Pilot",3050 24th Street,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
GirlBoss,Fillmore between Haight and Waller,Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Bullitt,Bay Bridge,Warner Brothers,Peter Yates,Alan R. Trustman
Twisted,The Saloon (1232 Grant Avenue),Paramount Pictures,Philip Kaufman,Sarah Thorp
Guess Who's Coming to Dinner,Mel's Drive-In (Corner South Van Ness & Mission St.),Columbia Pictures,Stanley Kramer,William Rose
Dirty Harry,"Washington Square, North Beach",Warner Brothers,Don Siegel,Harry Julian Fink
Petulia,307 Filbert Street,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus
Greed,Hayes Street at Laguna,Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim
San Andreas,Clay St. at Taylor,Warner Bros.,Brad Peyton,Allan Loeb
Twisted,Pier 24,Paramount Pictures,Philip Kaufman,Sarah Thorp
On the Road,Bay Bridge,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera
Looking,Eros,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Groove,435 23rd Street at Illinois,Sony Pictures Classics,Greg Harrison,Greg Harrison
Foul Play,Andrew S. Hallidie Plaza (Market & Powell Streets),Paramount Pictures,Colin Higgins,Colin Higgins
What's Up Doc?,Alta Plaza Park (Steiner Street),Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry
Bedazzled,1155 Filbert Street at Hyde,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis
The Love Bug,100 Block of Lombard Street,Buena Vista Distribution,Robert Stevenson,Bill Walsh
"Murder in the First, Season 2",372/374 Pennsylvania Avenue,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Pushing Dead,Octavia at Grove Street,TBD,Tom Brown,Tom Brown
Dopamine,"Fort Point (Presidio, Golden Gate National Recreation Area)",Sundance Channel Home Entertainment,Mark Decena,Mark Decena & Timothy Breitbach
Looking Season 2 ep 204,"Larken Street Youth Services, 1138 Sutter Street",HBO,Andrew Haigh,Michael Lannan
The Bachelor,Mama's Restaurant (1701 Stockton),New Line Cinema,Gary Sinyor,Steve Cohen
A Smile Like Yours ,Grace Cathedral Episcopal Church (1100 California Street),Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer
The Parent Trap,Administration Building (Treasure Island),Buena Vista Pictures,Nancy Meyers,Nancy Meyers
Ant-Man and the Wasp,Geary St - Hyde St - Ellis St,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
"Play it Again, Sam","The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Paramount Pictures,Herbert Ross,Woody Allen
Junior,"Postcard Row (Alamo Square, Hayes Valley)",Universal Pictures,Ivan Reitman,Kevin Wade
Big Eyes,Pine St. & Grant,Weinstein Company,Tim Burton,Scott Alexander
Interview With The Vampire,Ferry Building,Geffen Pictures,Neil Jordan,Anne Rice
San Andreas,Bay St. at Polk,Warner Bros.,Brad Peyton,Allan Loeb
Beautiful Boy,Wisconsin between 19th and 20th St,Amazon Studios,Felix van Groeningen,Luke Davies
The Bachelor,Mama's Restaurant (1701 Stockton),New Line Cinema,Gary Sinyor,Steve Cohen
Invasion of the Body Snatchers,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)",United Artists,Philip Kaufman,Jack Finney
Cardinal X,3639 Taraval St,,Annie Wang,Annie Wang
Dr. Dolittle 2,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)",Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin
Doctor Dolittle,Coit Tower,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
Family Plot,Grace Cathedral Episcopal Church (1100 California Street),Universal Pictures,Alfred Hitchcock,Ernest Lehman
Blue Jasmine,Grant & Washington St.,Sony Pictures Classics,Woody Allen,Woody Allen
The Princess Diaries,Fisherman's Wharf,Buena Vista Pictures,Garry Marshall,Gina Wendkos
The Laughing Policeman,,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman
Twisted,La Bodega (1332 Grant Avenue at Vallejo),Paramount Pictures,Philip Kaufman,Sarah Thorp
Vertigo,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",Paramount Pictures,Alfred Hitchcock,Alec Coppel
Americana,Foreign Cinema (2534 Mission),,Zachary Shedd,Zachary Shedd
180,Mason & California Streets (Nob Hill),,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba "
Etruscan Smile,"Andronico's, 1200 Irving Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Dream with the Fishes,Bay Bridge,Sony Pictures Classics,Finn Taylor,Finn Taylor & Jeffrey Brown
Heart and Souls,2810 Pacific Avenue,Electric Parc,Tomas Gislason,Tomas Gislason
Looking Season 2 ep 210,BART Station @ 16th Street & Mission Streets,HBO,Andrew Haigh,Michael Lannan
"Murder in the First, Season 3",Ivy Street between Laguna and Gough Streets,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
What Dreams May Come,Treasure Island,Polygram Filmed Entertainment,Vincent Ward,Ron Bass
The Rock,Coit Tower,Buena Vista Pictures,Michael Bay,David Weisberg
Maxie,"722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)",Orion Pictures Corporation,Paul Aaron,Patricia Resnick
Dr. Dolittle 2,Hyde Street & Lombard Street,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin
Looking Season 2 ep 203,"Willy's Barber shop, 3227 22nd Street",HBO,Andrew Haigh,Michael Lannan
Red Widow,Geary & 20th Ave,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
Junior,Hyatt Fisherman's Wharf (555 Northpoint Street),Universal Pictures,Ivan Reitman,Kevin Wade
Woman on the Run,1801 Laguna at Bush,Universal Pictures,Norman Foster,Norman Foster
Sense8,16th St.,Netflix,The Wachowskis,The Wachowskis
Bullitt,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",Warner Brothers,Peter Yates,Alan R. Trustman
"Murder in the First, Season 2",435 Broadway,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Looking,Market & Church St.,Home Box Office (HBO),Andrew Haigh,Michael Lannan
The Enforcer,Coit Tower,Warner Bros. Pictures,James Fargo,Stirling Silliphant
The OA Part II,Cameron House - 920 Sacramento St,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Ballers Season 3,Driving around Taylor/Pacific/Leavenworth,HBO,Julian Farino,Stephen Levinson
Milk,Market & Castro Street,Focus Features,Gus Van Sant,Dustin Lance Black
Dirty Harry,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Warner Brothers,Don Siegel,Harry Julian Fink
Experiment in Terror,The Sea Captain's Chest (Fisherman's Wharf),Columbia Pictures,Blake Edwards,The Gordons
Godzilla,Eddy & Taylor St.,Warner Bros. Pictures,Gareth Edwards,Max Borenstein
"Budding Prospects, Pilot",1167 Alabama Street,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
Venom,Embarcadero at Harrison St,"Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
Family Plot,Nob Hill,Universal Pictures,Alfred Hitchcock,Ernest Lehman
Steve Jobs,Sutter-Stockton Garage (444  Stockton),Universal Pictures,Danny Boyle,Aaron Sorkin
Big Eyes,Green St. & Grant Ave.,Weinstein Company,Tim Burton,Scott Alexander
Time After Time,Justin Herman Plaza,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Doctor Dolittle,Larkin & Hyde Streets,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
"Budding Prospects, Pilot",Lucky Street,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
Ant-Man and the Wasp,Pier 27,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
The Last Black Man in San Francisco,"Portola Rose Garden, 598 Hamilton St at Woolsey St",A46,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Blue Jasmine,303-305 S. Van Ness,Sony Pictures Classics,Woody Allen,Woody Allen
Interview With The Vampire,Golden Gate Bridge,Geffen Pictures,Neil Jordan,Anne Rice
Birth of the Dragon,California at Grant,Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
Looking Season 2 ep 202,314 11th Street,HBO,Andrew Haigh,Michael Lannan
A Smile Like Yours,San Francisco International Airport,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer
Getting Even with Dad,"Neiman Marcus (150 Stockton Street, Union Square)",Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
A Night Full of Rain,San Francisco Chronicle (901 Mission Street at 15th Street),Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller
High Crimes,Chase H & Q  (1 Bush Street at Sansome),Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
Down Periscope,,Twentieth Century Fox Film Corp.,David S. Ward,Hugh Wilson
Final Analysis,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)",Warner Bros. Pictures,Phil Joanou,Robert Berger
Dopamine,"Fort Point (Presidio, Golden Gate National Recreation Area)",Sundance Channel Home Entertainment,Mark Decena,Mark Decena & Timothy Breitbach
Foul Play,Octavia & Hayes Streets (Hayes Valley),Paramount Pictures,Colin Higgins,Colin Higgins
Class Action,Bix Restaurant (56 Gold Street),Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby
The Dead Pool,Fremont Street Exit of Bay Bridge,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Sweet November,Mission Dolores Park (Mission District),Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Dark Passage,"Filbert Steps, Filbert Street",Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis
Godzilla,Post & Jones St.,Warner Bros. Pictures,Gareth Edwards,Max Borenstein
San Andreas,Hyde St. at Greenwich and Hyde St. at Lombard,Warner Bros.,Brad Peyton,Allan Loeb 
Etruscan Smile,343 Union Street,TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
The Last Black Man in San Francisco,"Hotel Metropolis, 25 Mason St",A43,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Invasion of the Body Snatchers,Transamerica Building (600 Montgomery Street at Clay),United Artists,Philip Kaufman,Jack Finney
Sense8 - Season 2,Washington between Stockton and Kearny,Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
Basic Instinct,Gibb Street (Chinatown),TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Jade,Palace of Fine Arts,Paramount Pictures,William Friedkin,Joe Eszterhas
"Smile Again, Jenny Lee",1328 Portola,,Carlo Caldana,Linda Demetrick
When a Man Loves a Woman,766 Vallejo Street at Stockton Street (North Beach),Buena Vista Pictures,Luis Mandoki,Ronald Bass
"Looking ""Special""",Grant Avenue between Sacramento and Washington,HBO,Andrew Haigh,Michael Lannan
Chance - Season 1 Pilot,1055 Montgomery St.,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
A Taiwanese Tale of Two Cities,2751 Mission St,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin"
Chance - Season 1 Pilot,"Ellis Food Center, 398 Ellis",HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Pushing Dead,"Uva Enoteca, 568 Haight Street",TBD,Tom Brown,Tom Brown
Happy Gilmore,,Universal Pictures,Dennis Dugan,Tim Herlihy
Twisted,Pier 39,Paramount Pictures,Philip Kaufman,Sarah Thorp
Magnum Force,"Fairmont Hotel (950 Mason Street, Nob Hill)",Warner Bros. Pictures,Ted Post,John Milius
The Wedding Planner,Montgomery Street at Union Street,Sony Pictures Entertainment,Adam Shankman,Pamela Falk
When a Man Loves a Woman,Buena Vista Caf̩ (2765 Hyde Street),Buena Vista Pictures,Luis Mandoki,Ronald Bass
So I Married an Axe Murderer,Rocco's Corner (Columbus Street),TriStar Pictures,Thomas Schlamme,Robbie Fox
Cardinal X,119 Utah,,Annie Wang,Annie Wang
Serendipity,,Miramax Home Entertainment,Peter Chelsom,Marc Klein
Quitters,Tank Hill Park,,Noah Pritzker,Noah Pritzker
The Bachelor,Roof of Cable Car (California at Front Street),New Line Cinema,Gary Sinyor,Steve Cohen
The Other Sister,Palace of Fine Arts (3301 Lyon Street),Buena Vista Pictures,Garry Marshall,Garry Marshall
What's Up Doc?,Chinatown,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry
Etruscan Smile,"St Regis Hotel, 125 3rd Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Quicksilver,Pacific Stock Exchange,Columbia Pictures,Thomas Michael Donnelly,Thomas Michael Donnelly
Red Widow,Geary & 20th Ave,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
A View to a Kill,"Burger Island (901 3rd Street, China Basin)",MGM/UA Entertainment Company,John Glen,Richard Maibaum
Dr. Dolittle 2,Hyde Street & Lombard Street,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin
Looking,Muddy Waters Coffee House,Home Box Office (HBO),Andrew Haigh,Michael Lannan
"Murder in the First, Season 1",Dolores Park,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
The OA Part II,Duncan St at Diamond Heights,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
San Andreas,Grant between Bush and Market,Warner Bros.,Brad Peyton,Allan Loeb
The Enforcer,23rd & Capp Streets (Mission District),Warner Bros. Pictures,James Fargo,Stirling Silliphant
The Bachelor,Sutter-Stockton Garage (330 Sutter Street at Stockton),New Line Cinema,Gary Sinyor,Steve Cohen
Quitters,Clement St. from 5th and 7th Ave.,,Noah Pritzker,Noah Pritzker
The Game,Bay Bridge,Polygram Filmed Entertainment,David Fincher,John Brancato
I Am Michael,4100 20th St,,Justin Kelly,Justin Kelly
Twisted,Veterans' War Memorial Building (401 Van Ness Avenue),Paramount Pictures,Philip Kaufman,Sarah Thorp
Love & Taxes,20 Hill Street,,Jacob Kornbluth,Jacob Kornbluth
The Bachelor,Merchant Exchange (465 California Street at Leidesdorff),New Line Cinema,Gary Sinyor,Steve Cohen
Big Eyes,Harry's Bar on Fillmore,Weinstein Company,Tim Burton,Scott Alexander
Looking Season 2 ep 202,1246 Folsom Street,HBO,Andrew Haigh,Michael Lannan
Stigmata,19th and Kansas St.,Metro-Goldwyn Mayer Distributing,Rupert Wainwright,Tom Lazarus
The Fog of War,,Sony Pictures Classics,Errol Morris,
The Bachelor,Washington Square Park (North Beach),New Line Cinema,Gary Sinyor,Steve Cohen
Invasion of the Body Snatchers,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",United Artists,Philip Kaufman,Jack Finney
Vertigo,Palace of Fine Arts (3301 Lyon Street),Paramount Pictures,Alfred Hitchcock,Alec Coppel
Woman on Top,312 Fillmore Street,Fox Searchlight Pictures,Fina Torres,Vera Blasi
The Wedding Planner,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Sony Pictures Entertainment,Adam Shankman,Pamela Falk
A Smile Like Yours,75 California Street,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer
Blue Jasmine,1138 Alabama St,Sony Pictures Classics,Woody Allen,Woody Allen
Bicentennial Man,Golden Gate Bridge,Buena Vista Pictures,Chris Columbus,Nicholas Kazan
"Murder in the First, Season 1",50 California Street,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Ant-Man and the Wasp,Saint Louis Alley at Jackson,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
The Last Black Man in San Francisco,"Chateau Tivoli, 1057 Steiner St",A32,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Bullitt,John Muir Drive (Lake Merced),Warner Brothers,Peter Yates,Alan R. Trustman
Quitters,4015 21st St,,Noah Pritzker,Noah Pritzker
"Murder in the First, Season 3",2633 Vallejo Street,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Joy Luck Club,610 Rhode Island Street (Potrero Hill),National Broadcasting Company (NBC),Wayne Wang,Amy Tan
Magnum Force,18th Street Overpass (Potrero Hill),Warner Bros. Pictures,Ted Post,John Milius
Cardinal X,100 Alemany Blvd.,,Annie Wang,Annie Wang
Quitters,Geary from 22nd Ave to Arguello,,Noah Pritzker,Noah Pritzker
Rollerball,,MGM Home Entertainment,John McTiernan,William Harrison
Etruscan Smile,San Francisco Airport,TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Copycat,82 & 67 Rico Way (Marina District),Warner Bros. Pictures,Jon Amiel,Ann Biderman
Junior,"Fairmont Hotel (950 Mason Street, Nob Hill)",Universal Pictures,Ivan Reitman,Kevin Wade
Chance - Season 1 Pilot,1055 Montgomery St.,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Ant-Man and the Wasp,Montgomery btwn Broadway and Pacific,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
Rollerball,,MGM Home Entertainment,John McTiernan,William Harrison
Chance - Season 1 Pilot,UN Plaza/ Civic Center Bart steps,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Looking,BART from Civic Center to 24th St.,Home Box Office (HBO),Andrew Haigh,Michael Lannan
High Crimes,391 Pennsylvania Avenue at 19th Street,Twentieth Century Fox Corporation,Carl Franklin,Yuri Zeltser
Greed,Bush and Sutter Streets,Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim 
When We Rise,United Nations Plaza,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
Magnum Force,18th Street Overpass (Potrero Hill),Warner Bros. Pictures,Ted Post,John Milius
Bicentennial Man,Grace Cathedral Episcopal Church (1100 California Street),Buena Vista Pictures,Chris Columbus,Nicholas Kazan
