name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Idea Store Chrisp Street,Vesey Path,,,Tower Hamlets,,6173963.0,E09000030,Lansbury,E05009325,-0.0144504010734781,51.51156298376159,537880.1226094011,181050.07370031305,04/11/2021
North Kensington Library,Ladbroke Grove,,,Kensington and Chelsea,,217048255.0,E09000020,Colville,E05009392,-0.2092007872719849,51.51666647068485,524352.9663128431,181268.92367965195,04/11/2021
Idea Store Watney Market,Commercial Road,,,Tower Hamlets,,6196250.0,E09000030,Shadwell,E05009332,-0.0572389082461565,51.51433756665652,534902.963443914,181278.9236757589,04/11/2021
Shoe Lane,Little New Street,,,City and County of the City of London,,200000075492.0,E09000001,Castle Baynard,E05009297,-0.1065568164810948,51.51544126208277,531477.9643743138,181311.923666392,04/11/2021
Paddington Library,Porchester Road,,,City of Westminster,,100023482172.0,E09000033,Bayswater,E05000631,-0.1886175904606447,51.517420561779865,525778.9659244145,181387.9236475161,04/11/2021
Artizan Street,Artizan Street,,,City and County of the City of London,,95511788.0,E09000001,Portsoken,E05009308,-0.0767702755795406,51.51565786521084,533543.9638136266,181389.9236478024,04/11/2021
Guildhall Library and City Business Library,Aldermanbury,,,City and County of the City of London,,100023529028.0,E09000001,Bassishaw,E05009290,-0.0928236223742909,51.5160730392103,532428.9641168155,181406.92364239693,04/11/2021
Yeading Library,Yeading Lane,Hayes,,Hillingdon,,100023417063.0,E09000017,Barnhill,E05000324,-0.4041349974641122,51.52087366045075,510817.9699922847,181423.92363692028,04/11/2021
Jubilee Gardens Library,Jubilee Gardens,Southall,,Ealing,,12000640.0,E09000009,Lady Margaret,E05000181,-0.3694841596411997,51.52123328606379,513220.9693387061,181516.9236118436,04/11/2021
Custom House Library,Prince Regent Lane,,,Newham,,10008990024.0,E09000025,Custom House,E05000479,0.0314081741760952,51.51518231784571,541050.9617739958,181539.92360606996,04/11/2021
Beckton Library,Kingsford Way,,,Newham,,10008997116.0,E09000025,Beckton,E05000475,0.0553990808562821,51.51503400034253,542715.9613197406,181569.9235966571,04/11/2021
Canning Town Library,Barking Road,,,Newham,,10008988046.0,E09000025,Canning Town North,E05000477,0.0110670733828218,51.5173678498622,539632.9621592908,181743.92355107676,04/11/2021
Marylebone Library,Beaumont Street,,,City of Westminster,,100022725022.0,E09000033,Marylebone High Street,E05000641,-0.1506375119879402,51.52063183792448,528404.9652089169,181810.9235320018,04/11/2021
Barbican,Silk Street,,,City and County of the City of London,,200000072620.0,E09000001,Cripplegate,E05009302,-0.0941025868567625,51.51996070969431,532328.9641439863,181836.9235256182,04/11/2021
Idea Store Whitechapel,Whitechapel Road,,,Tower Hamlets,,6000711.0,E09000030,Spitalfields & Banglatown,E05009333,-0.0580161031718924,51.51978200390365,534832.9634635847,181882.92351240024,04/11/2021
Holborn Library,Theobald's Road,,,Camden,,5082117.0,E09000007,Holborn and Covent Garden,E05000138,-0.1157026417740875,51.5211820142728,530826.9645532902,181933.9234973102,04/11/2021
Hayes End Library,Uxbridge Road,Hayes,,Hillingdon,,100023417260.0,E09000017,Charville,E05000328,-0.4361038237153604,51.52598024425166,508587.9705978525,181943.9234943768,04/11/2021
Little Venice Sports Centre Library,Crompton Street,,,City of Westminster,,10033612553.0,E09000033,Little Venice,E05000639,-0.1771849588311924,51.5225401390285,526557.9657121842,181976.92348671335,04/11/2021
Church Street Library,Church Street,,,City of Westminster,,10033532267.0,E09000033,Church Street,E05000634,-0.1701594227543919,51.52303327026871,527043.9655801717,182043.9234688331,04/11/2021
Kensal Library,Golborne Road,,,Kensington and Chelsea,,217035223.0,E09000020,Golborne,E05009396,-0.2068576956183943,51.523842759666856,524495.966272932,182070.92346114467,04/11/2021
Rainham Library,Celtic Farm Road,Rainham,,Havering,,10024389958.0,E09000016,Rainham and Wennington,E05000318,0.1910568479416507,51.51726756989826,552120.4987447774,182091.32341971784,04/11/2021
Pitshanger Library,Pitshanger Lane,Ealing,,Ealing,,12132976.0,E09000009,Cleveland,E05000171,-0.3139169820127694,51.52589729908327,517063.968292428,182122.92344782405,04/11/2021
Maida Vale Library,Sutherland Avenue,,,City of Westminster,,100023511234.0,E09000033,Westbourne,E05000648,-0.1904344802845889,51.52466969126681,525632.9659632224,182190.92342802283,04/11/2021
Local History Library,Bancroft Road,,,Tower Hamlets,,6033654.0,E09000030,Bethnal Green,E05009317,-0.0423471974658414,51.523819975243946,535907.9631736489,182360.9233827836,04/11/2021
Queen's Park library,Harrow Road,,,City of Westminster,,100023433123.0,E09000033,Queen's Park,E05000642,-0.2109133746500165,51.52702511882832,524205.96635199816,182417.92336703523,04/11/2021
Greenford Library,Oldfield Lane South,Greenford,,Ealing,,12001186.0,E09000009,Greenford Broadway,E05000177,-0.3552361187623169,51.52981095004077,514187.9690777944,182492.9233449609,04/11/2021
Finsbury Library,St John Street,,,Islington,,5300084848.0,E09000019,Clerkenwell,E05000370,-0.1045269999041977,51.52648754915111,531586.9643476697,182543.92333443527,04/11/2021
Bethnal Green library,Cambridge Heath Road,,,Tower Hamlets,,6036905.0,E09000030,Bethnal Green,E05009317,-0.0537393352396813,51.526437503257526,535109.963391297,182630.9233086484,04/11/2021
Charville Library,Bury Avenue,Hayes,,Hillingdon,,100023417465.0,E09000017,Charville,E05000328,-0.4275151481837989,51.53509140849695,509161.97044337785,182969.92321804503,04/11/2021
Shoreditch Library,Hoxton Street,,,Hackney,,100023135480.0,E09000012,Hoxton East & Shoreditch,E05009377,-0.0799101176942736,51.53043934026169,533282.9638864312,183027.9232007489,04/11/2021
Thames View,Bastable Avenue,Barking,,Barking and Dagenham,,10091588559.0,E09000002,Thames,E05000039,0.1045482607280453,51.527867646980845,546084.9604050822,183093.9231820908,04/11/2021
Plaistow Library,North Street,,,Newham,,46096940.0,E09000025,Plaistow North,E05000489,0.025638459230297,51.52969780932317,540605.9618955007,183142.92316947115,04/11/2021
St John's Wood Library,Circus Road,,,City of Westminster,,10033532542.0,E09000033,Abbey Road,E05000630,-0.172426048058209,51.53374287660802,526856.9656288775,183230.9231448467,04/11/2021
Pancras Square Library,Pancras Square,,,Camden,,5172479.0,E09000007,St. Pancras and Somers Town,E05000143,-0.1263837204559016,51.5338260074826,530049.964766389,183320.92312090463,04/11/2021
Camden Town Library,Eversholt Street,,,Camden,,5021816.0,E09000007,Regent's Park,E05000142,-0.1377428158273887,51.53424964332502,529260.9649801243,183347.9231146294,04/11/2021
Idea Store Bow,Gladstone Place,,,Tower Hamlets,,6053810.0,E09000030,Bow East,E05009319,-0.0299037747660431,51.532559450207216,536744.962942905,183355.9231113579,04/11/2021
East Ham Library,Barking Road,,,Newham,,46253323.0,E09000025,East Ham Central,E05000480,0.0554548031557926,51.53228124056825,542665.9613353823,183487.92307693465,04/11/2021
Kilburn Library Centre,Kilburn High Road,,,Camden,,5134480.0,E09000007,Kilburn,E05000140,-0.1911230363006127,51.53638870688633,525552.9659845328,183492.92307369292,04/11/2021
South Hornchurch Library,Rainham Road,Rainham,,Havering,,100023214503.0,E09000016,South Hornchurch,E05000321,0.1875628791050738,51.53021559546608,551835.0788367825,183523.9030472876,04/11/2021
Northolt Library,Church Road,Northolt,,Ealing,,12140961.0,E09000009,Northolt West End,E05000185,-0.3854101554456,51.539635937202455,512070.9696516794,183538.92306284688,04/11/2021
Harlesden,Craven Park Road,,,Brent,,202110706.0,E09000005,Harlesden,E05000091,-0.2504721285511835,51.53868242794776,521430.9671044777,183647.92303396435,04/11/2021
Oak Farm Library,Sutton Court Road,Uxbridge,,Hillingdon,,100023414220.0,E09000017,Hillingdon East,E05000332,-0.4500906968658077,51.54156070224151,507580.9708753232,183655.92303214548,04/11/2021
Lewis Carroll Children's Library,Copenhagen Street,,,Islington,,10012791189.0,E09000019,Caledonian,E05000368,-0.11729572444555,51.537070788927245,530670.9645956919,183697.92301700945,04/11/2021
Perivale Library,Horsenden Lane South,Perivale,,Ealing,,12003797.0,E09000009,Perivale,E05000187,-0.3240444585421291,51.54060106618722,516323.9684967109,183741.9230062125,04/11/2021
Green Street Library,Green Street,,,Newham,,10009001054.0,E09000025,Green Street East,E05000485,0.0353082545229275,51.536391735179805,541255.9617189604,183905.92296321117,04/11/2021
South Library,Essex Road,,,Islington,,5300031416.0,E09000019,St. Mary's,E05000379,-0.0987274576465751,51.53903734783922,531952.964247037,183949.92295148535,04/11/2021
Barking,Town Square,Barking,,Barking and Dagenham,,100053358.0,E09000002,Abbey,E05000026,0.0798187280251395,51.536321314579695,544342.9608795721,183984.92293991748,04/11/2021
Uxbridge Library,High Street,Uxbridge,,Hillingdon,,100023421562.0,E09000017,Uxbridge South,E05000341,-0.4782767141894988,51.54518515249601,505617.9714063839,184017.9229329521,04/11/2021
Chalk Farm (now Primrose Hill Community Library),Sharpleshall Street,,,Camden,,5154072.0,E09000007,Camden Town with Primrose Hill,E05000130,-0.1566702340534906,51.54114015975794,527928.9653407894,184080.92291450268,04/11/2021
West Library,Bridgeman Road,,,Islington,,5300011807.0,E09000019,Caledonian,E05000368,-0.116178031044767,51.54073985232338,530737.9645752062,184107.92290518887,04/11/2021
