Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Elizabeth Fullerton-Rome,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Patricia Gallan,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Marc Gill,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Sarah Goom,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Katherine Green,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Nigel Green,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Alice Gunn,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Adrian Hannell,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
James Harra,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Michael Hearty,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Diane Herbert,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Justin Holliday,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Andres Honeywell,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Stella Jarvis,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Robert Jones,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Tim Lai,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Andrew Larter,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Andrew Leggett,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Steven Long,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Angela MacDonald,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Maurice Mattholie,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Alice Maynard,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Cerys McDonald,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Sarah McMann,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Helen Megarry,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Mark Merrington,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Paul Morton,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Nicole Newbury,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Kenneth Palframan,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Lucy Pink,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Samantha Pullin,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Denise Rae-Murray,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
David Ratcliffe,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Daljit Rehal,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Aidan Reilly,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Simon Ricketts,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Paul Riley,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Susan Roberts,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Joanna Rowland,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Peter Schofield,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Juliette Scott,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Jonathan Sherman,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Michael Shipp,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Tom Smith,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Kerrie Spendiff,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Ruth Stanier,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Poli Stuart-Lacey,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Thomas Taylor,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Kate Tilley,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Stephen Timewell,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Matthew Vick,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Joanna Wakeman,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Mervyn Walker,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Roy Wallace,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Esther Wallington,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Steven Walters,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Hannah Watson,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Elizabeth Whittaker,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Richard Whittome,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Mark Wilson,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Neil Wolstenholme,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Simon York,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
