name,borough_name,website,borough_code,address1,address2,address3,os_addressbase_uprn,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
D-Contemporary,City of Westminster,http://dcontemporary.com/#,E09000033,23 Grafton Street,,,100023473421,West End,E05000649,-0.1430599221101237,51.509541032762144,528961.9650587057,180590.9238646245,04/11/2021
Erarta Galleries,City of Westminster,http://www.erartagalleries.com/london.html#,E09000033,8 Berkeley Street,,,100023473659,West End,E05000649,-0.1426796524449695,51.50790733140983,528992.9650503094,180409.92391369608,04/11/2021
Sladmore Contemporary,City of Westminster,http://www.sladmore.com/#,E09000033,32 Bruton Place,,,100023473811,West End,E05000649,-0.1451311357707964,51.51105760169244,528813.965098496,180755.92381985197,04/11/2021
Lefevre Fine Art,City of Westminster,http://www.lefevrefineart.com/#,E09000033,31 Bruton Street,,,100023474091,West End,E05000649,-0.1451771050589984,51.510635671526806,528811.9650990803,180708.92383265623,04/11/2021
Sophia Contemporary,City of Westminster,http://sophiacontemporary.com/#,E09000033,11 Grosvenor Street,,,100023474136,West End,E05000649,-0.1457346979728961,51.51216425447098,528768.9651105683,180877.9237866847,04/11/2021
The Fine Art Society,City of Westminster,http://faslondon.com/#,E09000033,148 New Bond Street,,,100023474398,West End,E05000649,-0.1437966211056176,51.51127030067688,528905.96507359,180781.9238126581,04/11/2021
Gimpel Fils,City of Westminster,http://www.gimpelfils.com/#,E09000033,30 Davies Street,,,100023474837,West End,E05000649,-0.1477465181044401,51.51195323815699,528629.9651482172,180850.9237942187,04/11/2021
Gallery Elena Shchukina,City of Westminster,http://galleryelenashchukina.com/#,E09000033,10 Lees Place,,,100023475032,West End,E05000649,-0.1543681078296568,51.51214754134767,528169.9652736228,180860.9237913052,04/11/2021
Sadie Coles Gallery,City of Westminster,http://www.sadiecoles.com/#,E09000033,1 Davies Street,,,100023475710,West End,E05000649,-0.1515441858221962,51.50856894417744,528375.9652168342,180467.9238986299,04/11/2021
Hamiltons Gallery,City of Westminster,http://www.hamiltonsgallery.com/#,E09000033,13 Carlos Place,,,100023475924,West End,E05000649,-0.1499475164405977,51.51063007694193,528480.9651885366,180699.92383550404,04/11/2021
Galeries Bartoux,City of Westminster,http://www.galeries-bartoux.com/en/#,E09000033,104 New Bond Street,,,100023476528,West End,E05000649,-0.146182942361131,51.51354722281789,528733.9651199382,181030.9237450678,04/11/2021
Salon Contemporary,City of Westminster,http://www.saloncontemporary.com/#,E09000033,82 Westbourne Grove,,,100023482451,Bayswater,E05000631,-0.1932394001317131,51.51536058285331,525463.9660103163,181150.92371178843,04/11/2021
Thomas & Paul,City of Westminster,http://www.thomasandpaul.com/#,E09000033,20 Bristol Gardens,,,100023513233,Little Venice,E05000639,-0.1859282336348681,51.5230713462478,525949.9658772761,182020.9234745807,04/11/2021
Greenwich Printmakers Gallery,Greenwich,http://www.greenwich-printmakers.org.uk/#,E09000011,1a Greenwich Market,,,100023537574,Greenwich West,E05000222,-0.0091691536234941,51.48137273277366,538337.9625126796,177702.92464735964,04/11/2021
The Invisible Line,Hackney,http://www.whitechapelgallery.org/first-thursdays/galleries/invisible-line-gallery/,E09000012,"87 Dalston Lane,",,,100023545364,Dalston,E05009370,-0.0689939654948018,51.54785830376204,533988.9636905512,184984.9226685622,04/11/2021
Fishbar,Hackney,http://fishbar.ph/#,E09000012,176 Dalston Lane,,,100023545393,Hackney Central,E05009372,-0.0650852441101983,51.54819851817224,534258.9636176879,185029.92265641992,04/11/2021
Rowing,Hackney,http://www.rowingprojects.com/#,E09000012,2 Leswin Place,,,100023546708,Stoke Newington,E05009385,-0.0722711776208723,51.55802901248215,533731.9637621397,186109.92236229076,04/11/2021
The Stone Space,Waltham Forest,http://www.thestonespace.com/#,E09000031,6 Church Lane,,,100023583897,Leytonstone,E05000605,0.0106111150290526,51.56820255992199,539445.9622099979,187395.9220142713,04/11/2021
ContiniArtUK,City of Westminster,http://www.continiartuk.com/#,E09000033,105 New Bond Street,,,100023608426,West End,E05000649,-0.1460998092362886,51.51346497461977,528739.9651183169,181021.9237475108,04/11/2021
Max Wigram Gallery,City of Westminster,http://www.maxwigram.com/#,E09000033,106 New Bond Street,,,100023608426,West End,E05000649,-0.1460998092362886,51.51346497461977,528739.9651183169,181021.9237475108,04/11/2021
Timothy Taylor Gallery,City of Westminster,http://www.timothytaylorgallery.com/#,E09000033,15 Carlos Place,,,100023616387,West End,E05000649,-0.1498621959646977,51.51060175307542,528486.9651869147,180696.92383631264,04/11/2021
Andor Gallery,Hackney,http://www.creativeandorcultural.com/#,E09000012,237 Hackney Road,,,100023649875,Haggerston,E05009375,-0.0701406686758247,51.53132194068214,533957.9637037701,183143.92316838892,04/11/2021
EXHIBIT at Golden Lane Estate,City and County of the City of London,http://www.exhibit-goldenlane.com/#,E09000001,20 Goswell Road,,,200000072012,Cripplegate,E05009302,-0.0973577186217658,51.52244161956729,532095.9642076244,182106.92345250412,04/11/2021
The Sassoon Gallery,Southwark,http://www.thesassoongallery.co.uk/#,E09000028,Arch 213 Blenheim Grove,Peckham,,200003492347,Rye Lane,E05011113,-0.0701339974484459,51.46949000185099,534139.7836595555,176268.17503616365,04/11/2021
Crypt Museum,City and County of the City of London,http://www.allhallowsbythetower.org.uk/visit/crypt/,E09000001,Byward Street,,,200000075582,Tower,E05009310,-0.0791841539365913,51.509330619725205,533394.9638540241,180681.92383733203,04/11/2021
Brocket Gallery,Lambeth,http://www.brocketgallery.com/#,E09000022,16 Windmill Row,,,200000468294,Oval,E05000426,-0.1118112310435339,51.48701892950183,531194.964452343,178141.92452806805,04/11/2021
Orso Major Gallery,Lambeth,http://www.orsomajor.com/#,E09000022,19 Lower Marsh,,,200000471760,Bishop's,E05000416,-0.1130076791965428,51.50059923215463,531072.964484671,179649.92412070575,04/11/2021
Man & Eve,Lambeth,http://www.manandeve.co.uk/#,E09000022,119-120 Lower Marsh,,,200000471832,Bishop's,E05000416,-0.1131719230639973,51.50080870809423,531060.9644879028,179672.92411438318,04/11/2021
Clapham Art Gallery,Lambeth,http://www.claphamartgallery.com/#,E09000022,Unit 02,40-48 BromellÃ¢ÂÂs Road,,200000520874,Clapham Town,E05000419,-0.138298145874092,51.46264961539353,529424.9649333975,175384.92527689255,04/11/2021
Victoria Miro Gallery I,Hackney,http://www.victoria-miro.com/#,E09000012,16 Wharf Road,,,200002432213,Hoxton West,E05009378,-0.094995244145769,51.530328967001466,532237.0041492825,182988.2731886278,04/11/2021
Old Royal Naval College,Greenwich,http://www.oldroyalnavalcollege.org/#,E09000011,2 Cutty Sark Gardens,,,200002800648,Greenwich West,E05000222,-0.0087781873950313,51.482871411952665,538360.5724927462,177870.314555372,04/11/2021
Bischoff/Weiss,City of Westminster,http://www.bischoffweiss.com/#,E09000033,14a Hay Hill,,,200002817730,West End,E05000649,-0.1436435224889066,51.50901070819049,528922.9650693042,180530.92388101184,04/11/2021
Borough Road Gallery,Southwark,http://www1.lsbu.ac.uk/w2/boroughroadgallery#,E09000028,103 Borough Road,,,200003353305,St. George's,E05011114,-0.1017425544868242,51.49870594649049,531860.2742680667,179459.60416338668,04/11/2021
Poppy Sebire,Southwark,http://www.poppysebire.com/#,E09000028,All Hallows Hall,6 Copperfield Street,,200003353342,Borough & Bankside,E05011095,-0.0972675710289985,51.50316867231567,532157.9641900035,179963.9240334825,04/11/2021
White Cube,Southwark,http://whitecube.com/#,E09000028,144-152 Bermondsey Street,,,200003362685,London Bridge & West Bermondsey,E05011104,-0.0826543085768507,51.49945047140024,533182.9639144253,179576.9241368808,04/11/2021
Flat Time House,Southwark,http://flattimeho.org.uk/#,E09000028,210 Bellenden Road,,,200003391772,Rye Lane,E05011113,-0.0741616653625468,51.466100755539294,533869.9637248381,175883.9251405244,04/11/2021
Arch Collective,Southwark,http://www.archcollective.co.uk/#,E09000028,Arch 12,Raymouth Road,,200003401561,North Bermondsey,E05011106,-0.0592932605966542,51.49212360522838,534825.9634663658,178804.924350194,04/11/2021
South London Gallery,Southwark,http://www.southlondongallery.org/#,E09000028,65 Peckham Road,,,200003464154,St. Giles,E05011115,-0.0797497233005702,51.47428603079586,533457.9638357003,176783.92489692435,04/11/2021
Menier Gallery,Southwark,http://www.meniergallery.co.uk/#,E09000028,51 Southwark Street,,,200003495859,Borough & Bankside,E05011095,-0.0941950802553601,51.50462957319994,532366.9641335225,180131.9239874513,04/11/2021
Jerwood Space Gallery,Southwark,http://www.jerwoodspace.co.uk/#,E09000028,171 Union Street,,,200003496580,Borough & Bankside,E05011095,-0.0990790867639075,51.50361171365507,532030.9642239938,180009.9240212894,04/11/2021
Hannah Barry Gallery,Southwark,http://www.hannahbarry.com/#,E09000028,"Unit 9i, 133 Copeland Road",,,200003497923,Rye Lane,E05011113,-0.0657393088386392,51.47000809956524,534443.483528369,176333.845001493,04/11/2021
The Wapping Project Bankside,Southwark,http://thewappingprojectbankside.com/#,E09000028,65 Hopton Street,,,200003498823,Borough & Bankside,E05011095,-0.1021761302135143,51.50744782861542,531804.9642840935,180430.9239071145,04/11/2021
