ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
John Grisham,19,1.42,15.79%,44.44%,279.21,9.05
kendrick lamar,19,1.37,5.26%,53.85%,255.84,8.11
la belle et la bete,19,1.21,15.79%,73.91%,162.63,9.32
la servante Ã©carlate,19,1.53,5.26%,31.03%,136.26,6.42
la voix policiere,19,1.95,0.00%,21.62%,23.63,2.84
les furies,19,1.26,5.26%,58.33%,185.95,5.11
lorde,19,1.05,5.26%,75.00%,195.32,4.32
naomi klein,19,1.26,15.79%,41.67%,144.32,5.79
nelly arcan,19,1.26,0.00%,66.67%,237.58,8.58
nicholas sparks,19,1.42,5.26%,48.15%,272.68,8.05
nutrition,19,1.53,0.00%,55.17%,186.53,5.84
