Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11,Unnamed: 12
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TENPIN.CO.UK,Fees and Charges,Education  ,26.03.2018,16.04.2018,GPC03180000114,82.35,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Environmental Services Technical Equipment ,22.03.2018,16.04.2018,GPC03180000115,14.45,,,
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,20.03.2018,16.04.2018,GPC03180000116,8.64,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,15.03.2018,16.04.2018,GPC03180000117,13.34,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.CHEADLESKIPS.COM,Furniture and Equipment,Environmental Services Technical Equipment ,14.03.2018,16.04.2018,GPC03180000118,185.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,HSD ONLINE,Furniture and Equipment,Environmental Services Technical Equipment ,14.03.2018,16.04.2018,GPC03180000119,119.95,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.RADIO-SOLUTION.CO.,Furniture and Equipment,Environmental Services Technical Equipment ,14.03.2018,16.04.2018,GPC03180000120,220.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,12.03.2018,16.04.2018,GPC03180000121,16.65,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Environmental Services Technical Equipment ,08.03.2018,16.04.2018,GPC03180000122,3.24,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Environmental Services Technical Equipment ,08.03.2018,16.04.2018,GPC03180000123,16.19,,,
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,06.03.2018,16.04.2018,GPC03180000124,9.32,,,
