Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11,Unnamed: 12
Stockport MBC,Services to People,Adult Social Care,MARTIN'S BRUSSELS EU,Expenses and Allowances,Human Resources Travel & Subsistence ,27.03.2018,16.04.2018,GPC03180000001,116.48,,,
Stockport MBC,Services to People,Adult Social Care,NEW CORICA,Expenses and Allowances,Human Resources Travel & Subsistence ,27.03.2018,16.04.2018,GPC03180000002,2.72,,,
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,27.03.2018,16.04.2018,GPC03180000003,8.16,,,
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,26.03.2018,16.04.2018,GPC03180000004,6.20,,,
Stockport MBC,Services to People,Adult Social Care,METRO GARE DE L'OUEST,Travelling Expenses,Human Resources Travel & Subsistence ,26.03.2018,16.04.2018,GPC03180000005,4.06,,,
Stockport MBC,Services to People,Adult Social Care,INVICTUS HOTEL SRL,Expenses and Allowances,Human Resources Travel & Subsistence ,22.03.2018,16.04.2018,GPC03180000006,61.28,,,
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,23.03.2018,16.04.2018,GPC03180000007,45.05,,,
Stockport MBC,Services to People,Adult Social Care,BRUTO,Expenses and Allowances,Human Resources Travel & Subsistence ,21.03.2018,16.04.2018,GPC03180000008,53.99,,,
Stockport MBC,Services to People,Adult Social Care,AUTOGRILL 7157     500,Expenses and Allowances,Human Resources Travel & Subsistence ,22.03.2018,16.04.2018,GPC03180000009,7.75,,,
Stockport MBC,Services to People,Adult Social Care,ROMA TERMINI SELF SERV,Travelling Expenses,Human Resources Travel & Subsistence ,22.03.2018,16.04.2018,GPC03180000010,25.20,,,
Stockport MBC,Services to People,Adult Social Care,I 3 ARCHI,Expenses and Allowances,Human Resources Travel & Subsistence ,20.03.2018,16.04.2018,GPC03180000011,12.63,,,
Stockport MBC,Services to People,Adult Social Care,LA LOCANDA DI BACCO,Expenses and Allowances,Human Resources Travel & Subsistence ,20.03.2018,16.04.2018,GPC03180000012,52.29,,,
Stockport MBC,Services to People,Adult Social Care,LA LOCANDA DI BACCO,Expenses and Allowances,Human Resources Travel & Subsistence ,18.03.2018,16.04.2018,GPC03180000013,67.16,,,
Stockport MBC,Services to People,Adult Social Care,3 ARCHI            972,Expenses and Allowances,Human Resources Travel & Subsistence ,19.03.2018,16.04.2018,GPC03180000014,12.71,,,
Stockport MBC,Services to People,Adult Social Care,NINA SRL,Expenses and Allowances,Human Resources Travel & Subsistence ,19.03.2018,16.04.2018,GPC03180000015,73.96,,,
Stockport MBC,Services to People,Adult Social Care,GUIDE BRIDGE SST,Travelling Expenses,Human Resources Travel & Subsistence ,18.03.2018,16.04.2018,GPC03180000016,6.20,,,
Stockport MBC,Services to People,Adult Social Care,FIUMICINO AEROPORTO SS,Travelling Expenses,Human Resources Travel & Subsistence ,18.03.2018,16.04.2018,GPC03180000017,25.48,,,
Stockport MBC,Services to People,Adult Social Care,AQUILA NERA,Expenses and Allowances,Human Resources Travel & Subsistence ,14.03.2018,16.04.2018,GPC03180000018,18.95,,,
Stockport MBC,Services to People,Adult Social Care,THE ARDEN ARMS,Expenses and Allowances,Human Resources Travel & Subsistence ,15.03.2018,16.04.2018,GPC03180000019,16.90,,,
Stockport MBC,Services to People,Adult Social Care,BRUSSELS  0825491646KB,Travelling Expenses,Human Resources Travel & Subsistence ,12.03.2018,16.04.2018,GPC03180000020,368.84,,,
Stockport MBC,Services to People,Adult Social Care,JET2.COM  79800341845580,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,08.03.2018,16.04.2018,GPC03180000021,26.00,,,
Stockport MBC,Services to People,Adult Social Care,BRUSSELS  082486949DOI,Travelling Expenses,Human Resources Travel & Subsistence ,02.03.2018,16.04.2018,GPC03180000022,53.28,,,
Stockport MBC,Services to People,Adult Social Care,CIPIACE,Expenses and Allowances,Human Resources Travel & Subsistence ,02.03.2018,16.04.2018,GPC03180000023,22.58,,,
Stockport MBC,Services to People,Adult Social Care,NH BRUSSELS EU BERLAYM,Expenses and Allowances,Human Resources Travel & Subsistence ,02.03.2018,16.04.2018,GPC03180000024,510.45,,,
Stockport MBC,Services to People,Adult Social Care,NH BRUSSELS EU BERLAYM,Expenses and Allowances,Human Resources Travel & Subsistence ,02.03.2018,16.04.2018,GPC03180000025,349.98,,,
Stockport MBC,Services to People,Adult Social Care,BRUSSELS  082486921RPK,Travelling Expenses,Human Resources Travel & Subsistence ,02.03.2018,16.04.2018,GPC03180000026,36.40,,,
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON EU,Furniture and Equipment,Furniture & Soft Furnishings  ,26.03.2018,16.04.2018,GPC03180000027,458.74,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK SUA4GFELG2,Publicity and Promotion,Facilities & Management Services  ,01.04.2018,16.04.2018,GPC03180000028,450.56,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK U4E3LFEUU2,Publicity and Promotion,Facilities & Management Services  ,31.03.2018,16.04.2018,GPC03180000029,235.00,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK VUA4GFELG2,Publicity and Promotion,Facilities & Management Services  ,01.04.2018,16.04.2018,GPC03180000030,39.00,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 35E3LFEUU2,Publicity and Promotion,Facilities & Management Services  ,31.03.2018,16.04.2018,GPC03180000031,3.85,,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AWARENESSDAYS.CO.UK,Publicity and Promotion,Facilities & Management Services  ,16.03.2018,16.04.2018,GPC03180000032,39.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.03.2018,16.04.2018,GPC03180000033,6.42,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.03.2018,16.04.2018,GPC03180000034,11.68,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.03.2018,16.04.2018,GPC03180000035,7.64,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.03.2018,16.04.2018,GPC03180000036,26.58,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.03.2018,16.04.2018,GPC03180000037,4.74,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.03.2018,16.04.2018,GPC03180000038,13.16,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.03.2018,16.04.2018,GPC03180000039,14.54,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.03.2018,16.04.2018,GPC03180000040,11.97,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.03.2018,16.04.2018,GPC03180000041,34.10,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.03.2018,16.04.2018,GPC03180000042,11.41,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.03.2018,16.04.2018,GPC03180000043,21.47,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.03.2018,16.04.2018,GPC03180000044,5.48,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.03.2018,16.04.2018,GPC03180000045,7.60,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.03.2018,16.04.2018,GPC03180000046,33.75,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.03.2018,16.04.2018,GPC03180000047,21.64,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.03.2018,16.04.2018,GPC03180000048,15.13,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.03.2018,16.04.2018,GPC03180000049,26.30,,,
Stockport MBC,Services to People,Childrens & Educational Services,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,14.03.2018,16.04.2018,GPC03180000050,32.35,,,
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,02.03.2018,16.04.2018,GPC03180000051,18.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2018,16.04.2018,GPC03180000052,25.15,,,
