COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley O-24,UL,OD,-77.70135,42.096920000000004
"Phillips, Shawn P.",Allegany,Bolivar,31003600000000,Millard Estate 2,UL,OD,-78.17782,42.046479999999995
Meridian Gas Co.,Onondaga,Camillus,31067000000000,Quinn,UN,DW,-76.29854,43.0179
Unknown,Allegany,Genesee,31003600000000,Oconnor 35,UL,OD,-78.23935999999999,42.051201
"Lee Oil Company, Inc.",Cattaraugus,Carrollton,31009200000000,McCaffery 9,UL,OD,-78.60673,42.0693
Unknown,Cattaraugus,Allegany,31009700000000,KC 327,UN,NL,-78.51646,42.020775
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Coleman P-365,UL,IW,-77.69301999999999,42.0941
Unknown,Chautauqua,Hanover,31013000000000,Harmon A J,UM,GD,-79.1772,42.50969
Unknown,Broome,Barker,31007000000000,Kenyon,UN,DW,-75.86774,42.28409
Ontario Gas,Ontario,Richmond,31069000000000,Ward 1,UL,DW,-77.56115,42.82833
Unknown,Allegany,Wirt,31003700000000,Crockett D 38,UM,NL,-78.17349,42.088829
Unknown,Oneida,Vernon,31065000000000,Dean-Garry (Vernon Well),UN,DW,-75.53878,43.08093
Unknown,Allegany,Genesee,31003700000000,PPP 26,UL,NL,-78.21554,42.084053000000004
Unknown,Cattaraugus,Allegany,31009700000000,KC 646,UM,NL,-78.5284,42.009834000000005
Unknown,Allegany,Alma,31003700000000,Fisher J 37,UN,NL,-78.06178,42.065445000000004
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 55,UN,NL,-78.07903,42.071712
Unknown,Allegany,Bolivar,31003700000000,Dunn P 133,UM,NL,-78.15809,42.061756
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 102,UN,NL,-78.15151,42.072491
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Go-8,UN,OD,-78.56591999999999,42.01978
Unknown,Allegany,Bolivar,31003700000000,PFG 84,UN,NL,-78.1357,42.071869
Unknown,Allegany,Bolivar,31003700000000,Dunn P 42,UM,NL,-78.15392,42.058044
"Lee Oil Company, Inc.",Steuben,West Union,31101100000000,Coleman 100,UM,OD,-77.68968000000001,42.09055
Unknown,Allegany,Alma,31003700000000,Root F 295,UM,NL,-78.05988,42.064972
Unknown,Cattaraugus,Allegany,31009700000000,KC 903,UN,NL,-78.541,42.010117
Unknown,Allegany,Alma,31003700000000,Root F 232,UM,NL,-78.0632,42.058414
Unknown,Allegany,Alma,31003700000000,Fisher J 32,UN,NL,-78.06141,42.067112
Lyons et al,Steuben,Caton,31101000000000,Monroe 1,UM,DW,-77.05459,42.02785
Unknown,Chautauqua,Pomfret,31013000000000,Giambrune G.,UN,GD,-79.31164,42.407920000000004
Sinclair Refining,Chemung,Elmira,31015000000000,Gregg 3,UM,DH,-76.78028,42.099790000000006
Unknown,Erie,Tonawanda City,31029000000000,7,UM,GD,-78.8709,43.01918
Unknown,Allegany,Alma,31003700000000,Root F 107,UM,NL,-78.05724000000001,42.062778
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 653(G),UL,IW,-78.17832,42.08129
Unknown,Cattaraugus,Allegany,31009700000000,KC 212,UN,NL,-78.50681999999999,42.000755
"Sequerlin, Allin",Chautauqua,Ellery,31013000000000,Segerlin Fee 1,UN,GW,-79.29879,42.22984
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Lewis Rob Dana 0,UL,GD,-76.09609,43.633178
Unknown,Allegany,Wirt,31003700000000,Webb E 2,UM,NL,-78.138,42.097195
"Adams, E.H. et al",Schuyler,Hector,31097000000000,Collins 1,UM,DW,-76.87313,42.520990000000005
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Ho-8,UL,OD,-78.57327,42.01869
Unknown,Cattaraugus,Allegany,31009700000000,KC 566,UN,NL,-78.52571999999999,42.008678
Unknown,Cattaraugus,Allegany,31009700000000,KC 622,UN,NL,-78.52765,42.001971999999995
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 90,UN,NL,-78.15132,42.067378999999995
Unknown,Cattaraugus,Allegany,31009700000000,KC 247,UN,NL,-78.51109,42.014709
Unknown,Allegany,Bolivar,31003700000000,PG 26,UN,NL,-78.07682,42.063385
Belmont Quadrangle Drilling,Schuyler,Catharine,31097000000000,Washburn 1,UL,DW,-76.76772,42.330040000000004
Moose Oil Co.,Allegany,Bolivar,31003600000000,Tullar 026,UL,OD,-78.11155,42.029462
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 36,UN,NL,-78.14931999999999,42.066803
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Ho-27,UL,OD,-78.5732,42.01305
Norman,Oneida,Florence,31065000000000,Old Dillon Well,UL,GW,-75.7493,43.435559999999995
Unknown,Livingston,Ossian,31051000000000,Gruschow 2,UM,DW,-77.72848,42.52028
Unknown,Allegany,Genesee,31003600000000,Wilson 3,UL,IW,-78.24277,42.059022
Unknown,Allegany,Wirt,31003700000000,Reiman L 19,UN,NL,-78.14741,42.097164
Unknown,Cattaraugus,Allegany,31009700000000,KC 17,UM,NL,-78.48346,42.020298
Unknown,Allegany,Wirt,31003700000000,Schamberger J 16,UM,NL,-78.18521,42.089958
"Republic Light, Heat & Power",Chautauqua,Sheridan,31013000000000,Ursitti Lorenze,UN,GD,-79.23026999999999,42.50886
NY Gas & Elec.,Erie,Lancaster,31029000000000,McLeron,UN,GD,-78.6143,42.91453
Valley Drilling Corp. of America,Chautauqua,Busti,31013200000000,D Eckstrom 9,UL,OD,-79.29697,42.0035
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Coleman P-348,UM,NL,-77.69301999999999,42.09066
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Hamilton 21,UL,OD,-77.70082,42.08887
"BDH Oil, Inc.",Cattaraugus,Olean,31009600000000,James Lease 12,UN,OD,-78.45914,42.03051
