ï»¿Terme_de_recherche,Nombre_total_de_recherches,Nombre_total_de_recherches_uniques
"Adler-Olsen, Jussi",112,15
Documentaires,112,3
Penguin Books,112,5
Mur De Berlin,112,3
Musso,112,29
Trump,112,16
Nouvelle-France,111,1
Art,111,8
Aventures Et Passions,111,5
Mary Higgins Clark,111,16
Tintin,111,25
e: Christmas,110,2
Connelly,110,16
"Sujets: ""Disco (Musique)""",110,2
ComptabilitÃ©,109,12
Frankenstein Mary Shelley,109,3
Naruto,109,27
