Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INN AYLESB,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,08.02.2019,16.03.2019,GPC02190000134,65.0
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,07.02.2019,16.03.2019,GPC02190000135,234.75
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.02.2019,16.03.2019,GPC02190000136,133.65
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.02.2019,16.03.2019,GPC02190000137,105.7
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.02.2019,16.03.2019,GPC02190000138,-58.2
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.02.2019,16.03.2019,GPC02190000139,104.2
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44023785,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2019,16.03.2019,GPC02190000140,315.0
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44512655,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,04.02.2019,16.03.2019,GPC02190000141,160.5
Stockport MBC,Services to People,Childrens & Educational Services,WWW.HXPAYMENTS.COM,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2019,16.03.2019,GPC02190000142,49.98
Stockport MBC,Services to People,Childrens & Educational Services,FLYBED1VL D1VL7J,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2019,16.03.2019,GPC02190000143,341.94
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,01.02.2019,16.03.2019,GPC02190000144,92.1
Stockport MBC,Services to People,Adult Social Care,B & Q 1162,Furniture and Equipment,Environmental Services Technical Equipment ,25.02.2019,16.03.2019,GPC02190000145,203.0
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,25.02.2019,16.03.2019,GPC02190000146,75.0
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,19.02.2019,16.03.2019,GPC02190000147,75.0
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,12.02.2019,16.03.2019,GPC02190000148,75.0
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,06.02.2019,16.03.2019,GPC02190000149,75.0
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.02.2019,16.03.2019,GPC02190000150,60.31
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,11.02.2019,16.03.2019,GPC02190000151,47.9
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.02.2019,16.03.2019,GPC02190000152,5.76
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,04.02.2019,16.03.2019,GPC02190000153,60.99
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.02.2019,16.03.2019,GPC02190000154,73.93
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MI58A3IE4,Furniture and Equipment,Environmental Services Technical Equipment ,23.02.2019,16.03.2019,GPC02190000155,22.04
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2019,16.03.2019,GPC02190000156,51.3
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Furniture and Equipment,Environmental Services Technical Equipment ,15.02.2019,16.03.2019,GPC02190000157,49.98
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MI0OO6544,Library Equipment,Education Library Books ,13.02.2019,16.03.2019,GPC02190000158,226.6
Stockport MBC,Services to People,Childrens & Educational Services,OPODO,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2019,16.03.2019,GPC02190000159,393.02
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MI1GK4NH4,Library Equipment,Education Library Books ,03.02.2019,16.03.2019,GPC02190000160,108.13
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MW4VF2F24,Furniture and Equipment,Furniture & Soft Furnishings  ,28.02.2019,16.03.2019,GPC02190000161,10.98
Stockport MBC,Services to People,Childrens & Educational Services,WWW.NASEN.ORG.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,27.02.2019,16.03.2019,GPC02190000162,299.0
Stockport MBC,Services to People,Childrens & Educational Services,FOCUS EDUCATION UK LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,12.02.2019,16.03.2019,GPC02190000163,100.0
Stockport MBC,Services to People,Childrens & Educational Services,CARTRIDGEPEOPLE.COM,Furniture and Equipment,Furniture & Soft Furnishings  ,01.02.2019,16.03.2019,GPC02190000164,69.9
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,27.02.2019,16.03.2019,GPC02190000165,17.17
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,25.02.2019,16.03.2019,GPC02190000166,20.2
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,11.02.2019,16.03.2019,GPC02190000167,21.56
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,04.02.2019,16.03.2019,GPC02190000168,32.4
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MW6O264G4,Publicity and Promotion,Arts & Leisure Services  ,28.02.2019,16.03.2019,GPC02190000169,6.99
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MW9ZI64R4,Publicity and Promotion,Arts & Leisure Services  ,28.02.2019,16.03.2019,GPC02190000170,28.97
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON MUSIC MW2SA94K4,Information and Communications Technology,Information Communication Technology  ,28.02.2019,16.03.2019,GPC02190000171,3.99
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MW9YE2LX4,Care Payments,Social Community Care Supplies & Services  ,28.02.2019,16.03.2019,GPC02190000172,11.95
Stockport MBC,Services to People,Childrens & Educational Services,WWW.BEDS.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,28.02.2019,16.03.2019,GPC02190000173,276.0
Stockport MBC,Services to People,Childrens & Educational Services,CINEWORLD,Publicity and Promotion,Arts & Leisure Services  ,27.02.2019,16.03.2019,GPC02190000174,21.7
Stockport MBC,Services to People,Childrens & Educational Services,WOWCHER,Furniture and Equipment,Furniture & Soft Furnishings  ,26.02.2019,16.03.2019,GPC02190000175,41.99
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MW5VF9C84,Publicity and Promotion,Arts & Leisure Services  ,26.02.2019,16.03.2019,GPC02190000176,22.48
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,22.02.2019,16.03.2019,GPC02190000177,275.44
Stockport MBC,Services to People,Childrens & Educational Services,TICKETMASTER UK,Publicity and Promotion,Arts & Leisure Services  ,23.02.2019,16.03.2019,GPC02190000178,59.5
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,22.02.2019,16.03.2019,GPC02190000179,32.0
Stockport MBC,Services to People,Childrens & Educational Services,WATERWORLD 2000 LIMITE,Publicity and Promotion,Arts & Leisure Services  ,24.02.2019,16.03.2019,GPC02190000180,-59.8
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,23.02.2019,16.03.2019,GPC02190000181,237.12
Stockport MBC,Services to People,Childrens & Educational Services,PARADISE ISLAND ADVENT,Publicity and Promotion,Arts & Leisure Services  ,21.02.2019,16.03.2019,GPC02190000182,32.25
Stockport MBC,Services to People,Childrens & Educational Services,PEACHY KEENS,Publicity and Promotion,Arts & Leisure Services  ,21.02.2019,16.03.2019,GPC02190000183,117.68
Stockport MBC,Services to People,Childrens & Educational Services,SPUDULIKE-TRAFFORD,Publicity and Promotion,Arts & Leisure Services  ,21.02.2019,16.03.2019,GPC02190000184,9.49
Stockport MBC,Services to People,Childrens & Educational Services,TERESINA LTD,Publicity and Promotion,Arts & Leisure Services  ,21.02.2019,16.03.2019,GPC02190000185,7.12
Stockport MBC,Services to People,Childrens & Educational Services,SUBWAY,Publicity and Promotion,Arts & Leisure Services  ,21.02.2019,16.03.2019,GPC02190000186,6.19
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Publicity and Promotion,Arts & Leisure Services  ,20.02.2019,16.03.2019,GPC02190000187,15.36
Stockport MBC,Services to People,Childrens & Educational Services,TESCO PFS 4032,Publicity and Promotion,Arts & Leisure Services  ,20.02.2019,16.03.2019,GPC02190000188,47.85
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TENPIN.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,19.02.2019,16.03.2019,GPC02190000189,28.6
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Furniture and Equipment,Environmental Services Technical Equipment ,18.02.2019,16.03.2019,GPC02190000190,129.94
Stockport MBC,Services to People,Childrens & Educational Services,WATERWORLD 2000 LIMITE,Publicity and Promotion,Arts & Leisure Services  ,19.02.2019,16.03.2019,GPC02190000191,105.19
Stockport MBC,Services to People,Childrens & Educational Services,ARDENS,Publicity and Promotion,Arts & Leisure Services  ,19.02.2019,16.03.2019,GPC02190000192,150.0
Stockport MBC,Services to People,Childrens & Educational Services,TACO BELL - MANCHESTER,Publicity and Promotion,Arts & Leisure Services  ,19.02.2019,16.03.2019,GPC02190000193,17.57
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Publicity and Promotion,Arts & Leisure Services  ,18.02.2019,16.03.2019,GPC02190000194,16.27
Stockport MBC,Services to People,Childrens & Educational Services,DOG & PARTRIDGE,Publicity and Promotion,Arts & Leisure Services  ,18.02.2019,16.03.2019,GPC02190000195,11.46
Stockport MBC,Services to People,Childrens & Educational Services,DOG & PARTRIDGE,Publicity and Promotion,Arts & Leisure Services  ,18.02.2019,16.03.2019,GPC02190000196,28.86
Stockport MBC,Services to People,Childrens & Educational Services,ROCKBAY SERVICE ST,Fuel,Vehicle Management Fuel ,18.02.2019,16.03.2019,GPC02190000197,20.0
Stockport MBC,Services to People,Childrens & Educational Services,CO-OP GROUP 108400,Publicity and Promotion,Arts & Leisure Services  ,18.02.2019,16.03.2019,GPC02190000198,9.55
Stockport MBC,Services to People,Childrens & Educational Services,GBP JUMP NATION LTD,Care Payments,Social Community Care Supplies & Services  ,18.02.2019,16.03.2019,GPC02190000199,49.75
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Care Payments,Social Community Care Supplies & Services  ,18.02.2019,16.03.2019,GPC02190000200,45.0
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,18.02.2019,16.03.2019,GPC02190000201,30.0
Stockport MBC,Services to People,Childrens & Educational Services,BUXTON KARTING,Publicity and Promotion,Arts & Leisure Services  ,18.02.2019,16.03.2019,GPC02190000202,45.0
Stockport MBC,Services to People,Childrens & Educational Services,TICKETMASTER UK,Publicity and Promotion,Arts & Leisure Services  ,17.02.2019,16.03.2019,GPC02190000203,57.5
Stockport MBC,Services to People,Childrens & Educational Services,BLACKPOOL PLEASURE,Publicity and Promotion,Arts & Leisure Services  ,18.02.2019,16.03.2019,GPC02190000204,58.5
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,15.02.2019,16.03.2019,GPC02190000205,267.78
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Publicity and Promotion,Arts & Leisure Services  ,15.02.2019,16.03.2019,GPC02190000206,18.72
Stockport MBC,Services to People,Childrens & Educational Services,TEAMKARTING,Publicity and Promotion,Arts & Leisure Services  ,16.02.2019,16.03.2019,GPC02190000207,60.0
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,17.02.2019,16.03.2019,GPC02190000208,205.07
Stockport MBC,Services to People,Childrens & Educational Services,LIGHT CINEMAS LTD,Publicity and Promotion,Arts & Leisure Services  ,17.02.2019,16.03.2019,GPC02190000209,19.9
Stockport MBC,Services to People,Childrens & Educational Services,LIGHT CINEMAS LTD,Publicity and Promotion,Arts & Leisure Services  ,17.02.2019,16.03.2019,GPC02190000210,28.85
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,16.02.2019,16.03.2019,GPC02190000211,-1.1
Stockport MBC,Services to People,Childrens & Educational Services,JUST EAT,Publicity and Promotion,Arts & Leisure Services  ,15.02.2019,16.03.2019,GPC02190000212,50.3
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Furniture and Equipment,Environmental Services Technical Equipment ,12.02.2019,16.03.2019,GPC02190000213,189.94
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TENPIN.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,12.02.2019,16.03.2019,GPC02190000214,37.9
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,08.02.2019,16.03.2019,GPC02190000215,208.29
Stockport MBC,Services to People,Childrens & Educational Services,NETFLIX.COM,Information and Communications Technology,Information Communication Technology  ,10.02.2019,16.03.2019,GPC02190000216,9.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MI8515GM4,Furniture and Equipment,Environmental Services Technical Equipment ,09.02.2019,16.03.2019,GPC02190000217,16.48
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,09.02.2019,16.03.2019,GPC02190000218,208.27
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ICELAND.CO.UK,Catering Supplies,Catering Food & Beverages ,06.02.2019,16.03.2019,GPC02190000219,97.42
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TENPIN.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,05.02.2019,16.03.2019,GPC02190000220,13.05
Stockport MBC,Services to People,Childrens & Educational Services,WWW.DOMINOS.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,01.02.2019,16.03.2019,GPC02190000221,50.59
Stockport MBC,Corporate and Support Services,Cultural & Related Services,CITY LOCK&SAFE LTD,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",25.02.2019,16.03.2019,GPC02190000222,39.6
Stockport MBC,Corporate and Support Services,Cultural & Related Services,SAINSBURYS SUPERMARKET,Catering Supplies,Catering Food & Beverages ,24.02.2019,16.03.2019,GPC02190000223,19.95
Stockport MBC,Corporate and Support Services,Cultural & Related Services,CO-OP GROUP 108689,Catering Supplies,Catering Food & Beverages ,12.02.2019,16.03.2019,GPC02190000224,17.5
Stockport MBC,Corporate and Support Services,Cultural & Related Services,INNTEL LTD,Fees and Charges,"Works - Construction, Repair & Maintenance  ",11.02.2019,16.03.2019,GPC02190000225,14.4
Stockport MBC,Corporate and Support Services,Cultural & Related Services,STOCKPORT M B C,Fees and Charges,"Works - Construction, Repair & Maintenance  ",08.02.2019,16.03.2019,GPC02190000226,37.0
Stockport MBC,Corporate and Support Services,Cultural & Related Services,PAYPAL  ISHAANACLAS,Furniture and Equipment,Environmental Services Technical Equipment ,05.02.2019,16.03.2019,GPC02190000227,78.99
Stockport MBC,Corporate and Support Services,Cultural & Related Services,SAINSBURYS SUPERMARKET,Expenses and Allowances,Catering  ,28.02.2019,16.03.2019,GPC02190000228,8.2
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMZN MKTP UK MI3KR72N4,Office Expenses,Stationery    ,19.02.2019,16.03.2019,GPC02190000229,13.48
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMZN MKTP UK MI3PM8214,Office Expenses,Stationery    ,19.02.2019,16.03.2019,GPC02190000230,3.89
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2019,16.03.2019,GPC02190000231,7.0
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,25.02.2019,16.03.2019,GPC02190000232,9.0
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,13.02.2019,16.03.2019,GPC02190000233,9.0
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,07.02.2019,16.03.2019,GPC02190000234,3.5
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,19.02.2019,16.03.2019,GPC02190000235,47.91
