Greener Homes Program - Eligible Ground Source Heat Pumps,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Note- Direct Expansion systems are not eligible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CL- Closed loop,,,,,,,,,,,,,,,,
OL - Open loop,,,,,,,,,,,,,,,,
COP - Coefficient of performance,,,,,,,,,,,,,,,,
,,,CLOSED LOOP (CL),,,,,,OPEN LOOP (OL),,,,,,,
AHRI Certified Reference No.,Brand name,Model number,"CL Cooling capacity
kW", CL Cooling capacity Btu/hour,"CL Heating capacity
kW","CL Heating capacity
Btu/hour",CL COP cooling ,CL COP heating,"OL Cooling capacity
kW","OL Cooling capacity
Btu/hour","OL Heating capacity 
kW","OL Heating capacity
Btu/hour",OL COP cooling,OL COP heating,,
10096619,Tetco,TBT072*2,20.49,69900,15.24,52000,4.81,3.4,21.66,73900,18.99,64800,6.1,4,,
10096777,Tetco,TBT072*2,19.87,67800,14.74,50300,4.95,3.4,21.19,72300,18.4,62800,6.36,3.9,,
5646383,Tetco,TCT036D,11.31,38600,8.38,28600,5.36,4.1,12.22,41700,10.76,36700,6.89,5,,
5646386,Tetco,TCT036D2,11.31,38600,8.38,28600,5.36,4.1,12.22,41700,10.76,36700,6.89,5,,
5646389,Tetco,TCT036D3,11.31,38600,8.38,28600,5.36,4.1,12.22,41700,10.76,36700,6.89,5,,
5646767,Tetco,TCT048D,14.36,49000,11.14,38000,5.01,3.9,15.56,53100,13.69,46700,6.39,4.6,,
5646770,Tetco,TCT048D2,14.36,49000,11.14,38000,5.01,3.9,15.56,53100,13.69,46700,6.39,4.6,,
5646773,Tetco,TCT048D3,14.36,49000,11.14,38000,5.01,3.9,15.56,53100,13.69,46700,6.39,4.6,,
5440546,Tetco,TCT060D,17.88,61000,14.04,47900,4.87,3.7,19.23,65600,17.58,60000,6.1,4.3,,
5440567,Tetco,TCT060D2,17.88,61000,14.04,47900,4.87,3.7,19.23,65600,17.58,60000,6.1,4.3,,
5440581,Tetco,TCT060D3,17.88,61000,14.04,47900,4.87,3.7,19.23,65600,17.58,60000,6.1,4.3,,
5440560,Tetco,TCT072D,20.16,68800,16.41,56000,4.57,3.5,21.51,73400,20.34,69400,5.66,4.1,,
5440572,Tetco,TCT072D2,20.16,68800,16.41,56000,4.57,3.5,21.51,73400,20.34,69400,5.66,4.1,,
5440584,Tetco,TCT072D3,20.16,68800,16.41,56000,4.57,3.5,21.51,73400,20.34,69400,5.66,4.1,,
5317916,Tetco,TRT024A,7.21,24600,5.28,18000,4.63,3.3,,,,,,,,
5932330,Tetco,TRT024A,7.24,24700,5.16,17600,4.81,3.5,,,,,,,,
5317920,Tetco,TRT024A,7.24,24700,5.16,17600,4.81,3.5,,,,,,,,
5932334,Tetco,TRT036A,10.43,35600,8.06,27500,4.87,3.8,,,,,,,,
5317923,Tetco,TRT036A,10.4,35500,8.03,27400,4.69,3.7,,,,,,,,
5317926,Tetco,TRT036A,10.43,35600,8.06,27500,4.87,3.8,,,,,,,,
5317929,Tetco,TRT048A,14.86,50700,10.02,34200,5.28,3.7,,,,,,,,
5932338,Tetco,TRT048A,14.8,50500,10.73,36600,5.07,3.8,,,,,,,,
5317932,Tetco,TRT048A,14.8,50500,10.73,36600,5.07,3.8,,,,,,,,
5317935,Tetco,TRT060A,18.02,61500,13.36,45600,5.04,3.5,,,,,,,,
5932381,Tetco,TRT060A,17.97,61300,13.36,45600,5.01,3.6,,,,,,,,
5317938,Tetco,TRT060A,17.97,61300,13.36,45600,5.01,3.6,,,,,,,,
9105367,Tetco,TVS006,2.11,7200,1.64,5600,5.45,3.7,2.29,7800,2.05,7000,7.56,4.6,,
9105373,Tetco,TVS006*9,2.11,7200,1.61,5500,5.19,3.5,2.32,7900,2.08,7100,7.03,4.5,,
9105370,Tetco,TVS006*A,2.11,7200,1.61,5500,5.19,3.5,2.32,7900,2.08,7100,7.03,4.5,,
8560915,Tetco,TVS009,3.19,10900,2.49,8500,5.1,3.6,3.49,11900,3.11,10600,6.48,4.4,,
8560921,Tetco,TVS009*9,3.19,10900,2.49,8500,5.1,3.6,3.49,11900,3.11,10600,6.48,4.4,,
8560918,Tetco,TVS009*A,3.19,10900,2.49,8500,5.1,3.6,3.49,11900,3.11,10600,6.48,4.4,,
