"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Colin Stewart,2019-02-21,1,Stockport,Senior Leaders Meeting,Milleage,Standard,£3.15,£9.90,£13.05,Nil return
Colin Stewart,2019-02-27,1,Manchester & Liverpool,Site visit,Rail/Metro,Standard,£5.00,£2.30,£13.70,Nil return
Colin Stewart,2019-02-28,1,London ,Training,Rail/Taxi,Standard,£20.00,£373.80,£393.80,Nil return
Colin Stewart,2019-03-05,1,London ,ET meeting,Rail/Taxi,Standard,£5.00,£320.00,£325.00,Nil return
Colin Stewart,2019-03-12,1,Leyland,Office site visit,Milleage,Standard,£5.00,£29.25,£34.25,Nil return
Colin Stewart,2019-03-13,1,London Euston,SCS Together event,Rail/Taxi,Standard,Nil return,£340.00,£340.00,Nil return
Colin Stewart,2019-03-14,1,Leeds,Senior Leaders Meeting,Rail/Taxi,Standard,£5.00,£50.20,£55.20,Nil return
Colin Stewart,2019-03-21,1,Leeds,Senior Leaders Meeting,Rail/Taxi,Standard,£5.00,£49.20,£54.20,Nil return
Colin Stewart,2019-03-26,1,Leeds,Work & Health North Conference ,Rail/Taxi,Standard,Nil return,£50.50,£50.50,Nil return
Colin Stewart,2019-03-28,1,Stockton,Office site visit,Rail/Taxi,Standard,Nil return,£102.10,£102.10,Nil return
Nic Harrison,2019-01-08,2,Peel Park,Internal Meeting - Digital Services Deep Dive,Train and Taxi,Standard,£65.00,10.00,£170.80,Nil return
Nic Harrison,2019-01-14,2,Peel Park,Internal Meeting - Annual Showcase,Train and Taxi,Standard,£76.95,30.00,£247.85,Nil return
Nic Harrison,2019-01-23,2,Manchester,Internal meetings - 121's ,Rail ,Standard,£100.80,Nil return,£314.40,Nil return
Nic Harrison,2019-02-18,1,Manchester,Digital Forum,Rail ,Standard,Nil return,Nil return,£136,Nil return
Nic Harrison,2019-02-21,1,Leeds,Internal meetings - 121's,Rail ,Standard,Nil return,Nil return,£140.75,Nil return
Nic Harrison,2019-02-27,2,Leeds; Manchester,Digital Senior Leaders Event; Internal meeting,Rail ,Standard,£98.00,Nil return,£293.60,Nil return
Nic Harrison,2019-03-06,1,"Peel Park, Blackpool",Training,Rail and Taxi,Standard,£80.05,£50.00,£339.95,Nil return
Nic Harrison,2019-03-11,1,Leeds,Internal meetings - Conference planning,Rail ,Standard,Nil return,Nil return,£125.75,Nil return
Nic Harrison,2019-03-20,1,Leeds,Conference,Rail ,Standard,£97.00,Nil return,£97,Nil return
Tamara Bruck,2019-01-18,1,Borehamwood/Watford JCP,visit with the Perm Sec,Car ,Nil return,Nil return,Nil return,£4.05,Nil return
Tamara Bruck,2019-01-23,2,Manchester Hub,Digital Executive team meeting,"Rail, Taxi",Economy,£34.00,Nil return,£276.60,Nil return
Tamara Bruck,2019-02-27,1,Leeds,Conference with Digital Senior Leaders,Rail ,Economy,Nil return,Nil return,£140.75,Nil return
Juan Villamil ,2019-01-07,1,Manchester ,TS Director Staff Visit ,Rail,Standard,Nil return,Nil return,£198.80,Nil return
Juan Villamil ,2019-01-22,3,Manchester ,"Digital Planning Forum, TS SLT, HCS Showcase, Digital ET ",Rail,Standard,£156.00,Nil return,£354.80,Nil return
Juan Villamil ,2019-02-06,2,Blackpool ,"TS SLT People Sessions, TAM Org. Mtg., TS cascade, WCS Deep Dive ",Rail,Standard,£65.00,Nil return,£263.90,Nil return
Juan Villamil ,2019-02-18,1,Newcastle ,TS Director Staff Visit ,Rail,Standard,Nil return,Nil return,£181.35,Nil return
Juan Villamil ,2019-02-20,1,Manchester ,"TS SLT Business Sessions, TS TCAB Review",Rail,Standard,£107.00,Nil return,£506.50,Nil return
Juan Villamil ,2019-02-21,1,"Salzburg, Austria",GUEST SPEAKER at McKinsey & Company's 15th CIO IT Architecture Conference,Air,Economy ,Nil return,Nil return,£496.46,Nil return
Juan Villamil ,2019-02-27,1,Leeds,Digital Senior Leaders Event ,Rail,Standard,Nil return,Nil return,£293.50,Nil return
Juan Villamil ,2019-03-04,1,Manchester ,TS SLT People Sessions,Rail,Standard,Nil return,Nil return,£151.00,Nil return
Juan Villamil ,2019-03-04,2,Edinburgh ,Guest SPEAKER at Pega Customer Engagement Summit,Rail,Standard,£83.00,Nil return,£113.00,Nil return
Juan Villamil ,2019-03-05,2,Blackpool ,TS Director Staff Visit ,Rail,Standard,£65.00,Nil return,£134.00,Nil return
Juan Villamil ,2019-03-13,1,Manchester ,TS Extended Leadership Event ,Rail,Standard,Nil return,Nil return,£225.80,Nil return
Juan Villamil ,2019-03-20,2,Leeds,TS Org Structure 2019/20 and beyond ,Rail,Standard,£80.00,Nil return,£225.75,Nil return
Aaron Jaffery,2019-01-09,2,London,Staff meetings,Rail,Standard,£124.80,Nil return,£485.80,Nil return
Aaron Jaffery,2019-01-15,1,Blackpool,Team meetings,Hire car,Standard,Nil return,Nil return,£53.46,Nil return
Aaron Jaffery,2019-01-23,2,Manchester,Staff meeting,Rail,Standard,£101.98,Nil return,£182.58,Nil return
Aaron Jaffery,2019-01-28,1,Newcastle,Meeting,Car ,,Nil return,Nil return,£13.00,Nil return
Aaron Jaffery,2019-01-31,1,London,Civil Service Event,Rail,Standard,£2.00,Nil return,£346.00,Nil return
Aaron Jaffery,2019-02-04,1,London,Board Meeting,Rail,Standard,£8.99,Nil return,£335.99,Nil return
Aaron Jaffery,2019-02-05,1,Blackpool,Team meetings,Hire car,Standard,£5.10,Nil return,£89.88,Nil return
Aaron Jaffery,2019-02-07,1,London,Internal meetings,Rail,Standard,Nil return,Nil return,£327.00,Nil return
Aaron Jaffery,2019-02-12,1,Leeds,Staff meetings,Rail,Standard,£5.00,Nil return,£108.00,Nil return
Aaron Jaffery,2019-02-14,1,Birmingham,Site visit,Rail,Standard,£9.19,Nil return,£243.88,Nil return
Aaron Jaffery,2019-02-20,2,Edinburgh,Senior Leaders meetings,Rail,Standard,£71.59,Nil return,£140.83,Nil return
Aaron Jaffery,2019-02-25,1,Blackpool,Team meetings,Hire car,Standard,£10.00,Nil return,£110.65,Nil return
Aaron Jaffery,2019-02-26,2,Leeds,Senior Leaders Event plus meetings,Rail,Standard,£105.00,Nil return,£221.00,Nil return
Aaron Jaffery,2019-02-28,1,Blackpool,Team meetings,Hire car,Standard,£10.00,Nil return,£109.96,Nil return
Aaron Jaffery,2019-03-04,1,Blackpool,Team meetings,Hire car,Standard,£5.00,Nil return,£94.90,Nil return
Aaron Jaffery,2019-03-05,2,Leeds,Conference,Rail,Standard,£102.00,Nil return,£177.54,Nil return
Aaron Jaffery,2019-03-13,1,Blackpool,Team meetings,Hire car,Standard,£5.00,Nil return,£103.44,Nil return
Aaron Jaffery,2019-03-14,1,London,DWP Meeting,Rail,Standard,£10.00,Nil return,£362.10,Nil return
Aaron Jaffery,2019-03-18,4,Swindon and London,Site visit & DWP meetings,Rail,Standard,£270.35,Nil return,£736.24,Nil return
Aaron Jaffery,2019-03-26,1,Leeds,Workshop,Rail,Standard,£5.00,Nil return,£95.00,Nil return
Aaron Jaffery,2019-03-27,1,London,DWP Meeting,Rail,Standard,£5.00,Nil return,£346.24,Nil return
Aaron Jaffery,2019-03-28,1,Blackpool,Team meetings,Hire car,Standard,£10.00,Nil return,£108.75,Nil return
Helen Roberts,2019-01-23,2,London to Manchester (Return),Face to Face meetings with Digital / FED colleagues (23/1 and DET on 24/1),Rail,Standard,£87.00,Nil return,£256.80,Nil return
Helen Roberts,2019-02-06,2,London to Newcastle (return),SLT F2F meetig ,Rail,Standard,£87.50,Nil return,£248.55,Nil return
Helen Roberts ,2019-02-07,1,Office to Newcastle Central Station,return to London,Rail,Standard,,Nil return,£4.20,Nil return
Helen Roberts ,2019-02-20,1,London to Edinburgh,Attending a Senior Technology discussion,Rail,Standard,£83.00,Nil return,£417,Nil return
Helen Roberts ,2019-02-26,1,London to Leeds,Digital Senior Leaders Event on 27/2,Rail,Standard,£90.95,Nil return,£355.95,Nil return
Helen Roberts ,2019-03-05,1,London to Leeds ,WA & CHAPS Conference,Rail,Standard,£85.00,Nil return,£132.50,Nil return
Helen Roberts ,2019-03-06,1,Leeds to Newcastle,Meetings with Teams in Newcastle,Rail,Standard,£69.00,Nil return,£93.70,Nil return
Helen Roberts ,2019-03-07,1,Newcastle to London,return to London,Rail,Standard,Nil return,Nil return,£86,Nil return
Helen Roberts ,2019-03-12,1,Newcastle to Sheffield,Meeting Digital staff in Sheffield,Rail,Standard,Nil return,Nil return,£51.50,Nil return
Helen Roberts ,2019-03-12,1,Sheffield to Manchester,FED Conference on 13/3,Rail,Standard,Nil return,Nil return,£6.20,Nil return
Helen Roberts ,2019-03-12,1,"Ibis Manchester Centre 96 Portland Street, M1 4GX",FED Conference on 13/3,Rail,Standard,£67.00,Nil return,£150,Nil return
Helen Roberts ,2019-03-18,1,London to Blackpool North (Return),Meetings in PP with Digital Teams,Rail,Standard,Nil return,Nil return,£192,Nil return
Helen Roberts ,2019-03-18,1,Taxi to Hotel,Traveling with colleague,Taxi,,,Nil return,£8,Nil return
Helen Roberts ,2019-03-19,,Newcastle,Visit to Newcastle,Rail,,£4.65,Nil return,£195.05,Nil return
Paul Lodge,2019-01-09,1,Newcastle to Leeds,Senior Leadership team event,Rail,Standard,Nil return,Nil return,£56.40,Nil return
Paul Lodge,2019-01-09,1,Leeds to Oxford,ahead of MPLA training course,Rail,Standard,,Nil return,£152.00,Nil return
Paul Lodge,2019-01-09,1,Oxford accommodation - Egrove Park,MPLA training,Nil return,Nil return,£79.00,Nil return,£79.00,Nil return
Paul Lodge,2019-01-10,1,Oxford to Newcastle,return from MPLA,Rail,Standard,Nil return,Nil return,£170.50,Nil return
Paul Lodge,2019-01-14,1,Newcastle to London,MPLA Assurance Reviewer Training ,Rail,Standard,Nil return,Nil return,£321.00,Nil return
Paul Lodge,2019-01-16,1,Newcastle to London,Data & Analytics Showcase,Rail,Standard,Nil return,Nil return,£321.00,Nil return
Paul Lodge,2019-01-23,2,Newcastle to Manchester,Extended Digital Executive Team event,Rail,Standard,£79.00,Nil return,£74.00,Nil return
Paul Lodge,2019-01-31,1,Newcastle to London,Digital F&E  enabling the FED Strategy,Rail,Standard,Nil return,Nil return,£321.00,Nil return
Paul Lodge,2019-02-04,2,Newcastle to Leeds,Data & Analytics all staff conference,Rail,Standard,£123.00,Nil return,£212.00,Nil return
Paul Lodge,2019-02-11,2,Newcastle to Sheffield,Senior Leadership team event,Rail,Standard,£97.00,Nil return,£204.90,Nil return
Paul Lodge,2019-02-27,1,Newcastle to Leeds,DWP Digital Leaders' Event,Rail,Standard,Nil return,Nil return,£90.00,Nil return
Paul Lodge,2019-03-04,3,Newcastle to London,Gartner Data & Analytics Summit,Rail,Standard,£224.00,Nil return,£545.00,Nil return
Paul Lodge,2019-03-11,5,Newcastle to Oxford - Egrove Park,MPLA residential,Hire Car,Standard,£395.00,Nil return,£537.00,Nil return
Paul Lodge,2019-03-26,2,Newcastle to London,Digital Executive team ,Rail,Standard,£146.00,Nil return,£467.00,Nil return
Nick Joicey,2019-01-21,2,Liverpool,Government Finance Function Event,Rail,Standard,£80.10,Nil return,£288.00,Nil return
Nick Joicey,2019-02-02,2,Manchester,Finance Executive Team meeting / Openshaw JCP visit,Rail,Standard,£78.60,Nil return,£168.20,Nil return
Nick Joicey,2019-03-20,1,Birmingham,Team meeting / Ravenhurst UC Centre visit  / Summer School mid-year event,Rail,Standard,Nil return,Nil return,£178.00,Nil return
Nick Joicey,2019-03-27,2,Sheffield,Finance Executive Team meeting / Cavendish Court JCP visit,Rail,Standard,£85.60,Nil return,£241.15,Nil return
Alexksei  Doroshko ,2019-01-21,1,Sheffield,Meetings with colleagues and team,"Rail,  Taxi",Standard,Nil return,Nil return,£111.00,Nil return
Alexksei  Doroshko ,2019-01-23,2,Manchester,Digital Executive Team Meeting,,Standard,£79.60,Nil return,£203.40,Nil return
Alexksei  Doroshko ,2019-01-23,1,Manchester Piccadilly,Digital Executive Team Meeting,"Rail, Taxi",Standard,Nil return,Nil return,£30.20,Nil return
Alexksei  Doroshko ,2019-01-24,1,London Euston,Meetings with colleagues and team,Rail,Standard,£5.00,Nil return,£93.60,Nil return
Alexksei  Doroshko ,2019-01-28,3,Sheffield,Meetings with colleagues and team,Rail,Standard,Nil return,Nil return,£137.90,Nil return
Alexksei  Doroshko ,2019-01-28,1,Sheffield Railway Station to overnight stay place,Sheffield,Taxi,Standard,Nil return,Nil return,£10.50,Nil return
Alexksei  Doroshko ,2019-01-29,1,Sheffield office,Engineering Senior Leadership Team Meeting,Bus,Standard,Nil return,Nil return,£4.70,Nil return
Alexksei  Doroshko ,2019-01-29,1,,Engineering Senior Leadership Team Meeting,,Standard,£5.00,Nil return,£5.00,Nil return
Alexksei  Doroshko ,2019-01-30,1,Hartshead square office in Sheffield,Engineering Senior Leadership Team Meeting,Bus,Standard,Nil return,Nil return,£2.50,Nil return
Alexksei  Doroshko ,2019-01-30,1,Sheffield office,Engineering Senior Leadership Team Meeting,Bus,Standard,Nil return,Nil return,£4.70,Nil return
