Key-Clé,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnéeFinancière
325018,"Stewart, Sherry H",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CHAA,Dalhousie University (Nova Scotia),Nova Scotia,Nouvelle-Écosse,Canada,Canada,200708
383778,"Cohen, Joanna E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,UUAA,"Johns Hopkins University (Baltimore, Maryland)",Maryland,Maryland,United States,États-Unis,200708
549112,"Friedenreich, Christine M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200708
301809,"Reading, Jeffrey L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CACA,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Colombie-Britannique,Canada,Canada,200708
153512,"Finegood, Diane T",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CACA,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Colombie-Britannique,Canada,Canada,200708
873554,"Singh, Bhagirath",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200708
254533,"McInnes, Roderick R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAF,CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General/CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Hôpital juif,Québec,Québec,Canada,Canada,200708
695199,"Martin-Matthews, Anne E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
927400,"Kramer, Michael S",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
681869,"Frank, John W",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,EIAA,University of Edinburgh (UK),Unknown/Inconnu,Unknown/Inconnu,United Kingdom,Royaume-Uni,200708
124472,"Branton, Philip E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
146884,"Stewart, Miriam J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
193172,"Quirion, Rémi",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas,Québec,Québec,Canada,Canada,200708
259916,"Meighen, Edward A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
458608,"Liu, Peter P",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200708
193728,"Ho, Anthony K",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
196798,"Fine, Alan",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CHAA,Dalhousie University (Nova Scotia),Nova Scotia,Nouvelle-Écosse,Canada,Canada,200708
198956,"Adamec, Robert E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CJAA,Memorial University of Newfoundland,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Canada,Canada,200708
446192,"Steinbrecher, Urs P",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
446192,"McManus, Bruce M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
446192,"Yang, Decheng",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
766286,"Andrews, David W",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAF,"Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Ontario,Canada,Canada,200708
765792,"Brubaker, Patricia L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200708
412446,"Cohen, Eric A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200708
938421,"Collins, Richard A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200708
474355,"Cook, Deborah J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200708
556611,"Downey, Gregory P",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,UFAB,National Jewish Hospital (University of Colorado),Colorado,Colorado,United States,États-Unis,200708
137081,"Fenster, Aaron",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200708
684087,"Halloran, Philip F",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
437155,"Han, Victor Khin M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200708
704846,"Hancock, Robert Ernest W",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
307834,"Hayden, Michael R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
19343,"Hegele, Robert A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CPCV,"Robarts Research Institute - U.W.O. (London, Ont.)",Ontario,Ontario,Canada,Canada,200708
267861,"Henkelman, R. Mark",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200708
482787,"Jenkins, David J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200708
954983,"Jhamandas, Jack H",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
814249,"Jolicoeur, Paul",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCN,Institut de recherches cliniques de Montréal,Québec,Québec,Canada,Canada,200708
365639,"Kay, Lewis E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200708
626963,"Kelton, John G",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200708
93609,"Knoppers, Bartha M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
415733,"Mak, Tak W",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,ADHD,University Health Network (Toronto),Ontario,Ontario,Canada,Canada,200708
680236,"Molday, Robert S",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
131745,"Munoz, Douglas P",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200708
536430,"Norman, Geoffrey R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200708
772721,"Overall, Christopher M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
702330,"Plummer, Francis A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,HCGC,Health Canada (Ottawa)/Santé Canada (Ottawa),Ontario,Ontario,Canada,Canada,200708
390665,"Post, Martin",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200708
426817,"Rachubinski, Richard A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
636509,"Robinson, Brian H",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200708
649163,"Roos, Noralou P",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
69943,"Rosenbaum, Peter L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200708
924985,"Rossignol, Serge",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200708
807507,"Rudnicki, Michael A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,ADYP,Ottawa Hospital Research Institute/Institut de recherche de l'Hôpital d'Ottawa,Ontario,Ontario,Canada,Canada,200708
895578,"Schrader, John W",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
968781,"Sessle, Barry J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200708
344555,"Sherman, Philip M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200708
702244,"Siemiatycki, Jack",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200708
139632,"Stanley, Elise F",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,ADHD,University Health Network (Toronto),Ontario,Ontario,Canada,Canada,200708
141102,"Stoessl, A. Jonathan",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
764616,"Sykes, Brian D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
252176,"Tremblay, Richard E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200708
137160,"Tyers, Michael D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200708
289264,"Wright, Gerard D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200708
561124,"Barer, Morris L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
287600,"Branton, Philip E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
216346,"Frank, John W",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,EIAA,University of Edinburgh (UK),Unknown/Inconnu,Unknown/Inconnu,United Kingdom,Royaume-Uni,200708
738536,"Quirion, Rémi",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas,Québec,Québec,Canada,Canada,200708
496744,"Frank, Cyril B",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200708
364684,"Simard, Jacques R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFBA,Université Laval,Québec,Québec,Canada,Canada,200708
669599,"Tremblay, Michel J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFBA,Université Laval,Québec,Québec,Canada,Canada,200708
797248,"Kubes, Paul",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200708
929258,"Walsh, Michael P",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200708
696309,"Woods, Donald E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200708
357245,"Stewart, Miriam J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
938424,"Descarries, Laurent",SUP1,Primary Supervisor,Directeur principal,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200708
938424,"Savard, Pierre",SUP,Supervisor,Directeur de recherche,ABPQ,Polytechnique Montréal,Québec,Québec,Canada,Canada,200708
938424,"Finke, Stefan",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200708
288954,"Singh, Bhagirath",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200708
576487,"Bennett, Gary J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
54856,"Mogil, Jeffrey S",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
416843,"Doolittle, W. F",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CHAA,Dalhousie University (Nova Scotia),Nova Scotia,Nouvelle-Écosse,Canada,Canada,200708
876674,"Weitz, Jeffrey I",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200708
755529,"James, Michael N",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
894798,"Babiuk, Lorne A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
320973,"Delbaere, Louis T",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200708
803742,"Hayglass, Kent T",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
699687,"Hasinoff, Brian B",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
265611,"Thomas, David Y",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
406277,"Montplaisir, Jacques Y",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200708
198327,"Gray, Michael W",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CHAA,Dalhousie University (Nova Scotia),Nova Scotia,Nouvelle-Écosse,Canada,Canada,200708
790352,"Yassi, Annalee",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
239973,"Schechter, Martin T",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
17401,"Mauk, Grant",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200708
923928,"Hertzman, Clyde",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200708
910431,"Whitfield, Christopher",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEHA,University of Guelph,Ontario,Ontario,Canada,Canada,200708
628744,"Reading, Jeffrey L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CACA,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Colombie-Britannique,Canada,Canada,200708
238402,"Gilron, Ian",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200708
686400,"Meaney, Michael J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
359594,"King, Malcolm",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200708
359594,"Wieman, Cornelia G",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200708
359594,"Cameron, Brenda L",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
359594,"Macaulay, Ann C",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200708
359594,"Gibson, Nancy L",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200708
359594,"Raine, Kim D",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
359594,"Toth, Ellen L",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
359594,"Crowshoe, Lynden L",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200708
359594,"Zayas, Jose G",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200708
359594,"Voyageur, Cora J",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200708
359594,"Wardman, Dennis A",CO,Co-Investigator,Co-chercheur,FNIH,HC - First Nations and Inuit Health Branch,Ontario,Ontario,Canada,Canada,200708
7974,"Gregory, David M",CO,Co-Investigator,Co-chercheur,CCBA,University of Regina (Saskatchewan),Saskatchewan,Saskatchewan,Canada,Canada,200708
7974,"Kaufert, Joseph M",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Kaufert, Patricia A",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Roos, Noralou P",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Murray, Robert P",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Dean, Heather J",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Cox, Brian J",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Moffatt, Michael E",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Bruce, Sharon G",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"De Vries, Johann",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Moses, Stephen",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Havens, Betty",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"O'Neil, John D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CACA,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Colombie-Britannique,Canada,Canada,200708
7974,"Roos, Leslie L",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Frankel, Sid I",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Tate, Robert B",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Taback, Shayne P",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Orr, Pamela",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Sellers, Elizabeth A",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Hildes-Ripstein, G E",CO,Co-Investigator,Co-chercheur,CDAD,Children's Hospital (Winnipeg),Manitoba,Manitoba,Canada,Canada,200708
7974,"Martens, Patricia J",CO,Co-Investigator,Co-chercheur,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200708
7974,"Glazner, Gordon W",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Kliewer, Erich V",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
7974,"Brothwell, Douglas J",CO,Co-Investigator,Co-chercheur,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200708
7974,"Bartlett, Judith G",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200708
397555,"Waygood, E B",CO,Co-Investigator,Co-chercheur,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200708
397555,"Nilson, Ralph A",CO,Co-Investigator,Co-chercheur,MALU,"Vancouver Island University (Nanaimo, BC)",British Columbia,Colombie-Britannique,Canada,Canada,200708
397555,"Hampton, Eber L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CCBA,University of Regina (Saskatchewan),Saskatchewan,Saskatchewan,Canada,Canada,200708
394673,"Tugwell, Peter S",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200708
394673,"Flynn, Robert J",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200708
394673,"O'Connor, Annette M",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200708
394673,"Edwards, Nancy C",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200708
394673,"Losos, Joseph Z",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200708
