CREATED,BIC NUMBER,ACCOUNT NAME,CITY,STATE,MARKET,APPLICATION TYPE
04/07/2020,HPP-57,"S.KATZMAN PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
05/25/2020,HPP-25,"E. ARMATA, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
01/18/2021,HPA-486520,SA-MF ENTERPRISES INC.,Bronx,NY,Adjacent to Hunts Point Market,Public Wholesale Market
03/27/2020,HPP-57,"S.KATZMAN PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
02/23/2021,GMM-12,"J.T. JOBBAGY, INC.",NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
08/14/2017,BMM-16,"LANCASTER QUALITY PORK, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
07/19/2019,HPP-67,"M & R TOMATO DISTRIBUTORS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/11/2019,FFM-493912,"UNITED NATURAL FOODS, INC.",MONTGOMERY,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/03/2020,HPP-42,"HENRY HAAS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/27/2018,GMM-6,LOUIS ZUCKER & CO. INC.,New York,NY,Gansevoort Meat Market,Public Wholesale Market
06/12/2020,BMM-20,"ALEX MEAT & PROVISION, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
04/13/2021,HPA-11,REYES PRODUCE CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
05/30/2018,HPM-31,"MTV FOODS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
09/18/2018,HPA-42,CARAVEO PAPAYAS INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/13/2020,HPA-32,"HUNTS POINT FLOWER MARKET, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
04/30/2021,HPA-155,SALANAR TRUCKING CORP.,BRONX,NY,Adjacent to Hunts Point Market,Market Business
01/09/2020,HPA-499205,OUT OF THE BLUE WHOLESALE LLC,BRONX,NY,Adjacent to Hunts Point Market,Wholesale Seafood
02/03/2021,HPP-71,"MENDEZ INTERNATIONAL TROPICAL FOODS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
04/02/2021,HPM-495335,"UNITED FOOD AND COMMERCIAL WORKER UNION LOCAL 342, AFLCIO",MINEOLA,NY,Hunts Point Meat Market,Union
01/24/2019,HPM-32,"MURRAY BERKOWITZ & SONS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
08/28/2017,HPP-113,"C AND J BROTHERS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
01/16/2019,HPP-34,FRUITCO CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
01/25/2021,HPP-40,RUBIN BROS. PRODUCE CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
05/29/2017,HPP-74,"NY PRODUCE TRADE ASSOCIATION, INC.",BRONX,NY,Hunts Point Produce Market,Trade Association
02/28/2019,HPA-491764,WILD EDIBLES INC.,BRONX,NY,Adjacent to Hunts Point Market,Wholesale Seafood
11/24/2020,GMM-487693,TCL TRADING INC.,NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
07/28/2017,HPP-94,YOLA FRUIT & PRODUCE DIST. INC.,GARDEN CITY,NY,Hunts Point Produce Market,Public Wholesale Market
05/17/2019,FFM-135,LOCKWOOD & WINANT SEAFOOD LLC,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
04/21/2017,HPM-16,GIRANDOLA & SHUTKIND CONSTRUCTION CORP.,BRONX,NY,Hunts Point Meat Market,Market Business
07/25/2017,FFM-134,J & K SEAFOOD INC.,STATEN ISLAND,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/14/2020,HPA-498613,GREEN FIELD PRODUCE LLC,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
