animal_id,animal_type,primary_color,secondary_color,breed_group,animal_identity,age_now,age_long,tag_no,tag_type,vaccine
A592959,DOG,TAN,,MASTIFF,507881.0,2Y,2 YEARS,L16-008143,LIC ALTERED,MAS
A631934,CAT,GRAY TABBY,,SHORTHAIR,546557.0,1Y 1M,1 YEAR 1 MONTH,,,
A580894,DOG,BLACK,TAN,SHEPHERD,495848.0,2Y,2 YEARS,L16-050541,LIC ALTERED,JOHN
A551189,DOG,UNKNOWN,,POINTER,466088.0,,NO AGE,,,
A605741,CAT,GRAY,BLK TABBY,LONGHAIR,520590.0,8Y,8 YEARS,,,
A622545,DOG,TRICOLOR,,HOUND,537274.0,9M,9 MONTHS,L17-003044,LIC ALTERED,
A553273,DOG,WHITE,,TERRIER,468187.0,11Y,11 YEARS,,,
A466092,CAT,WHITE,GRAY,SHORTHAIR,380363.0,14Y,14 YEARS,L14-010996,LIC ALTERED,
A553059,DOG,BROWN,,MASTIFF,467973.0,3Y,3 YEARS,L15-008641,LIC ALTERED,
A592633,DOG,CREAM,,MIX,507559.0,5Y,5 YEARS,L16-000569,LIC ALTERED,
A580153,DOG,TAN+BLACK,,TOY,495105.0,6Y,6 YEARS,L15-027474,LIC ALTERED,BARDSTOWN
A559621,DOG,BLACK,,SETTER/RETRIEVE,474538.0,6Y,6 YEARS,0A12437D78,MICROCHIP,
A598555,DOG,BROWN,,TOY,513472.0,10Y,10 YEARS,L16-004533,LIC 3Y,
A608184,DOG,BROWN,,SETTER/RETRIEVE,523018.0,1Y 2M,1 YEAR 2 MONTHS,985113000781722,MICROCHIP ADO,LMAS
A567013,DOG,BROWN,WHITE,TERRIER,481949.0,3Y,3 YEARS,L17-003100,LIC ALTERED,
A580397,DOG,RED,BROWN,SPITZ,495349.0,7Y,7 YEARS,L15-072678,LIC ALTERED,FAIRDALE
A553937,CAT,WHITE,TAN,SHORTHAIR,468852.0,4Y,4 YEARS,L15-015979,LIC ALTERED,
