animal_id,animal_type,primary_color,secondary_color,breed_group,animal_identity,age_now,age_long,tag_no,tag_type,vaccine
A629911,CAT,BLACK,WHITE,SHORTHAIR,544542.0,4Y,4 YEARS,L17-009228,LIC ALTERED,MAS
A618158,CAT,BLACK,WHITE,SHORTHAIR,532918.0,1Y 5M,1 YEAR 5 MONTHS,,,
A616213,DOG,CREAM,,TOY,530965.0,8Y,8 YEARS,L17-041043,LIC ALTERED,KHS
A561656,DOG,WHITE,BROWN,TERRIER,476579.0,,NO AGE,,,
A587704,DOG,YELLOW,WHITE,SETTER/RETRIEVE,502661.0,2Y,2 YEARS,L16-009038,LIC ALTERED,KHS
A610825,CAT,CALICO,,SHORTHAIR,525635.0,7Y,7 YEARS,L15-065251,LIC ALTERED,KHS
A371874,DOG,CHOCOLATE,,SETTER/RETRIEVE,284379.0,10Y,10 YEARS,D12-0015717,LIC ALTERED,JEFFERSON
A614206,DOG,BLACK,WHITE,SETTER/RETRIEVE,528953.0,1Y 5M,1 YEAR 5 MONTHS,L17-041101,LIC ALTERED,KHS
A618083,DOG,WHITE,BROWN,TOY,532842.0,9Y,9 YEARS,RAB0376407,RABIES CERT,BANFIELD
A566039,CAT,UNKNOWN,,SHORTHAIR,480971.0,,NO AGE,,,
A601175,DOG,BLUE,,SHEEPDOG,516084.0,7Y,7 YEARS,L15-046993,LIC ALTERED,
A210256,CAT,BLK TABBY,,SHORTHAIR,153162.0,17Y,17 YEARS,C08-081511,LIC ALTERED,PRESTON
A616346,DOG,UNKNOWN,,HOUND,531098.0,,NO AGE,,,
A594490,CAT,ORANGE,,LONGHAIR,509387.0,,NO AGE,L17-027506,LIC ALTERED,
A568318,DOG,BROWN,WHITE,HOUND,483259.0,11Y,11 YEARS,R15-1046,RAB VAC CERT.,MAS
A577128,DOG,WHITE,BLACK,MASTIFF,492077.0,3Y,3 YEARS,,,
A573631,DOG,GRAY,,POINTER,488574.0,7Y,7 YEARS,L16-023531,LIC ALTERED,
A599431,CAT,BLACK,,SHORTHAIR,514335.0,1Y 7M,1 YEAR 7 MONTHS,L16-006066,LIC ALTERED,MAS
A583826,DOG,YELLOW,,SETTER/RETRIEVE,498791.0,2Y,2 YEARS,985112006830652,MICROCHIP ADO,
A588558,DOG,TAN,,HOUND,503473.0,12Y,12 YEARS,L15-065436,LIC ALTERED,KHS
A567779,CAT,TORTIE,,SHORTHAIR,482718.0,9Y,9 YEARS,L15-056974,LIC ALTERED,KHS
A596440,DOG,WHITE,,HOUND,511362.0,,NO AGE,L16-010125,LIC ALTERED,KHS
A544380,DOG,WHITE,,TOY,459248.0,,NO AGE,L14-017561,LIC ALTERED,KHS
A481620,CAT,BLACK,WHITE,LONGHAIR,396115.0,8Y,8 YEARS,C14-004080,LIC ALTERED,BARDS RD
A600584,DOG,TAN,,MASTIFF,515491.0,2Y,2 YEARS,L16-023933,LIC UNALTERED,BLUE CROSS
A626995,DOG,BROWN,,MASTIFF,541688.0,4Y,4 YEARS,L17-043925,LIC ALTERED,
A559135,DOG,BLACK,,TERRIER,474055.0,,NO AGE,L17-035693,LIC ALTERED,
A622433,DOG,RED,,MASTIFF,537158.0,2Y,2 YEARS,,,
A606439,DOG,BLACK,,MIX,521292.0,4Y,4 YEARS,L16-020300,LIC ALTERED,
A627985,DOG,WHITE,BLACK,HOUND,542658.0,6Y,6 YEARS,0A13085213,MICROCHIP,
A578813,CAT,WHITE,,SHORTHAIR,493764.0,2Y,2 YEARS,L17-043969,LIC SR,
A591694,DOG,BLACK,WHITE,SETTER/RETRIEVE,506610.0,3Y,3 YEARS,L15-064987,LIC ALTERED,DR JOHNS
A566032,DOG,WHITE,TAN,TERRIER,480964.0,5Y,5 YEARS,985112006051376,MICROCHIP ADO,
A250443,DOG,WHITE,BUFF,SPANIEL,191759.0,14Y,14 YEARS,L16-011279,LIC ALTERED,
A560419,DOG,UNKNOWN,,SPITZ,475333.0,,NO AGE,,,
A578977,CAT,BROWN,TORTIE,SHORTHAIR,493928.0,10Y,10 YEARS,L15-056792,LIC ALTERED,KHS
A579793,CAT,GRAY,,SHORTHAIR,494745.0,2Y,2 YEARS,L15-039283,LIC ALTERED,KHS
A559270,DOG,BLACK,WHITE,MASTIFF,474188.0,,NO AGE,,,
A583780,DOG,WHITE,,TOY,498745.0,2Y,2 YEARS,L15-038179,LIC SR,
A554868,CAT,ORANGE,,SHORTHAIR,469785.0,,NO AGE,R15-44188,RABIES CERT,
A171195,DOG,YELLOW,,SETTER/RETRIEVE,97720.0,16Y,16 YEARS,L15-002752,LIC ALTERED,
A589371,DOG,BROWN,,POODLE,504290.0,3Y,3 YEARS,U16-007757,RABIES CERT,DEF3
A583511,DOG,BROWN,WHITE,MASTIFF,498476.0,,NO AGE,,,
A506942,CAT,GRAY,,SHORTHAIR,421649.0,9Y,9 YEARS,L16-045374,LIC ALTERED,
A568576,DOG,BLACK,,TOY,483517.0,10Y,10 YEARS,L16-036761,LIC ALTERED,
A353024,DOG,BLACK,,TERRIER,129350.0,10Y,10 YEARS,D09-028167,LIC ALTERED,SHIVELY
A585345,DOG,UNKNOWN,,TERRIER,500301.0,,NO AGE,,,
A557912,CAT,ORG TABBY,,SHORTHAIR,472827.0,,NO AGE,L15-059560,LIC ALTERED,KHS
A561911,DOG,BLACK,WHITE,TOY,476836.0,3Y,3 YEARS,L15-012985,LIC SR,DIXIE
A472021,CAT,ORG TABBY,,SHORTHAIR,386364.0,5Y,5 YEARS,L15-034533,LIC ALTERED,
A602693,CAT,UNKNOWN,,LONGHAIR,517596.0,,NO AGE,,,
A612562,CAT,BLUE,,SHORTHAIR,527326.0,2Y,2 YEARS,L17-012093,LIC ALTERED,MAS
A560809,CAT,,,SHORTHAIR,475729.0,8Y,8 YEARS,L15-033321,LIC ALTERED,
A578887,CAT,UNKNOWN,,SHORTHAIR,493838.0,,NO AGE,,,
A551748,DOG,GRAY,,POODLE,466650.0,3Y,3 YEARS,981020005182421,MICROCHIP,
A564979,CAT,BRN TABBY,,SHORTHAIR,479908.0,2Y,2 YEARS,L15-023970,LIC ALTERED,MAS
A578753,DOG,BLACK,WHITE,TOY,493705.0,3Y,3 YEARS,L17-022719,LIC ALTERED,
A576972,DOG,GRAY,BL BRINDLE,SPITZ,491921.0,5Y,5 YEARS,L15-008172,LIC ALTERED,
A353697,DOG,CREAM,BLACK,POODLE,82969.0,14Y,14 YEARS,D09-005255,LIC SR,KHS
A594865,DOG,TRICOLOR,,TERRIER,509757.0,,NO AGE,L16-0142VOID04,LIC ALTERED,
A631357,CAT,BRN TABBY,,SHORTHAIR,545977.0,7M,7 MONTHS,L17-048451,LIC ALTERED,
A608245,DOG,WHITE,TAN,HOUND,523079.0,2Y,2 YEARS,L16-013354,LIC ALTERED,
A568498,DOG,YELLOW,,SETTER/RETRIEVE,483439.0,5Y,5 YEARS,L16-038137,LIC 3Y,
A570903,DOG,BLACK,WHITE,COLLIE,485846.0,8Y,8 YEARS,L16-045704,LIC 3Y,SNIP
A616058,DOG,TRICOLOR,,HOUND,530810.0,4Y,4 YEARS,L17-041923,LIC ALTERED,KHS
A584268,DOG,TAN,,MASTIFF,499227.0,6Y,6 YEARS,076838595,MICROCHIP,
A578604,DOG,TAN,WHITE,TOY,493556.0,5Y,5 YEARS,985112000693259,MICROCHIP,
A574506,CAT,ORANGE,,SHORTHAIR,489451.0,2Y,2 YEARS,L15-037512,LIC ALTERED,
A572782,DOG,BLACK,,SETTER/RETRIEVE,487723.0,13Y,13 YEARS,L15-062263,LIC ALTERED,HELMWOOD V
A265351,DOG,YELLOW,,SETTER/RETRIEVE,183330.0,12Y,12 YEARS,D07-028687,LIC UNALTERED,CHENOWETH
A555369,DOG,BLACK,,SETTER/RETRIEVE,470287.0,9Y,9 YEARS,L15-006000,LIC ALTERED,
A556331,DOG,BLACK,,SHEPHERD,471244.0,6Y,6 YEARS,L16-026915,LIC ALTERED,
A553745,DOG,TAN,WHITE,MASTIFF,468659.0,3Y,3 YEARS,L17-040881,LIC UNALTERED,BLUE CROSS
A070338,DOG,CHOCOLATE,,SETTER/RETRIEVE,116479.0,18Y,18 YEARS,D12-035745,LIC ALTERED,EAST LOU
A557298,DOG,RED,,TOY,472212.0,5Y,5 YEARS,L15-057835,LIC ALTERED,
A562235,DOG,BR BRINDLE,WHITE,TERRIER,477163.0,,NO AGE,L15-025823,LIC ALTERED,DIXIE
A584615,DOG,UNKNOWN,,TOY,499574.0,,NO AGE,,,
A561605,DOG,BROWN,,TOY,476528.0,8Y,8 YEARS,L15-055620,LIC ALTERED,
A592386,DOG,BR BRINDLE,,SETTER/RETRIEVE,507303.0,,NO AGE,,,
A550949,DOG,BEIGE,,TOY,465844.0,,NO AGE,L17-039748,LIC ALTERED,
A567124,DOG,BL BRINDLE,WHITE,TOY,482062.0,3Y,3 YEARS,L17-008130,LIC ALTERED,
A596785,DOG,BROWN,WHITE,TOY,511710.0,2Y,2 YEARS,RAB0373931,RABIES CERT,BANFIELD
A624510,DOG,BLACK,TAN,HOUND,539233.0,2Y,2 YEARS,L17-041833,LIC ALTERED,
A612671,DOG,BLACK,BR BRINDLE,MASTIFF,527437.0,10Y,10 YEARS,L17-009613,LIC ALTERED,LMAS
A607872,CAT,GRAY TABBY,WHITE,SHORTHAIR,522703.0,7Y,7 YEARS,L17-013291,LIC ALTERED,MAS
A627165,DOG,BLACK,,SPITZ,541852.0,3Y,3 YEARS,L17-011885,LIC ALTERED,
A141991,DOG,GOLD,,TOY,79453.0,16Y,16 YEARS,L15-044523,LIC ALTERED,
A611351,CAT,ORG TABBY,,SHORTHAIR,526134.0,2Y,2 YEARS,L16-022588,LIC ALTERED,
A550789,DOG,TRICOLOR,,TERRIER,465684.0,13Y,13 YEARS,L15-016130,LIC UNALTERED,DIXIE
A630017,DOG,BR BRINDLE,,MASTIFF,544648.0,3Y,3 YEARS,,,
A571659,DOG,BLACK,,TERRIER,486602.0,4Y,4 YEARS,982000362770416,MICROCHIP,
A461673,DOG,YELLOW,,SETTER/RETRIEVE,375891.0,10Y,10 YEARS,L16-006615,LIC ALTERED,BARBOUR
A575747,DOG,UNKNOWN,,TOY,490694.0,,NO AGE,,,
A590844,DOG,CREAM,,POODLE,505761.0,3Y,3 YEARS,L16-029344,LIC ALTERED,CHEROKEE
A575815,DOG,BROWN,BROWN,MASTIFF,490762.0,3Y,3 YEARS,,,
A626799,DOG,BLACK,,COLLIE,541512.0,1Y 10M,1 YEAR 10 MONTHS,L17-038861,LIC ALTERED,
A557836,CAT,WHITE,GRAY,SHORTHAIR,472751.0,3Y,3 YEARS,L14-007830,LIC ALTERED,
A610728,CAT,ORG TABBY,,SHORTHAIR,525538.0,1Y 5M,1 YEAR 5 MONTHS,RAB46507,RABIES CERT,SENECA
A550976,CAT,ORANGE,,LONGHAIR,465871.0,4Y,4 YEARS,L17-042134,LIC ALTERED,
A625653,DOG,BLACK,,SETTER/RETRIEVE,540388.0,2Y,2 YEARS,L17-014581,LIC ALTERED,
A557231,CAT,BUFF,,SHORTHAIR,472145.0,,NO AGE,43349,RAB VAC CERT.,SENECA
A588880,DOG,BLACK,TAN,HOUND,503799.0,5Y,5 YEARS,L16-014975VOID,LIC ALTERED,PEEWEE
A558919,CAT,BLACK,WHITE,SHORTHAIR,473838.0,6Y,6 YEARS,,,
A600776,DOG,BLACK,WHITE,COLLIE,515684.0,14Y,14 YEARS,L16-015392,LIC ALTERED,BARBOUR
A598597,CAT,GRAY TABBY,,SHORTHAIR,513511.0,3Y,3 YEARS,L16-018757,LIC ALTERED,
A550662,DOG,BLACK,,TERRIER,465557.0,3Y,3 YEARS,L15-072607,LIC SR,
A607591,DOG,WHITE,,TOY,522422.0,2Y,2 YEARS,L16-053064,LIC SR,
A564712,DOG,BLACK,WHITE,TOY,479641.0,3Y,3 YEARS,L15-004405,LIC ALTERED,
A604334,DOG,BLACK,,TOY,519189.0,9Y,9 YEARS,L16-017645,LIC ALTERED,
A629392,CAT,GRAY,,LONGHAIR,544031.0,10Y,10 YEARS,L17-000797,LIC ALTERED,
A563272,DOG,BLACK,,TOY,478198.0,,NO AGE,982000363916524,MICROCHIP,
A241289,CAT,BLACK,,SHORTHAIR,165038.0,19Y,19 YEARS,C13-017263,LIC ALTERED,CHEROKEE
A493269,DOG,BROWN,,SETTER/RETRIEVE,407883.0,5Y,5 YEARS,982000357727666,MICROCHIP,SHIVELY
A566979,CAT,CALICO,,SHORTHAIR,481915.0,16Y,16 YEARS,L15-043239,LIC 3Y,
A571651,CAT,BLACK,,SHORTHAIR,486594.0,5Y,5 YEARS,985112001250203,MICROCHIP,
A601251,DOG,GRAY,BROWN,MASTIFF,516159.0,2Y,2 YEARS,L16-023930,LIC UNALTERED,SHIVELY
A619355,DOG,BLACK,,COLLIE,534080.0,13Y,13 YEARS,L17-031773,LIC SR,
A578306,DOG,UNKNOWN,,,493258.0,3Y,3 YEARS,982000364833529,MICROCHIP,
A592321,DOG,TAN,WHITE,MASTIFF,507238.0,2Y,2 YEARS,,,
A615229,DOG,BLACK,TAN,HOUND,529974.0,12Y,12 YEARS,,,
A632261,DOG,TRICOLOR,,HOUND,546885.0,3Y,3 YEARS,L17-030442,LIC ALTERED,
A560949,DOG,TAN,WHITE,TERRIER,475869.0,10Y,10 YEARS,L15-032289,LIC ALTERED,CHEROKEE
A588121,DOG,RED,,MASTIFF,503072.0,3Y,3 YEARS,838885808,MICROCHIP,
A556231,DOG,BLACK,,HOUND,471145.0,,NO AGE,L14-051495,LIC SR,
A573343,CAT,BLK TABBY,,SHORTHAIR,488286.0,15Y,15 YEARS,U15-044701,RAB VAC CERT.,SENECA
A574787,DOG,GOLD,,SETTER/RETRIEVE,489733.0,2Y,2 YEARS,L15-032678,LIC ALTERED,
A572295,DOG,BLACK,WHITE,TOY,487238.0,6Y,6 YEARS,981010003023204,MICROCHIP,
A579657,DOG,BLACK,BROWN,HOUND,494609.0,9Y,9 YEARS,L15-008912,LIC ALTERED,
A563656,DOG,BLACK,,COLLIE,478582.0,5Y,5 YEARS,L15-014619,LIC 3Y,
A554061,DOG,GRAY,,MASTIFF,468975.0,3Y,3 YEARS,985112004690862,MICROCHIP,
A567922,DOG,UNKNOWN,,,482862.0,,NO AGE,L15-057510,LIC ALTERED,
A562910,DOG,RED,WHITE,COLLIE,477835.0,10Y,10 YEARS,L16-026859,LIC ALTERED,
A464500,CAT,BLACK,GRAY,LONGHAIR,378755.0,,NO AGE,C13-03220,LIC ALTERED,GAILOR
A625320,DOG,TAN,,SHEPHERD,540055.0,7Y,7 YEARS,985112013244672,MICROCHIP,
A544186,DOG,GOLD,,SETTER/RETRIEVE,459053.0,4Y,4 YEARS,L16-037549,LIC ALTERED,BROWNSBORO
A627633,DOG,BLACK,WHITE,SETTER/RETRIEVE,542303.0,1Y 3M,1 YEAR 3 MONTHS,L17-051480,LIC ALTERED,
A623987,CAT,BLACK,,SHORTHAIR,538708.0,4Y,4 YEARS,985113001196975,MICROCHIP,
A555138,DOG,CREAM,,POINTER,470056.0,13Y,13 YEARS,U15-001202,RABIES CERT,
A543874,CAT,WHITE,BRN TABBY,SHORTHAIR,458740.0,4Y,4 YEARS,985112005990346,MICROCHIP ADO,
A569463,DOG,TAN,WHITE,TOY,484405.0,4Y,4 YEARS,L15-053623,LIC ALTERED,BLUECROSS
A548321,DOG,BLACK,TAN,TERRIER,463215.0,4Y,4 YEARS,R14-3597,RAB VAC CERT.,MAS
A568354,DOG,YELLOW,,SETTER/RETRIEVE,483295.0,7Y,7 YEARS,L16-041845,LIC 3Y,
A559493,CAT,BLACK,,SHORTHAIR,474411.0,16Y,16 YEARS,,,
A552134,DOG,BLACK,WHITE,HOUND,467042.0,,NO AGE,L14-018878,LIC ALTERED,KHS
A603928,CAT,BLACK,BRN TABBY,SHORTHAIR,518834.0,3Y,3 YEARS,RAB9353766,RABIES CERT,BANFIELD
A297601,DOG,FAWN,,TOY,114201.0,11Y,11 YEARS,D08-026641,LIC ALTERED,ANCHORAGE
A613159,DOG,BLACK,WHITE,SETTER/RETRIEVE,527926.0,5Y,5 YEARS,L17-016857,LIC ALTERED,
A592863,DOG,BR BRINDLE,,HOUND,507783.0,4Y,4 YEARS,L16-005555,LIC ALTERED,MAS
A554980,DOG,BR BRINDLE,BL BRINDLE,MASTIFF,469897.0,9Y,9 YEARS,,,
A458443,CAT,TRICOLOR,,SHORTHAIR,372595.0,10Y,10 YEARS,C14-024702,LIC ALTERED,BARDST RD
A627170,DOG,SABLE,,SHEPHERD,541857.0,,NO AGE,L17-013694,LIC ALTERED,
A627941,DOG,BLACK,,TOY,542614.0,,NO AGE,,,
A581013,DOG,RED,,MASTIFF,495969.0,7Y,7 YEARS,L16-049733,LIC ALTERED,
A607031,DOG,BLUE,WHITE,MASTIFF,521888.0,3Y,3 YEARS,,,
A497769,DOG,BLACK,,SHEPHERD,412414.0,6Y,6 YEARS,L14-034981,LIC UNALTERED,
A590918,DOG,BLACK,WHITE,MASTIFF,505835.0,3Y,3 YEARS,L16-039404,LIC ALTERED,
A535576,DOG,TAN,BLACK,MASTIFF,450419.0,4Y,4 YEARS,L15-013410,LIC ALTERED,CRESTWOOD
A599346,DOG,BROWN,,MASTIFF,514250.0,3Y,3 YEARS,R16-1257,RABIES CERT,MAS
A615891,CAT,BLACK,WHITE,SHORTHAIR,530643.0,2Y,2 YEARS,,,
A616369,DOG,FAWN,,MASTIFF,531121.0,2Y,2 YEARS,985113001005589,MICROCHIP ADO,LMAS
A584385,DOG,RED,,SHEPHERD,499344.0,2Y,2 YEARS,L16-048124,LIC ALTERED,KHS
A576730,DOG,GRAY,,TOY,491679.0,4Y,4 YEARS,900164000415913,MICROCHIP,
A569176,CAT,CALICO,,SHORTHAIR,484118.0,3Y,3 YEARS,L15-023795,LIC ALTERED,
A550166,DOG,TRICOLOR,,HOUND,465060.0,6Y,6 YEARS,L15-048799,LIC ALTERED,
A585867,CAT,BLACK,,LONGHAIR,500823.0,5Y,5 YEARS,16-029566,LIC ALTERED,DAVIS
A592878,DOG,BLACK,,COLLIE,507798.0,2Y,2 YEARS,L16-026364,LIC ALTERED,AUDUBON
A608291,DOG,YELLOW,,SETTER/RETRIEVE,523126.0,2Y,2 YEARS,L16-053375,LIC ALTERED,ELK CREEK
A583261,DOG,GOLD,,SETTER/RETRIEVE,498225.0,4Y,4 YEARS,L16-036342,LIC ALTERED,
A346935,DOG,BROWN,BLACK,COLLIE,50544.0,12Y,12 YEARS,L14-045318,LIC ALTERED,AUDUBON
A631664,DOG,RED,,COLLIE,546286.0,1Y 7M,1 YEAR 7 MONTHS,L17-023128,LIC ALTERED,
A555970,DOG,BLACK,,TOY,470882.0,4Y,4 YEARS,L16-037898,LIC ALTERED,
A590655,DOG,BLACK,WHITE,MASTIFF,505569.0,2Y,2 YEARS,985112007089941,MICROCHIP ADO,
A553822,DOG,BLACK,WHITE,SPITZ,468737.0,3Y,3 YEARS,L17-016193,LIC ALTERED,
A536995,CAT,WHITE,BLACK,SHORTHAIR,451852.0,8Y,8 YEARS,L14-016144,LIC ALTERED,
A562494,CAT,SLVR TABBY,,SHORTHAIR,477419.0,,NO AGE,L16-055110,LIC ALTERED,DERBY CITY
A568735,DOG,YELLOW,,SETTER/RETRIEVE,483676.0,17Y,17 YEARS,,,
A613224,DOG,BROWN,WHITE,MASTIFF,527991.0,2Y,2 YEARS,L17-025687,LIC ALTERED,LMAS
A572384,CAT,WHITE,,SHORTHAIR,487325.0,9Y,9 YEARS,U15-44827,RAB VAC CERT.,SENECA
A592721,DOG,BLACK,,MASTIFF,507640.0,2Y,2 YEARS,985113000205080,MICROCHIP,
A592142,CAT,LYNX PT,,SHORTHAIR,507059.0,1Y 9M,1 YEAR 9 MONTHS,985112007782774,MICROCHIP ADO,
A610098,DOG,BLACK,,MIX,524927.0,2Y,2 YEARS,L16-021112,LIC ALTERED,
A572990,DOG,TAN,WHITE,HOUND,487931.0,2Y,2 YEARS,L16-008391,LIC 3YSR,KHS
A566610,DOG,BLACK,,SETTER/RETRIEVE,481545.0,3Y,3 YEARS,985112006050710,MICROCHIP ADO,
A455533,DOG,WHITE,BLACK,MASTIFF,369645.0,7Y,7 YEARS,D13-018391,LIC UNALTERED,JEFFERSON
A550459,DOG,BLACK,WHITE,SETTER/RETRIEVE,465354.0,3Y,3 YEARS,U14-043670,RAB VAC CERT.,SENECA
A284549,DOG,BLACK,WHITE,COLLIE,184710.0,12Y,12 YEARS,D08-021402,LIC ALTERED,VET ASSOC
A356451,DOG,BLACK,BROWN,HOUND,268689.0,10Y,10 YEARS,L16-005964,LIC 3YSR,BANFIELD
A603600,CAT,CALICO,,SHORTHAIR,518505.0,3Y,3 YEARS,L16-006345,LIC ALTERED,MAS
A534039,DOG,BLACK,BROWN,MASTIFF,448878.0,4Y,4 YEARS,985112006516544,MICROCHIP ADO,MAS
A582173,DOG,TRICOLOR,,COLLIE,497130.0,2Y,2 YEARS,L15-072792,LIC ALTERED,
A550819,DOG,BLACK,WHITE,COLLIE,465714.0,4Y,4 YEARS,R15-1158,RAB VAC CERT.,MAS
A347931,DOG,BLACK,WHITE,TOY,148127.0,,NO AGE,L17-013111,LIC ALTERED,LMAS
A463710,DOG,BLACK,WHITE,COLLIE,377952.0,8Y,8 YEARS,L15-013918,LIC SR,
A564438,DOG,BL BRINDLE,WHITE,TOY,479365.0,3Y,3 YEARS,L16-039191,LIC ALTERED,
A571451,DOG,BROWN,WHITE,HOUND,486394.0,8Y,8 YEARS,L16-003451,LIC ALTERED,CHEORKEE
A562008,CAT,BLACK,,LONGHAIR,476933.0,5Y,5 YEARS,L16-048822,LIC ALTERED,KHS
A597216,DOG,CREAM,,SETTER/RETRIEVE,512128.0,,NO AGE,L16-002132,LIC ALTERED,MIDDLETOWN
A551341,DOG,BLACK,WHITE,SHEPHERD,466242.0,3Y,3 YEARS,L16-035660,LIC 3Y,
A615575,DOG,RED,,TOY,530320.0,10Y,10 YEARS,L17-008321,LIC ALTERED,ALLISON LN
A627311,DOG,BLACK,WHITE,MASTIFF,541985.0,1Y 7M,1 YEAR 7 MONTHS,L17-021732,LIC ALTERED,
A282718,DOG,BLACK,BROWN,HOUND,97339.0,11Y,11 YEARS,3Y13-000388,LIC 3Y,GASLIGHT
A552065,DOG,BROWN,,HOUND,466973.0,7Y,7 YEARS,L16-030878,LIC ALTERED,BARDSTOWN
A561270,CAT,BRN TABBY,,SHORTHAIR,476190.0,4Y,4 YEARS,982000357852288,MICROCHIP,
A442822,DOG,BLACK,WHITE,TOY,356731.0,7Y,7 YEARS,D13-038236,LIC ALTERED,DIXIE
A560868,DOG,CREAM,BROWN,POODLE,475788.0,3Y,3 YEARS,L17-016206,LIC ALTERED,
A598168,CAT,ORG TABBY,WHITE,SHORTHAIR,513090.0,2Y,2 YEARS,,,
A609896,CAT,ORANGE,WHITE,LONGHAIR,524731.0,2Y,2 YEARS,L17-015643,LIC ALTERED,
A599300,OTHER,BLACK,,MAMMAL,514204.0,,NO AGE,,,
A597444,DOG,WHITE,TAN,POODLE,512354.0,5Y,5 YEARS,RAB8939620,RABIES CERT,BANFIELD
A453028,CAT,BROWN,,SHORTHAIR,367125.0,,NO AGE,L16-021134,LIC ALTERED,
A573350,DOG,UNKNOWN,,SPITZ,488293.0,,NO AGE,,,
A570911,DOG,UNKNOWN,,,485854.0,,NO AGE,15-057806,LIC ALTERED,
A602469,DOG,TAN,WHITE,HOUND,517370.0,3Y,3 YEARS,985112008103207,MICROCHIP ADO,
A550734,DOG,BLACK,,SETTER/RETRIEVE,465629.0,3Y,3 YEARS,0A141D0E03,MICROCHIP,
A562093,CAT,CALICO,,SHORTHAIR,477021.0,3Y,3 YEARS,,,
A569622,DOG,TRICOLOR,,HOUND,484564.0,3Y,3 YEARS,L16-015299,LIC ALTERED,BARBOUR
A557254,DOG,BLACK,WHITE,COLLIE,472168.0,5Y,5 YEARS,L15-002000,LIC ALTERED,
A597360,DOG,BLACK,WHITE,SETTER/RETRIEVE,512270.0,7Y,7 YEARS,L16-016654,LIC ALTERED,METRO
A583994,DOG,BL BRINDLE,WHITE,TERRIER,498952.0,3Y,3 YEARS,L16-029027,LIC ALTERED,CHEROKEE
A588837,DOG,BLACK,WHITE,TOY,503756.0,9Y,9 YEARS,985112007307533,MICROCHIP ADO,MAS
A549462,DOG,FAWN,,TOY,464356.0,,NO AGE,L14-005400,LIC SR,
A575332,DOG,BLACK,,TERRIER,490279.0,3Y,3 YEARS,985112006516592,MICROCHIP ADO,
A630065,DOG,BLACK,TAN,TERRIER,544696.0,7Y,7 YEARS,L17-005363,LIC ALTERED,
A580878,DOG,BLACK,WHITE,TOY,495832.0,4Y,4 YEARS,U16-006178,RABIES CERT,
A600674,DOG,TAN,,TOY,515582.0,1Y 9M,1 YEAR 9 MONTHS,U16-008571,RABIES CERT,
A605475,CAT,BLACK,WHITE,LONGHAIR,520324.0,1Y 4M,1 YEAR 4 MONTHS,,,
A566648,DOG,BLACK,WHITE,TERRIER,481583.0,5Y,5 YEARS,L15-056937,LIC ALTERED,KHS
A122279,DOG,GOLD,,SETTER/RETRIEVE,56830.0,19Y,19 YEARS,D09-012013,LIC ALTERED,MIDDLETOWN
A556090,DOG,UNKNOWN,,TOY,471004.0,,NO AGE,,,
A557072,DOG,UNKNOWN,,HOUND,471985.0,,NO AGE,,,
A342695,DOG,WHITE,,TOY,88632.0,10Y,10 YEARS,L16-001023,LIC SR,DIXIE
A554859,DOG,WHITE,,POODLE,469776.0,8Y,8 YEARS,L16-003714,LIC ALTERED,
A606026,DOG,BLACK,TAN,HOUND,520877.0,4Y,4 YEARS,L17-023246,LIC ALTERED,
A604863,DOG,LIVER,WHITE,SPANIEL,519712.0,1Y 10M,1 YEAR 10 MONTHS,L16-023971,LIC SR,BANNON
A592108,DOG,TAN,,MASTIFF,507025.0,6Y,6 YEARS,L16-008275,LIC ALTERED,MAS
A631658,CAT,SILVER,,SHORTHAIR,546280.0,9M,9 MONTHS,985113001408439,MICROCHIP,
A590456,DOG,UNKNOWN,,SHEPHERD,505373.0,,NO AGE,,,
A622934,DOG,BLACK,,TERRIER,537664.0,7Y,7 YEARS,L17-010124,LIC ALTERED,
A609557,DOG,BROWN,,SETTER/RETRIEVE,524391.0,2Y,2 YEARS,L16-053408,LIC ALTERED,
A598197,DOG,TRICOLOR,,HOUND,513120.0,8Y,8 YEARS,L16-020111,LIC UNALTERED,
A615836,DOG,BROWN,,MASTIFF,530588.0,3Y,3 YEARS,L17-001017,LIC ALTERED,
A575119,DOG,WHITE,TAN,COLLIE,490066.0,2Y,2 YEARS,L16-043304,LIC ALTERED,
A566806,CAT,ORG TABBY,,SHORTHAIR,481742.0,15Y,15 YEARS,L16-001801,LIC SR,
A544162,DOG,TAN,WHITE,SHEPHERD,459029.0,5Y,5 YEARS,L16-034224,LIC ALTERED,
A607313,CAT,BLUE,,SHORTHAIR,522144.0,1Y 5M,1 YEAR 5 MONTHS,RAB9722182,RABIES CERT,BANFIELD
A561808,DOG,TAN,WHITE,TOY,476732.0,7Y,7 YEARS,985112005215781,MICROCHIP,MAS
A584137,DOG,WHITE,BROWN,SETTER/RETRIEVE,499096.0,2Y,2 YEARS,L16-017255,LIC SR,AUDUBON
A571077,DOG,UNKNOWN,,,486020.0,,NO AGE,982000361719598,MICROCHIP,
A620260,CAT,UNKNOWN,,SHORTHAIR,534989.0,,NO AGE,,,
A561769,DOG,BROWN,,POINTER,476693.0,3Y,3 YEARS,L14-042595,LIC ALTERED,
A623756,DOG,BR BRINDLE,,SHEPHERD,538485.0,7Y,7 YEARS,L17-029283,LIC ALTERED,
A628164,CAT,BLACK,WHITE,SHORTHAIR,542839.0,1Y 3M,1 YEAR 3 MONTHS,,,
