Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,17.02.2018,16.03.2018,GPC02180000105,3.69,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,16.02.2018,16.03.2018,GPC02180000106,2.99,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,16.02.2018,16.03.2018,GPC02180000107,1.50,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,16.02.2018,16.03.2018,GPC02180000108,2.25,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Library Equipment,Education Library Books ,13.02.2018,16.03.2018,GPC02180000109,12.98,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,13.02.2018,16.03.2018,GPC02180000110,13.95,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,12.02.2018,16.03.2018,GPC02180000111,14.97,,
Stockport MBC,Services to People,Childrens & Educational Services,MAGSUBCRIPTIONS COM,Library Equipment,Education Library Books ,12.02.2018,16.03.2018,GPC02180000112,119.00,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,10.02.2018,16.03.2018,GPC02180000113,4.99,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,08.02.2018,16.03.2018,GPC02180000114,27.94,,
Stockport MBC,Services to People,Childrens & Educational Services,CURRYS ONLINE,Furniture and Equipment,Environmental Services Technical Equipment ,09.02.2018,16.03.2018,GPC02180000115,-409.99,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MUDDYFACES.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,13.02.2018,16.03.2018,GPC02180000116,75.42,,
Stockport MBC,Services to People,Childrens & Educational Services,CURRYS ONLINE,Furniture and Equipment,Environmental Services Technical Equipment ,09.02.2018,16.03.2018,GPC02180000117,341.66,,
Stockport MBC,Services to People,Childrens & Educational Services,CURRYS ONLINE,Furniture and Equipment,Environmental Services Technical Equipment ,09.02.2018,16.03.2018,GPC02180000118,341.66,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.KINGSMAID.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,08.02.2018,16.03.2018,GPC02180000119,76.69,,
Stockport MBC,Services to People,Public Health,LOVE2SHOP.CO.UK,Publicity and Promotion,Facilities & Management Services  ,19.02.2018,16.03.2018,GPC02180000120,254.25,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2018,16.03.2018,GPC02180000121,39.90,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.02.2018,16.03.2018,GPC02180000122,27.25,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,15.02.2018,16.03.2018,GPC02180000123,24.84,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2018,16.03.2018,GPC02180000124,375.50,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,14.02.2018,16.03.2018,GPC02180000125,113.10,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.COVENTRY.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,13.02.2018,16.03.2018,GPC02180000126,10.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.COVENTRY.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,13.02.2018,16.03.2018,GPC02180000127,11.50,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,12.02.2018,16.03.2018,GPC02180000128,119.90,,
