CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50034739,ELLINGTON IN THE PARK,Manhattan,W105,HUDSON BEACH,,9176805280,American,D,08A,Cycle Inspection / Initial Inspection,
41653879,LENOX SAPHIRE,Manhattan,341,LENOX AVENUE,10027.0,2128669700,African,F,10A,Cycle Inspection / Initial Inspection,MN03
41656924,TENZAN,Manhattan,988990,2 AVENUE,,2129805900,Japanese,F,20F,Administrative Miscellaneous / Initial Inspection,
50088242,GRIMALDIS PIZZERIA,Brooklyn,1,FRONT STREET,11201.0,7188584300,Pizza,D,10F,Pre-permit (Non-operational) / Initial Inspection,BK38
40879243,"HYATT, NY CENTRAL, ROOM SERVICE",Manhattan,0,& GRAND CENTRAL,,6462136774,American,F,06C,Cycle Inspection / Initial Inspection,
41593479,SKY FOOD COURT(SKY MALL),Queens,40-24,COLLEGE POINT BOULEVARD,11354.0,7189396688,Chinese,U,02B,Cycle Inspection / Re-inspection,QN22
50052463,JENAVIES CAFE,Bronx,2920,BRUCKNER BOULEVARD,10465.0,7186841324,Latin American,P,04L,Cycle Inspection / Initial Inspection,BX52
50060784,TING HUA CHINESE RESTAURANT,Brooklyn,351,SMITH STREET,11231.0,7188526287,Chinese,D,10A,Cycle Inspection / Initial Inspection,BK33
41276130,EL TEQUILA,Queens,8216,BAXTER AVENUE,11373.0,9174506313,Mexican,D,10D,Cycle Inspection / Initial Inspection,QN29
50097902,CITIGROUP 388 EDR,Manhattan,388,GREENWICH STREET,10013.0,3472666551,American,D,10F,Pre-permit (Operational) / Initial Inspection,MN24
50091667,LIU JI HUI MIAN #25,Queens,8202,45TH AVE,11373.0,9293858888,Chinese,D,06C,Pre-permit (Operational) / Re-inspection,QN50
50011521,TCR CAFE,Bronx,2600,NETHERLAND AVENUE,10463.0,7187969099,American,F,04N,Cycle Inspection / Re-inspection,BX29
41459070,NEW WONG RESTAURANT,Manhattan,103,EAST BROADWAY,10002.0,6468789474,Chinese,F,10F,Cycle Inspection / Initial Inspection,MN27
50065598,DEEP INDIAN KITCHEN,Manhattan,1190,6 AVENUE,10036.0,6464819905,Indian,O,04L,Cycle Inspection / Reopening Inspection,MN17
50077362,DELI PLUS,Manhattan,2,WEST   45 STREET,10036.0,6467558580,Sandwiches,F,08C,Cycle Inspection / Re-inspection,MN17
41579102,BUBBA GUMP SHRIMP CO.,Manhattan,1501,BROADWAY,10036.0,2123917100,American,U,02B,Cycle Inspection / Initial Inspection,MN17
50016498,BUTCHER BAR,Queens,37-10,30 AVENUE,11103.0,7186068140,Barbecue,D,08C,Cycle Inspection / Initial Inspection,QN70
50053975,GREGORYS COFFEE,Manhattan,649,BROADWAY,10012.0,6464787258,Coffee/Tea,F,10H,Cycle Inspection / Initial Inspection,MN23
50004769,CROWN FRIED CHICKEN,Brooklyn,235,RALPH AVENUE,11233.0,7189191700,Chicken,F,10F,Cycle Inspection / Initial Inspection,BK35
50108448,YURI SUSHI HOUSE,Manhattan,374,WEST   46 STREET,10036.0,7187159725,,,,,MN15
50043829,SETAGAYA,Brooklyn,280,BEDFORD AVENUE,11249.0,7182188508,Asian/Asian Fusion,U,04N,Cycle Inspection / Re-inspection,BK73
50009899,CASA ADELA RESTAURANT,Manhattan,66,AVENUE C,10009.0,2124731882,Latin American,U,02G,Cycle Inspection / Re-inspection,MN28
41129343,PINO'S LA FORCHETTA,Brooklyn,181,7 AVENUE,11215.0,7189654020,Pizza,G,02B,Cycle Inspection / Initial Inspection,BK37
50033801,BABBALUCCI'S,Manhattan,331,LENOX AVENUE,10027.0,6469186578,Italian,F,06C,Cycle Inspection / Initial Inspection,MN03
41400682,AMC THEATRES,Queens,19002,HORACE HARDING EXPRESSWAY,11365.0,7184546767,American,U,04N,Cycle Inspection / Initial Inspection,QN41
50093473,EL ATORADERO BROOKLYN,Brooklyn,706,WASHINGTON AVENUE,11238.0,3476632951,Other,F,08A,Pre-permit (Operational) / Initial Inspection,BK64
50088912,"DAVIDOVICH BAKERY, BLUEMOON HOTEL",Manhattan,100,ORCHARD STREET,10002.0,7322167555,Coffee/Tea,F,05C,Pre-permit (Operational) / Initial Inspection,MN27
40922958,NICE MATIN,Manhattan,201,WEST   79 STREET,10024.0,2128736423,American,P,10F,Cycle Inspection / Initial Inspection,MN12
50069341,VOTE FOR PEDRO,Manhattan,231,EAST   53 STREET,10022.0,9172658552,Mexican,D,10I,Pre-permit (Operational) / Initial Inspection,MN19
50082467,AFFECTE LOUNGE,Brooklyn,1715,EMMONS AVENUE,11235.0,3474593153,Turkish,F,10F,Cycle Inspection / Initial Inspection,BK17
50080540,NEW MAY MAY KITCHEN,Manhattan,181,CLINTON STREET,10002.0,2124201328,Chinese,F,10H,Pre-permit (Operational) / Initial Inspection,MN28
50001693,ANKA GRILL,Manhattan,642,LEXINGTON AVENUE,10022.0,6466926494,Turkish,P,04L,Cycle Inspection / Initial Inspection,MN19
41310578,EASTEND BAR & GRILL,Manhattan,1664,1 AVENUE,10028.0,2123483783,American,F,10F,Cycle Inspection / Initial Inspection,MN32
41574133,TWO8TWO BAR & BURGER,Brooklyn,282,ATLANTIC AVENUE,11201.0,7185962282,American,D,10F,Cycle Inspection / Initial Inspection,BK38
50010629,PANINI GRILL,Staten Island,538,FOREST AVENUE,10310.0,7189812999,Italian,D,06D,Cycle Inspection / Re-inspection,SI35
41395386,"CITI FIELD CATCH OF THE DAY, STAND 102",Queens,000,126th st & ROOSEVELT AVENUE,,7185958126,American,D,10F,Cycle Inspection / Initial Inspection,
50043497,BKLYN PIZZA CO.,Brooklyn,36,RALPH AVENUE,11221.0,7184848787,Pizza,F,06C,Cycle Inspection / Initial Inspection,BK35
50041433,GRACE FOOD II CHINESE RESTAURANT,Brooklyn,136,GRAHAM AVENUE,11206.0,7183878898,Chinese,P,10F,Cycle Inspection / Initial Inspection,BK78
41233156,FLAVORS,Manhattan,27,WHITEHALL STREET,10004.0,2122696100,American,D,10F,Cycle Inspection / Re-inspection,MN25
50043234,SUPER TACO,Brooklyn,261,KINGS HIGHWAY,11223.0,6467300578,Tex-Mex,F,04N,Cycle Inspection / Initial Inspection,BK29
50090039,VANILLA GORILLA CAFE,Manhattan,332,WEST   44 STREET,10036.0,9293933440,Coffee/Tea,D,10F,Pre-permit (Operational) / Re-inspection,MN15
40482597,BROADWAY THEATRE,Manhattan,1681,BROADWAY,10019.0,2125867610,American,D,06C,Cycle Inspection / Initial Inspection,MN17
41154306,LITTLE ITALY M & O PIZZA RESTAURANT,Brooklyn,876,BROADWAY,11206.0,7184559200,Pizza,D,02B,Cycle Inspection / Initial Inspection,BK35
50005564,WOGIES BAR & GRILL,Manhattan,44,TRINITY PLACE,10006.0,2127852838,American,D,10F,Cycle Inspection / Initial Inspection,MN25
50064130,PEARLS,Manhattan,794,AMSTERDAM AVENUE,10025.0,2127490300,Chinese,F,06C,Cycle Inspection / Initial Inspection,MN12
50070206,BLUE CAFE RESTAURANT & BAR,Queens,8263,BROADWAY,11373.0,7183960717,Spanish,F,08A,Cycle Inspection / Initial Inspection,QN29
40386528,ERIN'S ISLE,Queens,15403,CROSS ISLAND PARKWAY,11357.0,7187468456,Italian,D,10F,Cycle Inspection / Initial Inspection,QN49
50065555,FIVE STAR PIZZA & BURGERS,Bronx,295,EAST GUN HILL ROAD,10467.0,3478437342,Pizza,D,04L,Pre-permit (Operational) / Initial Inspection,BX43
50086409,JOE'S STEAM RICE ROLL,Manhattan,261,CANAL STREET,10013.0,3473796961,Chinese,D,09C,Cycle Inspection / Re-inspection,MN24
40594203,LA GOURMET,Manhattan,111,EAST   58 STREET,10022.0,2123080811,Californian,D,10F,Cycle Inspection / Initial Inspection,MN19
50053006,KOREAN HOUSE,Brooklyn,763,61 STREET,11220.0,7185673838,Korean,D,10F,Cycle Inspection / Initial Inspection,BK34
41563537,BENITO ONE,Manhattan,174,MULBERRY STREET,10013.0,2122269171,Italian,D,08A,Cycle Inspection / Initial Inspection,MN24
50075844,EAST OCEAN BUFFET,Brooklyn,1778,86 STREET,11214.0,2129206390,Chinese,U,10B,Cycle Inspection / Re-inspection,BK27
40520857,TIRAMISU RESTAURANT,Manhattan,1410,3 AVENUE,10028.0,2129889780,Italian,F,04H,Cycle Inspection / Initial Inspection,MN40
50076675,ELIM BISTRO,Manhattan,11,PARK PLACE,10007.0,2126194266,Sandwiches,F,06E,Cycle Inspection / Initial Inspection,MN24
50051307,LA AVENIDA,Manhattan,2247,1 AVENUE,10029.0,9172011707,Mexican,D,04K,Cycle Inspection / Initial Inspection,MN34
41644384,WASABI RESTAURANT,Brooklyn,7222,18 AVENUE,11204.0,7183313933,Japanese,U,04L,Cycle Inspection / Initial Inspection,BK28
41201205,FAMOUS AMADEUS PIZZA,Manhattan,408,8 AVENUE,10001.0,2129041112,Pizza,D,10B,Cycle Inspection / Re-inspection,MN17
50085636,ZONA TRIBECA MEZCALERIA,Manhattan,353,GREENWICH STREET,10013.0,5164505097,Mexican,F,02G,Cycle Inspection / Initial Inspection,MN24
40368632,NEW PARKWAY RESTAURANT,Brooklyn,7504,13 AVENUE,11228.0,7187454371,American,U,04N,Cycle Inspection / Re-inspection,BK30
50101555,CORNER PIZZA,Bronx,3399,JEROME AVENUE,10467.0,7186531525,Pizza,D,10F,Pre-permit (Operational) / Initial Inspection,BX43
50001649,THE EAST POLE,Manhattan,133,EAST   65 STREET,10065.0,2122492222,American,F,10B,Cycle Inspection / Initial Inspection,MN40
40945892,EUROPA CAFE,Brooklyn,3,TIMES SQUARE,,2128699830,American,D,10F,Cycle Inspection / Initial Inspection,
50054739,GRANO,Manhattan,645,5TH AVE,10022.0,2126994097,Italian,F,10B,Cycle Inspection / Initial Inspection,MN17
40824179,COMMUNITY FOOD AND JUICE,Manhattan,2893,BROADWAY,10025.0,2126652800,American,D,02H,Cycle Inspection / Initial Inspection,MN09
41497741,DONNA MARGHERITIA,Manhattan,1304A,2 AVENUE,10065.0,2127721169,Italian,P,06D,Cycle Inspection / Initial Inspection,MN31
41204715,WENDY'S,Bronx,4040,3 AVENUE,10457.0,7182995603,Hamburgers,D,06D,Cycle Inspection / Initial Inspection,BX01
50034025,Panda Chinese Restaurant,Brooklyn,7323,20 AVENUE,11204.0,7182598868,Chinese,D,10F,Cycle Inspection / Initial Inspection,BK28
50080423,POLLERIA AZOGUENITA,Queens,9123,37TH AVE,11372.0,7186511209,Spanish,U,10B,Cycle Inspection / Initial Inspection,QN28
41465581,MOLE,Manhattan,57,JANE STREET,10014.0,2122067577,Mexican,F,09C,Cycle Inspection / Initial Inspection,MN23
40400686,PEKING DUCK HOUSE,Manhattan,236,EAST   53 STREET,10022.0,2127598260,Chinese,D,02B,Cycle Inspection / Re-inspection,MN19
50018050,EAT N' RUN,Brooklyn,2574,CONEY ISLAND AVENUE,11223.0,7186760522,Jewish/Kosher,P,02G,Cycle Inspection / Initial Inspection,BK25
41661506,SANGRIA 46,Manhattan,338,WEST   46 STREET,10036.0,2125818482,Latin American,D,10F,Cycle Inspection / Initial Inspection,MN15
41662163,WOLF & LAMB,Brooklyn,1635,CONEY ISLAND AVENUE,11230.0,7186274676,Jewish/Kosher,F,08C,Cycle Inspection / Initial Inspection,BK43
41263890,DUNKIN,Manhattan,412,3 AVENUE,10016.0,2126866362,Donuts,P,04L,Cycle Inspection / Initial Inspection,MN20
40366396,DESMOND'S TAVERN,Manhattan,433,PARK AVENUE SOUTH,10016.0,2126849472,American,F,02B,Cycle Inspection / Initial Inspection,MN20
41238209,TOWER'S CAFE,Manhattan,506,LENOX AVENUE,10037.0,2129394521,American,F,06E,Cycle Inspection / Initial Inspection,MN03
50009734,FENG'S GARDEN RESTAURANT CHINESE FOOD TAKE OUT,Queens,8826,PARSONS BLVD,11432.0,7185233209,Chinese,U,10B,Cycle Inspection / Re-inspection,QN35
50064825,FRESCO TORTILLAS,Brooklyn,113,COURT STREET,11201.0,7182378898,Mexican,D,08A,Cycle Inspection / Initial Inspection,BK09
50040401,FOOD FAIR DELI & PIZZA,Manhattan,433,WEST   34 STREET,10001.0,2125632188,Sandwiches,O,10I,Cycle Inspection / Reopening Inspection,MN13
50034213,HAN DYNASTY,Manhattan,215,WEST   85 STREET,10024.0,2128589060,Chinese,F,08A,Cycle Inspection / Re-inspection,MN12
50005390,JUMBO PIZZA,Manhattan,3594,BROADWAY,10031.0,2122914991,Pizza,P,04L,Cycle Inspection / Initial Inspection,MN04
41235974,JIMBOS HAMBURGER,Manhattan,3869,10 AVENUE,10034.0,2129421642,Hamburgers,D,09C,Cycle Inspection / Re-inspection,MN01
41222270,BROWNSTEIN CATERERS,Manhattan,557,WEST   23 STREET,10011.0,6466242244,American,D,10H,Cycle Inspection / Initial Inspection,MN13
41486460,RIVER DELI,Brooklyn,2834,COLUMBIA PLACE,,7182549200,Italian,U,06B,Cycle Inspection / Initial Inspection,
40380826,FIT CAFETERIA (BUILDING A ) (8th ave),Manhattan,227,WEST   27 STREET,10001.0,2122175770,American,F,10J,Cycle Inspection / Initial Inspection,MN17
50043970,LA ISLA CUCHIFRITOS,Bronx,510,WILLIS AVENUE,10455.0,7184147213,Latin American,P,04N,Cycle Inspection / Initial Inspection,BX39
41297129,TROPICAL SENSATION,Manhattan,953,AMSTERDAM AVENUE,10025.0,2122220098,Latin American,D,02B,Cycle Inspection / Initial Inspection,MN09
50066938,SIMCHA PALACE,Queens,7327,MAIN ST,11367.0,9173960574,Jewish/Kosher,U,08A,Cycle Inspection / Initial Inspection,QN37
50087531,THE PLATFORM,Brooklyn,1178,BUSHWICK AVENUE,11221.0,9175473148,Coffee/Tea,D,04N,Cycle Inspection / Initial Inspection,BK78
50047320,LENWICH,Manhattan,16,WEST   23 STREET,10010.0,2124624433,Sandwiches/Salads/Mixed Buffet,D,10F,Cycle Inspection / Initial Inspection,MN13
50074402,MEGUMI,Brooklyn,5102,AVENUE U,11234.0,9084321527,Japanese,U,08A,Cycle Inspection / Initial Inspection,BK45
40958354,DELMAR PIZZERIA,Brooklyn,1668,SHEEPSHEAD BAY ROAD,11235.0,7187697766,Pizza,D,04A,Cycle Inspection / Initial Inspection,BK17
50047107,BOGART HOUSE,Brooklyn,360,TEN EYCK ST    AKA 230 BOGART ST,11206.0,6467097854,American,P,06D,Cycle Inspection / Initial Inspection,BK78
50016982,AIRS CHAMPAGNE PARLOR,Manhattan,127,MACDOUGAL STREET,10012.0,2124752246,French,F,10F,Cycle Inspection / Initial Inspection,MN23
41634515,BOMBAY KITCHEN INDIAN CUISINE,Brooklyn,733,KNICKERBOCKER AVENUE,11221.0,3479151888,Indian,F,06C,Cycle Inspection / Re-inspection,BK77
50062648,T.G.I. FRIDAY'S,Brooklyn,3181,HARKNESS AVENUE,11235.0,7186480891,American,G,08A,Pre-permit (Operational) / Re-inspection,BK17
50091626,BUND,Queens,2508,BROADWAY,11106.0,7189715465,Asian/Asian Fusion,P,10F,Pre-permit (Operational) / Initial Inspection,QN70
50066689,TD BIG J DELI CORP.,Queens,3619,REVIEW AVE,11101.0,7183922525,Latin American,U,04N,Cycle Inspection / Re-inspection,QN31
50035433,BAR HUGO,Manhattan,523,GREENWICH STREET,10013.0,2126081211,American,F,06E,Cycle Inspection / Initial Inspection,MN24
50071726,PEPO'S PIZZA,Manhattan,1522,AMSTERDAM AVENUE,10031.0,6465412973,Pizza,U,04J,Pre-permit (Operational) / Re-inspection,MN06
50097106,GOLDEN CHINA,Bronx,2960,MIDDLETOWN ROAD,10461.0,7188288808,Chinese,F,02G,Pre-permit (Operational) / Re-inspection,BX52
50014643,GREEN APPLE GOURMET,Manhattan,1625,BROADWAY,10019.0,2127670198,Sandwiches,U,08A,Cycle Inspection / Re-inspection,MN17
50072966,BANGKLYN EAST HARLEM,Manhattan,2051,2 AVENUE,10029.0,6464298128,Thai,D,06F,Pre-permit (Operational) / Re-inspection,MN33
50072357,HAPPY GARDEN,Queens,13206,MAPLE AVE,11355.0,7188881109,Chinese,F,06C,Cycle Inspection / Initial Inspection,QN22
41463780,CHAN'S VILLAGE,Bronx,1328,METROPOLITAN AVENUE,10462.0,7184092333,Chinese,D,10F,Cycle Inspection / Initial Inspection,BX46
41063946,V CAFE,Manhattan,345,GREENWICH STREET,10013.0,2124315888,Southeast Asian,D,10F,Cycle Inspection / Re-inspection,MN24
50018121,RANCH RESTAURANT,Bronx,1773,SOUTHERN BOULEVARD,10460.0,7184508689,Caribbean,U,08A,Cycle Inspection / Initial Inspection,BX75
50003984,G&B TERMINAL DELI,Brooklyn,22,BROOKLYN TERMINAL MARKET,11236.0,7185317505,Sandwiches,D,04L,Cycle Inspection / Re-inspection,BK50
50085666,PAPA'S KITCHEN,Queens,3707,83RD ST,11372.0,3477249586,Filipino,D,10F,Pre-permit (Operational) / Initial Inspection,QN28
41649581,BABY OLIVE,Brooklyn,1402,86 STREET,11228.0,7182342229,Salads,U,10F,Cycle Inspection / Initial Inspection,BK27
41477524,AMERICAN LEGION VETERANS POST,Manhattan,248,WEST  132 STREET,10027.0,2122839701,American,U,02G,Cycle Inspection / Re-inspection,MN03
40654328,CAFE AL MERCATO,Bronx,2331,HUGHES AVENUE,10458.0,7183647681,Pizza,F,08A,Cycle Inspection / Initial Inspection,BX06
40813690,SILVER MOON BAKERY,Manhattan,2740,BROADWAY,10025.0,2128664717,Bakery Products/Desserts,P,04L,Cycle Inspection / Initial Inspection,MN12
40946369,NICK & STEF'S STEAKHOUSE,Manhattan,9,PENN PLAZA,10001.0,2125634444,Steakhouse,D,04N,Cycle Inspection / Initial Inspection,MN17
41223165,BURGER KING,Brooklyn,1772,ROCKAWAY PARKWAY,11236.0,7185312839,Hamburgers,P,10F,Cycle Inspection / Initial Inspection,BK50
50057733,NEW LOTS RESTAURANT,Brooklyn,429,NEW LOTS AVENUE,11207.0,3475338716,Spanish,D,10F,Cycle Inspection / Re-inspection,BK85
50007162,TINA RESTAURANT,Bronx,2350,WASHINGTON AVENUE,10458.0,3475907591,American,D,04K,Cycle Inspection / Initial Inspection,BX01
50056263,DUZER'S LOCAL CAFE + MARKET,Staten Island,387,VAN DUZER STREET,10304.0,6464795965,Coffee/Tea,P,06D,Cycle Inspection / Initial Inspection,SI37
50016003,YELLOW MAGNOLIA CANTEEN,Brooklyn,1000,WASHINGTON AVENUE,11225.0,6466599695,American,D,10B,Pre-permit (Operational) / Initial Inspection,BK99
50058533,NEW SAN FRANCISCO RESTAURANT,Manhattan,59,AUDUBON AVENUE,10032.0,2125684040,Latin American,U,10F,Cycle Inspection / Re-inspection,MN36
41382688,GUANTANAMERA,Manhattan,939,8 AVENUE,10019.0,2122625354,Latin American,D,08C,Cycle Inspection / Initial Inspection,MN15
50064570,HONG MAN,Manhattan,27,ELDRIDGE STREET,10002.0,2129250805,Chinese,F,04N,Cycle Inspection / Initial Inspection,MN27
41629116,Asian Kitchen 55,Brooklyn,5424,CHURCH AVENUE,11203.0,7183423721,Chinese,F,08A,Cycle Inspection / Initial Inspection,BK96
50078860,A FEI CHINESE RESTAURANT,Brooklyn,553,THROOP AVENUE,11216.0,7184535205,Chinese,U,04L,Cycle Inspection / Re-inspection,BK35
41513074,WB CARIBBEAN RESTAURANT,Brooklyn,9407,CHURCH AVENUE,11212.0,7183421543,Caribbean,U,04L,Cycle Inspection / Initial Inspection,BK96
50076502,FUEL GRILL,Manhattan,112,WEST   38 STREET,10018.0,9178360276,American,F,06D,Cycle Inspection / Initial Inspection,MN17
40581692,MAZ MEZCAL,Manhattan,316,EAST   86 STREET,10028.0,2124721599,Mexican,F,10F,Cycle Inspection / Initial Inspection,MN32
50046380,LA BAGAGUETTE SHOP,Queens,22924,LINDEN BLVD,11411.0,7184682525,Bakery Products/Desserts,D,10F,Cycle Inspection / Re-inspection,QN33
50045807,CHARLEYS PHILLY STEAK,Bronx,200,BAYCHESTER AVENUE,10475.0,7186712009,American,D,06C,Cycle Inspection / Initial Inspection,BX13
50012993,BANK OF NOVA SCOTIA CAFE,Manhattan,250,VESEY STREET,10281.0,2122255223,American,D,04N,Cycle Inspection / Initial Inspection,MN25
50034742,BLUJEEN,Manhattan,2143,FREDERICK DOUGLASS BOULEVARD,,2122561073,American,P,06C,Cycle Inspection / Initial Inspection,
41489741,FLYNNS GARDEN INN,Queens,4608,SKILLMAN AVENUE,11104.0,7183922715,Irish,D,10B,Cycle Inspection / Initial Inspection,QN31
41685035,HADJA MARLEY RESTAURANT,Brooklyn,1139,FULTON STREET,11238.0,7186367422,African,G,02G,Cycle Inspection / Re-inspection,BK69
41538633,SAIGON SHACK,Manhattan,114,MACDOUGAL STREET,10012.0,2122280588,Southeast Asian,D,06C,Cycle Inspection / Re-inspection,MN23
50058733,CHAYKHANA 1,Brooklyn,2158,BATH AVENUE,11214.0,7189467000,Eastern European,D,02G,Cycle Inspection / Re-inspection,BK27
50011959,PICADILLY HALL,Brooklyn,1703,MCDONALD AVENUE,11230.0,7183362200,Jewish/Kosher,P,04L,Cycle Inspection / Initial Inspection,BK46
50017126,BRAVO PIZZA,Manhattan,6,EAST   42 STREET,10017.0,2128674960,Pizza,F,06C,Cycle Inspection / Initial Inspection,MN20
41595573,GOLDEN BUN BAKERY,Brooklyn,2180,86 STREET,11214.0,7183732866,Bakery Products/Desserts,U,02B,Cycle Inspection / Initial Inspection,BK28
41583191,QUEZADA RESTAURANT,Brooklyn,1212,FLATBUSH AVENUE,11226.0,7182820622,Latin American,F,18D,Administrative Miscellaneous / Re-inspection,BK42
41225392,BAYARD'S ALEHOUSE,Manhattan,533,HUDSON STREET,10014.0,2129890313,American,F,06C,Cycle Inspection / Initial Inspection,MN23
50072809,CHICK'NCONE,Manhattan,1000S,8 AVENUE,10019.0,7202788672,Chicken,F,05H,Pre-permit (Operational) / Initial Inspection,MN15
50000188,HOME GARDEN,Bronx,1806,CROTONA AVENUE,10457.0,7189013688,Chinese,D,09C,Cycle Inspection / Initial Inspection,BX17
50010310,HANABI,Manhattan,1450,2 AVENUE,10021.0,2125701888,Japanese,D,02B,Cycle Inspection / Initial Inspection,MN31
40570278,STARBUCKS,Manhattan,370,7 AVENUE,10001.0,2129672041,Coffee/Tea,D,06D,Cycle Inspection / Initial Inspection,MN17
50039842,DELUXE GREEN BO,Manhattan,66,BAYARD STREET,10013.0,2126252359,Chinese,F,06C,Cycle Inspection / Initial Inspection,MN27
50086971,KENNEDY FRIED CHICKEN & PIZZA,Bronx,647,EAST TREMONT AVENUE,10457.0,9176318300,Chicken,D,10F,Pre-permit (Operational) / Initial Inspection,BX17
