Taxonomic_Serial_Numbers,Scientific_Names,English_Names,French_Names,Family_Scientific_Names,English_Species_Risk_Groups,French_Species_Risk_Groups
169343,Paralonchurus,Coco,Acoupa,Sciaenidae,,
95865,Parapenaeopsis hardwickii,Shrimp,Crevette,Penaeidae,,
95873,Parapenaeopsis sculptilis,Shrimp,,Penaeidae,,
95873,Parapenaeopsis sculptilis,Rainbow Shrimp,,Penaeidae,,
95873,Parapenaeopsis sculptilis,Prawn,Crevette Arc-en-ciel,Penaeidae,,
95875,Parapenaeopsis stylifera,Kiddy Shrimp,Crevette,Penaeidae,,
95875,Parapenaeopsis stylifera,Shrimp,Crevette Kidi,Penaeidae,,
95878,Parapenaeopsis tenella,Smoothshell Shrimp,,Penaeidae,,
95878,Parapenaeopsis tenella,Shrimp,,Penaeidae,,
95878,Parapenaeopsis tenella,Prawn,Crevette,Penaeidae,,
95746,Parapenaeus longipes,Shrimp,Crevette,Penaeidae,,
95746,Parapenaeus longipes,Flamingo Shrimp,Crevette flamande,Penaeidae,,
170968,Parapercis colias,Sandperch,Morue Bleue de Nouvelle-Zélande,Pinguipedidae,,
170968,Parapercis colias,Blue Cod,Morue Bleue,Pinguipedidae,,
173105,Paraplagusia bilineata,Flounder,Sole Du Pacifique,Cynoglossidae,,
173105,Paraplagusia bilineata,Flounder,Sole,Cynoglossidae,,
173105,Paraplagusia bilineata,Rock Sole,Fausse Limande Du Pacifique,Cynoglossidae,,
173105,Paraplagusia bilineata,Sole,Plie,Cynoglossidae,,
630263,Parapristipoma trilineatum,Grunt,,Haemulidae,,
630263,Parapristipoma trilineatum,Threeline Grunt,Grondeur,Haemulidae,,
550911,Parapristipomoides spp.,Snapper,Vivaneau,Lutjanidae,,
166954,Parapterois spp.,Lionfish,,Scorpaenidae,,
158344,Parastichopus californicus,,Holothurie Du Pacifique,Stichopodidae,,
158344,Parastichopus californicus,Sea Cucumber,Holothurie,Stichopodidae,,
158344,Parastichopus californicus,California Sea Cucumber,Concombre De Mer,Stichopodidae,,
168785,Parastromateus niger,Black Pomfret,Castagnoline Noire,Carangidae,Subject to Histamine,Sujet à la production d'histamine
172921,Parophrys vetulus,English Sole,Carlottin Anglais,Pleuronectidae,,
172921,Parophrys vetulus,Flounder,Plie,Pleuronectidae,,
172921,Parophrys vetulus,Sole,,Pleuronectidae,,
169448,Parupeneus spp.,Goatfish,Rouget-barbet,Mullidae,,
69750,Patella caerulea,Limpet,,Patellidae,Subject to Marine Toxins,Sujet aux toxines marines
69750,Patella caerulea,Lapas,Patelle,Patellidae,Subject to Marine Toxins,Sujet aux toxines marines
69752,Patella vulgata,Limpet,Patelle,Patellidae,Subject to Marine Toxins,Sujet aux toxines marines
69752,Patella vulgata,Limpet,Patelle,Patellidae,Subject to Marine Toxins,Sujet aux toxines marines
158190,Pathallus spp.,,Holothurie,Cucumariidae,,
158190,Pathallus spp.,Sea Cucumber,Concombre De Mer,Cucumariidae,,
79757,Patinopecten caurinus,Scallop,Pétoncle,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
79757,Patinopecten caurinus,Weathervane Scallop,Pétoncle Géant Du Pacifique,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
79756,Patinopecten yessoensis,Japanese Scallop,Pétoncle,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
79756,Patinopecten yessoensis,Scallop,,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
95625,Penaeus esculentus,Tiger Shrimp,,Penaeidae,,
95625,Penaeus esculentus,Brown Tiger Shrimp,Crevette,Penaeidae,,
95625,Penaeus esculentus,Prawn,Crevette Tigrée,Penaeidae,,
95625,Penaeus esculentus,Shrimp,Crevette Tigrée Brune,Penaeidae,,
95638,Penaeus monodon,Tiger Shrimp,,Penaeidae,,
95638,Penaeus monodon,Shrimp,Crevette Tigrée Noire,Penaeidae,,
95638,Penaeus monodon,Black Tiger Shrimp,Crevette,Penaeidae,,
95638,Penaeus monodon,Prawn,Crevette Tigrée,Penaeidae,,
95644,Penaeus semisulcatus,Prawn,Crevette Tigrée,Penaeidae,,
95644,Penaeus semisulcatus,Shrimp,Crevette Tigrée Verte,Penaeidae,,
95644,Penaeus semisulcatus,Green Tiger Shrimp,Crevette,Penaeidae,,
95644,Penaeus semisulcatus,Tiger Shrimp,,Penaeidae,,
646538,Pennahia anea,White Croaker,Courbine Blanche,Sciaenidae,,
646538,Pennahia anea,Croaker,,Sciaenidae,,
646537,Pennahia argentata,White Croaker,Courbine Blanche,Sciaenidae,,
646537,Pennahia argentata,Croaker,,Sciaenidae,,
551010,Pentapodus caninus,Threadfin Bream,,Nemipteridae,,
172568,Peprilus burti,Butterfish,Stromaté,Stromateidae,,
172569,Peprilus medius,Butterfish,Stromaté,Stromateidae,,
172569,Peprilus medius,Pacific Butterfish,Stromaté du Pacifique,Stromateidae,,
172566,Peprilus paru,Butterfish,Stromaté,Stromateidae,,
172566,Peprilus paru,American Harvestfish,Stromaté Lune,Stromateidae,,
172566,Peprilus paru,Harvestfish,,Stromateidae,,
172565,Peprilus simillimus,Butterfish,Stromaté,Stromateidae,,
172567,Peprilus triacanthus,Butterfish,Stromaté,Stromateidae,,
168469,Perca flavescens,Yellow Perch,,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
168469,Perca flavescens,Lake Perch,Perchaude,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
168469,Perca flavescens,Perch,,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
168470,Perca fluviatilis,Eurasian Perch,Perche européenne,Percidae,,
168470,Perca fluviatilis,European Yellow Perch,,Percidae,,
567088,Perna canaliculus,Green Mussel,Moule,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
567088,Perna canaliculus,Green-lipped Mussel,Moule Verte,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
567088,Perna canaliculus,New Zealand Green Shelled Mussel,,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
567088,Perna viridis,Mussel,Moule,Mytilidae,Subject to Marine Toxins,Sujet aux toxines marines
159722,Petromyzon marinus,Sea Lamprey,,Petromyzontidae,,
159722,Petromyzon marinus,Lamprey,Lamproie,Petromyzontidae,,
163596,Phoxinus phoxinus,Eurasian Minnow,,Cyprinidae,,
164751,Phycis blennoides,Greater Forkbeard,Phycis de Fond,Gadidae,,
164752,Phycis phycis,Forkbeard,Phycis de roche,Phycidae,,
164752,Phycis phycis,Lesser Forkbeard,,Phycidae,,
550912,Pinjalo spp.,Snapper,Vivaneau,Lutjanidae,,
79718,Placopecten magellanicus,Scallop,Pectin D'amérique,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
79718,Placopecten magellanicus,Sea Scallop,Pétoncle,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
79718,Placopecten magellanicus,,Pétoncle Géant De L'atlantique Nord,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
79718,Placopecten magellanicus,,Pétoncle Géant,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
79718,Placopecten magellanicus,Atlantic Scallop,,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
79718,Placopecten magellanicus,Giant Scallop,Noix De Saint-jacques,Pectinidae,Subject to Marine Toxins,Sujet aux toxines marines
172893,Platichthys stellatus,Starry Flounder,Plie Du Pacifique,Pleuronectidae,,
623690,Plecoglossus altivelis,Ayu,Ayu,Plecoglossidae,,
623690,Plecoglossus altivelis,Sweetfish,,Plecoglossidae,,
630214,Plectorhinchus pictus,,,Haemulidae,,
95971,Pleoticus muelleri,Shrimp,Crevette,Penaeidae,,
167108,Pleurogrammus monopterygius,Atka mackerel,Maquereau de Atka,Hexagrammidae,,
98056,Pleuroncodes planipes,Pelagic Squat Lobster,,Galatheidae,,
98056,Pleuroncodes planipes,Squat Lobster,,Galatheidae,,
98056,Pleuroncodes planipes,Pelagic Red Crab,Galathée Pélagique,Galatheidae,,
172902,Pleuronectes platessa,Dab,Plie,Pleuronectidae,,
172902,Pleuronectes platessa,Plaice,Carrelet,Pleuronectidae,,
172902,Pleuronectes platessa,Roughback,,Pleuronectidae,,
172901,Pleuronectes quadrituberculatus,Alaska Plaice,Plie,Pleuronectidae,,
172901,Pleuronectes quadrituberculatus,Plaice,Plie D'alaska,Pleuronectidae,,
172923,Pleuronichthys coenosus,Flounder,Plie Vaseuse,Pleuronectidae,,
172923,Pleuronichthys coenosus,C-o Sole,Plie,Pleuronectidae,,
172923,Pleuronichthys coenosus,Sole,,Pleuronectidae,,
172924,Pleuronichthys decurrens,,,Pleuronectidae,,
172925,Pleuronichthys ritteri,Pacific Turbot,Rodaballo,Pleuronectidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172926,Pleuronichthys verticalis,Turbot,Turbot,Pleuronectidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172926,Pleuronichthys verticalis,Pacific Turbot,Rodaballo,Pleuronectidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
169288,Pogonias cromis,Black Drum,Grand Tambour,Sciaenidae,,
164727,Pollachius virens,Pollock,,Gadidae,,
164727,Pollachius virens,Pollack,,Gadidae,,
164727,Pollachius virens,Coalfish,,Gadidae,,
164727,Pollachius virens,Boston Bluefish,Lieu,Gadidae,,
164727,Pollachius virens,Big-eye,Goberge,Gadidae,,
164727,Pollachius virens,Saithe,,Gadidae,,
89476,Pollicipes polymerus,Gooseneck Barnacle,,Scalpellidae,,
89476,Pollicipes polymerus,Goose Barnacle,Pouce-pied,Scalpellidae,,
645492,Polynemus paradiseus,Paradise Threadfin,Barbue paradis,Polynemidae,,
641918,Polyprion yanezi,Chilean Wreckfish,Cernier Chilien,Polyprionidae,,
169632,Pomacanthus arcuatus,Angelfish,Demoiselle Blanche,Pomacanthidae,,
169632,Pomacanthus arcuatus,Grey Angelfish,,Pomacanthidae,,
169633,Pomacanthus paru,Angelfish,Demoiselle Chiriritre,Pomacanthidae,,
169633,Pomacanthus paru,French Angelfish,,Pomacanthidae,,
168559,Pomatomus saltatrix,Bluefish,Tassergal,Pomatomidae,Subject to Histamine,Sujet à la production d'histamine
168166,Pomoxis annularis,Crappie,Crapet Calico,Centrarchidae,,
168166,Pomoxis annularis,White Crappie,,Centrarchidae,,
168167,Pomoxis nigromaculatus,Black Crappie,Marigane Noire,Centrarchidae,,
168167,Pomoxis nigromaculatus,Crappie,,Centrarchidae,,
199965,Portunus pelagicus,Blue Swimming Crab,Étrille bleue,Portunidae,,
98717,Portunus spp.,Crab,Crabe,Portunidae,,
98717,Portunus spp.,Swimming Crab,,Portunidae,,
168177,Priacanthus spp.,Bigeye,Beauclaire,Priacanthidae,,
160424,Prionace glauca,Blue Pointer,Requin,Carcharhinidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
160424,Prionace glauca,Blue Pointer Shark,Requin Bleu,Carcharhinidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
160424,Prionace glauca,Blue Shark,,Carcharhinidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
160424,Prionace glauca,Great Blue Shark,,Carcharhinidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
160424,Prionace glauca,Shark,,Carcharhinidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
160424,Prionace glauca,Blue Dog,Peau Bleue,Carcharhinidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
166973,Prionotus spp.,Searobin,,Triglidae,,
166973,Prionotus spp.,Gurnard,Grondin,Triglidae,,
168912,Pristipomoides spp.,,,Lutjanidae,,
168912,Pristipomoides spp.,Jobfish,Colas,Lutjanidae,,
97491,Procambarus clarkii,Crayfish,,Cambaridae,,
97491,Procambarus clarkii,Crawfish,Écrevisse,Cambaridae,,
165524,Prognichthys gibbifrons,Flying Fish,Exocet,Exocoetidae,,
162008,Prosopium cylindraceum,Menominee,Ménomini Rond,Salmonidae,,
162008,Prosopium cylindraceum,Round Whitefish,Poisson Blanc,Salmonidae,,
162008,Prosopium cylindraceum,Whitefish,,Salmonidae,,
649771,Protopterus aethiopicus,Lungfish,,Protopteridae,,
649771,Protopterus aethiopicus,Marbled Lungfish,,Protopteridae,,
81464,Protothaca staminea,Clam,Palourde Du Pacifique,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
81464,Protothaca staminea,Manila Clam,,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
81464,Protothaca staminea,Pacific Littleneck Clam,,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
81472,Protothaca thaca,Clam,Palourde,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
95886,Protrachypene precipua,Shrimp,Crevette,Penaeidae,,
616195,Psetta maxima,Pacific Turbot,Rodaballo,Scophthalmidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
616195,Psetta maxima,Turbot,Turbot,Scophthalmidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172928,Psettichthys melanostictus,Pacific Sand Sole,Plie À Points Noirs,Pleuronectidae,,
172928,Psettichthys melanostictus,Sand Sole,,Pleuronectidae,,
172928,Psettichthys melanostictus,Sole,,Pleuronectidae,,
172928,Psettichthys melanostictus,Flounder,Plie,Pleuronectidae,,
616137,Psettodes belcheri,Pacific Turbot,Rodaballo,Psettodidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
616137,Psettodes belcheri,Turbot,Turbot,Psettodidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
616138,Psettodes bennettii,Pacific Turbot,Rodaballo,Psettodidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
616138,Psettodes bennettii,Turbot,Turbot,Psettodidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172706,Psettodes erumei,Turbot,,Psettodidae,,
172706,Psettodes erumei,Indian Spiny Turbot,Turbot Épineux Indien,Psettodidae,,
172706,Psettodes erumei,Spiny Turbot,,Psettodidae,,
172706,Psettodes erumei,Spottail Spiny Turbot,,Psettodidae,,
168641,Pseudocaranx dentex,Silver Trevally,Carangue Dentue,Carangidae,Subject to Histamine,Sujet à la production d'histamine
625280,Pseudocyttus maculatus,Smooth Oreo Dory,,Oreosomatidae,,
625280,Pseudocyttus maculatus,Oreo Dory,Saint-pierre De Nouvelle-zélande,Oreosomatidae,,
550677,Pseudophycis bachus,New Zealand Red Cod,Morue Rouge,Moridae,,
550677,Pseudophycis bachus,Red Cod,,Moridae,,
172905,Pseudopleuronectes americanus,Lemon Sole,,Pleuronectidae,,
172905,Pseudopleuronectes americanus,Winter Flounder,,Pleuronectidae,,
172905,Pseudopleuronectes americanus,Blackback,Limande Plie Rouge,Pleuronectidae,,
172905,Pseudopleuronectes americanus,Blackback Flounder,Plie Rouge,Pleuronectidae,,
172905,Pseudopleuronectes americanus,Flounder,,Pleuronectidae,,
172905,Pseudopleuronectes americanus,Sole,,Pleuronectidae,,
646550,Pseudotolithus elongatus,Croaker,Otolithe,Sciaenidae,,
646550,Pseudotolithus elongatus,Giant Captainfish,,Sciaenidae,,
646552,Pseudotolithus senegalensis,Captainfish,Ololithe,Sciaenidae,,
646552,Pseudotolithus senegalensis,Croaker,,Sciaenidae,,
646553,Pseudotolithus typus,Flathead Captainfish,,Sciaenidae,,
646553,Pseudotolithus typus,Croaker,Otolithe,Sciaenidae,,
169420,Pseudupeneus spp.,,,Mullidae,,
550968,Pterocaesio chrysozona,Goldband Fusilier,Caesio À Ceinture D'or,Caesionidae,,
166882,Pterois spp.,Lionfish,,Scorpaenidae,,
646699,Pterotolithus maculatus,Blotched Tiger-toothed Croaker,Courbine,Sciaenidae,,
646699,Pterotolithus maculatus,Croaker,,Sciaenidae,,
552950,Puerulus spp.,Whip Lobster,Langouste Fouet,Palinuridae,,
166387,Pungitius pungitius,Ninespine Stickleback,Épinoche,Gasterosteidae,,
166387,Pungitius pungitius,Stickleback,Épinoche À Neuf Épines,Gasterosteidae,,
689847,Puntius sarana,Bitterling,,Cyprinidae,,
689847,Puntius sarana,Olive Barb,,Cyprinidae,,
689847,Puntius sarana,,Barbue d'Asie,Cyprinidae,,
168566,Rachycentron canadum,Cobia,Cobia,Rachycentridae,,
160848,Raja binoculata,Skate,Raie,Rajidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
160851,Raja rhina,Skate,Raie,Rajidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
550913,Randallichthys spp.,Jobfish,Colas,Lutjanidae,,
172463,Rastrelliger brachysoma,Short Mackerel,Maquereau Trapu,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172462,Rastrelliger kanagurta,Indian Mackerel,Maquereau des Indes,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172462,Rastrelliger kanagurta,Mackerel,Maquereau,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172930,Reinhardtius hippoglossoides,Black Turbot,Flétan Noir,Pleuronectidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172930,Reinhardtius hippoglossoides,Greenland Turbot,Turbot,Pleuronectidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172930,Reinhardtius hippoglossoides,Newfoundland Turbot,Turbot Americain,Pleuronectidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172930,Reinhardtius hippoglossoides,American Turbot,Flétan De Groenland,Pleuronectidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172930,Reinhardtius hippoglossoides,Turbot,Turbot De Terre-neuve,Pleuronectidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
163381,Rhinichthys spp.,Dace,Dard,Cyprinidae,,
168909,Rhomboplites aurorubens,Beeliner,Vivaneau Ti-yeux,Lutjanidae,,
168909,Rhomboplites aurorubens,B-liner,Vivaneau Vermillion,Lutjanidae,,
168908,Rhomboplites spp.,Snapper,Vivaneau,Lutjanidae,,
51919,Rhopilema,Jellyfish,Méduse,Rhizostomatidae,,
639934,Rita rita,Bagrid Catfish,Poisson chat bagrid,Bagridae,,
639934,Rita rita,Rita,,Bagridae,,
646515,Roncador stearnsii,Spotfin Croaker,,Sciaenidae,,
646515,Roncador stearnsii,Croaker,,Sciaenidae,,
81439,Ruditapes variegatus,Clam,Palourde,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
639648,Rutilus frisii,Roach,Gardon,Cyprinidae,,
163761,Rutilus rutilus,Roach,Gardon,Cyprinidae,,
172364,Ruvettus pretiosus,Snake Mackerel,,Gempylidae,Subject to Histamine,Sujet à la production d'histamine
172364,Ruvettus pretiosus,Snake Mackerel,,Gempylidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172364,Ruvettus pretiosus,Escolar,Escolier,Gempylidae,Subject to Histamine,Sujet à la production d'histamine
172364,Ruvettus pretiosus,Escolar,Escolier,Gempylidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172364,Ruvettus pretiosus,Oilfish,Rouvet,Gempylidae,Subject to Histamine,Sujet à la production d'histamine
172364,Ruvettus pretiosus,Oilfish,Rouvet,Gempylidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
162116,Salangichthys microdon,Noodlefish,Salangidés,Salangidae,,
161996,Salmo salar,Atlantic Salmon,Saumon,Salmonidae,,
161996,Salmo salar,Salmon,Saumon Atlantique,Salmonidae,,
161997,Salmo trutta,Brown Trout,Truite Brune,Salmonidae,,
161997,Salmo trutta,Trout,,Salmonidae,,
639671,Salmostoma acinaces,Silver Razorbelly Minnow,Méné,Cyprinidae,,
639668,Salmostoma bacaila,Razorbelly Minnow,Méné,Cyprinidae,,
162001,Salvelinus alpinus,Arctic Charr,Omble De L'arctique,Salmonidae,,
162001,Salvelinus alpinus,Arctic Char,Omble Chevalier,Salmonidae,,
162001,Salvelinus alpinus,Char,,Salmonidae,,
162003,Salvelinus fontinalis,Trout,,Salmonidae,,
162003,Salvelinus fontinalis,Speckled Trout,,Salmonidae,,
162003,Salvelinus fontinalis,Brook Trout,Omble De Fontaine,Salmonidae,,
162000,Salvelinus malma,Trout,,Salmonidae,,
162000,Salvelinus malma,Char,Dolly Varden,Salmonidae,,
162000,Salvelinus malma,Dolly Varden Trout,Truite,Salmonidae,,
162000,Salvelinus malma,Dolly Varden,Omble,Salmonidae,,
162002,Salvelinus namaycush,Char,Touladi,Salmonidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
162002,Salvelinus namaycush,Grey Trout,,Salmonidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
162002,Salvelinus namaycush,Lake Trout,,Salmonidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
162002,Salvelinus namaycush,Trout,,Salmonidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
650171,Sander canadensis,Baby Pickerel,Doré Noir,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
650171,Sander canadensis,Sauger,,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
650171,Sander canadensis,Sauger Pike,,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
650172,Sander lucioperca,European Walleye,Sandre,Percidae,,
650172,Sander lucioperca,Pike-perch,Sandre Européen,Percidae,,
650172,Sander lucioperca,European Pickerel,Doré Européen,Percidae,,
650172,Sander lucioperca,Zander,,Percidae,,
650173,Sander vitreus,Yellow Pickerel,,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
650173,Sander vitreus,Walleye Pike,,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
650173,Sander vitreus,Walleye,,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
650173,Sander vitreus,Pickerel,Doré Jaune,Percidae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172408,Sarda chiliensis,Bonito,Bonite Du Pacifique Oriental,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172408,Sarda chiliensis,Tuna,,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172408,Sarda chiliensis,Tuna,,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172408,Sarda chiliensis,Pacific Bonito Tuna,,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172408,Sarda chiliensis,Pacific Bonito Tuna,,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172408,Sarda chiliensis,Pacific Bonito,,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172408,Sarda chiliensis,Pacific Bonito,,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172408,Sarda chiliensis,Eastern Pacific Bonito,,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172408,Sarda chiliensis,Eastern Pacific Bonito,,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172408,Sarda chiliensis,Bonito Tuna,Thon,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172408,Sarda chiliensis,Bonito,Bonite Du Pacifique Oriental,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172408,Sarda chiliensis,Bonito Tuna,Thon,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172410,Sarda orientalis,Striped Bonito,Bonite oriental,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172410,Sarda orientalis,Bonito,Bonite,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172409,Sarda sarda,Atlantic Bonito,Bonite À Dos Rayé,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172409,Sarda sarda,Atlantic Bonito Tuna,Thon,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172409,Sarda sarda,Atlantic Bonito,Bonite À Dos Rayé,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172409,Sarda sarda,Bonito,,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172409,Sarda sarda,Bonito,,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
172409,Sarda sarda,Atlantic Bonito Tuna,Thon,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172409,Sarda sarda,Tuna,,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172409,Sarda sarda,Tuna,,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161813,Sardina pilchardus,Sardine,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161813,Sardina pilchardus,Pilchard,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161763,Sardinella aurita,Pilchard,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161763,Sardinella aurita,Sardine,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161763,Sardinella aurita,Sardine,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
572698,Sardinella janeiro,Sardine,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
572698,Sardinella janeiro,Pilchard,Rodaballo,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551453,Sardinella longiceps,Indian Oil Sardine,Sardinelle Indienne,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551453,Sardinella longiceps,Oil Sardine,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161767,Sardinella maderensis,Pilchard,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161767,Sardinella maderensis,Sardine,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551460,Sardinella zunasi,Sardinella,Sardinelle,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551222,Sardinops melanostictus,Sardine,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551222,Sardinops melanostictus,Pilchard,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551223,Sardinops neopilchardus,Pilchard,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551223,Sardinops neopilchardus,,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551224,Sardinops ocellatus,Sardine,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
551224,Sardinops ocellatus,Pilchard,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161729,Sardinops sagax,Sardine,,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
161729,Sardinops sagax,Pilchard,Sardine,Clupeidae,Subject to Histamine,Sujet à la production d'histamine
622121,Sargocentron rubrum,Soldierfish,Poisson soldat,Holocentridae,,
622121,Sargocentron rubrum,Squirrelfish,Poisson écureuil,Holocentridae,,
648229,Sarotherodon galilaeus,St. Peter's Fish,,Cichlidae,,
648229,Sarotherodon galilaeus,Tilapia,,Cichlidae,,
649594,Sarotherodon melanotheron,Tilapia,Tilapia,Cichlidae,,
649594,Sarotherodon melanotheron,Blackchin Tilapia,,Cichlidae,,
162414,Saurida tumbil,Lizardfish,Anoli,Synodontidae,,
635339,Sauromuraenesox spp.,Pike-conger,,Muraenesocidae,,
568268,Saxidomus gigantea,Butter Clam,Palourde Jaune,Veneridae,Subject to Marine Toxins,Sujet aux toxines marines
170809,Scaridae spp,Parrotfish,Perroquet,Scaridae,,
170321,Scatophagus argus,Spotted Scad,Pavillon Tacheté,Scatophagidae,,
680783,Sciades parkeri,Gillbacker,,Ariidae,,
680783,Sciades parkeri,Gillebaka,,Ariidae,,
680783,Sciades parkeri,Sea Catfish,,Ariidae,,
169290,Sciaenops ocellatus,Red Drum,Tambour rouge,Sciaenidae,,
172415,Scomber australasicus,Blue Mackerel,Maquereau Tacheté,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172413,Scomber colias,Atlantic Chub Mackerel,Maquereau blanc,Scombridae,Subject to Histamine,Sujet à la production d'histamine
