ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
the hate u give,23,1.17,8.70%,55.56%,112.65,3.35
top of the lake,23,1.0,13.04%,30.43%,220.39,1.91
trouble no more,23,1.13,30.43%,42.31%,21.0,1.35
yoga,23,1.48,0.00%,50.00%,299.35,11.57
american assassin,22,1.09,9.09%,79.17%,33.18,1.45
bob dylan,22,1.14,40.91%,28.00%,238.73,8.77
flash,22,1.86,4.55%,29.27%,254.91,5.91
future hndrxx,22,1.0,0.00%,100.00%,6.64,0.0
grace and frankie,22,1.09,18.18%,70.83%,90.0,1.82
Harry Potter,22,1.27,0.00%,46.43%,248.55,7.59
kaitlyn Aurelia Smith,22,1.0,0.00%,100.00%,11.91,1.0
lion,22,1.27,4.55%,64.29%,281.14,9.36
manikanetish,22,1.36,0.00%,56.67%,113.91,4.45
neil young,22,1.09,0.00%,75.00%,220.05,5.55
nezet-seguin,22,1.05,0.00%,26.09%,24.45,1.95
Outlander,22,1.36,18.18%,33.33%,195.36,7.0
peaky blinders,22,1.14,9.09%,52.00%,261.95,5.59
serge bouchard,22,1.5,4.55%,36.36%,447.59,11.41
wonder,22,1.14,4.55%,60.00%,207.55,5.59
yaeji,22,1.09,0.00%,91.67%,12.82,0.0
bernard werber,21,1.67,4.76%,31.43%,305.43,9.86
cache-sexe,21,1.14,0.00%,70.83%,361.95,3.52
call of duty,21,1.62,0.00%,35.29%,218.33,10.33
Dan brown,21,1.0,4.76%,47.62%,212.57,6.0
de bois debout,21,1.14,4.76%,70.83%,238.43,4.0
donato carrisi,21,1.19,4.76%,56.00%,152.57,4.57
donna leon,21,1.19,0.00%,64.00%,254.43,5.86
ingrid falaise,21,1.33,9.52%,42.86%,192.71,3.67
java,21,1.71,4.76%,27.78%,279.0,8.76
kidnap,21,1.0,0.00%,90.48%,51.71,1.14
la bÃªte creuse,21,1.1,0.00%,69.57%,49.76,2.67
pfsense,21,1.0,0.00%,0.00%,3.86,1.0
pink floyd,21,1.19,4.76%,48.00%,353.52,12.81
spiderman,21,1.14,9.52%,50.00%,175.67,6.71
the catch,21,1.1,4.76%,82.61%,151.33,4.0
The witcher 3,21,1.48,0.00%,51.61%,125.24,4.57
this is us,21,1.33,4.76%,46.43%,118.62,7.62
u2,21,1.24,0.00%,50.00%,158.24,6.81
U2,21,1.24,9.52%,53.85%,77.14,3.1
anouar brahem,20,1.05,5.00%,66.67%,151.15,3.05
billions,20,1.0,5.00%,50.00%,161.3,4.35
brimstone,20,1.05,0.00%,80.95%,123.0,3.95
death in paradise,20,1.2,15.00%,62.50%,111.1,3.2
douglas kennedy,20,1.2,0.00%,50.00%,242.5,12.85
games of thrones,20,1.6,10.00%,31.25%,379.8,16.05
guy delisle,20,1.4,10.00%,57.14%,251.0,9.15
jacques cardinal,20,1.95,5.00%,0.00%,49.85,19.05
king arthur,20,1.3,0.00%,69.23%,305.15,7.85
lcd soundsystem,20,1.25,5.00%,60.00%,174.75,2.95
le jeu de la musique,20,1.3,0.00%,61.54%,190.8,5.2
marie kondo,20,1.85,5.00%,37.84%,353.4,10.25
mark manson,20,1.95,10.00%,28.21%,409.5,9.55
mary higgins clark,20,1.6,5.00%,46.88%,512.2,14.6
paula hawkins,20,1.3,0.00%,61.54%,267.8,4.85
The early years : 1972. Obfusc/ation,20,1.05,0.00%,4.76%,19.05,1.45
wordpress,20,1.95,10.00%,23.08%,512.6,10.15
asterix,19,1.47,5.26%,32.14%,213.21,7.32
bible,19,1.26,0.00%,62.50%,321.68,9.05
blindspot,19,1.37,0.00%,61.54%,98.84,5.21
christmas,19,1.68,5.26%,50.00%,573.89,28.32
fanny britt,19,1.21,0.00%,47.83%,182.21,6.26
games of throne,19,1.11,0.00%,76.19%,283.0,4.89
intelligence artificielle,19,1.37,0.00%,34.62%,686.79,22.32
Jean d'Ormesson,19,1.68,5.26%,21.88%,321.53,11.89
jo nesbo,19,1.74,10.53%,36.36%,299.37,5.89
la vie devant soi,19,1.74,0.00%,42.42%,188.84,4.79
le petit robert,19,1.11,0.00%,9.52%,68.05,2.42
lotta sea lice,19,1.0,0.00%,100.00%,12.68,0.0
