"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Martin Hagen,2017-10-31,1 day,London ,Departmental Business ,Rail ,Standard,Nil return,Nil return,£132.35,
Martin Hagen,2017-11-16,1 day,London ,Departmental Business ,Rail ,Standard,Nil return,Nil return,£98.20,
,,,,,,,,,,
Hayley Tatum,2017-12-06,1 day,London ,Departmental Business,Rail,standard ,Nil return,Nil return,£25.30,
,,,,,,,,,,
Robert Specterman-Green,2017-11-22,1 Day,Coventry,Departmental Business,Rail,Standard,£0.00,,£97.00,
,,,,,,,,,,
Richard Caseby,2017-10-20,1 Day,London,Departmental Business,Rail,Standard,£0.00,,£25.00,
,,,,,,,,,,
Ray Long,2017-10-05,1 Day,Newcastle,Departmental Business,Rail,Standard,,,£4.00,
Ray Long,2017-10-22,1 Day,Newcastle,Departmental Business,Rail,Standard,£65.00,,£197.70,
Ray Long,2017-10-23,1 Day,Newcastle,Departmental Business,Rail,Standard,,,£4.00,
Ray Long,2017-11-06,2 Days,Newcastle,Departmental Business,Rail,Standard,£130.00,,£278.85,
Ray Long,2017-11-13,2 Days,Newcastle,Departmental Business,,Standard,£130.00,,£283.00,
Ray Long,2017-11-15,1 Day,Newcastle,Departmental Business,Rail,Standard,,,£4.00,
Ray Long,2017-11-20,1 Day,Preston,Departmental Business,Rail / Taxi ,Standard ,,,£144.65,
Ray Long,2017-11-27,1 Day,Plymouth,Departmental Business,Rail / Taxi ,Standard ,£89.00,,£225.05,
Ray Long,2017-11-28,1 Day,Reading,Departmental Business,Rail / Taxi ,Standard ,,,£72.50,
Ray Long,2017-12-03,2 Days,Newcastle,Departmental Business,Rail,Standard,£130.00,,£270.70,
Ray Long,2017-12-10,1 Day,Newcastle,Departmental Business,Rail,Standard,£69.00,,£201.70,
Ray Long,2017-12-11,2 Days,Manchester/Oldham,Departmental Business,Rail / Taxi ,Standard ,£178.00,,£261.00,
Ray Long,2017-12-13,1 Day,"Euston, London",Departmental Business,Rail,Standard,,,£83.90,
Ray Long,2017-12-17,1 Day,Newcastle,Departmental Business,Rail,Standard,£65.00,,£197.90,
,,,,,,,,,,
Juan Villamil,2017-10-09,1 Day,Sheffield ,Departmental Business,Rail,Standard,,,£101.00,
Juan Villamil,2017-10-09,1 Day,London ,Departmental Business,Rail,Standard,,,£51.00,
Juan Villamil,2017-10-12,1 Day,Oxford,Departmental Business,Rail,Standard,,,£68.40,
Juan Villamil,2017-11-01,1 Day,Sheffield ,Departmental Business,Rail,Standard,,,£78.50,
Juan Villamil,2017-11-02,1 Day,Birchwood ,Departmental Business,Rail,Standard,,,£312.00,
Juan Villamil,2017-11-08,1 Day,Blackpool ,Departmental Business,Rail,Standard,,,£350.00,
Juan Villamil,2017-11-23,1 Day,Leeds,Departmental Business,Rail,Standard,,,£116.10,
