Title,Production Company,Director,Actor 1,Actor 2,Actor 3
The Princess Diaries,Walt Disney Pictures,Garry Marshall,Julie Andrews,Anne Hathway,
Time After Time,Orion Pictures Corp.,Nicholas Meyer,Malcolm McDowell,Mary Steenburgen,David Warner
Dirty Harry,The Malpaso Company,Don Siegel,Clint Eastwood,Harry Guardino,
Etruscan Smile,"Po Valley Productions, LLC",Oded Binnun/ Michel Brezis,Brian Cox,Roseanne Arquette,Thora Birch
The Rock,Hollywood Pictures,Michael Bay,Sean Connery,Nicolas Cage,
Sense8 - Season 2,"Unpronounceable Productions, LLC",Wachowski Siblings,Jamie Clayton,Daryl Hannah,Naveen Andrews
Looking Season 2 ep 205,"Mission Street Productions, LLC",Andrew Haigh,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Looking Season 2 ep 205,"Mission Street Productions, LLC",Andrew Haigh,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Bullitt,"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Steve McQueen,Jacqueline Bisset,Robert Vaughn
Crackers,Universal Pictures,Louis Malle,Donald Sutherland,Jack Warden,Sean Penn
Dopamine,Kontent Films,Mark Decena,John Livingston,Sabrina Lloyd,
Invasion of the Body Snatchers,Solofilm,Philip Kaufman,Donald Sutherland,Jeff Goldblum,Brooke Adams
The Dead Pool,Warner Bros. Pictures,Buddy Van Horn,Clint Eastwood,Liam Neeson,Patricia Clarkson
Pushing Dead,"Pushing Dead , LLC",Tom Brown,Danny Glover,James Roday,Robin Weigert
Alexander's Ragtime Band,Twentieth Century Fox Film Corporation,Henry King,Tyrone Power,Alice Faye,Don Ameche
Pushing Dead,"Pushing Dead , LLC",Tom Brown,Danny Glover,James Roday,Robin Weigert
Terminator - Genisys,T5 Productions LLC,Alan Taylor,Arnold Schwarzenegger,Jason Clarke,
180,SPI Cinemas,Jayendra,Siddarth,Nithya Menon,Priya Anand
High Crimes,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Madeline Kahn,
The House on Telegraph Hill,Twentieth Century Fox Film Corp.,Robert Wise,Richard Basehart,Valentina Cortese,William Lundigan
Bullitt,"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Steve McQueen,Jacqueline Bisset,Robert Vaughn
Getting Even with Dad,Metro-Goldwyn-Mayer (MGM),Howard Dutch,Macaulay Culkin,Ted Danson,
Sister Act,Touchstone Pictures,Emile Ardolino,Whoopi Goldberg,Maggie Smith,
GirlBoss,"Hippolyta Productions, LLC","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Britt Robertson,Ellie Reed,Amanda Rea
San Andreas,"Upside Down Productions, Inc.",Brad Peyton,Dwayne Johnson,,
Blue Jasmine,Perdido Productions,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Douglas
"Murder in the First, Season 2",Turner North Center Productions,Steven Bochcho,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance- Season 1 ep102,TVM Productions,Lenny Abrahamson,Hugh Laurie,Gretchen Mol,Ethan Suplee
Parks and Recreation,"NBC Universal Media, LLC",Dean Holland,Amy Poehler,,
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Douglas
Magnum Force,The Malpaso Company,Ted Post,Clint Eastwood,Hal Holbrook,Mitchell Ryan
Harold and Maude,Mildred Lewis and Colin Higgins Productions,Hal Ashby,Ruth Gordon,Bud Cort,
Etruscan Smile,"Po Valley Productions, LLC",Oded Binnun/ Michel Brezis,Brian Cox,Roseanne Arquette,Thora Birch
By Hook or By Crook,Steakhaus Productions,Harriet Dodge & Silas Howard,Silas Howard,,
Hemingway & Gelhorn,"Attaboy Films, For Whom Productions, Home Box Office (HBO)",Philip Kaufman,Nicole Kidman,Clive Owen,
Copycat,Regency Enterprises,Jon Amiel,Sigourney Weaver,Holly Hunter,
Casualties of War,Columbia Pictures Corporation,Brian DePalma,Michael J. Fox,Sean Penn,
Doctor Dolittle,Twentieth Century Fox Film Cooperation,Betty Thomas,Eddie Murphy,Ossie Davis,
Terminator - Genisys,T5 Productions LLC,Alan Taylor,Arnold Schwarzenegger,Jason Clarke,
A View to a Kill,Metro-Goldwyn Mayer,John Glen,Roger Moore,Christopher Walken,Tanya Roberts
The Conversation,American Zoetrope,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield
Quitters,"Frederick & Ashbury, LLC.",Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows
Sense8,"Unpronounceable Productions, LLC",The Wachowskis,Jamie Clayton,,
Red Widow,Beyond Pix,Alon Aranya,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.
Beautiful Boy,Big Indie Pictures,Felix van Groeningen,Steve Carell,Timothee Chalamet,Maura Tierney
When We Rise,Film 49 Productions,Gus Van Sant,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
Zodiac,Paramount Pictures,David Fincher,Jake Gyllenhaal,Mark Ruffalo,
Chance - Season 1 ep105,TVM Productions,Victoria Morrow,Hugh Laurie,Gretchen Mol,Ethan Suplee
