ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
julie byrne,55,1.02,1.82%,98.21%,6.85,1.0
leon rojus,53,1.04,1.89%,94.55%,7.53,0.09
perfume genius,53,1.11,1.89%,86.44%,63.0,1.42
star wars,53,1.36,0.00%,48.61%,372.32,11.92
vagabon,53,1.02,0.00%,100.00%,9.74,1.06
bat for lashes bride,52,1.0,0.00%,100.00%,14.31,1.0
mono no aware,52,1.0,0.00%,100.00%,7.65,1.0
priests nothing feels,52,1.0,1.92%,98.08%,6.25,1.02
young thug jeffery,52,1.02,0.00%,98.11%,8.35,1.1
narkopop,51,1.02,0.00%,98.08%,39.16,0.02
vaticanum,51,1.22,9.80%,61.29%,171.49,3.12
aa,50,1.26,0.00%,6.35%,223.12,5.66
migos culture,50,1.02,0.00%,96.08%,8.38,1.02
une simple histoire d'amour,50,1.58,2.00%,43.04%,118.18,2.64
moana,48,1.38,0.00%,54.55%,158.25,5.88
stephen king,48,1.15,4.17%,60.00%,353.0,8.31
marc levy,47,1.36,4.26%,51.56%,231.96,7.0
python,46,1.7,4.35%,44.87%,487.54,11.61
split,46,1.26,0.00%,60.34%,190.93,9.98
walking dead,46,1.11,0.00%,45.10%,227.11,8.13
crimes au musÃ©e,45,1.16,0.00%,40.38%,91.84,3.33
forest swords,45,1.02,0.00%,93.48%,34.44,2.44
guide de la route,45,1.47,4.44%,62.12%,315.84,4.67
silicon valley,45,1.07,11.11%,62.50%,130.4,2.56
mario pelchat,44,1.11,0.00%,46.94%,146.07,3.14
gorillaz,43,1.3,2.33%,69.64%,272.05,3.3
john grisham,43,1.12,4.65%,60.42%,231.67,7.47
Game of thrones,42,1.55,0.00%,23.08%,234.38,8.62
japandroids,42,1.0,16.67%,73.81%,98.95,3.14
father john misty,41,1.02,2.44%,85.71%,45.07,1.29
nelly,40,1.13,2.50%,71.11%,79.58,4.93
Nora Roberts,40,1.48,0.00%,13.56%,287.25,13.45
Planet Earth II,40,1.03,2.50%,90.24%,10.93,1.15
yoga,40,1.48,0.00%,50.85%,544.65,17.15
expo 67,39,1.33,5.13%,34.62%,275.95,6.79
foxygen,39,1.03,0.00%,97.50%,12.95,1.23
kendrick lamar,39,1.23,0.00%,60.42%,150.26,4.31
marissa nadler,39,1.03,7.69%,92.50%,15.41,1.15
once upon a time,39,1.51,7.69%,52.54%,217.03,6.23
orange is the new black,39,1.31,2.56%,54.90%,320.97,5.38
the fall,39,1.21,2.56%,48.94%,117.46,5.59
Xbox one,39,1.69,7.69%,16.67%,265.85,11.41
james patterson,38,1.08,10.53%,43.90%,169.53,8.95
Logan,38,1.0,13.16%,60.53%,68.11,1.61
nora roberts,38,1.16,5.26%,45.45%,372.47,12.29
The Affair,38,1.39,2.63%,47.17%,103.32,4.84
inferno,37,1.19,0.00%,54.55%,189.38,6.49
Lion,37,1.19,8.11%,59.09%,253.97,5.65
rogue one,37,1.3,2.70%,43.75%,123.43,4.89
american horror story,36,1.11,0.00%,62.50%,130.33,5.0
hval,36,1.03,2.78%,83.78%,32.5,1.83
margaret atwood,36,1.25,0.00%,71.11%,246.22,7.42
ray donovan,36,1.17,11.11%,64.29%,173.11,3.83
robert's summa theologica robert markland smith,36,1.22,0.00%,4.55%,16.53,1.25
sapiens,36,1.53,0.00%,40.00%,243.92,6.31
wordpress,36,2.03,2.78%,34.25%,522.81,13.08
beatles,35,1.2,0.00%,57.14%,193.6,7.51
bine,35,1.14,5.71%,15.00%,83.09,2.66
girlpool,35,1.03,0.00%,91.67%,10.49,1.03
nos forets chantÃ©es,35,1.06,42.86%,35.14%,109.83,1.06
dalida,34,1.47,5.88%,38.00%,429.06,13.18
islande,34,1.26,0.00%,32.56%,273.09,4.97
manchester by the sea,34,1.12,0.00%,63.16%,225.32,4.59
Marc levy,34,1.35,5.88%,50.00%,215.62,7.65
Valerie chevalier,34,1.44,11.76%,30.61%,157.68,2.5
bon cop bad cop,33,1.18,6.06%,53.85%,236.55,4.52
devendra ape,33,1.0,0.00%,100.00%,20.06,1.48
Fred vargas,33,1.09,9.09%,50.00%,224.82,4.42
inhumaines,33,1.03,6.06%,29.41%,89.61,1.24
mutual benefit,33,1.0,0.00%,96.97%,13.21,1.3
paterson,33,1.09,6.06%,83.33%,50.12,1.42
suits,33,1.12,9.09%,56.76%,164.24,3.39
isabelle boulay,32,1.06,9.38%,50.00%,94.13,3.72
michael connelly,32,1.13,3.13%,50.00%,138.84,8.53
moonlight,32,1.31,0.00%,69.05%,69.13,6.0
moulettes,32,1.03,40.63%,36.36%,48.75,1.44
poldark,32,1.28,18.75%,34.15%,319.22,5.09
Vaticanum,32,1.09,15.63%,54.29%,151.5,2.41
american gods,31,1.58,0.00%,44.90%,223.71,5.13
fargo,31,1.42,3.23%,56.82%,291.45,4.35
goldfrapp,31,1.06,9.68%,72.73%,80.87,2.13
musso,31,1.29,6.45%,57.50%,201.87,8.23
portugal,31,2.03,3.23%,33.33%,304.0,13.74
pour l'amour de Mathilde,31,1.0,0.00%,100.00%,22.42,1.0
beauty and the beast,30,1.33,6.67%,42.50%,244.17,8.13
chanson douce,30,1.4,3.33%,61.90%,172.57,3.83
john wick,30,1.33,3.33%,57.50%,115.5,2.87
Le plongeur,30,1.37,3.33%,26.83%,193.6,5.03
westworld,30,1.03,13.33%,67.74%,165.73,2.97
better call saul,29,1.34,3.45%,38.46%,186.14,3.79
Fred Vargas,29,1.21,10.34%,28.57%,247.69,4.07
future islands field,29,1.1,3.45%,90.63%,17.1,0.59
gotham,29,1.28,0.00%,59.46%,298.86,6.55
guy delisle,29,1.62,3.45%,46.81%,359.14,8.86
java,29,1.45,3.45%,50.00%,266.55,9.76
La femme qui fuit,29,1.45,0.00%,35.71%,266.93,5.31
la voix policiere,29,2.24,3.45%,7.69%,33.14,3.62
le petit robert,29,1.03,0.00%,10.00%,36.1,2.48
les nombrils,29,1.38,3.45%,72.50%,484.52,8.0
Musso,29,1.31,0.00%,36.84%,237.24,7.17
pink floyd,29,1.31,6.90%,52.63%,162.9,10.38
silence,29,1.38,0.00%,55.00%,235.69,8.62
arca,28,1.04,3.57%,89.66%,34.04,1.71
c,28,1.61,0.00%,51.11%,424.5,12.11
danielle steel,28,1.39,7.14%,51.28%,317.18,7.25
feux,28,1.18,0.00%,45.45%,207.75,3.5
francois morency,28,1.04,0.00%,72.41%,696.04,11.61
juste la fin du monde,28,1.32,0.00%,59.46%,232.86,7.04
la femme du gardien de zoo,28,1.04,3.57%,86.21%,30.11,1.14
Michael connelly,28,1.14,7.14%,59.38%,162.46,5.68
sully,28,1.07,0.00%,70.00%,322.71,9.29
un appartement a paris,28,1.39,3.57%,53.85%,122.11,3.71
blade runner,27,2.0,0.00%,33.33%,294.11,7.07
camilla lackberg,27,1.63,3.70%,45.45%,293.59,9.11
diana krall,27,1.07,0.00%,48.28%,204.7,4.59
doctor strange,27,1.26,0.00%,64.71%,185.81,6.56
fences,27,1.22,3.70%,63.64%,200.44,6.33
Madame figaro,27,1.22,0.00%,39.39%,26.19,2.81
mary higgins clark,27,1.26,3.70%,55.88%,96.33,4.85
mommy,27,1.41,3.70%,60.53%,210.74,3.52
murakami,27,1.19,0.00%,59.38%,179.7,6.56
black sails,26,1.15,7.69%,63.33%,207.5,4.77
denial,26,1.0,0.00%,57.69%,29.62,1.65
get out,26,1.31,0.00%,67.65%,230.19,11.77
Guillaume musso,26,1.35,3.85%,34.29%,189.42,6.73
Guillaume Musso,26,1.5,7.69%,43.59%,208.77,6.15
ielts,26,2.35,0.00%,31.15%,615.42,14.54
jlin,26,1.0,0.00%,100.00%,36.58,1.04
le jardin de PÃ©tronille,26,1.04,0.00%,96.30%,19.04,1.04
le petit prince,26,1.65,0.00%,46.51%,464.04,12.15
naruto,26,1.42,0.00%,59.46%,369.81,5.81
new pornographers conditions,26,1.04,0.00%,96.30%,7.46,0.54
passengers,26,1.27,0.00%,51.52%,123.92,6.81
paul mccartney,26,1.04,0.00%,29.63%,433.62,14.69
Quand sort la recluse,26,1.12,19.23%,51.72%,48.42,2.5
van morrison,26,1.0,0.00%,84.62%,132.23,3.65
alien,25,1.24,4.00%,61.29%,190.8,5.52
clark death peak,25,1.0,0.00%,96.00%,59.24,0.76
criterion,25,1.28,0.00%,34.38%,668.56,17.68
Elena ferrante,25,1.64,8.00%,19.51%,421.24,7.32
everything everything,25,1.84,4.00%,50.00%,259.4,7.32
mr robot,25,1.16,0.00%,62.07%,170.28,4.72
prometheus,25,1.36,0.00%,47.06%,284.72,8.08
psychologie,25,1.68,8.00%,38.10%,261.28,7.76
the founder,25,1.4,0.00%,68.57%,227.64,8.0
the handmaid's tale,25,1.52,4.00%,39.47%,113.8,4.48
vegan,25,1.76,16.00%,34.09%,463.4,13.6
a monster calls,24,1.13,12.50%,62.96%,50.58,2.29
agriculture urbaine,24,1.29,0.00%,51.61%,278.54,6.42
bob dylan,24,1.33,0.00%,65.63%,684.96,16.0
david jalbert,24,1.08,4.17%,53.85%,43.21,2.38
Figaro magazine,24,1.29,0.00%,25.81%,80.0,3.13
la tortue rouge,24,1.17,4.17%,67.86%,26.75,1.42
lee child,24,1.17,8.33%,53.57%,74.71,3.17
lisa gardner,24,1.38,0.00%,48.48%,347.42,9.5
madame figaro,24,1.0,0.00%,54.17%,128.46,3.79
normand baillargeon,24,1.38,16.67%,33.33%,160.96,5.88
orphan black,24,1.25,4.17%,60.00%,280.0,4.92
patrick senecal,24,1.46,0.00%,54.29%,257.17,6.13
philip kerr,24,1.46,0.00%,51.43%,328.71,12.04
photographie,24,1.58,4.17%,44.74%,353.25,11.63
roman,24,1.17,0.00%,50.00%,316.83,11.0
sylvain tesson,24,1.33,0.00%,46.88%,446.79,7.79
the girl on the train,24,1.29,0.00%,54.84%,258.63,8.08
the walking dead,24,1.25,4.17%,46.67%,157.13,6.38
vernon subutex,24,1.71,12.50%,19.51%,313.08,7.17
biographie,23,1.17,4.35%,40.74%,353.43,10.48
comptabilitÃ© contemporaine,23,2.04,4.35%,10.64%,466.7,12.3
dev patel,23,1.0,0.00%,86.96%,60.3,3.52
dexter,23,1.22,0.00%,28.57%,153.13,5.0
dire adieu aux manipulateurs,23,1.0,0.00%,100.00%,27.74,1.96
dos santos,23,1.13,4.35%,57.69%,215.87,4.83
espagnol,23,1.3,0.00%,60.00%,431.22,8.96
handmaid's tale,23,1.48,4.35%,52.94%,209.43,7.09
india desjardins,23,1.35,4.35%,51.61%,219.43,4.7
kim thuy,23,2.22,4.35%,25.49%,336.43,12.91
michel tremblay,23,1.09,8.70%,72.00%,320.87,5.52
scandal,23,1.0,4.35%,60.87%,87.91,2.0
selfies,23,1.17,4.35%,74.07%,117.13,4.7
sing,23,1.35,0.00%,58.06%,266.52,6.7
star trek,23,1.35,0.00%,45.16%,531.35,11.96
supernatural,23,1.35,8.70%,45.16%,246.3,8.35
tfi,23,1.96,8.70%,33.33%,242.61,7.78
zelda,23,1.13,0.00%,57.69%,220.74,6.17
1:54,22,1.14,0.00%,60.00%,60.59,3.82
13 reasons why,22,1.55,0.00%,55.88%,104.86,2.77
adler olsen,22,1.36,0.00%,33.33%,232.27,5.86
conduire un vÃ©hicule de promenade,22,2.32,0.00%,17.65%,224.09,10.41
en as-tu vraiment besoin,22,1.45,0.00%,46.88%,265.5,7.5
fairy tail,22,1.41,0.00%,70.97%,255.36,4.09
grimm,22,1.0,0.00%,77.27%,135.91,3.73
happy valley,22,1.0,9.09%,86.36%,38.73,1.14
la fille du train,22,1.18,0.00%,80.77%,129.41,4.77
la veuve,22,1.32,0.00%,65.52%,189.41,4.64
permaculture,22,1.55,0.00%,41.18%,300.32,7.91
persona,22,1.05,9.09%,69.57%,263.14,3.36
resident evil,22,1.36,9.09%,60.00%,184.41,7.64
session Ãglise catholique,22,1.14,0.00%,0.00%,90.68,1.45
tokyo ghoul,22,1.23,0.00%,62.96%,92.14,3.68
veep,22,1.23,0.00%,62.96%,208.23,10.64
113 minutes,21,1.0,38.10%,52.38%,55.0,0.9
agatha christie,21,1.29,0.00%,74.07%,356.81,10.33
broadchurch,21,1.1,14.29%,65.22%,58.0,2.38
ComptabilitÃ© contemporaine,21,1.86,4.76%,7.69%,415.62,13.52
fantastic beasts,21,1.14,0.00%,70.83%,124.33,5.43
feist,21,1.05,14.29%,68.18%,177.9,2.67
hacksaw ridge,21,1.14,0.00%,66.67%,79.76,4.95
Hidden figures,21,1.33,4.76%,75.00%,76.43,0.76
homosexuel,21,1.05,0.00%,0.00%,13.05,2.81
House of cards,21,1.52,4.76%,31.25%,124.0,4.43
jenny han,21,1.1,4.76%,69.57%,203.9,3.19
la servante Ã©carlate,21,1.24,9.52%,26.92%,340.0,8.62
leonard cohen,21,1.29,0.00%,51.85%,438.9,9.86
les figures de l'ombre,21,1.14,28.57%,66.67%,21.81,0.29
machine learning,21,2.0,4.76%,52.38%,398.86,11.33
the crown,21,1.33,23.81%,50.00%,181.86,3.05
the wire,21,1.38,0.00%,48.28%,180.38,6.86
timber timbre,21,1.0,19.05%,76.19%,132.0,2.67
