Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Aleksei Doroshko,15/05/2019,2,"Newcastle Upon Tyne, Sheffield",Meeting with colleagues,"Bus, Rail, Taxi",Standard,"Hotel - £71.33, Meals - £8.75",,£291.58,
Aleksei Doroshko,21/05/2019,1,King's Court Office,Engineering Practice Team Meeting,Bus,Standard,,,£4.70,
Aleksei Doroshko,23/05/2019,1,"Manchester, Sheffield",Digital Executive Team Meeting,"Rail, Taxi",Standard,Meals - £7.38,,£105.08,
Aleksei Doroshko,28/05/2019,4,"Manchester, Sheffield",Training course,"Rail, Taxi",Standard,"Hotels - £255.60, Meals - £86.35",,£396.15,
Aleksei Doroshko,03/06/2019,1,"Manschester , Sheffield",Meeting with colleagues,"Rail, Taxi",Standard,,,£66.20,
Aleksei Doroshko,05/06/2019,1,Office,Meetings with colleagues and team,Bus,Standard,Meals - £5.00,,£9.70,
Aleksei Doroshko,07/06/2019,1,London St Pancras,Meetings with colleagues and team,Rail ,Standard,,,£121.50,
Aleksei Doroshko,14/06/2019,1,"London St Pancras, Sheffield",Meeting with colleagues,"Rail, Taxi",Standard,,,£232.70,
Aleksei Doroshko,17/06/2019,1,King's Court office,Meeting with colleagues,Bus,Standard,,,£4.70,
Aleksei Doroshko,18/06/2019,1,DWP story Sheffield office,Presenting an event to colleagues,Bus,Standard,,,£4.70,
Aleksei Doroshko,19/06/2019,2,"Newcastle, Sheffield",Strategic service review meeting,"Rail, Metro, Tube, Taxi",Standard,Meals - £7.55,,£148.85,
Paul Lodge,01/04/2019,2,York,Gold Commander Training,Hire Car,,accommodation provided by training provider,,Not Known,
Paul Lodge,08/04/2019,2,london,Senior Civil Sservant Coaching Session,Rail,Standard,,,£321.00,
Paul Lodge,10/08/2019,2,Birmingham,Directors away day,Rail,Standard,£68.00 - Hotel,,£293.75,
Paul Lodge,24/04/2019,2,Oxford,Risk management Master Class,Rail,Standard,"£79.00 Said Business School, Egrove park",,£406.30,
Paul Lodge,22/05/2019,1,london,Universal Credit - The Mid Point Mega Show and Telll,Rail,Standard,,,£161.00,
Paul Lodge,22/05/2019,1,Manchester,ahead of DET held in Manchester on 23/5,Rail,Standard,£67.00 Hotel,,£243.00,
Paul Lodge,23/05/2019,1,Newcastle,Digital Executive Team,Rail,Standard,,,£74.00,
Paul Lodge,04/06/2019,1,Birmingham,Spending Review,Rail,Standard,,,£226.50,
Paul Lodge,10/06/2019,2,Leeds,Senior Leadership Team event,Rail,Standard,196.00 for 24 hour day delegate rate,,£285.25,
Paul Lodge,13/06/2019,1,Leeds,Digital Executive Team,Rail,Standard,,,£90.00,
Paul Lodge,25/06/2019,2,london,Public Sector Solutions Expo,Rail,Standard,£169.50 - Hotel,,£490.50,
Nick Harrison,03/04/2019,2,Leeds,Internal Meeting - Function review,Rail ,Standard,£77.00,£0.00,£190.50,NIL return
Nick Harrison,09/04/2019,3,Manchester / Birmingham,Internal Meetings Manchester/ Directors Away Day Birmingham,Rail ,Standard,£206.68,£0.00,£452.13,NIL return
Nick Harrison,15/04/2019,2,York,Personal Training - Gold Commander Training,"Rail, Taxi",Standard,£0.00,£33.00,£222.25,NIL return
Nick Harrison,18/04/2019,1,Newcastle,Internal meeting - Service Review,"Rail, Metro",Standard,£89.00,£2.90,£412.50,NIL return
Nick Harrison,23/04/2019,2,Newcastle,Internal meeting - 121's and Executive team meeting,"Rail, Metro",Standard,£93.60,£8.40,£348.00,NIL return
Nick Harrison,01/05/2019,1,Manchester,Internal Meeting - Senior Leadership Team,Rail ,Standard,£0.00,£0.00,£259.00,NIL return
Nick Harrison,15/05/2019,1,Newcastle,Internal meeting - Service Review,"Rail , Metro",Standard,£87.25,£4.20,£322.30,NIL return
Nick Harrison,20/05/2019,1,Newcastle,Internal meeting - Service Design Forum,"Rail, Metro",Standard,£0.00,£4.20,£161.05,NIL return
Nick Harrison,30/05/2019,1,Newcastle,Internal meeting - Service Review,"Rail, Taxi",Standard,£84.00,£40.00,£398.80,NIL return
Nick Harrison,04/06/2019,1,Birmingham,Internal meeting - Directors SR Session,Rail ,Standard,£4.00,£0.00,£98.35,NIL return
Nick Harrison,13/06/2019,1,Leeds,Internal meeting - Executive team meeting,Rail ,Standard,£97.00,£0.00,£286.25,NIL return
Nick Harrison,19/06/2019,1,Newcastle,Internal meeting - Service Review,"Rail , Metro",Standard,£4.65,£4.20,£165.70,NIL return
Nick Harrison,25/06/2019,1,Ipswich,DWP Story facilitation,Rail ,Standard,£8.99,£0.00,£103.99,NIL return
Nick Harrison,27/06/2019,1,Newcastle,Internal meeting - Executive team meeting,"Rail,  Metro",Standard,£74.00,£4.20,£309.05,NIL return
Nick Joicey ,27/03/2019,2,Sheffield,Finance Executive Team meeting / Cavendish Court JCP visit,Rail ,Standard,£70.60 + £15.00,,£241.15,
Nick Joicey ,08/04/2019,1,Newcastle,Various meetings in DWP Hub,Rail ,Standard,,,£14.90,
Nick Joicey ,09/04/2019,1,Leeds,Various meetings in DWP Hub,Rail ,Standard,,,£25.60,
Nick Joicey ,10/04/2019,2,Birmingham,Various meetings in DWP Hub / Directors Away Day,Rail ,Standard,£106.04,,£215.59,
Nick Joicey ,17/04/2019,1,London Liverpool Street,DARAC meeting,Rail ,Standard,,,£59.00,
Nick Joicey ,24/04/2019,2,Leeds,Finance Executive Team meeting,Rail ,Standard,£83.60,,£139.10,
Nick Joicey ,15/05/2019,2,Sheffield,SLG event / Grimsby Service Centre visit,Rail ,Standard,£79.93,,£214.63,
Nick Joicey ,22/05/2019,1,Cardiff,Government Finance Event / Cardiff Charles St JCP visit,Rail ,Standard,,,£129.00,
Nick Joicey ,29/05/2019,2,Blackpool,Finance Executive Team meeting,Rail ,Standard,£83.60,,£178.40,
Nick Joicey ,04/06/2019,1,Birmingham,Directors' Session ,Rail ,Standard,,,£91.35,
Nick Joicey ,26/06/2019,1,Newcastle,Meeting was cancelled,Rail ,Standard,£0.60,,,
Jane Cunliffe ,07/03/2019,1,Birmingham,SLT away day,Rail ,Standard,£0.00,£0.00,£108.80,
Jane Cunliffe ,27/03/2019,2,Sheffield,FET meeting,Rail ,Standard,£97.10,£0.00,£209,
Jane Cunliffe ,25/04/2019,2,Leeds,FET meeting,Rail ,Standard,£5.00,£0.00,£178.70,
Jane Cunliffe ,15/05/2019,1,Sheffield,SLG Event,Rail ,Standard,£3.98,£0.00,£190,
Jane Cunliffe ,16/05/2019,1,Canterbury,Site Visit,Rail ,Standard,£10.00,£0.00,£57,
Jane Cunliffe ,20/05/2019,2,Sheffield,Directorate awayday,Rail ,Standard,£0.00,£0.00,£207,
Jane Cunliffe ,04/06/2019,1,Birmingham,Director's event,Rail ,Standard,£0.00,£0.00,£96,
Jane Cunliffe ,06/06/2019,1,Leeds,Site Visit,Rail ,Standard,£22.10,£0.00,£169,
Jane Cunliffe ,19/06/2019,1,Grantham ,Site Visit,Rail ,Standard,£0.00,£0.00,£59,
Jane Cunliffe ,26/06/2019,2,Newcastle,FET meeting,Rail ,Standard,£48.35,£0.00,£210,
Tara Smith ,01/04/2019,2,York,Security Training,Car,Standard,,,£33.30,
Tara Smith ,04/04/2019,1,London,Meeting with NAO,Rail,Standard,£4.59,,£275.39,
Tara Smith ,10/04/2019,2,Birmingham,Directors away day,Rail,Standard,£109.75,,£258,
Tara Smith ,25/04/2019,2,Edinburgh,ET meeting on behalf of FDG,Rail,Standard,,,£121.20,
Tara Smith ,30/04/2019,1,Runcorn,Meeting with staff,Rail,Standard,,,£79,
Tara Smith ,08/05/2019,1,London,Moderating meeting,Rail,Standard,,,£266,
Tara Smith ,15/05/2019,1,Sheffield,Senior leadership Group,Rail,Standard,,,£23,
Tara Smith ,21/05/2019,1,Sheffield,Meeting with staff,Rail,Standard,,,£32,
Tara Smith ,22/05/2019,1,London,OGD meeting on behalf of FDG,Rail,Standard,,,£271,
Tara Smith ,29/05/2019,2,Peel Park,Finance Executive Team meeting,Car,Standard,£87.75,,£222,
Tara Smith ,04/06/2019,1,Birmingham,Directors SR session,Rail,Standard,£5.00,,£142,
Tara Smith ,06/06/2019,1,Barnsley,Host DWP Story Event,Rail,Standard,,,£16,
Tara Smith ,11/06/2019,1,Sheffield,Workshop attendance,Rail,Standard,,,£32,
Tara Smith ,18/06/2019,1,London,Meeting with staff,Rail,Standard,,,£271,
Tara Smith ,21/06/2019,1,London,DARAC,Rail,Standard,,,£180,
Stuart Proud,13/03/2019,1,"Peel Park, Blackpool",Programme workshop,Car,Standard,,£25.00,£25.00,
Stuart Proud,19/03/2019,1,"Quarry House, Leeds",F2F Team meeting,Car,Standard,,£37.00,£37.00,
Stuart Proud,20/03/2019,1,"Caxton House, London",Programme Board and Stand-up,Rail,Standard,,£12.50,£12.50,
Stuart Proud,21/03/2019,1,Manchester,Stand-up,Rail,Standard,,£14.20,£14.20,
Campbell Mccafferty,19/03/2019,1,Newcastle,Welcome To Your Future - Senior Leader session,Rail,Standard,£20.00,None,£185.00,NIL return
Campbell Mccafferty,20/03/2019,1,Oxford,"MPLA Masterclass, Oxford Business School, Oxford",Rail,Standard,None,None,£182.70,NIL return
Campbell Mccafferty,26/03/2019,2,Sheffield ,"FET March - Sheffield, Hartshead Square",Rail,Standard,£32.44,None,£135.34,NIL return
Campbell Mccafferty,11/04/2019,1,Birmingham,Directors' away day,Rail,Standard,£111.59,None,£276.34,NIL return
Campbell Mccafferty,18/04/2019,1,High Wycombe ,High Wycombe Jobcentre visit,Taxi,Standard,None,None,£38.70,NIL return
Campbell Mccafferty,23/04/2019,3,Glasgow,"Cyber UK, Glasgow",Air,Standard,£50.00,None,£328.66,NIL return
Campbell Mccafferty,29/04/2019,5,Oxford,"MPLA Course, Saïd Business School, 
University of Oxford",Car,Standard,None,None,£46.80,NIL return
Campbell Mccafferty,13/05/2019,2,Leeds,Grade 6s Face to Face & Strategy meeting,Rail,Standard,£86.64,None,£133.19,NIL return
Campbell Mccafferty,04/06/2019,1,Sheffield ,SLT Face to Face,Rail,Standard,£4.99,None,£202.49,NIL return
Campbell Mccafferty,11/06/2019,1,Leeds,ESRM Conference,Rail,Standard,£214.30,None,£214.30,NIL return
Sue Moore ,02/04/2019,2,London ,Meetings - internal to DWP,Rail,Standard,£175.59,£36.95,£212.54,NIL return
Sue Moore ,07/05/2019,3,London ,Meetings - internal to DWP to include the Risk Assurance Board,Rail,Standard,£222.55,£221.70,£444.25,NIL return
Sue Moore ,22/05/2019,1,Lancaster ,Risk Assurance Division Conference,Car,,,£44.10,£44,NIL return
Sue Moore ,04/06/2019,1,Biringham ,Directors Meeting - Spending Review,Rail,Standard,£78.80,,£78.80,NIL return
Sue Moore ,11/06/2019,1,London ,Meetings - internal to DWP including Perm Sec meeting,Rail,Standard,£164.30,,£164,NIL return
Sue Moore ,25/06/2019,2,London ,Meetings - internal to DWP to include the Risk Assurance Board,Rail,Standard,£144.60,,£145,NIL return
Debbie Alder,10/04/2019,1,Birmingham,Director away day,Rail,Standard,£101.99,,£212.74,NIL return
Debbie Alder,24/04/2019,3,Glasgow/Edinburgh,ET/Scottish Government visit,"Air, Rail",Standard,£162.15,£53.40,£549,NIL return
Debbie Alder,03/05/2019,1,Manchester,P&C Road Show,Rail,Standard,£5.00,£5.00,£179.80,NIL return
Debbie Alder,08/05/2019,2,Bristol,P&C Road Show,Rail,Standard,£103.00,£55.60,£303,NIL return
Debbie Alder,10/05/2019,1,Leeds,P&C Road Show,Rail,Standard,,£5.70,£90,NIL return
Debbie Alder,16/05/2019,1,St Albans,DWP Story - Staff Engagment,Rail,Standard,,,£13,NIL return
Debbie Alder,20/05/2019,2,Sheffield,P&C Conference,Rail,Standard,£211.20,£4.40,£328,NIL return
Debbie Alder,01/06/2019,,,Professional Fees,,,,,£216,NIL return
Debbie Alder,24/06/2019,1,Cardiff,CS Live - Speaker,Rail,Standard,£86.60,,£236,NIL return
Debbie Alder,27/06/2019,1,Birmingham,CS Live - Speaker,Rail,Standard,£5.00,,£92,NIL return
Charlotte Clark,06/11/2018,1,Buxted,To attend TPR (The Pension Regulator) Awayday,Taxi,Taxi both ways,1 night accomodation.  1 Evening meal and 1 breakfast,No DWP expense - paid for by TPR,£13.40,NIL return
Charlotte Clark,20/11/2018,1,London , Holborn - SFGB Interviews (COO),Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,20/11/2018,1,London ,Canary Wharf - KPMG - Crossing Thresholds mentoring,Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,22/11/2018,1,Leeds,Policy SLT Away day,Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,11/12/2018,1,London ,Mtg with NEST (Canary Wharf) and DoDs Workshop (London Bridge),Tube,Various locations,None,None,£7.20,NIL return
Charlotte Clark,04/01/2019,1,London ,Prep for Inquiry Workshop,Bus,,None,None,£1.50,NIL return
Charlotte Clark,08/01/2019,1,London ,Inquiry Workshop,Bus,,None,None,£3.00,NIL return
Charlotte Clark,09/01/2019,1,London ,Paddington - Visit to Smart Pensions,Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,16/01/2019,2,Dorking,Leadership Course (Hartsfield Manor),"Rail , Taxi",Standard,None,None,£34.60,NIL return
Charlotte Clark,01/02/2019,1,London ,ET Org Design mtg at Deloitte,Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,05/02/2019,1,London ,Fidelity's Women & Money Innovation Lab Event,Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,19/02/2019,1,London ,Meeting at NEST   Canary Wharf,Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,13/03/2019,1,London ,Visiting Kennington Jobcentre,Bus,,None,None,£1.50,NIL return
Charlotte Clark,18/03/2019,1,London ,Attending Joint Industry Forum (Pensions Management Forum) Mtg,Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,19/03/2019,1,Brighton,Speaking at TPR (The Pension Regulator) Event,Tube,,None,None,£2.40,NIL return
Charlotte Clark,20/03/2019,1,London ,"(Holborn) Korn Ferry, Ryder Court (DWP coaching session)",Tube,,None,None,£2.40,NIL return
Charlotte Clark,02/04/2019,1,London ,(Holborn)Meeting with SFGB (Single Financial Guidance Body),Tube,,None,None,£2.40,NIL return
Charlotte Clark,03/04/2019,1,London ,Mtg with PLSA (Pensions and Lifetime Savings Association ,Tube,Return,None,None,£4.80,NIL return
Charlotte Clark,10/04/2019,1,Birmingham / Coventry,Directors Away day,Tube and Rail,Standard,£85.60,None,£134.00,NIL return
Charlotte Clark,24/04/2019,1,Leeds,Deputy Director Mtg Quarry Hse,Tube and Rail,Standard,£87.50,2 rooms booked @£75.00 per night.  1 for C. Clark and 1 for Y Woolven (Business Manager),£209.25,NIL return
Charlotte Clark,01/05/2019,3,Blackpool and Manchester,Apprenticeshop Workshop Holborn.  Visit to Peel Park.   Manchester P&C Roadshow,Tube and Rail,Standard,£168.20,£0.60 for Hotel in Blackpool.,£414.20,NIL return
Charlotte Clark,07/05/2019,1,London ,Holborn - SFGB Interview,Tube,Return,,,£4.80,NIL return
Charlotte Clark,09/05/2019,2,London and Leeds,Mtg and PWC London and P&C Roadshow Leeds,Tube and Rail,Standard,£80.40,None,£273.20,NIL return
Charlotte Clark,14/05/2019,2,Dorking,Leadership Course (Hartsfield Manor),Train and Taxi,Standard,,None,£34.30,NIL return
Charlotte Clark,20/05/2019,3,Sheffield,P&C Conference,Tube and Train,Standard,£182.93,None,£316.23,NIL return
Charlotte Clark,27/05/2019,2,Plymouth,DWP Story,"lTube, Taxi, Rai",Standard,£67.30,None,£207.13,NIL return
Charlotte Clark,05/06/2019,1,Leeds,Deputy Director Mtg Quarry Hse,Train,Standard,None,None,£76.20,NIL return
Charlotte Clark,17/06/2019,3,Leeds and Sheffield,"Training course Leeds, various mtgs Sheffield and Team mtg Leeds",Rail,Standard,£130.60,None,£247.10,NIL return
Charlotte Clark,02/07/2019,1,Sunderland,DWP Story,Rail,Standard,£130.00,Delivered DWP Story on 03/07/2019.,£130.00,NIL return
Crystal Akass,10/04/2019,2,Birmingham,Director's Awayday,Rail,Standard,,,£128.10,NIL return
Crystal Akass,21/05/2019,2,Sheffield ,P&C Conference,Rail,Standard,,,£225.03,NIL return
Crystal Akass,06/06/2019,1,Blackpool,Blackpool Site Visit with Perm Sec,Rail,Standard,,,£95.00,NIL return
Crystal Akass,19/06/2019,3,Betchworth,High Potential DS Workshop,Rail,Standard,,,£55.30,NIL return
Deborah Walton ,09/05/2019,1,Sheffield ,Visiting DWP staff as part of induction programme ,Rail ,Standard,£92.94,,£168.44,NIL return
Deborah Walton ,10/05/2019,1,Nottingham ,Visiting DWP staff as part of induction programme ,Rail ,Standard,,,£47.00,NIL return
Deborah Walton ,13/05/2019,1,Newcastle,Visiting DWP staff as part of induction programme ,Rail ,Standard,£92.40,,£233.00,NIL return
Deborah Walton ,14/05/2019,1,Leeds,Visiting DWP staff as part of induction programme ,Rail ,Standard,£4.85,,£39.85,NIL return
Deborah Walton ,21/05/2019,1,Sheffield ,Visiting DWP staff as part of induction programme ,Rail ,Standard,£91.00,,£203.00,NIL return
Helen Pickles,27/03/2019,1,London,Meetings with directors/Director general,"Rail, Taxi",Standard,none claimed,,£277.00,NIL return
Helen Pickles,08/04/2019,1,Manchester,Programme Board Meeting (as chair),"Rail, Metro",Standard,none claimed,,£35.00,NIL return
Helen Pickles,10/04/2019,2,Birmingham,Director's Away-Day,"Rail, Taxi",Standard,£111.10,,£247.85,NIL return
Helen Pickles,24/04/2019,2,London,Meetings with directors/Director general,"Rail, Taxi",Standard,£119.00,,£403.40,NIL return
Helen Pickles,30/04/2019,3,Cranfield,PLP Training Course,"Rail, Taxi",Standard,£7.00,,£286.70,NIL return
Helen Pickles,07/05/2019,2,London,Meetings with directors/Director general,"Rail, Taxi",Standard,£142.37,,£426.47,NIL return
Helen Pickles,14/05/2019,2,London and Blackpool,Meetings with directors/Director general then onto People & Capability Roadshow as presenter,"Rail, Taxi",Standard,£77.19,,£350.94,NIL return
Helen Pickles,20/05/2019,1,London,Meetings with directors/Director generals/Permanent secretary,"Rail, Taxi",Standard,£5.00,,£211.90,NIL return
Helen Pickles,04/06/2019,1,Birmingham,Directors Session regarding SR Activity,Rail,Standard,none claimed,,£128.95,NIL return
Helen Pickles,12/06/2109,1,London,Meetings with directors/Director general ,"Rail, Taxi",Standard,none claimed,,£200.00,NIL return
