Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Julie Gillis,01/05/2019,1,Manchester,Project Delivery Profession Conference,Rail,Economy,£0.60,,£12,NIL return
Julie Gillis,21/05/2019,2,Leeds,"G6 and Above PAAD & Change Mtg, & PAAD Away Day",Rail,Economy,£77.60,,£249.60,NIL return
Julie Gillis,29/05/2019,1,Leeds,Change ET Away Day,Rail,Economy,£100.50,,£281,NIL return
Peter Knight,02/04/2019,2,Sheffield,Workshops,"Taxi, Rail",Standard,£82.30,,£190.80,NIL return
Peter Knight,03/04/2019,1,Newcastle,Conference,"Rail, Taxi, Air",Standard,£105.00,,£487.78,NIL return
Peter Knight,10/04/2019,1,Sheffield,Governance meeting,Rail,Standard,£8.10,,£116.60,NIL return
Peter Knight,10/04/2019,1,Birmingham,Senior Leaders event,Rail,Standard,£116.10,,£258.80,NIL return
Peter Knight,25/04/2019,1,Edingburgh,Board meeting,Rail,Standard,£61.95,Meal paid by Scottish Government,£385.95,NIL return
Peter Knight,01/05/2019,2,Manchester,Workshop & Conference,Rail,Standard,£99.95,,£450.95,NIL return
Peter Knight,07/05/2019,1,Oxford,MPLA,Rail,Standard,£0.00,,£67.60,NIL return
Peter Knight,08/05/2019,1,Sheffield,Workshop,Rail,Standard,£5.00,,£207.00,NIL return
Peter Knight,14/05/2019,2,Newcastle,Workshops & Governance meeting,Rail,Standard,£99.50,,£428.90,NIL return
Peter Knight,20/05/2019,1,Sheffield,Governance meeting,Rail,Standard,£0.00,,£202.00,NIL return
Peter Knight,28/05/2019,1,Sheffield,Workshop & Board meeting,Rail,Standard,£0.00,,£216.00,NIL return
Peter Knight,29/05/2019,1,Leeds,Governance meeting,Rail,Standard,£0.00,,£133.50,NIL return
Peter Knight,29/05/2019,1,Newcastle,Delivering event,Rail,Standard,£80.00,,£297.40,NIL return
Peter Knight,26/06/2019,1,Birmingham,Workshop,Rail,Standard,£91.00,,£270.00,NIL return
Lara Sampson,10/04/2019,1,London to Birmingham,Permanent Secretary & departmental directors awayday,Rail,Standard,,,£178.00,
Lara Sampson,11/04/2019,1,London to Birmingham,Permanent Secretary & departmental directors awayday,Rail,Standard,,,£89,
Lara Sampson,11/04/2019,1,Birmingham to London,speaking at a departmental stakeholder conference ,Rail,Standard,,,£89.00,
Lara Sampson,24/04/2019,1,london to Leeds,programme delivery executive team meeting,Rail,Standard,,,£217,
Lara Sampson,08/05/2019,1,London to Oxford,"Major Projects Leadership Academy, Cabinet Office",Rail,Standard,,,£67,
Lara Sampson,18/06/2019,1,london to Leeds,departmental site visit,Rail,Standard,,,£193,
Lara Sampson,19/06/2019,1,London to Surrey,"departmental leadership course, Cabinet Office",Rail,Standard,,,£24,
John Paul Marks,04/04/2019,2,"Glasgow, Scotland",Scotland business review including two site visits over two days EYR with AD and evening meal with SLT as part of engagement,Air,Standard,£98.20,,£98.20,Nil return
John Paul Marks,10/04/2019,2,Birmingham,DWP ET Awayday over a two day period including a site visit as part of DG's enagement,Rail,Standard,£89.20,£0.00,£160,Nil return
John Paul Marks,18/04/2019,1,Birmingham,Homelessness workshop followed by Central England Work & Health Business Review,Rail,Standard,£0.00,£0.00,£89.85,Nil return
John Paul Marks,25/04/2019,2,Edinburgh,DWP joint ET with Scottish Government,Air,Standard,£0.00,£0.00,£246,Nil return
,,3,,,,,,,,
Colin Stewart,02/04/2019,3,London,Meetings in Caxton House,"Rail, Taxi",Standard,£381.21,,£398.91,Nil return
Colin Stewart,10/04/2019,2,Birmingham,Directors away day,"Rail, Taxi",Standard,£98.60,,£238.05,Nil return
Colin Stewart,26/04/2019,1,Leeds,Senior Leaders Meeting,"Rail, Taxi",Standard,£5.00,,£54.70,Nil return
Colin Stewart,30/04/2019,1,London,Meetings in Caxton House,"Rail, Taxi",Standard,£5.00,,£370.40,Nil return
Colin Stewart,02/05/2019,1,Manchester,Conference,Metro,Standard,,,£3.40,Nil return
Colin Stewart,07/05/2019,1,London,Meetings in Caxton House,"Rail, Taxi",Standard,£5.00,,£335.50,Nil return
Colin Stewart,09/05/2019,1,Preston,Site visit ,"Rail, Taxi",Standard,£3.85,,£41.45,Nil return
Colin Stewart,14/05/2019,1,London,Meetings in Caxton House,"Rail, Taxi",Standard,£5.00,,£372.40,Nil return
Colin Stewart,15/05/2019,1,Birmingham,Leadership event,"Rail, Taxi",Standard,£5.00,,£114.10,Nil return
Colin Stewart,16/05/2019,1,Grimsby,Site visit ,"Rail, Taxi",Standard,,,£84.50,Nil return
Colin Stewart,21/05/2019,1,London,Meetings in Caxton House,"Rail, Taxi",Standard,£5.00,,£372.00,Nil return
Colin Stewart,23/05/2019,1,Ashton under lyne,Site visit ,Milleage,Standard,£4.80,,£25.30,Nil return
Colin Stewart,05/06/2019,3,"Bucharest, Romania",PES Board meeting,"Air, Taxi",Standard,£40.98,,£523.54,Nil return
Colin Stewart,10/06/2019,1,Thornaby,Customer visit,"Rail, Taxi",Standard,,,£101.70,Nil return
Colin Stewart,11/06/2019,3,"Stockholm, Sweden",PES Board meeting,"Air, Taxi",Standard,£758.53,,"£1,115.10",Nil return
Colin Stewart,18/06/2019,1,London,ET meeting,"Rail, Taxi",Standard,£5.00,,£346.00,Nil return
Colin Stewart,25/06/2019,1,Birkenhead,Presenting DWP Story ,"Rail, Taxi",Standard,£4.75,,£52.45,Nil return
Karen Gosden ,01/04/2019,1,Glossop,Site Visit - Glossop Job centre,PUS Car,,Nil,,£10.34,Nil return
Karen Gosden ,02/04/2019,2,London,Operational Executive team meeting and Leadership day ,Train ,standard,£128.93,,£348.43,Nil return
Karen Gosden ,08/04/2019,2,Wales,"Site Visit- Morriston,Porth, Cardiff, Kiderminster ",PUS Car,,£102.27,,£163.99,Nil return
Karen Gosden ,10/04/2019,1,Birmingham,Quality in UC Meeting ,Rail,standard,Nil,,£28.00,Nil return
Karen Gosden ,11/04/2019,1,Birmingham,Directors Away Day ,Rail,standard,Nil,,£28.00,Nil return
Karen Gosden ,15/04/2019,2,London,member of interview panel and Operations Executive team meeting,Rail,standard,£96.60,,£385.60,Nil return
Karen Gosden ,17/04/2019,1,Birmingham,Legacy Benefits event   ,PUS Car,,Nil,,£19.65,Nil return
Karen Gosden ,18/04/2019,1,Birmingham,Business review with Group Direcotr and team ,Rail,standard,Nil,,£28.00,Nil return
Karen Gosden ,24/04/2019,1,Ashfield,site visit - Ashfield JC,PUS Car,,Nil,,£5.72,Nil return
Karen Gosden ,29/04/2019,1,London,Complex Needs meeting ,Rail,standard,£0.60,,£204.10,Nil return
Karen Gosden ,01/05/2019,1,London,Work and Health Executive team meeting ,Rail,standard,£1.20,,£172.20,Nil return
Karen Gosden ,02/05/2019,1,Birmingham,Area Directors senior Leaders team meeting,PUS Car,,Nil,,£21.59,Nil return
Karen Gosden ,07/05/2019,3,London,"Executive team meeting, Universal Credit Delivery Group, ",Rail,Standard ,£271.10,,£424.60,Nil return
Karen Gosden ,10/05/2019,1,London,Tax Seminar for SCS,Rail,Standard ,Nil,,£155.50,Nil return
Karen Gosden ,15/05/2019,2,London,internal meetign DWP staff and Consular Board meeting ,Train ,Standard ,£111.10,,£302.60,Nil return
Karen Gosden ,20/05/2019,1,Walsall,Site Visit Walsall Jobcentre,PUS Car,,Nil,,£7.92,Nil return
Karen Gosden ,21/05/2019,1,Wolverhampton,Site Visit Wolverhampton Jobcentre ,PUS Car,,Nil,,£21.99,Nil return
Karen Gosden ,22/05/2019,2,London,Universal Credit Mega show and tell event and Uinviersal Credit Delivery Group,Rail,Standard ,£113.80,,£306.30,Nil return
Karen Gosden ,28/05/2019,1,Wolverhampton,Attend on site during IA,PUS Car,,Nil,,£25.99,Nil return
Karen Gosden ,29/05/2019,1,Walsall,Attend on site during IA,PUS Car,,Nil,,£10.42,Nil return
Karen Gosden ,30/05/2019,1,Bilston/ Willenhall,Site Visits to Bilston JC and Willenhall JC,PUS Car,,Nil,,£11.44,Nil return
Margarita Morrison,02/04/2019,2,London ,Work & Health Leadership Day ,Air,Standard ,£137.60,£78.99,£216.59,Nil return
Margarita Morrison,04/04/2019,1,Glasgow,Business Review Meeting ,N/A ,,£20.00,£0.00,£20.00,Nil return
Margarita Morrison,08/04/2019,1,"Shettleston, Glasgow ",Site Visit ,Car,Standard ,£0.00,£23.40,£23.40,Nil return
Margarita Morrison,09/04/2019,1,"High Riggs, Edinburgh",Senior Leader Team Meeting ,"Car, Rail",Standard ,£0.00,£54.44,£54.44,Nil return
Margarita Morrison,10/04/2019,2,Birmingham ,Directors Away Day ,Train/Car,Standard ,£117.50,£261.65,£379.15,Nil return
Margarita Morrison,12/04/2019,1,"Kirkintiloch, Scotland",Site Visit ,Car ,Standard ,£0.00,£14.85,£14.85,Nil return
Margarita Morrison,15/04/2019,3,York then London ,York (Training) London (Executive Team Meeting) ,"Car, Rail, Air",Standard ,£149.76,£717.34,£867.10,Nil return
Margarita Morrison,18/04/2019,1,Falkirk,Site Visit ,Car ,Standard ,£0.00,£31.50,£31.50,Nil return
Margarita Morrison,23/04/2019,1,Glasgow,Introductory Meeting ,Taxi,Standard ,£0.00,£5.00,£5.00,Nil return
Margarita Morrison,24/04/2019,1,Laurieston then Glasgow ,Development Day/External Meeting ,Car,Standard ,£0.00,£22.86,£22.86,Nil return
Margarita Morrison,25/04/2019,2,Edinburgh ,External Meeting/Site Visit ,Car/Train,Standard ,£62.55,£80.62,£143.17,Nil return
Margarita Morrison,30/04/2019,3,London/Edinburgh ,Executive Meeting/External Visit/Site Visit ,"Car. Rail, Air ",Standard ,£287.55,£479.12,£766.67,Nil return
Margarita Morrison,06/05/2019,3,London ,Executive Team Meetings ,"Air, Car ",Standard ,£335.20,£456.48,£791.68,Nil return
Margarita Morrison,14/05/2019,3,"Dundee/Inverness, Scotland",Senior Leader Team Meeting/Site Visits ,"Car, Rail",Standard ,£250.45,£220.08,£470.53,Nil return
Margarita Morrison,22/05/2019,1,London,Show and Tell/Delivery Group,"Car, Air",Standard ,£0.00,£499.07,£499.07,Nil return
Margarita Morrison,18/06/2019,2,Edinburgh then London,External Meeting/Non State Honours Meeting ,"Car, Rail, Air",Standard,£33.35,£446.63,£479.98,Nil return
Margarita Morrison,20/06/2019,1,Paisley then Glasgow ,Site Visit then External Meeting,"Car, Rail, Air",Standard ,£0.00,£30.90,£30.90,Nil return
Carol Morris ,10/04/2019,2,Birmingham ,Directors Away Day ,,,Hotel ,,£0.60,Nil return
Carol Morris ,10/04/2019,2,Birmingham ,Directors Away Day ,,,Hotel ,,£84.60,Nil return
Carol Morris ,16/05/2019,2,Berkhamsted,Residential Training at Ashridge - Senior leadership Scheme ,Rail ,Economy ,N/A ,,£29.90,Nil return
Carol Morris ,21/05/2019,1,Watford Junction ,Site visit to Watford Jobcentre ,Rail ,Economy ,N/A ,,£11.90,Nil return
Carol Morris ,24/05/2019,1,Southampton Central ,Site visit to Southampton Jobcentre ,Rail ,Economy ,N/A ,,£47.20,Nil return
Martin Brown,04/06/2019,1,Five Ways ,Directors Session - Spending Review Activity ,Rail ,Economy ,N/A ,,£117.35,Nil return
Martin Brown,10/04/2019,1,"London, Caxton House",Spring Event meeting,Rail,Business,N/A ,,£238.00,
Martin Brown,29/04/2019,2,"London, Caxton House",Capacity Board meeting,Rail,Business,£151.10,,£389.10,
Martin Brown,03/05/2019,1,"London, Caxton House",coaching session - DWP Our Leadership ,Rail,Business,N/A ,,£238.00,
Martin Brown,08/05/2019,1,Blackpool,SCS Staff engagement event,Rail,,£95.60,,£95.60,
Martin Brown,13/05/2019,2,Liverpool,Meet with Teams in Liverpool ,Rail,Business,£89.55,,£225.35,
Martin Brown,15/05/2019,1,Manchester,Meet with the Teams in Manchester ,Rail,Business,£5.00,,£172.20,
Martin Brown,22/05/2019,2,"London, Caxton House",UC Delivery Group Meeting with John-Paul Marks,Rail,Business,£136.60,,£417.70,
Martin Brown,05/06/2019,1,"London, Caxton House",Work & Health Executive Team Meeting,Rail,Business,N/A ,,£102.00,
Martin Brown,05/06/2019,1,"London, Caxton House",Work & Health Executive Team Meeting,Rail,Business,N/A ,,£102.00,
Martin Brown,10/06/2019,1,London Caxton,ET - Compassionate Culture/Dignity & Respect,Rail,Business,N/A ,,£193.00,
Martin Brown,14/06/2019,1,London Westminster,DWP Talent Event,Rail,Business,N/A ,,£111.00,
Lisa Hunter,25/06/2019,2,"London, Caxton House",Face to Face meeting with Michelle Farnie,Rail,Business,£115.60,,£271.60,
Lisa Hunter,15/04/2019,1,Sheffield,site visit meeting with town team based in Sheffield.,Rail,Economy,Nil,Nil,£168.65,Nil Return 
Lisa Hunter,03/06/2019,1,"Edinburgh, Scotland",Host and present at civil service live,"Air, Taxi",Economy,£78.60,Nil,£264,Nil Return 
John Stevenson,11/06/2019,2,Dundee,Host DWP story event and attend director of communciations monthly meeting hed in Scotland ,"Air, Rail , Taxi",Economy,£68.60,Nil,£338.36,Nil Return 
Trevor Huddleston,15/04/2019,2,York,attend gold commder and cirisis leadership training,Rail,Economy,Nil,Nil,£95,Nil Return 
Trevor Huddleston,02/04/2019,1,Newcastle,"Newcastle, Speeches & Staff Meetings",,Standard,,,£114.70,Nil Return 
Trevor Huddleston,10/04/2019,1,Birimingham,Meeting with the Perm Sec,,Standard,,,£57.10,Nil Return 
Trevor Huddleston,15/05/2019,1,Peterborough,Senior Analyst Offsite,,Standard,,,£9.50,Nil Return 
Trevor Huddleston,23/05/2019,1,Sheffield,"Sheffield, Speeches & Staff Meetings",,Standard,,,£99.50,Nil Return 
Trevor Huddleston,29/09/2019,1,Gantham,DWP Story,Private Mileage,,,,£47.70,Nil Return 
Trevor Huddleston,26/06/2019,1,Grantham,DWP Story,,Standard,,,£44.50,Nil Return 
,27/06/2019,1,Peterborough,Team Directorate Launch Event,,Standard,,,£9.50,Nil Return 
