name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Woodies,Kingston Upon Thames,www.woodiesfreehouse.co.uk,128018554.0,E09000021,St. James,E05000411,Thetford Road Kingston Upon Thames,,,-0.2673637590891294,51.39220078157767,520644.9673227316,167330.9274676288,04/11/2021
The Brave New World,Kingston Upon Thames,www.bravebar.co.uk,128001583.0,E09000021,Berrylands,E05000401,22-26 Berrylands Road,Kingston Upon Thames,,-0.2957215772766457,51.39303031524359,518669.9678602732,167376.92745217925,04/11/2021
Kings Arms,Merton,www.rampubcompany.co.uk/visit-pubs/kings-arms-mitcham,48126918.0,E09000024,Figge's Marsh,E05000460,260-262 London Road,Merton,,-0.1642257298118556,51.40629560475378,527780.9653798179,169072.92699138977,04/11/2021
Partridge,Bromley,www.partridgebromley.co.uk,100000000000.0,E09000006,Bromley Town,E05000109,194 High Street,,,0.0138353016075904,51.40558352927754,540166.9620154812,169318.92692428775,04/11/2021
The Fighting Cocks,Kingston Upon Thames,www.the-fighting-cocks.co.uk,100000000000.0,E09000021,Grove,E05000408,56 Old London Road,Kingston Upon Thames,,-0.2981579626575987,51.410673610519005,518454.9679166389,169334.9269209631,04/11/2021
The White Horse,Bromley,www.mitchellsandbutlers.com,10070003978.0,E09000006,Copers Cope,E05000113,205-213 High Street,,,-0.0309703998083917,51.40651545964983,537047.9628602507,169337.92692122608,04/11/2021
Cavern,Merton,www.thecavernfreehouse.co.uk,48126372.0,E09000024,Raynes Park,E05000469,100-102 Coombe Lane,Merton,,-0.2338840652054603,51.40981221999361,522926.9667026595,169344.92692064226,04/11/2021
Oak,Bromley,www.theoakbromley.com,100000000000.0,E09000006,Bickley,E05000106,206 Widmore Road,,,0.0342583505446211,51.40571661833358,541586.9616264303,169372.92691297212,04/11/2021
Jolly Woodman,Bromley,www.thejollywoodman.co.uk,100000000000.0,E09000006,Copers Cope,E05000113,9 Chancery Lane,,,-0.0180227325904247,51.40667500775706,537947.9626165273,169379.92691047053,04/11/2021
The Chancery,Bromley,www.thechancerybeckenham.co.uk,100000000000.0,E09000006,Copers Cope,E05000113,90 Bromley Road,,,-0.0174965402765579,51.4068729463515,537983.9626066483,169402.9269042671,04/11/2021
Vuvu Club,Bromley,,10070003296.0,E09000006,Bromley Town,E05000109,30 East Street,,,0.0163908575775065,51.40713133746639,540339.9619685283,169495.92687631573,04/11/2021
Swan,Richmond Upon Thames,www.swanhamptonwick.co.uk,100000000000.0,E09000027,Hampton Wick,E05000522,22 High Street,Richmond Upon Thames,,-0.3107845498449287,51.41259187574806,517571.9681586737,169527.92686964606,04/11/2021
Railway Tavern,Bromley,www.railwaytavernbromley.com,100000000000.0,E09000006,Bromley Town,E05000109,45 East Street,,,0.0163738579310899,51.40772515473817,540336.961969432,169561.9268583631,04/11/2021
Grey Horse,Kingston Upon Thames,www.grey-horse.co.uk,100000000000.0,E09000021,Canbury,E05000403,46 Richmond Road,Kingston Upon Thames,,-0.3004093128104188,51.41433023887731,518288.9679629407,169737.92681072344,04/11/2021
Bridge Bar,Bromley,,100000000000.0,E09000006,Copers Cope,E05000113,42827 High Street,,,-0.0251502868423426,51.41077913313696,537439.9627533727,169822.9267901493,04/11/2021
Adelaide,Richmond Upon Thames,www.adelaideteddington.co.uk,100000000000.0,E09000027,Teddington,E05000530,57 Park Road,Richmond Upon Thames,,-0.3345971403882977,51.42369673015085,515887.968616312,170724.92654438328,04/11/2021
Freelands Tavern,Bromley,www.thefreelandstavern.com,100000000000.0,E09000006,Plaistow And Sundridge,E05000125,31 Freelands Road,,,0.0244520681900474,51.410265830793406,540890.9618166969,169859.92677900795,04/11/2021
Trafalgar,Merton,www.trafalgarfreehouse.co.uk,48126710.0,E09000024,Abbey,E05000455,23 High Path,Merton,,-0.1891316367667192,51.41388630514339,526027.9658553282,169873.9267735809,04/11/2021
British Oak,Kingston Upon Thames,www.theoakpubkingston.co.uk,100000000000.0,E09000021,Canbury,E05000403,98 Richmond Road,Kingston Upon Thames,,-0.3010693192924105,51.41630915044094,518237.96797764685,169956.9267508632,04/11/2021
Goldsmiths Arms,Bromley,www.goldsmithsarms.com,100000000000.0,E09000006,Penge And Cator,E05000123,3 Croydon Road,,,-0.0520054673895016,51.41330585301378,535564.9632661559,170053.92672544153,04/11/2021
Nelson Arms,Merton,www.nelsonarms.co.uk,48083684.0,E09000024,Abbey,E05000455,15 Merton High Street,Merton,,-0.1864804410440818,51.41583272933399,526206.9658060631,170094.92671279924,04/11/2021
Ripley Arts Center,Bromley,http://www.bromleyarts.com/ripley-arts-centre/,0.0,E09000006,Plaistow And Sundridge,E05000125,24 Sundridge Avenue Bromley,,,0.0223160010914441,51.41300600072019,540733.9982359118,170160.53186058614,04/11/2021
Queens Head,Kingston Upon Thames,www.queensheadkingston.co.uk,100000000000.0,E09000021,Tudor,E05000415,144 Richmond Road,Kingston Upon Thames,,-0.3013573444018833,51.41862437262079,518211.9679851902,170213.92668110505,04/11/2021
The White Hart,Croydon,www.thewhitehartse19.co.uk,100000000000.0,E09000008,Crystal Palace & Upper Norwood,E05011467,96 Church Road,Croydon,,-0.0813794843682952,51.41722598395479,533510.9638234373,170435.92662253865,04/11/2021
New Wimbledon Theatre,Merton,www.newwimbledontheatre.net/,48008413.0,E09000024,Abbey,E05000455,Wimbledon Theatre 93,The Broadway,Merton,-0.2013646721151142,51.41914652545258,525162.9660915406,170437.9266211415,04/11/2021
The Pod,Merton,,48112845.0,E09000024,Abbey,E05000455,105-109 The Broadway,Merton,,-0.2011160841027906,51.41925062566598,525179.9660869499,170449.926617924,04/11/2021
Railway,Lambeth,www.therailwaysw16.co.uk,100000000000.0,E09000022,Streatham South,E05000431,2 Greyhound Lane,Lambeth,,-0.1346064186135301,51.418292541532765,529806.9648274761,170458.9266147326,04/11/2021
Sydney Arms,Bromley,www.sydneyarms.com,100000000000.0,E09000006,Chislehurst,E05000111,Old Perry Street ,,,0.0870003566312152,51.41490631062712,545225.9606370089,170497.92660631525,04/11/2021
Numidie Bar And Bistro,Croydon,,100000000000.0,E09000008,Crystal Palace & Upper Norwood,E05011467,48 Westow Hill,Croydon,,-0.0809775634807557,51.41961149214893,533531.963816924,170701.92655006854,04/11/2021
Grape & Grain,Bromley,www.thegrapeandgrainse19.co.uk,100000000000.0,E09000006,Crystal Palace,E05000116,2 Anerley Hill,,,-0.0778533830753715,51.41968616013778,533748.9637583152,170715.92654585798,04/11/2021
Builders Arms,Richmond Upon Thames,,100000000000.0,E09000027,Teddington,E05000530,38 Field Lane,Richmond Upon Thames,,-0.3304726011804508,51.425967035364046,516168.9685400543,170983.92647492298,04/11/2021
