Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals,Other (including hospitality given),Cost of Travel,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Sam  Caughey,2019-04-03,1,Birmingham,Meeting with West Midlands Rail Executive,Taxi,Standard,£0.00,£0.00,£6.20,6.20,Nil Return
Sam  Caughey,2019-04-11,1,Birmingham,Meeting With West Midlands Rail Executive,Rail,Standard,£0.00,£0.00,£178.00,178.00,Nil Return
Sam  Caughey,2019-04-23,1,London,Evening Meal On The Way To Rail North Partnership Board the following day,,,£12.95,£0.00,£0.00,12.95,Nil Return
Sam  Caughey,2019-05-14,1,Croydon,Azuma Media Launch,Rail,Standard,£0.00,£0.00,£12.00,12.00,Nil Return
Sam  Caughey,2019-05-16,1,Croydon,Oversight Committee Attendance,Rail,Standard,£0.00,£0.00,£10.95,10.95,Nil Return
Sam  Caughey,2019-06-11,2,Birmingham,Vintage Trains/West Midlands Rail Executive Partnership Committee Launch Attendance,Rail,Standard,£97.00,£0.00,£89.00,186.00,Nil Return
Sam  Caughey,2019-06-19,2,Leeds,"Northern Catch Up, Rail North Partnership Board & Rail North Committee Meeting",Rail,Standard,£188.00,£0.00,£182.05,370.05,Nil Return
Sam  Caughey,2019-06-25,2,Preston,Northern New Trains Launch,Rail,Standard,£76.00,£0.00,£97.90,173.90,Nil Return
Simon Smith,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Stephen Fidler,2019-06-11,1,London,LEP Network Event,Underground,,,,£2.40,£2.40,Nil Return
Stephen Fidler,2019-06-19,1,London,Chartered Institute of Highways & Transportation Event,Underground,,,,£2.40,£2.40,Nil Return
Susanna May,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Suzanne  Edmond,2019-04-17,1,Swansea,Meeting with DVLA,Rail,Standard,£0.00,£0.00,£185.70,185.70,Nil Return
Suzanne  Edmond,2019-06-11,1,Dundee,Directors of Communication Meeting ,Rail,Standard,£79.00,£0.00,£279.00,358.00,Nil Return
