animal_id,animal_type,secondary_color,breed_group,primary_breed,tag_no,tag_type,tag_subtype,vaccine,serial_no,vet_id,location (1)
A619301,DOG,WHITE,HOUND,BLOODHOUND,L16-007541,LIC ALTERED,COUNTER,CROCKETT,LB,G000367,SHELTER
A559891,DOG,,TOY,YORKSHIRE TERR,985112003843147,MICROCHIP,HLP IMPORT,,3515769,,LOCKBOX
A474445,DOG,GOLD,TOY,YORKSHIRE TERR,L15-026523,LIC 3YSR,HLP SCAN,,3807196,G000074,LOCKBOX
A593370,DOG,TRICOLOR,COLLIE,AUST SHEPHERD,L16-059063,LIC ALTERED,VET,JEFFERSON,LB,G000073,SHELTER
A448981,DOG,BROWN,TERRIER,JACK RUSS TER,L14-050140,LIC SR,HLP SCAN,,2561995,G000064,SHELTER
A562451,CAT,,SHORTHAIR,DOMESTIC SH,U15-003220,RABIES CERT,HLP IMPORT,,3584647,G000057,LOCKBOX
A580893,CAT,,SHORTHAIR,DOMESTIC SH,U16-006199,RABIES CERT,HLP IMPORT,,4132617,G000056,LOCKBOX
A568854,DOG,,COLLIE,AUST CATTLE DOG,L15-059114,LIC ALTERED,VET,JEFFERSON,ARL,G000073,SHELTER
A599464,CAT,,SHORTHAIR,DOMESTIC SH,U17-009516,RABIES CERT,HLP SCAN,,6367745,G000064,LOCKBOX
A567276,DOG,,TERRIER,SCHNAUZER MIN,L15-017964,LIC ALTERED,HLP SCAN,,3719892,G000069,LOCKBOX
A583364,DOG,,HOUND,REDBONE HOUND,900164000846732,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A628773,DOG,WHITE,MASTIFF,PIT BULL,L17-041199,LIC ALTERED,VET,,SIM,G000088,LICENSE
A550366,DOG,,TOY,CHIHUAHUA LH,,,,,,,
A631156,DOG,,TOY,CHIHUAHUA SH,L17-045656,LIC 3YSR,HLP SCAN,,6578378,G000074,LOCKBOX
A578637,DOG,,HOUND,BEAGLE,U15-005669,RABIES CERT,HLP IMPORT,,4043652,G000056,LOCKBOX
A623275,DOG,BROWN,TOY,CHIHUAHUA SH,L17-014866,LIC ALTERED,VET,,AMC,G000088,LICENSE
A599398,DOG,,POODLE,POODLE STND,,,,,,,
A586126,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A558974,DOG,,SHEPHERD,GERM SHEPHERD,R17-0324,RABIES CERT,RESQ,MAS,,G124495,SHELTER
A548250,DOG,,TOY,YORKSHIRE TERR,L14-036653,LIC UNALTERED,COUNTER,,DMC,G000338,SHELTER
A571736,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L15-035967,LIC 3Y,HLP SCAN,,3858634,G000069,LOCKBOX
A581828,DOG,,MASTIFF,STAFFORDSHIRE,L17-031013,LIC UNALTERED,HLP SCAN,,5553340,G000068,LOCKBOX
A581820,DOG,,MASTIFF,PIT BULL,L15-029830,LIC 3YSR,VET,FAIRLEIGH,LB,G000068,SHELTER
A538996,DOG,WHITE,SETTER/RETRIEVE,GOLDEN RETR,U14-003021,RABIES CERT,HLP IMPORT,,2953878,G000057,LOCKBOX
A572077,DOG,BLACK,TOY,MALTESE,U15-004339,RABIES CERT,HLP IMPORT,,3862563,G000056,LOCKBOX
A483579,CAT,,SHORTHAIR,DOMESTIC SH,L14-040918,LIC SR,HLP SCAN,,3137811,G000250,LOCKBOX
A472498,DOG,BLACK,COLLIE,BORDER COLLIE,L17-013913,LIC ALTERED,HLP SCAN,,6369409,G000069,LOCKBOX
A583569,DOG,WHITE,MASTIFF,BOXER,L16-014737,LIC ALTERED,COUNTER,FENGENBUSH,LB,G000291,SHELTER
A601665,DOG,BLACK,SHEPHERD,BELG MALINOIS,L16-042768,LIC ALTERED,HLP WEB,,4970028,G000338,LOCKBOX
A556210,CAT,,SHORTHAIR,DOMESTIC SH,L15-051442,LIC ALTERED,HLP SCAN,,3404111,G000071,LOCKBOX
A619127,DOG,,SPITZ,SIBERIAN HUSKY,L17-043711,LIC 3Y,HLP SCAN,,5913681,G000075,LOCKBOX
A564752,DOG,TAN,MASTIFF,ROTTWEILER,L16-017066,LIC ALTERED,MAIL,,ARL,G124495,SHELTER
A569882,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L16-006716,LIC ALTERED,VET,BARBOUR,LB,G000059,SHELTER
A560406,CAT,,SHORTHAIR,SIAMESE,985112005294031,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A568175,DOG,BROWN,TOY,POMERANIAN,R15-2322,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A602094,DOG,TAN,SHEPHERD,GERM SHEPHERD,L16-042914,LIC UNALTERED,HLP WEB,,4990192,G000402,LOCKBOX
A610013,DOG,,MASTIFF,PIT BULL,,,,,,,
A583138,DOG,,HOUND,BEAGLE,985112006945362,MICROCHIP ADO,HOME AGAIN,MAS,,,SHELTER
A308272,DOG,,POINTER,DOBERMAN PINSCH,D09-000143,LIC ALTERED,,DOERR,JG,G000066,SHELTER
A583568,DOG,WHITE,SIGHTHOUND,ITAL GREYHOUND,L17-016338,LIC SR,HLP WEB,,5517183,G000058,LOCKBOX
A585739,DOG,,TERRIER,JACK RUSS TER,,,,,,,
A590993,DOG,,MASTIFF,PIT BULL,L16-011086,LIC 3Y,MAIL,SENECA,ARL,G000360,SHELTER
A001732,DOG,BLACK,TOY,SHIH TZU,D06-037537,LIC ALTERED,,PETS PLUS,,G000076,SHELTER
A583075,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L15-039896,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A596604,CAT,,LONGHAIR,DOMESTIC MH,985112007768780,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A595264,CAT,,LONGHAIR,MAINE COON,,,,,,,
A202615,DOG,CREAM,TOY,SHIH TZU,D14-021720,LIC MULTIPLE,COUNTER,GAYLORD,KLC,,SHELTER
A575683,DOG,GOLD,TOY,YORKSHIRE TERR,L15-050331,LIC UNALTERED,COUNTER,DEREN,,G000222,SHELTER
A624378,DOG,WHITE,TOY,CHIHUAHUA SH,,,,,,,
A552848,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A608807,DOG,WHITE,HOUND,BEAGLE,985113000788158,MICROCHIP,HOME AGAIN,,,,SHELTER
A553096,DOG,,TOY,DACHSHUND,L16-022059,LIC ALTERED,MAIL,,AMC,G000068,SHELTER
A563593,DOG,,TERRIER,PARSON RUSS TER,U15-003292,RABIES CERT,HLP SCAN,,3625854,G000340,LOCKBOX
A592614,DOG,,TOY,YORKSHIRE TERR,U17-009448,RABIES CERT,HLP SCAN,,6357305,G000064,LOCKBOX
A570221,DOG,,SETTER/RETRIEVE,LABRADOR RETR,985112006050072,MICROCHIP RTO,HOME AGAIN,,,,SHELTER
A566503,DOG,,TOY,PUG,L16-038810,LIC ALTERED,HLP WEB,KHS,4485032,G000088,LOCKBOX
A625969,DOG,,TERRIER,SCHNAUZER STAND,U17-009415,RABIES CERT,HLP SCAN,,6357272,G000075,LOCKBOX
A565504,DOG,,MASTIFF,CHINESE SHARPEI,,,,,,,
A555753,CAT,WHITE,SHORTHAIR,DOMESTIC SH,982000363946264,MICROCHIP,PET WATCH,,ARL,G000088,SHELTER
A578664,DOG,BLACK,TOY,YORKSHIRE TERR,U15-005715,RABIES CERT,HLP IMPORT,,4043698,G000057,LOCKBOX
A580461,DOG,,MASTIFF,ROTTWEILER,985112006928920,MICROCHIP RTO,HOME AGAIN,MAS,,,SHELTER
A564824,OTHER,BLACK,FISH,TROPICAL,,,,,,,
A587183,DOG,,MASTIFF,PIT BULL,U16-007159,RABIES CERT,HLP IMPORT,,4433135,G000057,LOCKBOX
A578332,DOG,BLACK,MASTIFF,PIT BULL,982000365546193,MICROCHIP,HLP IMPORT,,4042085,,LOCKBOX
A583398,CAT,GRAY,SHORTHAIR,DOMESTIC SH,L15-039786,LIC ALTERED,VET,KHS,ARL,G000088,SHELTER
A310962,CAT,,SHORTHAIR,DOMESTIC SH,00629,RAB VAC CERT.,,SHIVELY,,,SHELTER
A598001,DOG,TAN,MASTIFF,AMER BULLDOG,RAB9126736,RABIES CERT,VET,BANFIELD,KS,G000057,SHELTER
A553942,DOG,,TERRIER,SCOT TERRIER,L15-015991,LIC ALTERED,MAIL,,AMC,G000366,SHELTER
A614651,CAT,,SHORTHAIR,DOMESTIC SH,985113001006353,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A590977,DOG,,TOY,CHIHUAHUA SH,L17-038054,LIC ALTERED,VET,,ARL,G000072,LICENSE
A616004,DOG,WHITE,TOY,SHIH TZU,985112000831363,MICROCHIP,HOME AGAIN,,ARL,G000275,SHELTER
A630007,DOG,WHITE,TOY,BOSTON TERRIER,L17-002034,LIC ALTERED,VET,,SM,G000062,LICENSE
A559916,CAT,,SHORTHAIR,DOMESTIC SH,L15-070046,LIC ALTERED,COUNTER,,AMC,G000056,SHELTER
A606896,DOG,,TERRIER,RAT TERRIER,L16-015461,LIC ALTERED,VET,BARBOUR,LB,G000059,SHELTER
A551786,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L14-059883,LIC ALTERED,HLP SCAN,,3229258,G000067,LOCKBOX
A577668,DOG,,SETTER/RETRIEVE,LABRADOR RETR,982000365452371,MICROCHIP,HLP WEB,,4903377,,LOCKBOX
A585212,DOG,,SETTER/RETRIEVE,GOLDEN RETR,L16-037113,LIC ALTERED,HLP WEB,,4329568,G000372,LOCKBOX
A589451,DOG,,SETTER/RETRIEVE,LABRADOR RETR,U16-007874,RABIES CERT,HLP IMPORT,DEF3,4497437,G000057,LOCKBOX
A264112,DOG,,SIGHTHOUND,BORZOI,D14-022927,LIC UNALTERED,COUNTER,MAS,DJR,G124495,SHELTER
A418194,DOG,TRICOLOR,TOY,SHIH TZU,D14-053193,LIC ALTERED,MAIL,SHIVELY,JF,,SHELTER
A573278,CAT,,SHORTHAIR,DOMESTIC SH,L16-030746,LIC ALTERED,VET,BARDSTOWN,5078074,G000060,LOCKBOX
A393436,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L17-003053,LIC SR,MAIL,,ARL,G000342,LICENSE
A580856,DOG,,TOY,POMERANIAN,985112006388121,MICROCHIP,HLP IMPORT,,4132552,,LOCKBOX
A551745,DOG,,MIX,MIX,L15-005397,LIC 3Y,HLP WEB,,3733888,G000078,LOCKBOX
A605305,DOG,BROWN,SPANIEL,BRITTANY,L17-022864,LIC ALTERED,HLP WEB,,6556450,G000338,LOCKBOX
A549754,DOG,,TOY,MALTESE,L14-043010,LIC ALTERED,MAIL,ANIMAL DR,LB,G000364,SHELTER
A609556,DOG,,SIGHTHOUND,GREYHOUND,L17-015695,LIC ALTERED,HLP WEB,,5387047,G000402,LOCKBOX
A615170,DOG,,TOY,YORKSHIRE TERR,RAB0368691,RABIES CERT,VET,BANFIELD,LB,G000056,SHELTER
A585969,DOG,WHITE,MASTIFF,BOXER,R16-0289,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A600690,DOG,,HOUND,BEAGLE,L16-031552,LIC ALTERED,HLP SCAN,,4923496,G000250,LOCKBOX
A577733,DOG,,MASTIFF,PIT BULL,U15-45037,RAB VAC CERT.,VET,SENECA,ARL,G000360,SHELTER
A551997,DOG,GRAY,SETTER/RETRIEVE,LABRADOR RETR,L16-035301,LIC ALTERED,MAIL,SPRINGHURS,LB,G000341,SHELTER
A486956,CAT,TAN,SHORTHAIR,DOMESTIC SH,L15-025648,LIC ALTERED,MAIL,SHIVELY,ARL,G000338,SHELTER
A624568,DOG,,TOY,CHIHUAHUA SH,,,,,,,
A491279,DOG,BROWN,SHEPHERD,GERM SHEPHERD,L14-028500,LIC ALTERED,HLP SCAN,,2973608,G000069,SHELTER
A558983,DOG,BLACK,COLLIE,BORDER COLLIE,,,,,,,
A587325,DOG,,HOUND,BEAGLE,U16-007359,RABIES CERT,HLP IMPORT,,4433338,G000058,LOCKBOX
A618995,DOG,,TOY,YORKSHIRE TERR,L17-037703,LIC ALTERED,HLP SCAN,,5913095,G000291,LOCKBOX
A602245,DOG,,TERRIER,WEST HIGHLAND,L16-019149,LIC ALTERED,HLP SCAN,,4994809,G000067,LOCKBOX
A561118,CAT,,,,U15-002803,RABIES CERT,HLP SCAN,,3549516,G000066,LOCKBOX
A563984,DOG,,TOY,SCHIPPERKE,L15-018052,LIC ALTERED,HLP SCAN,,3632765,G000069,LOCKBOX
A621699,DOG,,TOY,SHIH TZU,R17-724221,RAB VAC CERT.,VET,BANFIELD,,G000056,SHELTER
A551943,DOG,WHITE,COLLIE,BORDER COLLIE,L16-056726,LIC 3Y,HLP SCAN,,4510083,G000068,LOCKBOX
A604829,DOG,BLACK,SHEPHERD,GERM SHEPHERD,L17-008469,LIC ALTERED,MAIL,,AMC,G000366,LICENSE
A611016,DOG,,MIX,MIX,L16-034559,LIC ALTERED,HLP SCAN,,5473337,G000060,LOCKBOX
A463688,DOG,,HOUND,BEAGLE,D14-053293,LIC ALTERED,MAIL,DR JOHNS,JF,,SHELTER
A571535,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A585976,DOG,,HOUND,BEAGLE,,,,,,,
A599590,DOG,WHITE,TOY,YORKSHIRE TERR,RAB9353808,RABIES CERT,VET,BANFIELD,LB,G000056,SHELTER
A003315,CAT,WHITE,SHORTHAIR,DOMESTIC SH,C12-054580,LIC ALTERED,MAIL,DR JOHNS,JF,,SHELTER
A570615,DOG,WHITE,TOY,SHIH TZU,U15-003922,RABIES CERT,HLP IMPORT,,3824592,G000057,LOCKBOX
A570220,CAT,,SHORTHAIR,AMER SH,,,,,,,
A609962,CAT,BLACK,SHORTHAIR,DOMESTIC SH,985113000789955,MICROCHIP ADO,ADOPT,,,,SHELTER
A621331,DOG,WHITE,HOUND,BEAGLE,L17-037161,LIC ALTERED,VET,,ARL,G000073,LICENSE
A585401,DOG,,MIX,MIX,L16-028150,LIC ALTERED,HLP SCAN,,4354870,G000060,LOCKBOX
A093357,DOG,,TOY,PUG,D10-010871,LIC ALTERED,,BARBOUR LN,RRC,G000059,SHELTER
A587890,CAT,,SHORTHAIR,DOMESTIC SH,L16-007303,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A307282,DOG,BLACK,HOUND,BEAGLE,L16-005503,LIC ALTERED,COUNTER,,,G000435,SHELTER
A555908,DOG,GOLD,SETTER/RETRIEVE,GOLDEN RETR,L16-008828,LIC ALTERED,COUNTER,CLAY,,G000104,SHELTER
A605712,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A583349,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L16-042399,LIC 3Y,HLP WEB,KHS,4908273,G000088,LOCKBOX
A404163,DOG,YELLOW,SETTER/RETRIEVE,LABRADOR RETR,L15-016094,LIC ALTERED,MAIL,ST MATTHEW,LB,G000222,SHELTER
A582404,DOG,WHITE,MASTIFF,PIT BULL,L17-021243,LIC UNALTERED,HLP WEB,DIXIE,6290069,G000053,LOCKBOX
A604883,DOG,BROWN,TOY,HAVANESE,L16-015355,LIC ALTERED,VET,BARBOUR,LB,G000059,SHELTER
A047068,CAT,WHITE,SHORTHAIR,DOMESTIC SH,C09-068477,LIC SR,,DIXIE,,,SHELTER
A096882,DOG,TAN,TOY,YORKSHIRE TERR,L16-058714,LIC ALTERED,HLP SCAN,IROQUOIS,4684425,G000071,SHELTER
A586780,DOG,,SPITZ,CHOW CHOW,985112007086817,MICROCHIP ADO,HOME AGAIN,MAS,,,SHELTER
A618987,DOG,,MASTIFF,BOXER,982000406161164,MICROCHIP,HLP SCAN,,5913061,,LOCKBOX
A557691,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A555675,DOG,,HOUND,HARRIER,L15-056072,LIC ALTERED,COUNTER,DR.JOHN,,G000104,SHELTER
A292106,DOG,,MASTIFF,BOXER,D07-041931,LIC ALTERED,,SHIVELY,DR,,SHELTER
A603294,DOG,BLACK,SETTER/RETRIEVE,LABRADOR RETR,L16-023732,LIC ALTERED,MAIL,,ARL,G000135,SHELTER
A630224,DOG,,TOY,DACHSHUND LH,L17-022652,LIC ALTERED,HLP WEB,,6525001,G000358,LOCKBOX
A568876,DOG,WHITE,TOY,SHIH TZU,L15-005707,LIC 3Y,HLP WEB,,3771165,G000339,LOCKBOX
A584308,CAT,WHITE,SHORTHAIR,DOMESTIC SH,,,,,,,
A589262,DOG,WHITE,POODLE,POODLE STND,L17-017158,LIC 3Y,HLP WEB,BANFIELD,5673428,G000057,SHELTER
A583188,DOG,BLACK,TOY,CHIHUAHUA SH,985112006884523,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A589514,DOG,WHITE,MASTIFF,PIT BULL,982000406092861,MICROCHIP,HLP WEB,,5646411,,LOCKBOX
A588259,DOG,WHITE,SETTER/RETRIEVE,LABRADOR RETR,L16-003738,LIC ALTERED,COUNTER,,AMC,G000402,SHELTER
A552068,DOG,,,,L14-058297,LIC ALTERED,HLP SCAN,,3274826,G000060,LOCKBOX
A551690,DOG,WHITE,SPITZ,SIBERIAN HUSKY,L14-063210,LIC UNALTERED,HLP WEB,,3227923,G000380,SHELTER
A620855,CAT,TORTIE,SHORTHAIR,DOMESTIC SH,,,,,,,
A579388,DOG,,TOY,CHIHUAHUA SH,L16-018984,LIC ALTERED,HLP SCAN,,4841952,G000069,LOCKBOX
A619674,DOG,,SETTER/RETRIEVE,LABRADOR RETR,985113000996134,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A553161,DOG,,SHEPHERD,GERM SHEPHERD,0A1154874,MICROCHIP,HLP SCAN,,3268172,,LOCKBOX
A575446,DOG,BLUE TICK,HOUND,BEAGLE,L15-007543,LIC UNALTERED,HLP WEB,,3941812,G000341,LOCKBOX
A619599,DOG,,TOY,SHIH TZU,,,,,,,
A605922,DOG,BROWN,SHEPHERD,GERM SHEPHERD,L16-026970,LIC UNALTERED,COUNTER,ST MATT,5473079,G000222,SHELTER
A580832,DOG,,TOY,CHIHUAHUA SH,U16-006102,RABIES CERT,HLP IMPORT,,4132520,G000057,LOCKBOX
A586683,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L16-048160,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A551366,DOG,,TOY,BOSTON TERRIER,L16-028693,LIC ALTERED,HLP SCAN,,4457205,G000061,LOCKBOX
A523258,DOG,,SETTER/RETRIEVE,KUVASZ,L16-056174,LIC ALTERED,HLP SCAN,,4376011,G000067,LOCKBOX
A597743,DOG,,MASTIFF,PIT BULL,,,,,,,
A501857,DOG,TRICOLOR,HOUND,BEAGLE,D14-045361,LIC ALTERED,VET,KHS,HMA,,SHELTER
A585704,DOG,TAN,TERRIER,CAIRN TERRIER,L16-037435,LIC ALTERED,HLP WEB,,4368219,G000344,LOCKBOX
A612891,CAT,,SHORTHAIR,DOMESTIC SH,985113000884096,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A632892,DOG,WHITE,COLLIE,BORDER COLLIE,L17-009078,LIC ALTERED,ADOPT,LMAS,,G124495,SHELTER
A632896,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L17-009234,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A571652,DOG,,TERRIER,PARSON RUSS TER,L16-011642,LIC ALTERED,HLP SCAN,,4854856,G000061,LOCKBOX
A580160,CAT,,SHORTHAIR,DOMESTIC SH,L16-030514,LIC ALTERED,HLP SCAN,,4871153,G000060,LOCKBOX
A595273,DOG,,TOY,CHIHUAHUA SH,,,,,,,
A556115,CAT,GRAY,LONGHAIR,ANGORA,L15-059509,LIC ALTERED,VET,KHS,ARL,G000088,SHELTER
A614309,DOG,,MASTIFF,PIT BULL,,,,,,,
A559268,DOG,,TOY,SHIH TZU,L15-013839,LIC UNALTERED,COUNTER,,DMC,G000053,SHELTER
A559117,DOG,,TOY,CHIHUAHUA SH,L17-028414,LIC 3Y,HLP SCAN,,6196761,G000067,LOCKBOX
A582618,DOG,,MASTIFF,BOXER,RAB0363700,RABIES CERT,VET,BANFIELD,LB,G000058,SHELTER
A621969,CAT,BLACK,SHORTHAIR,DOMESTIC SH,L17-014606,LIC ALTERED,VET,,AMC,G000088,LICENSE
A581075,DOG,,MIX,MIX,L16-017542,LIC ALTERED,HLP SCAN,,4923642,G000291,LOCKBOX
A625473,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A561981,DOG,WHITE,SETTER/RETRIEVE,LABRADOR RETR,985112005265078,MICROCHIP,HOME AGAIN,,,G000338,SHELTER
A505967,DOG,WHITE,SETTER/RETRIEVE,LABRADOR RETR,L14-005436,LIC UNALTERED,HLP SCAN,,3154158,G000069,LOCKBOX
A609444,CAT,,LONGHAIR,DOMESTIC LH,,,,,,,
A621608,DOG,WHITE,MASTIFF,PIT BULL,L17-046945,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A550857,DOG,WHITE,MASTIFF,PIT BULL,985112005999006,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A377715,DOG,,SETTER/RETRIEVE,LABRADOR RETR,D14-041282,LIC ALTERED,VET,GAILOR,TE,G000069,SHELTER
A600148,DOG,,HOUND,BEAGLE,L16-010187,LIC ALTERED,VET,KHS,KS,G000088,SHELTER
A574685,DOG,,TERRIER,SCHNAUZER MIN,U15-004952,RABIES CERT,HLP IMPORT,,3925314,G000057,LOCKBOX
A551399,DOG,,TOY,YORKSHIRE TERR,L14-057606,LIC ALTERED,HLP SCAN,,3223323,G000060,SHELTER
A549931,DOG,WHITE,TOY,SHIH TZU,U15-000091,RABIES CERT,HLP IMPORT,,3170206,G000058,LOCKBOX
A596671,DOG,WHITE,SPITZ,SIBERIAN HUSKY,L16-020054,LIC UNALTERED,COUNTER,,ARL,G000338,SHELTER
A581520,DOG,TAN,HOUND,BLUETICK HOUND,L15-065214,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A600202,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A604562,CAT,,SHORTHAIR,DOMESTIC SH,985112008498223,MICROCHIP ADO,HOME AGAIN,MAS,,,SHELTER
A550010,DOG,BLACK,POODLE,BICHON FRISE,U16-006047,RABIES CERT,HLP IMPORT,,4132464,G000058,LOCKBOX
A521731,DOG,,SETTER/RETRIEVE,LABRADOR RETR,U16-008093,RABIES CERT,HLP SCAN,,4527319,G000340,LOCKBOX
A624308,DOG,,MASTIFF,PIT BULL,982000406160191,MICROCHIP,HOME AGAIN,,,,SHELTER
A486205,DOG,,TOY,DACHSHUND,D12-045738,LIC ALTERED,VET,BARBOUR,NR,G000072,SHELTER
A626820,DOG,,TERRIER,SCHNAUZER MIN,L17-033225,LIC ALTERED,HLP SCAN,,6369319,G000082,LOCKBOX
A630018,CAT,WHITE,SHORTHAIR,DOMESTIC SH,,,,,,,
A575796,DOG,TAN,HOUND,BEAGLE,L15-039901,LIC ALTERED,VET,KHS,ARL,G000088,SHELTER
A592018,DOG,,TOY,YORKSHIRE TERR,,,,,,,
A556380,CAT,,SHORTHAIR,DOMESTIC SH,L14-005911,LIC ALTERED,HLP SCAN,,3405910,G000069,LOCKBOX
A574512,CAT,,SHORTHAIR,DOMESTIC SH,L16-017608,LIC ALTERED,HLP SCAN,,5084997,G000291,LOCKBOX
A615706,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A607008,DOG,,SETTER/RETRIEVE,LABRADOR RETR,985121008987427,MICROCHIP,HLP WEB,,5212933,,LOCKBOX
A615745,DOG,WHITE,COLLIE,AUST CATTLE DOG,L17-041364,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A369971,DOG,,TOY,YORKSHIRE TERR,L16-022688,LIC ALTERED,HLP SCAN,,5473766,G000069,LOCKBOX
A560285,DOG,BROWN,SETTER/RETRIEVE,LABRADOR RETR,L17-054954,LIC 3Y,COUNTER,,AMC,G000344,LICENSE
A628392,DOG,,TOY,YORKSHIRE TERR,L17-048548,LIC ALTERED,HLP SCAN,,6441997,G000060,LOCKBOX
A561567,DOG,,MASTIFF,AM PIT BULL TER,,,,,,,
A631327,DOG,,TOY,SHIH TZU,L17-027640,LIC ALTERED,HLP SCAN,,6578998,G000071,LOCKBOX
A614471,DOG,,MASTIFF,PIT BULL,985113000877979,MICROCHIP RTO,HOME AGAIN,,,G999999,SHELTER
A572901,DOG,WHITE,MASTIFF,PIT BULL,L17-001024,LIC ALTERED,COUNTER,,AMC,G124495,SHELTER
A597569,DOG,,SHEEPDOG,BEARDED COLLIE,L16-014271,LIC 3Y,MAIL,,AMC,G000368,SHELTER
A549679,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A580084,DOG,,TERRIER,TERRIER,L17-046036,LIC ALTERED,HLP SCAN,,6579032,G000075,LOCKBOX
A602369,DOG,,SETTER/RETRIEVE,GOLDEN RETR,L16-016579,LIC ALTERED,HLP SCAN,,4997384,G000064,SHELTER
A594393,CAT,,LONGHAIR,DOMESTIC LH,L16-000843,LIC ALTERED,HLP SCAN,,4684161,G000067,LOCKBOX
A622075,DOG,,SHEPHERD,GERM SHEPHERD,L17-032416,LIC ALTERED,VET,,AMC,,SHELTER
A567353,DOG,,MASTIFF,AMER BULLDOG,,,,,,,
A555909,DOG,BLACK,SETTER/RETRIEVE,GOLDEN RETR,L16-008829,LIC ALTERED,COUNTER,CLAY,,G000104,SHELTER
A599069,DOG,,TOY,YORKSHIRE TERR,L16-012301,LIC ALTERED,HLP SCAN,,4855128,G000060,LOCKBOX
A567639,DOG,,TERRIER,TERRIER,L15-200291,LIC ALTERED,HLP SCAN,,3728195,G000340,LOCKBOX
A563303,DOG,TAN,TOY,CHIHUAHUA SH,L16-037952,LIC ALTERED,MAIL,DR JOHNS,LB,G000104,SHELTER
A617403,CAT,ORANGE,SHORTHAIR,DOMESTIC SH,L17-025858,LIC ALTERED,ADOPT,MAS,KLM,G000469,SHELTER
A503957,DOG,WHITE,COLLIE,BORDER COLLIE,9851120006400116,MICROCHIP,HOME AGAIN,,,,SHELTER
A591156,DOG,BLACK,MASTIFF,BULLMASTIFF,L16-039557,LIC ALTERED,HLP WEB,,4555466,G000402,LOCKBOX
A566861,DOG,,SETTER/RETRIEVE,LABRADOR RETR,15-021126,LIC 3Y,HLP SCAN,FAIRLEIGH,3711498,G000068,SHELTER
A537535,DOG,,SHEPHERD,GERM SHEPHERD,L14-037899,LIC ALTERED,COUNTER,BANFIELD,LB,G000402,SHELTER
A569629,DOG,BROWN,HOUND,BEAGLE,L17-025236,LIC ALTERED,VET,BARBOUR,LB,G000059,SHELTER
A617851,DOG,BLACK,SHEPHERD,GERM SHEPHERD,L17-014134,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A572679,CAT,,SHORTHAIR,DOMESTIC SH,L16-024037,LIC ALTERED,VET,CHEROKEE,LB,G000062,SHELTER
A620780,DOG,,SHEPHERD,WELSH CORGI PEM,L17-032716,LIC ALTERED,HLP SCAN,,6002741,G000067,LOCKBOX
A215253,DOG,WHITE,SETTER/RETRIEVE,ENG SETTER,D10-049125,LIC ALTERED,COUNTER,EAST LOU,,G000067,SHELTER
A460759,DOG,TAN,TOY,PAPILLON,L17-006256,LIC 3Y,COUNTER,SENECA,,G000360,LICENSE
A585228,CAT,,SHORTHAIR,DOMESTIC SH,982000405436258,MICROCHIP,HLP WEB,,4335927,,LOCKBOX
A286935,DOG,TAN,MASTIFF,PIT BULL,D11-037163,LIC ALTERED,ONLINE,BROWNBORO,JQR,,SHELTER
A598985,DOG,,SETTER/RETRIEVE,GOLDEN RETR,L16-046955,LIC ALTERED,HLP SCAN,,4854785,G000222,LOCKBOX
A602307,DOG,WHITE,COLLIE,SHETLD SHEEPDOG,L16-020060,LIC ALTERED,COUNTER,,ARL,G000058,SHELTER
A631027,CAT,,SHORTHAIR,DOMESTIC SH,L17-027825,LIC ALTERED,HLP SCAN,,6577895,G000071,LOCKBOX
