animal_id,animal_type,secondary_color,breed_group,primary_breed,tag_no,tag_type,tag_subtype,vaccine,serial_no,vet_id,location (1)
A582604,DOG,WHITE,TERRIER,PARSON RUSS TER,U16-006480,RABIES CERT,HLP IMPORT,,4200521,G000058,LOCKBOX
A615597,CAT,,LONGHAIR,DOMESTIC LH,U17-046691,RAB VAC CERT.,VET,,ARL,G000360,SHELTER
A466254,DOG,TAN,TOY,CHIHUAHUA SH,D12-047900,LIC UNALTERED,COUNTER,FAIRDALE,JQR,,SHELTER
A613247,DOG,WHITE,MASTIFF,BOXER,,,,,,,
A593748,CAT,,LONGHAIR,PERSIAN,,,,,,,
A626131,DOG,,MASTIFF,PIT BULL,L17-051239,LIC ALTERED,COUNTER,,SIM,G000379,LICENSE
A580636,DOG,,,MIX,U17-009633,RABIES CERT,HLP SCAN,,6577751,G000075,LOCKBOX
A600958,DOG,,TOY,YORKSHIRE TERR,16-005681,LIC 3Y,VET,FAIRLEIGH,4743116,G000068,LOCKBOX
A567040,DOG,,TOY,PUG,L16-015999,LIC 3Y,COUNTER,,AMC,G000374,SHELTER
A629378,DOG,,SETTER/RETRIEVE,GOLDEN RETR,985113000308648,MICROCHIP,HLP SCAN,,6490789,,LOCKBOX
A589368,CAT,,SHORTHAIR,DOMESTIC SH,982000357633058,MICROCHIP,HLP IMPORT,,4497313,,LOCKBOX
A585734,DOG,,TOY,DACHSHUND LH,R16-0251,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A598561,DOG,,,DACHSHUND SM,L16-004582,LIC ALTERED,HLP SCAN,GAILOR,4841739,G000069,SHELTER
A558459,DOG,,MASTIFF,ENG BULLDOG,,,,,,,
A612161,DOG,BROWN,TERRIER,MIN PINSCHER,,,,,,,
A573859,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L15-061587,LIC ALTERED,MAIL,VET,ARL,G000402,SHELTER
A611137,CAT,,SHORTHAIR,DOMESTIC SH,L16-022434,LIC ALTERED,HLP SCAN,,5474109,G000061,LOCKBOX
A571175,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A627676,CAT,MUTED,SHORTHAIR,DOMESTIC SH,L17-009119,LIC ALTERED,ADOPT,LMAS,,G124495,SHELTER
A576945,DOG,BLACK,TOY,YORKSHIRE TERR,985112005068943,MICROCHIP,HLP WEB,,3973156,,LOCKBOX
A599981,DOG,,COLLIE,AUST CATTLE DOG,L17-019469,LIC ALTERED,HLP WEB,,6017240,G000083,LOCKBOX
A572136,CAT,,SHORTHAIR,DOMESTIC SH,U15-004426,RABIES CERT,HLP IMPORT,,3862696,G000057,LOCKBOX
A631073,CAT,,SHORTHAIR,SIAMESE,L17-001992,LIC ALTERED,HLP SCAN,,6578046,G000061,LOCKBOX
A614241,DOG,BROWN,MASTIFF,PIT BULL,L17-012427,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A612768,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A561776,CAT,,LONGHAIR,MAINE COON,L15-013314,LIC ALTERED,COUNTER,MAS,LB,G124495,SHELTER
A630202,CAT,,SHORTHAIR,DOMESTIC SH,L17-053137,LIC ALTERED,ADOPT,LMAS,,G124495,SHELTER
A619747,CAT,GRAY TABBY,SHORTHAIR,DOMESTIC SH,,,,,,,
