animal_id,animal_type,color_group,primary_color,breed_group,primary_breed,status_date,location,animal_identity,tag_no,tag_type,tag_subtype
A557578,DOG,B,BLACK,HOUND,BEAGLE,2015-04-10 00:00:00,SHELTER,472493.0,985112005141843,MICROCHIP ADO,HOME AGAIN
A587640,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2016-04-20 00:00:00,SHELTER,502597.0,L16-029763,LIC ALTERED,VET
A554881,DOG,BR,BR BRINDLE,MASTIFF,PIT BULL,2015-06-18 00:00:00,SHELTER,469798.0,L15-023028,LIC ALTERED,ADOPT
A557551,CAT,B,BLACK,SHORTHAIR,AMER SH,2015-04-10 00:00:00,LOCKBOX,472466.0,985112005022822,MICROCHIP,HLP WEB
A578639,DOG,BR,BROWN,TOY,MALTESE,2015-12-11 00:00:00,LOCKBOX,493591.0,U15-005672,RABIES CERT,HLP IMPORT
A601815,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2016-10-06 00:00:00,LOCKBOX,516726.0,L16-032085,LIC ALTERED,HLP SCAN
A553010,DOG,B,BLACK,,DACHSHUND MINI,2015-02-11 00:00:00,LOCKBOX,467924.0,L17-038510,LIC ALTERED,HLP SCAN
A551065,DOG,OO,BLACK,POODLE,POODLE TOY,2015-01-22 00:00:00,SHELTER,465961.0,L16-059317,LIC 3Y,VET
A558974,DOG,BR,TAN,SHEPHERD,GERM SHEPHERD,2015-05-04 00:00:00,SHELTER,473894.0,L16-027865,LIC ALTERED,VET
A591754,DOG,B,BLACK,HOUND,BEAGLE,2016-06-07 00:00:00,LOCKBOX,506671.0,U16-008150,RABIES CERT,HLP SCAN
A578972,DOG,OO,FAWN,SETTER/RETRIEVE,GREAT PYRENEES,2015-12-17 00:00:00,SHELTER,493923.0,982000364368501,MICROCHIP,HLP WEB
A530611,DOG,B,BLACK,,DACHSHUND SM,2014-06-29 00:00:00,LOCKBOX,445433.0,L17-011687,LIC ALTERED,HLP SCAN
A587201,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2016-04-14 00:00:00,LOCKBOX,502158.0,RAB0373729,RABIES CERT,VET
A553125,DOG,BR,CHOCOLATE,SETTER/RETRIEVE,LABRADOR RETR,2015-02-11 00:00:00,LOCKBOX,468039.0,L14-016714,LIC ALTERED,HLP SCAN
A576830,DOG,B,GRAY,MASTIFF,PIT BULL,2015-11-11 00:00:00,LOCKBOX,491779.0,U15-005300,RABIES CERT,HLP IMPORT
A585866,DOG,W,WHITE,POODLE,BICHON FRISE,2016-03-23 00:00:00,LOCKBOX,500822.0,985121008268557,MICROCHIP,HLP SCAN
A586189,DOG,OO,RED,MASTIFF,BOXER,2016-03-29 00:00:00,SHELTER,501144.0,985112006779477,MICROCHIP,HOME AGAIN
A565930,DOG,B,BLACK,MASTIFF,PIT BULL,2015-07-17 00:00:00,SHELTER,480862.0,,,
A633159,DOG,W,WHITE,TOY,SHIH TZU,2017-12-29 00:00:00,SHELTER,547784.0,,,
A588471,DOG,OO,BLACK,SHEPHERD,GERM SHEPHERD,2016-04-27 00:00:00,SHELTER,503392.0,RAB-45590,RAB VAC CERT.,VET
A603406,CAT,BR,CALICO,SHORTHAIR,DOMESTIC SH,2016-11-02 00:00:00,SHELTER,518311.0,L16-006420,LIC ALTERED,ADOPT
A580032,CAT,B,GRAY TABBY,SHORTHAIR,DOMESTIC SH,2016-01-03 00:00:00,SHELTER,494984.0,L16-017675,LIC ALTERED,HLP SCAN
A579705,DOG,BR,FAWN,MASTIFF,BOXER,2015-12-28 00:00:00,SHELTER,494657.0,985112006644103,MICROCHIP,RESQ
A603726,DOG,B,BLACK,TOY,YORKSHIRE TERR,2016-11-06 00:00:00,WEB,518632.0,,,
A632667,DOG,B,TRICOLOR,TOY,CHIHUAHUA SH,2017-12-18 00:00:00,LOCKBOX,547294.0,985112000739431,MICROCHIP,HLP SCAN
A552453,DOG,B,BLACK,TOY,YORKSHIRE TERR,2015-02-04 00:00:00,LOCKBOX,467362.0,U15-000774,RABIES CERT,HLP IMPORT
A596246,DOG,OO,TAN,TOY,SHIH TZU,2016-08-04 00:00:00,SHELTER,511162.0,RAB9124008,RABIES CERT,VET
A377224,DOG,OO,TRICOLOR,HOUND,BEAGLE,2009-03-13 00:00:00,LOCKBOX,289810.0,L14-021080,LIC SR,HLP SCAN
A604606,DOG,B,BLACK,HOUND,BLACK/TAN HOUND,2016-11-14 00:00:00,SHELTER,519454.0,L16-006039,LIC ALTERED,ADOPT
A549928,DOG,W,WHITE,TOY,MALTESE,2015-01-08 00:00:00,LOCKBOX,464822.0,U15-000087,RABIES CERT,HLP IMPORT
A557381,DOG,OO,APRICOT,TOY,HAVANESE,2015-04-08 00:00:00,SHELTER,472295.0,L16-037080,LIC SR,HLP WEB
A559245,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2015-05-04 00:00:00,LOCKBOX,474163.0,985112005514976,MICROCHIP,HLP SCAN
A608485,DOG,OO,BR BRINDLE,SIGHTHOUND,GREYHOUND,2017-01-21 00:00:00,SHELTER,523320.0,842554043,MICROCHIP,AVID
A471804,DOG,B,BLACK,TOY,DACHSHUND,2012-07-24 00:00:00,SHELTER,386145.0,L15-010009,LIC ALTERED,VET
A601796,CAT,,,SHORTHAIR,DOMESTIC SH,2016-10-06 00:00:00,LOCKBOX,516707.0,L16-030557,LIC SR,HLP SCAN
A557101,CAT,OO,ORANGE,LONGHAIR,DOMESTIC MH,2015-04-04 00:00:00,SHELTER,472014.0,R14-103904,RABIES CERT,VET
A337152,DOG,OO,TRICOLOR,SHEPHERD,WELSH CORGI CAR,2008-01-02 00:00:00,SHELTER,165140.0,D12-010039,LIC SR,MAIL
A616011,DOG,BR,CHOCOLATE,SETTER/RETRIEVE,LABRADOR RETR,2017-04-25 00:00:00,SHELTER,530763.0,L17-012275,LIC ALTERED,COUNTER
A617169,CAT,OO,ORG TABBY,SHORTHAIR,DOMESTIC SH,2017-05-12 00:00:00,SHELTER,531925.0,985113001006446,MICROCHIP ADO,HOME AGAIN
A583044,DOG,OO,RED,COLLIE,AUST CATTLE DOG,2016-02-10 00:00:00,SHELTER,498001.0,L15-059956,LIC ALTERED,VET
A630757,CAT,W,WHITE,SHORTHAIR,DOMESTIC SH,2017-11-22 00:00:00,WEB,545390.0,,,
A598613,DOG,B,TRICOLOR,SPANIEL,CAVALIER SPAN,2016-08-29 00:00:00,LOCKBOX,513527.0,985112004081057,MICROCHIP,HLP SCAN
A613420,DOG,B,BLACK,SHEPHERD,GERM SHEPHERD,2017-03-23 00:00:00,SHELTER,528182.0,L17-030073,LIC ALTERED,VET
A602032,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2016-10-12 00:00:00,SHELTER,516946.0,985112008103349,MICROCHIP ADO,HOME AGAIN
A410906,DOG,BR,TAN,SHEPHERD,GERM SHEPHERD,2010-05-05 00:00:00,SHELTER,324118.0,985121005468774,MICROCHIP,HOME AGAIN
A614281,CAT,B,GRAY,LONGHAIR,DOMESTIC LH,2017-03-31 00:00:00,SHELTER,529028.0,L17-012381,LIC ALTERED,ADOPT
A583731,DOG,BR,TAN,TOY,YORKSHIRE TERR,2016-02-22 00:00:00,LOCKBOX,498696.0,L15-036800,LIC 3YSR,HLP SCAN
A564018,CAT,W,WHITE,SHORTHAIR,SIAMESE,2015-06-22 00:00:00,LOCKBOX,478944.0,L17-010486,LIC ALTERED,HLP SCAN
A554656,DOG,OO,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2016-02-18 00:00:00,SHELTER,469573.0,L15-019799,LIC ALTERED,MAIL
A581378,DOG,B,TRICOLOR,TERRIER,PARSON RUSS TER,2016-01-20 00:00:00,LOCKBOX,496334.0,L15-050791,LIC ALTERED,HLP SCAN
A575548,DOG,OO,UNKNOWN,MASTIFF,PIT BULL,2015-10-31 00:00:00,WEB,490495.0,,,
A596378,DOG,W,WHITE,MASTIFF,PIT BULL,2016-08-04 00:00:00,SHELTER,511294.0,L16-014236,LIC ALTERED,COUNTER
A553262,CAT,OO,GRAY,LONGHAIR,DOMESTIC MH,2015-02-13 00:00:00,SHELTER,468176.0,,,
A596026,CAT,W,WHITE,LONGHAIR,DOMESTIC MH,2016-08-02 00:00:00,SHELTER,510941.0,R16-3304,RAB VAC CERT.,RESQ
A588149,CAT,BR,BRN TABBY,SHORTHAIR,DOMESTIC SH,2016-04-22 00:00:00,LOCKBOX,503099.0,L17-028260,REJECT,HLP SCAN
A550996,DOG,,,TOY,YORKSHIRE TERR,2015-01-21 00:00:00,LOCKBOX,465891.0,L16-004604,LIC ALTERED,HLP SCAN
A567222,CAT,B,CALICO,LONGHAIR,DOMESTIC LH,2015-07-30 00:00:00,LOCKBOX,482160.0,L15-011167,LIC ALTERED,HLP SCAN
A549452,DOG,B,BLACK,MIX,MIX,2014-12-31 00:00:00,LOCKBOX,464346.0,L14-005520,LIC SR,HLP SCAN
A424532,DOG,BR,TAN,TOY,CHIHUAHUA SH,2010-10-22 00:00:00,LICENSE,338015.0,L14-008128,LIC ALTERED,COUNTER
A613858,DOG,OO,WHITE,TOY,SHIH TZU,2017-03-28 00:00:00,SHELTER,528613.0,L17-012399,LIC ALTERED,ADOPT
A551007,DOG,B,TRICOLOR,MASTIFF,BULLDOG,2015-01-21 00:00:00,LOCKBOX,465902.0,L14-005855,LIC ALTERED,HLP SCAN
A614526,DOG,B,BLACK,SHEPHERD,GERM SHEPHERD,2017-04-06 00:00:00,LOCKBOX,529275.0,L17-017318,LIC UNALTERED,HLP WEB
A556322,CAT,BR,ORANGE,SHORTHAIR,DOMESTIC SH,2015-03-24 00:00:00,LOCKBOX,471235.0,L16-029515,LIC SR,HLP SCAN
A612550,CAT,OO,BUFF,SHORTHAIR,DOMESTIC SH,2017-03-10 00:00:00,SHELTER,527314.0,L17-012054,LIC ALTERED,ADOPT
A551201,DOG,W,WHITE,MASTIFF,PIT BULL,2015-01-25 00:00:00,SHELTER,466102.0,L15-062048,LIC UNALTERED,COUNTER
A445314,DOG,OO,BLACK,TOY,CHIHUAHUA SH,2011-09-22 00:00:00,SHELTER,359264.0,D12-049975,LIC UNALTERED,ONLINE
A553904,DOG,OO,LIVER,SPANIEL,ENG COCKER SPAN,2015-02-21 00:00:00,SHELTER,468819.0,RAB43287,RAB VAC CERT.,VET
A615509,DOG,OO,TAN,TOY,POMERANIAN,2017-04-18 00:00:00,SHELTER,530254.0,RAB0373742,RABIES CERT,VET
A570408,DOG,BR,GOLD,SETTER/RETRIEVE,GOLDEN RETR,2015-09-08 00:00:00,LOCKBOX,485352.0,U15-003611,RABIES CERT,HLP IMPORT
A563060,DOG,B,BLACK,MASTIFF,MASTIFF,2015-06-14 00:00:00,SHELTER,477985.0,L15-023142,LIC ALTERED,ADOPT
A549831,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2015-01-08 00:00:00,SHELTER,464725.0,RAB105744,RAB VAC CERT.,VET
A607864,DOG,OO,BLACK,TERRIER,MIN PINSCHER,2017-01-11 00:00:00,SHELTER,522695.0,L16-044852,LIC ALTERED,COUNTER
A524973,DOG,OO,RED MERLE,COLLIE,AUST SHEPHERD,2014-04-28 00:00:00,SHELTER,439773.0,985113001191939,MICROCHIP ADO,ADOPT
A601497,DOG,OO,UNKNOWN,POODLE,POODLE MIN,2016-09-30 00:00:00,WEB,516408.0,,,
A612975,DOG,B,BROWN,TOY,PUG,2017-03-18 00:00:00,SHELTER,527741.0,L17-026331,LIC UNALTERED,COUNTER
A604200,DOG,W,WHITE,MASTIFF,PIT BULL,2016-11-09 00:00:00,SHELTER,519060.0,L17-025620,LIC ALTERED,ADOPT
A563738,CAT,B,GRAY TABBY,LONGHAIR,DOMESTIC MH,2015-06-22 00:00:00,SHELTER,478664.0,,,
A589324,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2016-05-06 00:00:00,LOCKBOX,504243.0,U16-007696,RABIES CERT,HLP IMPORT
A555895,CAT,OO,BLACK,SHORTHAIR,DOMESTIC SH,2015-03-19 00:00:00,SHELTER,470807.0,U17-46754,RABIES CERT,VET
A613515,CAT,OO,CALICO,LONGHAIR,DOMESTIC MH,2017-03-24 00:00:00,SHELTER,528277.0,L17-030622,LIC ALTERED,VET
A564385,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2015-06-24 00:00:00,SHELTER,479312.0,,,
A603635,DOG,B,BLUE,MASTIFF,PIT BULL,2016-11-04 00:00:00,SHELTER,518541.0,L17-053832VOID,LIC 3Y,MAIL
A588214,DOG,BR,GOLD,SETTER/RETRIEVE,GOLDEN RETR,2016-04-22 00:00:00,LOCKBOX,503160.0,L16-028740,LIC ALTERED,HLP SCAN
A573857,DOG,W,WHITE,TOY,POMERANIAN,,SHELTER,488801.0,L15-061590,LIC ALTERED,MAIL
A628824,CAT,OO,ORANGE,SHORTHAIR,DOMESTIC SH,2017-10-23 00:00:00,LICENSE,543463.0,L17-027307,LIC ALTERED,VET
A589977,CAT,B,GRAY,SHORTHAIR,DOMESTIC SH,2016-05-11 00:00:00,LOCKBOX,504894.0,16-057109,LIC ALTERED,HLP SCAN
A377488,DOG,B,BLACK,MASTIFF,BOXER,2009-03-16 00:00:00,SHELTER,290084.0,D13-023926,LIC UNALTERED,MAIL
A597244,DOG,BR,TAN,SETTER/RETRIEVE,GOLDEN RETR,2016-08-15 00:00:00,LOCKBOX,512154.0,982000405445652,MICROCHIP,HLP WEB
A569726,DOG,B,GRAY,TOY,SHIH TZU,2015-08-31 00:00:00,SHELTER,484668.0,985112006050466,MICROCHIP ADO,HOME AGAIN
A576776,CAT,BR,ORG TABBY,SHORTHAIR,DOMESTIC SH,2015-11-11 00:00:00,LOCKBOX,491725.0,U15-005229,RABIES CERT,HLP IMPORT
A573586,CAT,OO,GRAY TABBY,SHORTHAIR,DOMESTIC SH,2015-10-07 00:00:00,SHELTER,488529.0,,,
A625895,CAT,OO,ORANGE,SHORTHAIR,DOMESTIC SH,2017-09-26 00:00:00,LICENSE,540631.0,L17-014740,LIC SR,VET
A583771,DOG,B,BLACK,,,2016-02-22 00:00:00,LOCKBOX,498736.0,L15-041144,LIC SR,HLP SCAN
A586725,DOG,BR,RED,POINTER,VIZSLA,2016-04-07 00:00:00,LOCKBOX,501679.0,L15-009735,LIC ALTERED,HLP WEB
A617414,DOG,OO,BLACK,SETTER/RETRIEVE,GOLDEN RETR,2017-05-17 00:00:00,SHELTER,532171.0,,,
A629066,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2017-10-28 00:00:00,SHELTER,543705.0,,,
A569218,CAT,BR,ORANGE,SHORTHAIR,DOMESTIC SH,2015-08-23 00:00:00,SHELTER,484160.0,,,
A590363,DOG,B,BLACK,TERRIER,SCHNAUZER GIANT,2016-05-17 00:00:00,SHELTER,505279.0,3YR-008016,LIC 3YSR,COUNTER
A556427,DOG,BR,BROWN,TOY,POMERANIAN,2016-12-16 00:00:00,LOCKBOX,471340.0,L14-005782,LIC SR,HLP SCAN
A608874,CAT,OO,BRN TABBY,SHORTHAIR,DOMESTIC SH,2017-01-25 00:00:00,SHELTER,523709.0,985113000787837,MICROCHIP ADO,HOME AGAIN
A576373,DOG,B,GRAY TIGER,MASTIFF,CANE CORSO,2015-11-14 00:00:00,SHELTER,491322.0,985112006516883,MICROCHIP ADO,HOME AGAIN
A455082,DOG,BR,BROWN,TOY,CHIHUAHUA SH,2012-03-08 00:00:00,SHELTER,369186.0,L16-038177,LIC ALTERED,HLP WEB
A577774,DOG,BR,BR BRINDLE,TERRIER,JACK RUSS TER,2015-12-07 00:00:00,SHELTER,492726.0,985112006346738,MICROCHIP ADO,HOME AGAIN
A611549,DOG,OO,GRAY,MASTIFF,AM PIT BULL TER,2017-02-26 00:00:00,SHELTER,526332.0,L17-044312,LIC ALTERED,ADOPT
A572599,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2015-09-28 00:00:00,LOCKBOX,487540.0,L15-006715,LIC ALTERED,HLP WEB
A606643,CAT,BR,TORTIE,SHORTHAIR,AMER SH,2016-12-15 00:00:00,SHELTER,521497.0,L16-050902,LIC ALTERED,ADOPT
A605507,CAT,OO,UNKNOWN,SHORTHAIR,DOMESTIC SH,2016-11-26 00:00:00,WEB,520357.0,,,
A622495,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2017-07-27 00:00:00,SHELTER,537220.0,985113001202404,MICROCHIP ADO,HOME AGAIN
A551193,DOG,B,BLUE,MASTIFF,PIT BULL,2015-01-25 00:00:00,SHELTER,466092.0,L15-056048,LIC ALTERED,ADOPT
A570766,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2015-09-10 00:00:00,SHELTER,485709.0,982000362853575,MICROCHIP,HLP WEB
A615249,DOG,BR,BR BRINDLE,MASTIFF,PIT BULL,2017-04-13 00:00:00,SHELTER,529994.0,L17-026739,LIC ALTERED,MAIL
A599856,DOG,OO,TAN,SIGHTHOUND,SALUKI,2016-09-10 00:00:00,SHELTER,514760.0,L16-007438,LIC ALTERED,VET
A610011,DOG,BR,BROWN,TOY,SHIH TZU,2017-02-10 00:00:00,SHELTER,524846.0,985113000782325,MICROCHIP ADO,HOME AGAIN
A627837,DOG,OO,BLACK,HOUND,BEAGLE,2017-10-10 00:00:00,LICENSE,542510.0,,,
A574878,CAT,BR,BRN TABBY,LONGHAIR,MAINE COON,2015-10-22 00:00:00,SHELTER,489824.0,985112006321113,MICROCHIP ADO,HOME AGAIN
A596942,DOG,BR,BR BRINDLE,MASTIFF,BOXER,2016-08-12 00:00:00,SHELTER,511867.0,L16-005758,LIC ALTERED,COUNTER
A584658,DOG,BR,BR BRINDLE,MASTIFF,MASTIFF,2016-03-08 00:00:00,LOCKBOX,499615.0,L16-047505,LIC ALTERED,HLP SCAN
A559349,DOG,BR,BR BRINDLE,TOY,PUG,2015-05-05 00:00:00,LOCKBOX,474267.0,L17-010253,LIC ALTERED,HLP SCAN
A601311,DOG,OO,TRICOLOR,HOUND,BEAGLE,2016-09-28 00:00:00,SHELTER,516219.0,L16-013109,LIC ALTERED,VET
A561198,DOG,BR,TAN,MIX,MIX,2015-05-21 00:00:00,LOCKBOX,476118.0,L15-058185,LIC 3YSR,HLP SCAN
A602338,DOG,BR,TRICOLOR,TOY,YORKSHIRE TERR,2016-10-17 00:00:00,LOCKBOX,517239.0,L16-042985,LIC UNALTERED,HLP WEB
A631492,DOG,B,BLUE MERLE,COLLIE,AUST SHEPHERD,2017-11-30 00:00:00,LOCKBOX,546114.0,981020021825703,MICROCHIP,HLP WEB
A580943,DOG,W,WHITE,SETTER/RETRIEVE,ENG SETTER,2016-01-13 00:00:00,LOCKBOX,495897.0,L17-038171,LIC ALTERED,VET
A616409,DOG,BR,BROWN,SHEPHERD,GERM SHEPHERD,2017-04-30 00:00:00,SHELTER,531162.0,L17-014305,LIC UNALTERED,VET
