Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
08/08/1997 11:00,120101,1,60,2,West Bound,2,South,230,0,,6,0,
08/08/1997 12:00,120101,1,60,1,East Bound,2,South,194,0,,6,0,
08/08/1997 12:00,120101,1,60,2,West Bound,2,South,220,0,,6,0,
08/08/1997 13:00,120101,1,60,1,East Bound,2,South,250,0,,6,0,
08/08/1997 13:00,120101,1,60,2,West Bound,2,South,202,0,,6,0,
08/08/1997 14:00,120101,1,60,1,East Bound,2,South,239,0,,6,0,
08/08/1997 14:00,120101,1,60,2,West Bound,2,South,227,0,,6,0,
08/08/1997 15:00,120101,1,60,1,East Bound,2,South,236,0,,6,0,
08/08/1997 15:00,120101,1,60,2,West Bound,2,South,251,0,,6,0,
08/08/1997 16:00,120101,1,60,1,East Bound,2,South,264,0,,6,0,
08/08/1997 16:00,120101,1,60,2,West Bound,2,South,269,0,,6,0,
08/08/1997 17:00,120101,1,60,1,East Bound,2,South,271,0,,6,0,
08/08/1997 17:00,120101,1,60,2,West Bound,2,South,235,0,,6,0,
08/08/1997 18:00,120101,1,60,1,East Bound,2,South,179,0,,6,0,
08/08/1997 18:00,120101,1,60,2,West Bound,2,South,185,0,,6,0,
08/08/1997 19:00,120101,1,60,1,East Bound,2,South,158,0,,6,0,
08/08/1997 19:00,120101,1,60,2,West Bound,2,South,180,0,,6,0,
08/08/1997 20:00,120101,1,60,1,East Bound,2,South,123,0,,6,0,
08/08/1997 20:00,120101,1,60,2,West Bound,2,South,143,0,,6,0,
08/08/1997 21:00,120101,1,60,1,East Bound,2,South,95,0,,6,0,
08/08/1997 21:00,120101,1,60,2,West Bound,2,South,81,0,,6,0,
08/08/1997 22:00,120101,1,60,1,East Bound,2,South,87,0,,6,0,
08/08/1997 22:00,120101,1,60,2,West Bound,2,South,50,0,,6,0,
08/08/1997 23:00,120101,1,60,1,East Bound,2,South,50,0,,6,0,
08/08/1997 23:00,120101,1,60,2,West Bound,2,South,42,0,,6,0,
09/08/1997 00:00,120101,1,60,1,East Bound,2,South,26,0,,6,0,
09/08/1997 00:00,120101,1,60,2,West Bound,2,South,24,0,,6,0,
09/08/1997 01:00,120101,1,60,1,East Bound,2,South,11,0,,6,0,
09/08/1997 01:00,120101,1,60,2,West Bound,2,South,21,0,,6,0,
09/08/1997 02:00,120101,1,60,1,East Bound,2,South,7,0,,6,0,
09/08/1997 02:00,120101,1,60,2,West Bound,2,South,5,0,,6,0,
09/08/1997 03:00,120101,1,60,1,East Bound,2,South,5,0,,6,0,
09/08/1997 03:00,120101,1,60,2,West Bound,2,South,3,0,,6,0,
09/08/1997 04:00,120101,1,60,1,East Bound,2,South,6,0,,6,0,
09/08/1997 04:00,120101,1,60,2,West Bound,2,South,6,0,,6,0,
09/08/1997 05:00,120101,1,60,1,East Bound,2,South,11,0,,6,0,
09/08/1997 05:00,120101,1,60,2,West Bound,2,South,10,0,,6,0,
