Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
25/07/1999 02:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 02:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 03:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 03:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 04:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 04:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 05:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 05:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 06:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 06:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 07:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 07:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 08:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 08:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 09:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 09:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 10:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 10:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 11:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 11:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 12:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 12:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 13:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 13:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 14:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 14:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 15:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 15:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 16:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
25/07/1999 16:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
25/07/1999 17:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
