ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
john maus,33,1.0,0.00%,100.00%,9.42,1.0
julien baker,33,1.0,0.00%,93.94%,132.73,3.73
lucy france dutremble,33,1.15,0.00%,39.47%,75.0,3.85
migos culture,33,1.03,0.00%,100.00%,26.67,1.09
nora roberts,33,1.42,6.06%,38.30%,229.0,7.88
outlander,33,1.18,6.06%,46.15%,126.88,3.09
python,33,1.61,0.00%,39.62%,491.85,17.03
suits,33,1.06,0.00%,82.86%,215.24,4.45
yaeji,33,1.0,0.00%,100.00%,21.58,0.03
1984,32,1.38,0.00%,63.64%,120.84,3.78
agatha christie,32,1.22,0.00%,69.23%,450.78,11.38
camila cabello,32,1.25,21.88%,47.50%,85.09,2.31
charli xcx pop,32,1.03,0.00%,96.97%,43.97,1.03
cupcakke,32,1.0,0.00%,100.00%,17.97,1.0
drake more life,32,1.03,0.00%,96.97%,58.84,1.06
future hndrxx,32,1.0,0.00%,100.00%,27.13,0.0
hercules love affair omnion,32,1.0,0.00%,100.00%,5.59,0.0
hundred waters,32,1.0,0.00%,100.00%,12.03,1.03
jessie ware glasshouse,32,1.13,0.00%,94.44%,20.75,0.0
kehlani sweet,32,1.13,0.00%,100.00%,24.03,1.13
lil b black ken,32,1.03,0.00%,100.00%,14.19,0.0
miguel war leisure,32,1.06,0.00%,94.12%,12.56,0.0
nils frahm all,32,1.03,0.00%,100.00%,24.69,1.03
rhye blood,32,1.0,0.00%,100.00%,14.72,1.13
romaplasm,32,1.03,0.00%,100.00%,13.22,0.0
shabazz palaces,32,1.0,0.00%,100.00%,21.84,1.03
syd fin,32,1.03,0.00%,100.00%,31.41,1.03
thundercat drunk,32,1.0,0.00%,100.00%,32.47,1.0
tune yards creep,32,1.06,0.00%,94.12%,24.81,0.06
tyler creator flower,32,1.03,0.00%,100.00%,57.66,1.03
washed out mister,32,1.03,0.00%,96.97%,22.72,1.03
Elena Ferrante,31,1.29,3.23%,35.00%,137.06,5.23
kaitlyn Aurelia Smith,31,1.0,0.00%,100.00%,72.13,1.0
la servante Ã©carlate,31,1.52,9.68%,55.32%,194.9,4.42
open mike eagle,31,1.0,0.00%,100.00%,19.42,1.0
photographie,31,1.23,0.00%,57.89%,445.61,13.61
sufjan stevens gift,31,1.03,0.00%,100.00%,16.65,0.0
dan brown,30,1.13,0.00%,38.24%,217.07,8.0
fred vargas,30,1.33,6.67%,45.00%,252.77,7.7
star wars,30,1.2,3.33%,72.22%,195.9,5.53
brand new science fiction,29,1.0,48.28%,17.24%,47.1,1.45
Coco,29,1.1,13.79%,59.38%,115.62,2.0
dragon ball,29,1.38,6.90%,42.50%,257.28,7.38
homo deus,29,1.45,3.45%,50.00%,281.0,9.48
david goudreault,28,1.46,3.57%,34.15%,304.43,8.5
guide de la route,28,1.86,7.14%,44.23%,471.46,12.0
le petit robert,28,1.21,0.00%,8.82%,208.86,2.46
le poids de la neige,28,1.57,7.14%,27.27%,360.89,9.43
michel tremblay,28,1.36,10.71%,44.74%,234.29,6.21
paul auster,28,1.11,3.57%,51.61%,225.71,6.39
Policier,28,2.04,3.57%,5.26%,483.57,20.75
spinoza,28,1.86,7.14%,36.54%,308.36,8.61
the fall,28,1.18,0.00%,63.64%,129.89,4.32
westworld,28,1.25,0.00%,40.00%,175.36,5.0
Elena ferrante,27,1.37,11.11%,27.03%,348.07,6.93
la presse,27,1.52,11.11%,26.83%,214.3,8.11
lady bird,27,1.33,7.41%,47.22%,70.85,5.11
Michel Tremblay,27,1.33,7.41%,58.33%,270.41,6.7
vikings,27,1.26,3.70%,58.82%,518.11,7.44
detroit,26,1.12,3.85%,55.17%,183.85,5.92
fire and fury,26,1.08,23.08%,28.57%,104.38,3.0
guillaume musso,26,1.27,7.69%,39.39%,278.27,7.15
jordan peterson,26,1.42,7.69%,29.73%,274.58,5.5
kim thuy,26,1.58,3.85%,41.46%,193.58,8.77
l'amie prodigieuse,26,1.27,3.85%,57.58%,177.04,4.31
protÃ©gez-vous,26,1.38,11.54%,36.11%,103.54,4.04
take me apart,26,1.0,0.00%,96.15%,30.38,1.19
american made,25,1.12,4.00%,78.57%,94.4,2.4
camilla lackberg,25,1.56,0.00%,46.15%,363.68,9.52
Dunkirk,25,1.52,4.00%,50.00%,147.32,9.4
luc lavoie,25,1.16,0.00%,34.48%,372.0,5.28
Outlander,25,1.4,8.00%,45.71%,233.16,3.96
porches house,25,1.0,0.00%,100.00%,27.96,1.0
robin campillo,25,1.0,72.00%,20.00%,74.76,0.84
sylvie drapeau,25,1.32,0.00%,36.36%,122.52,5.08
walking dead,25,1.48,4.00%,32.43%,235.4,7.76
4321,24,1.08,4.17%,42.31%,185.21,4.38
animal kingdom,24,1.04,12.50%,76.00%,35.58,1.83
batman,24,1.58,0.00%,47.37%,249.63,7.46
fabien major,24,1.33,4.17%,43.75%,218.38,6.54
justice league,24,1.21,0.00%,58.62%,167.46,6.25
the crown,24,1.33,4.17%,50.00%,151.38,4.33
victoria,24,1.33,25.00%,25.00%,208.92,6.63
woody allen,24,1.42,12.50%,41.18%,328.42,14.67
arcade fire,23,1.91,0.00%,36.36%,94.26,5.35
better call saul,23,1.26,0.00%,37.93%,174.78,5.61
elton john,23,1.39,0.00%,40.63%,329.17,13.52
Game of thrones,23,1.83,0.00%,19.05%,223.0,6.78
guy delisle,23,1.61,4.35%,48.65%,333.65,9.35
ielts,23,2.65,4.35%,14.75%,351.22,14.65
marc pautrel,23,1.65,30.43%,15.79%,261.61,4.13
margaret atwood,23,1.74,4.35%,57.50%,517.0,9.91
patrick senecal,23,1.43,0.00%,48.48%,474.13,12.65
psychologie,23,1.48,0.00%,50.00%,377.83,11.83
tricot,23,1.74,4.35%,37.50%,352.3,13.87
american gods,22,1.36,0.00%,56.67%,202.77,6.95
arrival,22,1.36,0.00%,56.67%,122.59,5.23
Dragon ball fighterz,22,1.09,18.18%,54.17%,17.36,0.95
jumanji,22,1.18,4.55%,61.54%,69.5,3.09
millenium,22,1.5,0.00%,42.42%,342.82,7.59
narcos,22,1.05,4.55%,60.87%,46.64,3.27
pieds nus dans l'aube,22,1.77,9.09%,30.77%,243.91,7.36
Psychologie de la motivation et des Ã©motions,22,1.09,0.00%,0.00%,71.95,3.23
simon boulerice,22,1.5,13.64%,45.45%,271.64,7.32
the square,22,1.14,22.73%,60.00%,61.68,2.0
tillie cole,22,1.32,4.55%,55.17%,106.91,6.23
american horror story,21,1.0,0.00%,66.67%,552.52,14.38
c,21,1.71,0.00%,41.67%,471.05,11.86
et au pire on se mariera,21,1.43,14.29%,60.00%,20.48,0.29
girl interrupted,21,1.0,0.00%,90.48%,31.76,2.14
industrial economics,21,1.33,0.00%,3.57%,92.05,1.52
loving vincent,21,1.24,4.76%,46.15%,168.14,4.14
paddington,21,1.24,9.52%,57.69%,420.48,9.38
permaculture,21,2.0,0.00%,40.48%,746.57,21.0
Sapiens,21,1.52,4.76%,31.25%,156.29,4.48
three billboards,21,1.14,4.76%,79.17%,186.95,0.33
value line,21,1.05,0.00%,4.55%,128.1,1.14
vogue archive,21,1.0,0.00%,0.00%,21.81,1.05
architecture,20,1.45,5.00%,55.17%,223.9,10.0
elon musk,20,1.5,10.00%,20.00%,142.45,5.4
espagnol,20,1.6,5.00%,56.25%,394.45,10.25
it stephen king,20,1.2,0.00%,54.17%,348.25,7.35
marc levy,20,1.35,15.00%,44.44%,307.0,7.6
nutrition,20,1.5,0.00%,53.33%,273.8,5.7
playstation 4,20,1.3,0.00%,30.77%,368.0,19.2
preacher,20,1.3,0.00%,46.15%,171.5,3.55
roman,20,1.3,10.00%,26.92%,494.25,11.3
stranger things,20,1.1,15.00%,50.00%,85.05,1.55
the catch,20,1.0,0.00%,90.00%,90.65,3.2
tire le coyote,20,1.35,0.00%,37.04%,165.15,5.85
vera,20,1.05,10.00%,66.67%,137.05,2.4
atomic blonde,19,1.26,0.00%,62.50%,115.95,4.79
beigbeder,19,1.26,15.79%,37.50%,160.58,4.58
Blue ray,19,1.37,0.00%,26.92%,560.74,26.16
dalida,19,1.37,0.00%,57.69%,193.79,8.16
deep learning,19,1.0,0.00%,52.63%,241.95,5.89
excel,19,1.74,10.53%,45.45%,500.05,11.11
ferrante,19,1.26,0.00%,62.50%,290.47,6.74
It,19,1.16,0.00%,68.18%,113.58,5.0
marianne bellehumeur,19,1.89,0.00%,44.44%,270.42,8.32
meditation,19,1.63,0.00%,41.94%,841.58,13.63
Nora roberts,19,1.32,5.26%,32.00%,410.11,8.53
osho,19,1.95,0.00%,32.43%,709.95,20.11
robin aubert,19,1.16,0.00%,63.64%,105.21,4.0
this is us,19,1.37,5.26%,26.92%,130.42,6.89
une vie sans fin,19,1.11,5.26%,52.38%,216.53,6.26
valerian,19,1.21,5.26%,60.87%,235.42,3.47
vegan,19,1.63,0.00%,45.16%,563.16,14.42
arundhati roy,18,1.44,0.00%,26.92%,216.22,8.17
baby driver,18,1.17,0.00%,76.19%,145.33,3.72
dune,18,1.17,0.00%,80.95%,324.78,6.33
frederic lenoir,18,1.17,5.56%,47.62%,173.78,5.0
geostorm,18,1.17,22.22%,66.67%,88.83,0.5
green day,18,1.0,0.00%,100.00%,369.94,10.56
jeux video,18,1.5,0.00%,37.04%,254.33,10.61
Le monde selon Bob,18,1.44,0.00%,53.85%,39.22,2.56
Le plongeur,18,1.22,0.00%,45.45%,184.17,3.78
les affamÃ©s,18,1.22,16.67%,50.00%,58.17,1.78
origine,18,1.33,0.00%,54.17%,225.17,5.61
pokemon,18,1.39,0.00%,56.00%,442.44,11.83
Ray Donovan,18,1.06,22.22%,47.37%,86.61,1.39
ruptures,18,1.06,0.00%,57.89%,77.06,3.56
Sylvie Drapeau,18,1.33,11.11%,29.17%,106.11,5.28
trouble no more,18,1.06,38.89%,26.32%,39.67,1.61
u2,18,1.17,0.00%,61.90%,229.28,10.5
wind river,18,1.33,5.56%,50.00%,76.33,3.44
wordpress,18,1.67,11.11%,33.33%,235.5,9.67
adn,17,1.24,5.88%,42.86%,488.65,11.94
alain deneault,17,1.41,5.88%,16.67%,228.0,6.12
barbara,17,2.0,11.76%,29.41%,533.35,9.47
Big,17,1.24,17.65%,61.90%,20.12,1.53
black mirror,17,1.18,11.76%,70.00%,123.0,1.59
blog,17,1.71,17.65%,34.48%,322.53,14.65
breaking bad,17,1.35,0.00%,43.48%,298.29,6.76
call of duty,17,1.29,0.00%,40.91%,479.82,7.71
crochet,17,1.82,0.00%,25.81%,1263.53,27.06
denis villeneuve,17,1.35,0.00%,56.52%,129.71,8.29
desperate housewives,17,1.06,0.00%,27.78%,259.65,4.76
expo 67,17,1.88,11.76%,40.63%,434.71,10.71
fermentation,17,2.29,5.88%,28.21%,552.65,14.35
game of throne,17,1.59,5.88%,33.33%,363.24,7.24
gordon ferris,17,1.47,0.00%,48.00%,268.71,8.76
gotham,17,1.35,11.76%,52.17%,206.65,9.29
intelligence artificielle,17,1.59,0.00%,37.04%,496.65,11.47
karl marx,17,1.06,41.18%,22.22%,17.53,1.24
la fille du train,17,1.53,0.00%,46.15%,165.65,5.06
liane moriarty,17,1.06,0.00%,55.56%,227.47,4.88
mgMT little,17,1.0,0.00%,100.00%,50.12,1.71
moonlight,17,1.18,0.00%,70.00%,155.06,3.71
murakami,17,1.29,0.00%,45.45%,202.18,9.35
musso,17,1.06,0.00%,77.78%,186.41,5.0
roseanne,17,1.65,0.00%,14.29%,124.47,9.71
scandal,17,1.0,0.00%,82.35%,97.18,2.0
serge bouchard,17,1.53,0.00%,46.15%,309.35,7.82
shut in,17,1.12,0.00%,68.42%,269.29,3.59
sleepy hollow,17,1.12,0.00%,36.84%,213.0,2.29
the florida project,17,1.29,0.00%,54.55%,104.41,4.76
