Key-Clé,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnéeFinancière
905324,"Vrbancic, Mirna",SUP1,Primary Supervisor,Directeur principal,CCAB,"Royal University Hospital, Saskatoon",Saskatchewan,Saskatchewan,Canada,Canada,200405
905324,"Crossley, Margaret F",SUP,Supervisor,Directeur de recherche,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200405
905324,"Lejbak, Lisa K",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200405
562732,"Maclean, Neil F",KU,Knowledge User,Utilisateur des connaissances,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unknown,Inconnu,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
562732,"Goel, Vivek",PI,Principal Investigator,Chercheur principal,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
562732,"Brown, Adalsteinn D",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
562732,"Mckillop, Ian",CO,Co-Investigator,Co-chercheur,CENA,University of Waterloo (Ontario),Ontario,Ontario,Canada,Canada,200405
562732,"Lindsay, Mary Patrice",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,INRR,"Heart and Stroke Foundation of Canada (Ottawa, Ontario)",Ontario,Ontario,Canada,Canada,200405
562732,"Brown, Edward M",KU,Knowledge User,Utilisateur des connaissances,ONTE,Ontario Telemedecine Network (Toronto),Ontario,Ontario,Canada,Canada,200405
562732,"Crone, Kathryn",KU,Knowledge User,Utilisateur des connaissances,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
562732,"Williams, Robert C",CO,Co-Investigator,Co-chercheur,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unknown,Inconnu,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
297771,"Profetto-Mcgrath, Joanne",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200405
