ï»¿CatÃ©gorie;Terme_de_recherche;Nombre_total_de_recherches;Nombre_total_de_recherches_uniques
Tout; Cuisine VÃ©gÃ©tarienne;92;4
Tout; Gaudreau Yves;92;21
Tout; Physique;92;4
Tout; Genealogie;91;7
Tout; Lou;91;3
Livres; Louise Penny;91;18
Livres; Paulo Coelho;91;1
Tout; Pierre Lemaitre;91;12
Musique; Putumayo;91;7
Tout; Ruth Rendell;91;6
Tout; AmÃ©lie Nothomb;90;26
Tout; Audiolib;89;4
All; For Dummies;89;7
Tout; ProtÃ©gez-Vous;89;19
Tout; Lise Bourbeau;88;8
Tout; Python;88;18
Tout; Vampire;88;8
Tout; Agatha Raisin;87;19
Tout; Couture;87;19
Tout; David Goudreault;87;27
Tout; Fanny Britt;87;12
Tout; J'ai Lu;87;13
Livres; Michael Connelly;87;10
All; Rizzoli International Publications;87;6
Tout; BIS;86;1
Tout; Dune;86;25
Tout; Follett Ken;86;8
Tout; Ingmar Bergman;86;7
Tout; Magic;86;1
Tout; Marc Levy;86;18
Tout; Relations Entre Hommes Et Femmes Films;86;3
Books; Jamaica;85;1
Tout; Nintendo of America Inc.;85;12
Tout; Christine Brouillet;84;15
Tout; Don Winslow;84;9
Tout; Isabel Allende;84;11
Musique; Lone Hill;84;3
Tout; Foucault;83;9
Tout; Frank Herbert;83;13
Tout; Histoires Erotiques;83;2
Tout; Mantras;83;6
Tout; Dany LaferriÃ¨re;82;9
Tout; Delcourt;82;6
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;546979;191349
