County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Broome,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Senecio suaveolens,Sweet-scented Indian Plantain,S1,G4
Schenectady,Plant,Flowering Plants,Sedges,Carex straminea,Straw Sedge,S1,G5
Monroe,Plant,Flowering Plants,Other Flowering Plants,Desmodium ciliare,Little-leaf Tick Trefoil,S2S3,G5
New York,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,S5,G5
Essex,Animal,Birds,Sparrows and Towhees,Melospiza lincolnii,Lincoln's Sparrow,S4B,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Viburnum nudum var. nudum,Southern Wild Raisin,S1,G5T5
Cayuga,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,S5B,G5
Orleans,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,S5B,G5
Ontario,Plant,Flowering Plants,Other Flowering Plants,Lathyrus ochroleucus,Pale Vetchling,S3,G5
Clinton,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,S5B,G5
Ulster,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallopavo,Wild Turkey,S5,G5
Cortland,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,S5B,G5
Seneca,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,S4,G4
Richmond,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,S1S2,G5
Delaware,Plant,Flowering Plants,Other Flowering Plants,Hypericum ascyron ssp. pyramidatum,Great St. John's Wort,S3,G4T4
Saratoga,Animal,Birds,Wrens,Troglodytes hiemalis,Winter Wren,S5,G5
Yates,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis persius persius,Persius Duskywing,S1,G5T1T3
Cortland,Plant,Flowering Plants,Orchids,Aplectrum hyemale,Puttyroot,S1,G5
Greene,Plant,Flowering Plants,Sedges,Cyperus odoratus,Fragrant Flat Sedge,S3,G5
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Chaerophyllum procumbens var. procumbens,Spreading Chervil,S1,G5T5
Sullivan,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,S5B,G5
Tioga,Plant,Flowering Plants,Other Flowering Plants,Oxypolis rigidior,Stiff Cowbane,SH,G5
Jefferson,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens laevis,Smooth Beggar-ticks,S2,G5
Suffolk,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Pseudognaphalium micradenium,Catfoot,SH,G4G5T3?
Orange,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,S1S2,G5
Lewis,Animal,Birds,Nightbirds,Antrostomus vociferus,Whip-poor-will,S3B,G5
Schuyler,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog,S5,G5
Oswego,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Shallow emergent marsh,Shallow Emergent Marsh,S5,G5
Sullivan,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler,S3B,G4
Chautauqua,Animal,Birds,Chickadees and Titmice,Poecile atricapillus,Black-capped Chickadee,S5,G5
Herkimer,Plant,Ferns and Fern Allies,Horsetails,Equisetum palustre,Marsh Horsetail,S2,G5
Dutchess,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck,S5,G5
Hamilton,Animal,Fish,"Minnows, Shiners, Suckers",Catostomus utawana,Summer Sucker,S2,G2G3
Suffolk,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Maritime freshwater interdunal swales,Maritime Freshwater Interdunal Swales,S2,G3G4
Clinton,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,S5B,G5
Washington,Animal,Birds,Finches and Crossbills,Coccothraustes vespertinus,Evening Grosbeak,S5,G5
Westchester,Plant,Flowering Plants,Orchids,Platanthera ciliaris,Orange Fringed Orchid,S1,G5
Schenectady,Plant,Flowering Plants,Other Flowering Plants,Desmodium obtusum,Stiff Tick Trefoil,S1,G4G5
Chemung,Plant,Flowering Plants,Other Flowering Plants,Hydrangea arborescens,Wild Hydrangea,S2,G5
Tompkins,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,S5,G5
Delaware,Natural Community,Uplands,Open Uplands,Shoreline outcrop,Shoreline Outcrop,S3S4,G5
Saratoga,Natural Community,Uplands,Forested Uplands,Hemlock-northern hardwood forest,Hemlock-Northern Hardwood Forest,S4,G4G5
Nassau,Plant,Flowering Plants,Other Flowering Plants,Utricularia geminiscapa,Hiddenfruit Bladderwort,S3,G4G5
Westchester,Animal,Birds,Sparrows and Towhees,Ammodramus maritimus,Seaside Sparrow,S2S3B,G4
St. Lawrence,Animal,Animal Assemblages,Animal Assemblages,Gull Colony,Gull Colony,SNR,GNR
Genesee,Plant,Flowering Plants,Other Flowering Plants,Castilleja coccinea,Scarlet Indian-paintbrush,S1,G5
Jefferson,Plant,Flowering Plants,Sedges,Carex molesta,Troublesome Sedge,S2S3,G4
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Crataegus straminea,Straw-colored Hawthorn,SH,GNRTNR
Orange,Animal,Birds,Cardinals and Buntings,Passerina cyanea,Indigo Bunting,S5B,G5
Schenectady,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler,S5B,G5
Tioga,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,S5B,G5
Otsego,Animal,Reptiles,Turtles,Glyptemys muhlenbergii,Bog Turtle,S2,G3
Livingston,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,"S3B,S1N",G5
Albany,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler,S2B,G5
Rensselaer,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,S1S2,G5
Westchester,Plant,Flowering Plants,Other Flowering Plants,Hottonia inflata,Featherfoil,S2,G4
Schenectady,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,S5B,G5
