ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moyenne_de_la_recherche
deadpool,27,1.44,3.70%,51.28%,322.0,10.48
dÃ©lires mortels,27,1.0,11.11%,85.19%,30.67,1.19
empire,27,1.0,0.00%,74.07%,295.7,7.74
en as tu vraiment besoin,27,1.33,3.70%,33.33%,201.78,3.22
game of throne,27,1.41,11.11%,36.84%,138.81,3.44
jack garratt,27,1.0,0.00%,100.00%,9.63,1.07
patrick senecal,27,1.48,3.70%,42.50%,270.89,7.07
the flash,27,1.41,0.00%,47.37%,181.41,5.37
tricot,27,1.48,0.00%,37.50%,456.85,13.19
trumbo,27,1.07,0.00%,75.86%,206.56,5.48
we are wolves,27,1.19,3.70%,62.50%,102.67,3.74
alunageorge,26,1.0,0.00%,100.00%,12.19,3.0
angel haze,26,1.04,0.00%,92.59%,13.65,3.04
anggun,26,1.0,0.00%,100.00%,12.81,3.15
blossoms,26,1.0,0.00%,100.00%,16.0,1.0
capitaine america,26,1.12,11.54%,58.62%,160.15,3.46
craig david,26,1.0,0.00%,57.69%,11.85,2.58
elizabeth hoyt,26,1.0,7.69%,84.62%,129.12,2.27
flash,26,1.12,0.00%,68.97%,153.69,5.65
fleetwood mac,26,1.23,0.00%,53.13%,126.38,7.15
green room,26,1.42,3.85%,59.46%,235.92,2.92
James patterson,26,1.23,0.00%,25.00%,304.23,11.23
l'orangeraie,26,2.23,3.85%,25.86%,395.42,7.19
manga,26,1.08,7.69%,67.86%,121.58,5.42
mr robot,26,1.23,0.00%,62.50%,104.15,3.54
mustang,26,1.08,0.00%,78.57%,85.12,4.31
nao,26,1.0,0.00%,100.00%,10.65,1.0
niki and the dove,26,1.0,0.00%,100.00%,16.54,2.81
raury,26,1.0,0.00%,100.00%,7.92,1.0
scorpion,26,1.04,19.23%,77.78%,31.88,1.81
suicide squad,26,1.38,15.38%,52.78%,95.27,3.12
the knick,26,1.27,0.00%,51.52%,117.0,4.54
tina arena,26,1.0,0.00%,100.00%,15.27,3.08
