Production Year,Operator,County,Town,Producing Formation,Injection Wells,Disposal Wells,"Oil Produced, bbl",Purchaser Codes
1996,Potter Oil Co.,Allegany,INDEPENDENCE,FULMER VALLEY,0,0,1837,"GK,OC"
1997,Big Tree Energy Partners,Livingston,GROVELAND,MEDINA,0,0,0,
1986,"General Mills,Inc./O-Cel-O Division",Erie,TONAWANDA,MEDINA,0,0,0,
1991,Miller Drilling Co.,Chautauqua,CHARLOTTE,MEDINA,0,0,0,
1971,Surprise Oil Co.,Allegany,,RICHBURG,0,0,11,"GX,OB"
1988,"Childs, Alanson & Marjorie",Allegany,GENESEE,RICHBURG,0,0,0,
1989,"Energy Control Unlimited, Inc.",Cattaraugus,DAYTON,MEDINA,0,0,0,
1999,"Hogan Energy, Inc.",Allegany,CLARKSVILLE,CLARKSVILLE,0,0,599,OD
1992,"Weil Resources, Inc.",Erie,ELMA,MEDINA,0,0,0,GK
1995,"Chautauqua Energy, Inc.",Chautauqua,NORTH HARMONY,MEDINA,0,0,0,GX
1987,"Chautauqua Natural Gas Co., Inc",Chautauqua,CHAUTAUQUA,MEDINA,0,0,0,GH
1986,"B.C.R. Development, Inc.",Cattaraugus,PORTVILLE,BRADFORD,0,0,0,
1992,"Moog, Inc.",Erie,ELMA,MEDINA,0,0,0,
1984,"Haywood, Henry G",Chemung,VAN ETTEN,ORISKANY,0,0,0,
1990,"American Penn Energy,  Inc.",Cattaraugus,EAST OTTO,MEDINA,0,0,0,
1976,National Fuel Gas Supply Corp.,Chautauqua,ARKWRIGHT,MEDINA,0,0,0,
1967,Evinczik M. & Evinczik J.T.,Chautauqua,,GLADE,0,0,499,OB
1981,"Forrest, Allen H.",Allegany,WILLING,RICHBURG,0,0,79,OB
1978,Cone Brothers,Genesee,STAFFORD,MEDINA,0,0,0,
1999,Seneca Resources Corporation,Allegany,ALMA,ORISKANY,0,0,0,GK
1996,Shorewood Farms Drilling,Erie,HAMBURG,MEDINA,0,0,0,
1995,"Cotton Well Drilling Company,  Inc.",Erie,BOSTON,MEDINA,0,0,0,GK
1995,"Roberts, Carl H",Allegany,CLARKSVILLE,CLARKSVILLE,0,0,0,
1989,"Vanscoy, James S & Regina M.",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,398,OB
1994,"Sprague, Edward Jr",Cattaraugus,PERRYSBURG,AKRON,0,0,0,
1967,"Tellinghuisen, George",Chautauqua,BUSTI,GLADE,0,0,0,
1984,Don-Bess Energy Develop. Co.,Allegany,BOLIVAR,WAUGH & PORTER,0,0,471,"GK,OB"
1997,Springville-Griffith Institute Central School Dist,Erie,CONCORD,MEDINA,0,0,0,
1994,Estate of James D. Greene,Allegany,ALMA,RICHBURG,15,0,104,OC
1990,"Universal Resources Holdings, Incorporated",Chautauqua,STOCKTON,MEDINA,0,0,0,GK
1978,"Flint Oil & Gas, Inc.",Erie,SARDINIA,MEDINA,0,0,0,GK
1984,"Fitzgerald, Thomas J.",Allegany,CLARKSVILLE,RICHBURG,0,0,0,
1987,"Haught, Ralph",Allegany,INDEPENDENCE,FULMER VALLEY,0,0,169,OB
1972,"Granby & Hemenway Gas Co., Inc",Ontario,NAPLES,MARCELLUS,0,0,0,GX
1984,Root Contracting,Allegany,SCIO,RICHBURG,0,0,180,OB
1988,Pennzoil Products Co.,Cattaraugus,OLEAN,BRADFORD,58,0,0,
1998,Klein Oil & Logging,Steuben,GREENWOOD,PENNY & FULMER VALLEY,0,0,27,OD
1996,Newman & Shannon Oil Co.,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,231,OC
1979,"Java Oil & Gas Co.,  Inc.",Erie,ELMA,MEDINA,0,0,0,
1999,"F & G Exploration, LLC",Cayuga,SPRINGPORT,QUEENSTON,0,0,0,GX
1986,LCP Chemicals,Onondaga,TULLY,,0,0,0,
1996,"Arrowhead Resources, Inc.",Cattaraugus,ASHFORD,MEDINA,0,0,0,GX
1997,"Tomaka-Bay Energy Co., Inc.",Erie,HAMBURG,MEDINA,0,0,0,GK
1986,National Fuel Gas Supply Corp.,Erie,ORCHARD PARK,MEDINA,0,0,0,GK
1974,Oily Ann Oil And Gas Inc.,Cattaraugus,OLEAN,BRADFORD,0,0,0,GX
1997,"Lenape Resources, Inc.",Chautauqua,KIANTONE,MEDINA,0,0,0,GK
