ï»¿CatÃ©gorie;Terme_de_recherche;Nombre_total_de_recherches;Nombre_total_de_recherches_uniques
Tout; Asimov Isaac 1920-1992;121;6
All; Harry Potter;121;22
Musique; John Zorn;121;5
Tout;oates0joyce0carol0193800000000000000000000000000;121;8
Tout; Patrick Senecal;120;38
Tout; Intelligence Artificielle;119;18
Tout; Philippe Besson;119;23
Tout; Puritains;119;4
Tout; Royal;119;16
Tout; Taschen;119;3
Tout; Costa Rica;118;21
Tout; Frederic Lenoir;118;17
Tout; Le Petit Prince;118;19
Musique; Moustaki;118;15
Tout; Camilla Lackberg;117;18
Tout; Concerts FilmÃ©s;117;3
Tout; Crochet;116;7
Tout; Sylvain Tesson;116;28
Tout; Histoires D'amour;115;2
Tout; Murakami Haruki 1949-;115;10
Tout; Romans Graphiques;115;7
Tout; Serge Bouchard;115;32
All; Xbox One;115;4
Tout; Camping;113;5
Tout; Clint Eastwood;113;10
Tout; John Grisham;113;18
Livres; Knitting;113;4
Tout;1984;112;37
Tout; Jardins Architecture;112;4
Livres; Philosophes;112;1
Musique; Pink Floyd;112;19
Tout; R;112;11
Tout; DVD;111;9
Tout; Guide De La Route;110;28
Tout; Assurance-Incendie;109;1
Tout; Le Consentement;109;31
Tout; SorciÃ¨re;109;7
Tout; Christmas;108;14
Tout; Ken Follet;108;19
Tout; Marivaux;108;3
Tout; Presses Universitaires De France;108;12
Tout; CLE International;107;9
Tout; Films De Guerre;107;3
Tout; Gay;107;4
All; Java;107;8
Tout; La Musardine;107;8
Tout; Millenium;107;22
Tout; Philanthropie;107;1
Tout; Films FranÃ§ais;106;4
Tout; Kim Thuy;106;19
Livres; Biographie;105;7
Music; Jamaica;105;1
Tout; Rabagliati Michel 1961-;105;30
Books; Sewing;105;1
Tout; Anne Robillard;104;18
Tout; Arnaldur;104;13
Livres; Christian Bobin;104;15
Tout; Le Monstre;104;14
Tout; Lonely Planet;104;16
Musique; Miles Davis;104;5
Tout; Onfray Michel 1959-;104;7
Tout; Parfumerie;104;3
Tout; Jojo Moyes;103;16
Tout; King Stephen 1947-;103;16
Tout; Management;103;14
Tout; Montessori;103;16
Tout; Un Homme Et Une Femme;103;13
Tout; Walking Dead;103;22
Tout; Colette;102;18
Tout; Jeux Switch;102;7
Tout; Gilles Vigneault;101;10
Tout; Jamaique;101;8
Livres; Retraite;101;3
Tout; Branding;100;2
Musique; Folk;100;2
Tout; Haruki Murakami;100;14
Tout; Nintendo of America Inc.;100;17
Livres; Nora Roberts;100;12
Tout; Pocket;100;8
Tout; Big Little Lies;99;42
Tout; Dictionnaire FranÃ§ais;99;2
Musique; Elton John;99;13
Tout; Respiration;99;5
Tout; Romans Sentimentaux;99;1
Tout; Graffiti;98;5
Tout; Joy Fielding;98;15
Tout; Tissage;98;10
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;787850;290011
