Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,Unnamed: 11,Unnamed: 12
Marc Gill,2020-03-09,3.0,"Liverpool and Leeds, UK",Operational Site Visit & Operational Delivery Meeting,Rail,Standard, £8.89 , Nil Return , £141.89 , Nil Return ,,
Sarah Goom,2020-02-06,1.0,"Manchester, UK",Visit to Manchester teams,Rail,Standard, Nil Return , Nil Return , £271.10 , Nil Return ,,
Katherine Green,2020-02-26,1.0,"Liverpool, UK",Visiting customs sites and ports,Rail,Mixed, Nil Return , Nil Return , £267.25 , Nil Return ,,
Jim Harra,2020-02-11,1.0,"Bristol, UK",Off-site ExCom meeting,Rail,Standard, Nil Return , Nil Return , £148.00 , Nil Return ,,
Jim Harra,2020-02-11,2.0,"Dublin, Ireland",Perm Sec Summit - Dublin Castle,Air,Economy, Nil Return , Nil Return , £199.79 , Nil Return ,,
Jim Harra,2020-02-11,1.0,"London, UK",Perm Sec Summit - Dublin Castle,Rail,Standard, Nil Return , Nil Return , £25.00 , Nil Return ,,
Jim Harra,2020-02-20,2.0,"Newcastle, UK",North-East Regional Talent & Leadership event,Air,Economy, Nil Return , Nil Return , £147.47 , Nil Return ,,
Michael Hearty,2020-01-08,1.0,"London, UK",Meeting / National Audit Office session,Rail,Standard, £97.00 , Nil Return , £235.00 , Nil Return ,,
Michael Hearty,2020-01-20,1.0,"London, UK",Board meeting,Rail,Standard, £118.00 , Nil Return , £178.00 , Nil Return ,,
Michael Hearty,2020-02-03,1.0,"Southend, UK",ARAC Meeting,Rail,Standard, Nil Return , Nil Return , £99.00 , Nil Return ,,
Justin Holliday,2020-02-10,1.0,"Bristol, UK",Offsite Executive Committee meeting,Rail,Standard, Nil Return , Nil Return , £224.00 , Nil Return ,,
Andres Honeywell,2020-01-07,3.0,"Manchester and London, UK",Brexit walkthrough; Meetings with external suppliers to HMRC; EU Portfolio Exit Board Workshop / Data Analytics Workshop,Air / Rail,Standard, £243.00 , Nil Return , £786.87 , Nil Return ,,
Andres Honeywell,2020-01-15,4.0,"London and Leeds, UK",EU Exit Meetings; Workshop to discuss Chief Digital & Information Officer group; Policy Driven Change workshop/Transition Plan workshop,Air / Rail,Standard, £274.14 , Nil Return , £785.01 , Nil Return ,,
Andres Honeywell,2020-01-21,3.0,"London and Southend, UK",Senior Leadership Team meeting/Architecture meetings; Visit/Presentations to Chief Digital & Information Officer group staff; Enterprise leadership Group Meeting; Chief Digital & Information Officer Group All Staff Event/ EU Exit meetings,Air / Rail,Standard, £276.00 , Nil Return , £804.30 , Nil Return ,,
Andres Honeywell,2020-01-27,1.0,"London, UK",EU Portfolio Exit Board Workshop London,Air / Rail,Standard, Nil Return , Nil Return , £379.62 , Nil Return ,,
Andres Honeywell,2020-01-30,1.0,"London, UK",EU Exit Meeting Euston Tower London/Governance Forum Meeting,Air / Rail,Standard, Nil Return , Nil Return , £379.62 , Nil Return ,,
Andres Honeywell,2020-02-04,1.0,"Worthing, UK",Visit/presentations to Chief Digital & Information Officer group staff,Air / Rail,Standard, Nil Return , Nil Return , £117.03 , Nil Return ,,
Andres Honeywell,2020-02-05,1.0,"Telford, UK",EU Exit Portfolio Governance Meeting with Cap Gemini,Air / Rail,Standard, Nil Return , Nil Return , £427.50 , Nil Return ,,
Andres Honeywell,2020-02-06,1.0,"London, UK",ETMP Deep Dive/Workshop to discuss Chief Digital & Information Officer group London/Stratford/Southend/Stratcon Meeting,Air / Rail,Standard, Nil Return , Nil Return , £466.64 , Nil Return ,,
Andres Honeywell,2020-02-10,3.0,"London and Southend, UK",EU Exit/Senior Leadership Team meeting/Customs Declaration Service/Strategy & Architecture meetings; EU Exit programme Structure meeting; EU Exit Planning & Finance Meeting,Air / Rail,Standard, £82.00 , Nil Return , £667.64 , Nil Return ,,
Andres Honeywell,2020-02-18,2.0,"London, UK",Cap Gemini Working Better Together Workshop; SAP HMRC Next Generation Workshop,Air / Rail,Standard, £123.00 , Nil Return , £599.78 , Nil Return ,,
Andres Honeywell,2020-02-20,2.0,"London, UK",Senior Leadership Team monthly meeting; Executive Committee Making Tax Digital Deep Dive/Chief Digital & Information Officer group Scope for the Future meetings,Air / Rail,Standard, £127.00 , Nil Return , £454.78 , Nil Return ,,
Andres Honeywell,2020-02-25,2.0,"London, UK","Meeting with external suppliers SYSDOC; SAP Operational performance board meeting; Payroll programme board meeting; Meeting with external suppliers Cap Gemini, SAP, McKinsey",Air / Rail,Standard, £138.00 , Nil Return , £585.64 , Nil Return ,,
Andres Honeywell,2020-03-03,2.0,"Bristol, UK",Chief Digital & Information Officer group Senior Leadership Event,Air,Standard, £234.00 , Nil Return , £320.98 , Nil Return ,,
