Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,Unnamed: 11,Unnamed: 12
Richard West,2020-03-09,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-03-09,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-03-12,1.0,"Nottingham, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £24.00 , Nil Return ,,
Richard West,2020-03-12,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £11.00 , Nil Return ,,
Richard West,2020-03-16,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-03-17,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £140.00 , Nil Return ,,
Richard West,2020-03-17,1.0,"London, UK",Internal meetings,Rail,Standard, £127.00 , Nil Return , £263.00 , Nil Return ,,
Richard West,2020-03-18,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-03-18,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-03-19,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £26.00 , Nil Return ,,
Richard West,2020-03-19,1.0,"Nottingham, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £24.00 , Nil Return ,,
Patrick Whittome,2020-01-13,1.0,"London, UK",Finance leadership meeting Away Day,Rail,Standard, Nil Return , Nil Return , £25.00 , Nil Return ,,
Patrick Whittome,2020-02-03,1.0,"Southend, UK",Audit & Risk Committee Meeting,Rail,Standard, £82.00 , Nil Return , £132.00 , Nil Return ,,
Patrick Whittome,2020-02-05,1.0,"London, UK",The future direction of finance & SR20 workshop,Rail,Standard, Nil Return , Nil Return , £14.00 , Nil Return ,,
Patrick Whittome,2020-02-24,1.0,"Liverpool, UK",Government Finance Function Conference,Rail,Standard, Nil Return , Nil Return , £340.00 , Nil Return ,,
Mark Wilson,2020-02-03,1.0,"London, UK",Litigation Panel Meeting Valuation Office Agency,Bus and DLR ,, Nil Return , Nil Return , £6.30 , Nil Return ,,
Mark Wilson,2020-02-10,1.0,"Croydon, UK",HR meeting,Train ,, Nil Return , Nil Return , £10.50 , Nil Return ,,
Mark Wilson,2020-03-05,1.0,"Croydon, UK",Listening Event,Bus and Train ,, Nil Return , Nil Return , £12.30 , Nil Return ,,
Neil Wolstenholme,2020-01-06,2.0,"London, UK",Face-to-face meetings; Chief Digital & Information Officer group project delivery profession conference,Rail,Standard, £358.00 ,Nil Return, £734.00 ,Nil Return,,
Neil Wolstenholme,2020-01-14,1.0,"Newcastle, UK",Face-to-face meetings with staff,Rail,Standard, £44.00 ,Nil Return, £296.00 ,Nil Return,,
Neil Wolstenholme,2020-01-20,1.0,"Crewe, UK",Face-to-face meetings,Rail,Standard,Nil Return,Nil Return, £308.00 ,Nil Return,,
Neil Wolstenholme,2020-01-22,1.0,"London, UK",Face-to-face meetings,Rail,Standard, £120.00 ,Nil Return, £352.00 ,Nil Return,,
Neil Wolstenholme,2020-03-29,1.0,"Newcastle, UK",Face-to-face meetings,Rail,Standard,Nil Return,Nil Return, £172.00 ,Nil Return,,
Neil Wolstenholme,2020-02-04,1.0,"London, UK",Face-to-face meetings,Rail,Standard, £85.00 ,Nil Return, £461.00 ,Nil Return,,
Neil Wolstenholme,2020-02-12,1.0,"London, UK",Face-to-face meetings,Hotel,, £106.00 ,Nil Return, £106.00 ,Nil Return,,
Neil Wolstenholme,2020-02-17,1.0,"London, UK",Face-to-face meetings,Rail,Standard,Nil Return,Nil Return, £377.00 ,Nil Return,,
Neil Wolstenholme,2020-02-20,1.0,"London, UK",Face-to-face meetings,Rail,Standard, £124.00 ,Nil Return, £500.00 ,Nil Return,,
Neil Wolstenholme,2020-02-25,1.0,"Preston, UK",Face-to-face meetings,Rail,Standard,Nil Return,Nil Return, £188.00 ,Nil Return,,
Neil Wolstenholme,2020-02-27,1.0,"St Annes On Sea, UK",Face-to-face meetings,Rail,Standard,Nil Return,Nil Return, £105.00 ,Nil Return,,
Neil Wolstenholme,2020-03-05,1.0,"St Annes On Sea, UK",Face-to-face meetings,Rail,Standard,Nil Return,Nil Return, £376.00 ,Nil Return,,
Neil Wolstenholme,2020-03-10,1.0,"London, UK",Face-to-face meetings,Hotel,, £138.00 ,Nil Return, £138.00 ,Nil Return,,
Neil Wolstenholme,2020-03-11,2.0,"Newcastle, UK",Face-to-face meetings,Rail / Metro / Hire Car,Standard, £69.00 ,Nil Return, £192.38 ,Nil Return,,
Simon York,2020-02-11,1.0,"Dubai, UAE",Meetings with Dubai police and HMRC Fiscal Crime Liaison Officers team,Air,Business,Nil Return,Nil Return," £2,074.20 ",Nil Return,,
Simon York,2020-02-16,6.0,"Sydney and Canberra, Australia",Meeting a Joint Chiefs of Global Tax Enforcement and working with various Australian agencies.,"Air, Taxi","Business, Economy", £67.98 ,Nil Return," £3,574.59 ",Nil Return,,
Simon York,2020-02-26,3.0,"Tel Aviv, Israel",Working with the Israel Tax Authority,"Air, Taxi","Business, Economy"," £1,428.13 ",Nil Return," £5,729.48 ",Nil Return,,
Simon York,2020-01-01,91.0,"Various, UK",Operational activity,"Rail, Air, Taxi, Tube","Standard, Economy", £958.98 ,Nil Return," £1,933.05 ",Nil Return,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
