Title,Locations,Distributor,Director,Writer
San Andreas,Mission between 3rd and 4th St.,Warner Bros.,Brad Peyton,Allan Loeb
Beautiful Boy,Haight at Masonic,Amazon Studios,Felix van Groeningen,Luke Davies
Chance- Season 1 ep110,1 Urbano,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
A Taiwanese Tale of Two Cities,San Francisco City Hall,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin"
Looking,Muni line N- Judah,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Ant-Man and the Wasp,Financial District,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
The Dead Pool,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Invasion of the Body Snatchers,Lafayette Park (Pacific Heights),United Artists,Philip Kaufman,Jack Finney
The Graduate,San Francisco Zoo (2701 Sloat Blvd.),Embassy Pictures Corporation,Mike Nichols,Calder Willingham
Marnie,"On Board the SS President Cleveland, docked at Pier 50",Universal Pictures,Alfred Hitchcock,Jay Presson Allen
Rent,Treasure Island,Columbia Pictures,Chris Columbus,Stephen Chbosky
Pushing Dead,"Cordova Market, 301 Rolph Street, San Francisco",TBD,Tom Brown,Tom Brown
Sense8 - Season 2,"City Lights Bookstore, 261 Columbus Ave.",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
"Smile Again, Jenny Lee",Clay St. at Sansome,,Carlo Caldana,Linda Demetrick
So I Married an Axe Murderer,City Light Bookstore (261 Columbus Avenue),TriStar Pictures,Thomas Schlamme,Robbie Fox
50 First Dates,Rainforest Caf̩ (145 Jefferson Street),Columbia Pictures,Peter Segal,George Wing
Sweet November,Hotel Majestic (1500 Sutter Street),Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Vertigo,York Hotel (940 Sutter Street),Paramount Pictures,Alfred Hitchcock,Alec Coppel
Summertime,Love Street Vintage (1506 Haight & adjacent Haight sidewalk_,6 Distribution,Gabriele Muccino,Gabriele Muccino
Experiment in Terror,100 St. Germain Avenue,Columbia Pictures,Blake Edwards,The Gordons
Ballers Season 3,"Huntington Park (California & Taylor Streets, Nob Hill)",HBO,Julian Farino,Stephen Levinson
Ant-Man and the Wasp,Saint Louis Alley at Jackson,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
Red Widow,2nd St & Howard,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
Summertime,53 Potomac St,14 Distribution,Gabriele Muccino,Gabriele Muccino
Silicon Valley Season 4,Howard St between 3rd and 4th St.,HBO,Mike Judge,John Altschuler
The Californians,,Fabrication Films,Jonathan Parker,Jonathan Parker & Catherine DiNapoli
The Dead Pool,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Sense8,Market St. overpass,Netflix,The Wachowskis,The Wachowskis
Looking Season 2 ep 205,24th Between Portrero & Alabama,HBO,Andrew Haigh,Michael Lannan
The Dead Pool,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Chance- Season 1 ep106,Treasure Island,HULU,Sara Gran,Dan Attias
Looking Season 2 ep 210,"Mission Rec Center, 2450 Harrison Street",HBO,Andrew Haigh,Michael Lannan
Time After Time,One Embarcadero Center (Financial District),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Godzilla,Mission & Fremont St,Warner Bros. Pictures,Gareth Edwards,Max Borenstein
"Murder in the First, Season 2",901 Missouri Street,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Star Trek IV: The Voyage Home,Intersection of Columbus & Kearney Streets,Paramount Pictures,Leonard Nimoy,Steve Meerson
The Diary of a Teenage Girl,Tank Hill Park,Sony Pictures Classics,Marielle Heller,Marielle Heller
City of Angels,San Francisco Public Library Main Branch (100 Larkin Street),Warner Bros. Pictures,Brad Silberling,Dana Stevens
Playing Mona Lisa,Conservatory of Flowers (Golden Gate Park),Buena Vista Pictures,Matthew Huffman,Marni Freedman
Hemingway & Gelhorn,Muni Metro East (501 Cesar Chavez),Home Box Office (HBO),Philip Kaufman,Jerry Stahl & Barbara Turner
The Lineup,The Embarcadero,Columbia Pictures,Don Siegel,Stirling Silliphant
Herbie Rides Again,Sheraton Palace Hotel (639 Market Street),Buena Vista Distribution,Robert Stevenson,Bill Walsh
The Lineup,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Columbia Pictures,Don Siegel,Stirling Silliphant
GirlBoss,"Mission Thrift, 2330 Mission St.",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
The Game,City Club (155 Sansome Street),Polygram Filmed Entertainment,David Fincher,John Brancato
The Dead Pool,One Thousand Powell Apartments (1000 Powell Street),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Nine Months,60 Spear Street,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
Doctor Dolittle,Coit Tower,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
Birth of the Dragon,Leavenworth at Green,Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
Looking Season 2 ep 206,1890 Clay Street,HBO,Andrew Haigh,Michael Lannan
Final Analysis,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)",Warner Bros. Pictures,Phil Joanou,Robert Berger
Godzilla,Pine St. & Davis St,Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Stigmata,19th and Kansas St.,Metro-Goldwyn Mayer Distributing,Rupert Wainwright,Tom Lazarus
A Night Full of Rain,San Francisco Chronicle (901 Mission Street at 15th Street),Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller
When We Rise,United Nations Plaza,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
The Diary of a Teenage Girl,Geary St. from Polk to Larkin,Sony Pictures Classics,Marielle Heller,Marielle Heller
Ant-Man and the Wasp,Java St,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
Looking,Treasure Island,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Chance- Season 1 ep104,15th St. between Vermont and Kansas,HULU,Carl Franklin,Peter Elkoff
George of the Jungle,First Bank (550 Montgomery Street at Commercial),Buena Vista Pictures,Sam Weisman,Jay Ward
"Murder in the First, Season 2",Columbus Avenue between Washington and Bay Streets,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Chance- Season 1 ep109,2 Rowland,HULU,Sara Gran and Pete Begler,Dan Attias
Chance- Season 1 ep110,San Francisco General Hospital,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
A View to a Kill,Port of San Francisco,MGM/UA Entertainment Company,John Glen,Richard Maibaum
Woman on the Run,835-865 Market Street at 5th Street,Universal Pictures,Norman Foster,Norman Foster
Broken-A Modern Love Story,Ina Coolbrith Park (1700 Taylor Street),,Ryan K. Whiting,Ryan K. Whiting
Love & Taxes,198 Gough Street,,Jacob Kornbluth,Jacob Kornbluth
American Yearbook,,,Brian Ging,Brian Ging
Rent,Treasure Island,Columbia Pictures,Chris Columbus,Stephen Chbosky
Terminator - Genisys,Construction Site in front of 260 Stockton St. at Post St.,Paramount Pictures,Alan Taylor,James Cameron
The Doctor,,Buena Vista Pictures,Randa Haines,Robert Caswell
Take the Money and Run,Mission Street,Cinerama Releasing Corporation,Woody Allen,Woody Allen
Birth of the Dragon,Waverly Pl between Washington and Sacramento,Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
The Bachelor,Washington Square Park (North Beach),New Line Cinema,Gary Sinyor,Steve Cohen
Blue Jasmine,1138 Alabama St,Sony Pictures Classics,Woody Allen,Woody Allen
Point Blank,"Fort Point (Presidio, Golden Gate National Recreation Area)",Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs
I Am Michael,F Train,,Justin Kelly,Justin Kelly
Experiment in Terror,The Sea Captain's Chest (Fisherman's Wharf),Columbia Pictures,Blake Edwards,The Gordons
The Towering Inferno,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)",Twentieth Century - Fox,John Guillermin,Stirling Silliphant
American Graffiti,3355 Geary Blvd.,Universal Pictures',George Lucas,George Lucas
Ant-Man and the Wasp,Telegraph Hill/North Beach,Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna
Sudden Fear,Lombard Street,RKO Pictures,David Miller,Lenore J. Coffee
The Bachelor,Moose's Restaurant (1652 Stockton),New Line Cinema,Gary Sinyor,Steve Cohen
Dawn of the Planet of the Apes,Columbus & Pacific Ave,Twentieth Century Fox,Matt Reeves,Rick Jaffa
Quitters,McLaren Lodge,,Noah Pritzker,Noah Pritzker
Chance Season 2,Mason between Sacramento and California St,Hulu,Rozann Dawson,Alexandra Cunningham
Freebie and the Bean,Potrero Hill,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
Venom,Montgomery St and Vallejo St,"Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
A View to a Kill,City Hall,MGM/UA Entertainment Company,John Glen,Richard Maibaum
Patty Hearst,"Postcard Row (Alamo Square, Hayes Valley)",Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan
The Dead Pool,550 El Camino Del Mar (Seacliff),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Looking Season 2 ep 210,67 Deming Street,HBO,Andrew Haigh,Michael Lannan
Freebie and the Bean,Twin Peaks,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
Chance- Season 1 ep110,18 Urbano,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
Heart and Souls,2810 Pacific Avenue,Electric Parc,Tomas Gislason,Tomas Gislason
Birth of the Dragon,Leavenworth at Union,Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele"
Good NeighborSam,Various locations in San Francisco during driving scene,Columbia Pictures,David Swift,James Fritzell
Sense8 - Season 2,"Julia Morgan Ballroom at the Merchant's Exchange Building, 465 California St.",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
George of the Jungle,Bay Bridge,Buena Vista Pictures,Sam Weisman,Jay Ward
The Dead Pool,Fremont Street Exit of Bay Bridge,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Chan is Missing,Golden Dragon Restaurant (816 Washington Street at Grant),New Yorker Films,Wayne Wang,Wayne Wang
Chance- Season 1 ep110,San Francisco General Hospital,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
Groove,435 23rd Street at Illinois,Sony Pictures Classics,Greg Harrison,Greg Harrison
The Game,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)",Polygram Filmed Entertainment,David Fincher,John Brancato
Bullitt,Larkin & Francisco Streets (Russian Hill),Warner Brothers,Peter Yates,Alan R. Trustman
Looking Season 2 ep 203,"Mad Dog Bar, 530 Haight Street",HBO,Andrew Haigh,Michael Lannan
Time After Time,Lombard & Divisadero Streets (Marina District),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Looking Season 2 ep 204,Castro Street @ 18th street,HBO,Andrew Haigh,Michael Lannan
Alexander's Ragtime Band,Cliff House (1090 Point Lobos Avenue),Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola
The Conversation,Alamo Square (Hayes Valley),Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola
What's Up Doc?,Alta Plaza Park (Steiner Street),Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry
After the Thin Man,Coit Tower,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich
"Looking ""Special""","The End Up, 401 6th Streeet",HBO,Andrew Haigh,Michael Lannan
The Lady from Shanghai,Former Hall of Justice (750 Kearny Street at Washington),Columbia Pictures,Orson Welles,Orson Welles
Pacific Heights,Texas & 19th Streets (Potrero Hill),Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne
Sense8 - Season 2,Castle between Union and Green,Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
Burglar,1627 Haight Street,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III
Dawn of the Planet of the Apes,California & Powell ,Twentieth Century Fox,Matt Reeves,Rick Jaffa
Shattered,,Metro-Goldwyn-Mayer,Wolfgang Petersen,Wolfgang Petersen
Experiment in Terror,"Wells Fargo Bank (1 California Street, Financial District)",Columbia Pictures,Blake Edwards,The Gordons
The Lineup,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Columbia Pictures,Don Siegel,Stirling Silliphant
Freebie and the Bean,Embarcadero Freeway,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
Time After Time,Chestnut & Divisadero Streets (Marina District),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Looking Season 2 ep 204,1890 Clay Street,HBO,Andrew Haigh,Michael Lannan
Heart Beat,City Lights Bookstore (261 Columbus),Orion Pictures Corporation,John Byrum,John Byrum
Sense8 - Season 2,Castle between Union and Green,Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
Vertigo,"Fairmont Hotel (950 Mason Street, Nob Hill)",Paramount Pictures,Alfred Hitchcock,Alec Coppel
Chance Season 2,Palace of Fine Arts (3301 Lyon Street),Hulu,Rozann Dawson,Alexandra Cunningham
On the Road,Bay Bridge,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera
Venom,Grant Ave btwn Clay and Jackson,"Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
Midnight Lace,"Fairmont Hotel (950 Mason Street, Nob Hill)",Universal Pictures,David Miller,Ivan Goff
Harold and Maude,Conservatory of Flowers (Golden Gate Park),Paramount Pictures,Hal Ashby,Colin Higgins
"Looking ""Special""",San Francisco City Hall,HBO,Andrew Haigh,Michael Lannan
Bullitt,McLaren Park (Visitacion  Valley),Warner Brothers,Peter Yates,Alan R. Trustman
GirlBoss,"Musee Mecanique, Fisherman's Wharf",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Pushing Dead,1069 Tennessee Street,TBD,Tom Brown,Tom Brown
Fearless,Bank of America Building (555 California Street),Warner Bros. Pictures,Peter Weir,Rafael Yglesias
Bullitt,Kennedy Hotel (226 Embarcadero at Howard Street),Warner Brothers,Peter Yates,Alan R. Trustman
The Diary of a Teenage Girl,304 Lily St.,Sony Pictures Classics,Marielle Heller,Marielle Heller
The Right Stuff,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)",The Ladd Company,Philip Kaufman,Philip Kaufman
When We Rise,426 Castro St.,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
Birth of the Dragon,Pier 45 - Jeremiah O'Brien Liberty Ship,Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
"Looking ""Special""",10th Street between Market & Mission,HBO,Andrew Haigh,Michael Lannan
Alcatraz,Filbert St. from Jones to Mason,Warner Bros. Television,J.J. Abrams,Steven Lilien
Pal Joey,Coit Tower,Columbia Pictures,George Sidney,Dorothy Kingsley
GirlBoss,Fillmore between Haight and Waller,Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Bullitt,Intersection of York & Peralta (Bernal Heights),Warner Brothers,Peter Yates,Alan R. Trustman
Greed,Hayes Street at Laguna,Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim 
Family Plot,Nob Hill,Universal Pictures,Alfred Hitchcock,Ernest Lehman
Chance- Season 1 ep106,2 Rowland,HULU,Sara Gran,Dan Attias
Doctor Dolittle,Telegraph Hill Blvd (Telegraph Hill),Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
Looking Season 2 ep 209,1246 Folsom Street,HBO,Andrew Haigh,Michael Lannan
By Hook or By Crook,The Lexington Club (3464 19th Street at Lexington),Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard
The Presidio,Market & 2nd Streets,Paramount Pictures,Peter Hyams,Larry Ferguson
Etruscan Smile,"St Regis Hotel, 125 3rd Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Red Widow,2nd St & Howard,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
Ballers Season 3,"Fairmont Hotel (950 Mason Street, Nob Hill)",HBO,Julian Farino,Stephen Levinson
Chance- Season 1 ep103,350 Santa Ana Ave.,HULU,Michael Lehmann,Kem Nunn
The OA Part II,Washington btwn Gough and Octavia St,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Looking,1890 Clay St.,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Pushing Dead,Koshland Park,TBD,Tom Brown,Tom Brown
Looking,Golden Gate Park,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Looking Season 2 ep 202,651 Brannan Street,HBO,Andrew Haigh,Michael Lannan
The Rock,New Russian Hill Market (1198 Pacific Avenue at Jones),Buena Vista Pictures,Michael Bay,David Weisberg
Sweet November,Blooms Saloon (18th Street between Missouri and Texas Streets),Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Chance- Season 1 ep107,145 Barlett St.,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
The Diary of a Teenage Girl,770 Haight St.,Sony Pictures Classics,Marielle Heller,Marielle Heller
All About Eve,Curran Theater (445 Geary Street),Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz
Time After Time,Old St. Mary's Church (660 California Street at Grant),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Edtv,1138 Filbert Street,MCA / Universal Pictures,Ron Howard,Lowell Ganz
Shoot the Moon,"Fairmont Hotel (950 Mason Street, Nob Hill)",Metro-Goldwyn-Mayer (MGM),Alan Parker,Bo Goldman
Burglar,1400 18th Street,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III
Memoirs of an Invisible Man,St. Elizabeth Apartment House (901 Powell Street at Sacramento),Warner Bros. Pictures,John Carpenter,Robert Collector
Dying Young,,Twentieth Century Fox Corporation,Joel Schumacher,Richard Friedenberg
Parks and Recreation,Columbus and Green,"NBC Universal Media, LLC",Dean Holland,Greg Daniels
Terminator - Genisys,California St. between Drumm St. and Kearny St.,Paramount Pictures,Alan Taylor,James Cameron
Golden Gate,Golden Gate Bridge,The Samuel Goldwyn Company,John Madden,David Henry Hwang
Copycat,82 & 67 Rico Way (Marina District),Warner Bros. Pictures,Jon Amiel,Ann Biderman
Looking Season 2 ep 210,67 Deming Street,HBO,Andrew Haigh,Michael Lannan
Chance- Season 1 ep109,60 Leavenworth St.,HULU,Sara Gran and Pete Begler,Dan Attias
Fearless,Bank of America Building (555 California Street),Warner Bros. Pictures,Peter Weir,Rafael Yglesias
Cardinal X,Lyon at Chestnut St.,,Annie Wang,Annie Wang
Always Be My Maybe,Fairmont Hotel - Penthouse Suite,Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong"
Romeo Must Die,Chinatown,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner
The Towering Inferno,Grace Cathedral Episcopal Church (1100 California Street),Twentieth Century - Fox,John Guillermin,Stirling Silliphant
Jade,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",Paramount Pictures,William Friedkin,Joe Eszterhas
Vertigo,Conservatory of Flowers (Golden Gate Park),Paramount Pictures,Alfred Hitchcock,Alec Coppel
The Last of the Gladiators,,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff
"Budding Prospects, Pilot",951 Hudson Avenue,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
The Woman In Red,Brocklebank Apartments (1000 Mason Street),MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert
Until the End of the World,"Tosca Caf̩ (242 Columbus Avenue, North Beach)",Warner Bros. Pictures,Wim Wenders,Wim Wenders
Age of Adaline,Montgomery/Green,,Lee Toland Krieger,J. Mills Goodloe
When We Rise,"Twin Peaks Bar, 401 Castro",Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
What the Bleep Do We Know,Golden Gate National Recreation Area,Samuel Goldwyn Films,William Arntz,William Arntz & Betsy Chasse
The Other Sister,Transbay Terminal (Mission Street at 1st Street),Buena Vista Pictures,Garry Marshall,Garry Marshall
Magnum Force,2190 Washington Street (Pacific Heights),Warner Bros. Pictures,Ted Post,John Milius
Looking Season 2 ep 203,"Boxer Stadium, 166 Havelock Street",HBO,Andrew Haigh,Michael Lannan
Guess Who's Coming to Dinner,634 Raycliff Terrace,Columbia Pictures,Stanley Kramer,William Rose
