Title,Release Year,Locations,Production Company,Distributor,Director,Writer
GirlBoss,2017,"Clayton Post Office, 554 Clayton St.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Chance - Season 1 ep105,2016,Maiden Lane between Kearny and Grant,TVM Productions,HULU,Victoria Morrow,Roxann Dawson
Terminator - Genisys,2015,1 Market St. Landmark Building,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
Hemingway & Gelhorn,2011,Muni Metro East (501 Cesar Chavez),"Attaboy Films, For Whom Productions, Home Box Office (HBO)",Home Box Office (HBO),Philip Kaufman,Jerry Stahl & Barbara Turner
Time After Time,1979,Lombard & Fillmore Streets (Marina District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Looking Season 2 ep 204,2015,"Larken Street Youth Services, 1138 Sutter Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Vertigo,1958,Park Hill Sanatorium (351 Buena Vista Avenue East),Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel
Milk,2008,Duboce Park,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black
The Last Black Man in San Francisco,2019,California St and Gough btwn Geary and Jones,"LBMISF, LLC",A50,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons
Vertigo,1958,Mission San Juan Bautista (2nd & Mariposa Streets),Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel
Time After Time,1979,"Huntington Park (California & Taylor Streets, Nob Hill)",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Nine Months,1995,Belli Building (722 Montgomery Street at Washington),1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
The Wedding Planner,2001,Pleasant Street at Taylor,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk
Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster
Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
Sister Act 2: Back in the Habit,1993,"Maritime Museum, Building 201 (Fort Mason)",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard
The OA Part II,2019,Pier 7,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Freebie and the Bean,1974,Nob Hill,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
The Presidio,1988,Sansome Street (The Embarcadero),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson
San Francisco,1936,City Hall,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos
Terminator - Genisys,2015,Bush St. at Stockton St.,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
San Andreas,2015,555 California,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb
Chance Season 2,2017,Embarcadero at Lombard St.,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
Basic Instinct,1992,Transbay Terminal (Mission Street at 1st Street),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Chu Chu and the Philly Flash,1981,22nd and Carolina Streets (Potrero Hill),Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana
Star Trek IV: The Voyage Home,1986,North Beach,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson
Jade,1995,Palace of Fine Arts,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas
Steve Jobs,2015,War Memorial Opera House (401 Van Ness Avenue),RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin
"Murder in the First, Season 1",2014,1541 Grove Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Experiment in Terror,1962,1 Montgomery Street at Post,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons
Looking Season 2 ep 209,2015,"SF Zoo, 2945 Sloat Blvd","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Nina Takes a Lover,1994,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs
Boys and Girls,2000,Alcatraz Island,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews
Chance Season 2,2017,Waller St between Masonic and Del Mar St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
"Smile Again, Jenny Lee",2015,City Hall,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick
The Last Black Man in San Francisco,2019,4704 3rd St,"LBMISF, LLC",A34,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
"Murder in the First, Season 3",2016,Civic Center Plaza,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
"Smile Again, Jenny Lee",2015,Hyatt Hotel (555 North Point St.),Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick
Common Threads: Stories From the Quilt,1989,The Castro,Home Box Office (HBO),Direct Cinema Limited,Rob Epstein,Jeffrey Friedman
Doctor Dolittle,1998,Gabbiano's Restaurant (Ferry Building),Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
The Diary of a Teenage Girl,2015,Higher Grounds Coffee House,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller
Looking Season 2 ep 210,2015,SF City Hall Polk Street Steps,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
I Am Michael,2015,Ocean Beach @ Balboa,Thatâs Hollywood,,Justin Kelly,Justin Kelly
Fearless,1993,Kohl Building (400 Montgomery Street),Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias
The Lineup,1958,Sutro Baths (Point Lobos Avenue),Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant
"Looking ""Special""",2016,Bernal Heights Neighborhood,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
True Believer,1989,,Columbia Pictures Corporation,Columbia Pictures,Joseph Ruben,Wesley Strick
"Murder in the First, Season 3",2016,Pier 96,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Sneakers,1992,The Embarcadero,Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes
Flower Drum Song,1961,Golden Gate Bridge,Fields Productions,Universal Pictures,Henry Koster,Joseph Fields
Terminator - Genisys,2015,Sutter Stockton Garage,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
The Towering Inferno,1974,"Bank of America Building (555 California Street, Financial District)",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant
Chance- Season 1 ep106,2016,Treasure Island,TVM Productions,HULU,Sara Gran,Dan Attias
Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias
"Murder in the First, Season 2",2015,372/374 Pennsylvania Avenue,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Invasion of the Body Snatchers,1978,City Hall,Solofilm,United Artists,Philip Kaufman,Jack Finney
Looking Season 2 ep 209,2015,1890 Clay Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus ,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard
Blue Jasmine,2013,303-305 S. Van Ness,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
Venom,2018,"Epic Steakhouse, 369 Embarcadero","L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
Pushing Dead,2016,42 Walter Street,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
Pushing Dead,2016,Turk Street between Steiner and Scott Streets,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
So I Married an Axe Murderer,1993,CafÃ© Picaro 3120 16th Street,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox
Sudden Fear,1952,2800 Scott Street,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee
Foul Play,1978,Flood Building (870 Market Street),Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
"Smile Again, Jenny Lee",2015,475 Diamond St.,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick
Greed,1924,Bush and Sutter Streets,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim
"Smile Again, Jenny Lee",2015,Unitarian Church (1187 Franklin St.),Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick
Invasion of the Body Snatchers,1978,United Nations Plaza (Civic Center),Solofilm,United Artists,Philip Kaufman,Jack Finney
Just Like Heaven,2005,,DreamWorks SKG,DreamWorks Distribution,Mark Waters,Peter Tolan
Sense8 - Season 2,2016,Mission Creek Harbor along Channel St.,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
By Hook or By Crook,2001,"Royan Hotel (405 Valencia Street, Mission District)",Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard
I Am Michael,2015,4100 20th St,Thatâs Hollywood,,Justin Kelly,Justin Kelly
Golden Gate,1994,University of California Hastings College of the Law,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,David Henry Hwang
"Budding Prospects, Pilot",2017,Gough Street & Clay Street,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
The Californians,2005,,Parker Film Company,Fabrication Films,Jonathan Parker,Jonathan Parker & Catherine DiNapoli
Vertigo,1958,"Mission Dolores (3321 16th Street, Mission District)",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel
"Looking ""Special""",2016,Van Ness and Market Street MUNI exit,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Quitters,2015,Wine Impression,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker
Take the Money and Run,1969,Bank of America (1455 Stockton Street),American Broadcasting Company (ABC),Cinerama Releasing Corporation,Woody Allen,Woody Allen
The Last Black Man in San Francisco,2019,Innes and Arelious Walker,"LBMISF, LLC",A33,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Jade,1995,Sheraton Palace Hotel (639 Market Street),Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas
Ant-Man,2015,Pine between Kearney and Davis,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari
Time After Time,1979,2340 Francisco Street,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
The Wedding Planner,2001,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk
Woman on the Run,1950,1801 Laguna at Bush,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster
Invasion of the Body Snatchers,1978,32 Napier Lane,Solofilm,United Artists,Philip Kaufman,Jack Finney
Harold and Maude,1971,Conservatory of Flowers (Golden Gate Park),Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins
Burglar,1987,1400 18th Street,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III
The Bachelor,1999,Nina M. Designs (52 2nd Street at Jessie),George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen
Golden Gate,1994,Ross Alley (Chinatown),American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang
"Smile Again, Jenny Lee",2015,Mission Inn (5630 Mission St),Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick
Chance Season 2,2017,20th St between Church and Dolores St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
The Caine Mutiny,1954,Golden Gate Bridge,Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts
Sweet November,2001,"Foote, Cone & Belding (733 Front Street at Pacific)",Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Looking Season 2 ep 209,2015,68 Division Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Patty Hearst,1988,Bank of America (38th Street at Balboa Street),Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan
Looking Season 2 ep 210,2015,"Mission Rec Center, 2450 Harrison Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
The Diary of a Teenage Girl,2015,The Magazine at 920 Larkin,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller
"Murder in the First, Season 2",2015,Pennsylvania Avenue at 19th Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
When We Rise,2017,Bay Bridge,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
The Conversation,1974,"Westin St. Francis Hotel (335 Powell Street, Union Square)",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola
Bedazzled,2000,Montgomery & Market Streets,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis
Dirty Harry,1971,Dante Building (1606 Stockton Street at Union),The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink
Greed,1924,Hayes Street at Laguna,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim 
A Smile Like Yours,1997,75 California Street,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer
Chance- Season 1 ep104,2016,Palace of Fine Arts,TVM Productions,HULU,Carl Franklin,Peter Elkoff
Sense8,2015,Vallejo Street Garage; 766 Vallejo St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
Until the End of the World,1991,"Tosca CafÃ© (242 Columbus Avenue, North Beach)",Village Roadshow Pictures,Warner Bros. Pictures,Wim Wenders,Wim Wenders
Looking Season 2 ep 206,2015,770 Haight Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Dawn of the Planet of the Apes,2014,Alioto Park,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa
The Other Sister,1999,Palace of Fine Arts (3301 Lyon Street),Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall
Foul Play,1978,California & Larkin Streets (Nob Hill),Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
High Crimes,2002,Chase H & Q  (1 Bush Street at Sansome),Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
Edtv,1999,Moose's Restaurant (1652 Stockton),Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz
Blue Jasmine,2013,Motel Capri,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
Basic Instinct,1992,2930 Vallejo Street,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Sudden Impact,1983,The Embarcadero/Ferry Building,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
The Enforcer,1976,Hall of Justice,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant
Godzilla,2014,Pier 1,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Time After Time,1979,Lombard & Laguna Streets (Marina District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
"Murder in the First, Season 1",2014,13 Lucky Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Boys and Girls,2000,Lombard Street,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews
Heart and Souls,1993,War Memorial Opera House (401 Van Ness Avenue),Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason
