animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A596980,DOG,MIX,MIX,L17-033193,LIC ALTERED,HLP SCAN,10.0,2017-09-28 00:00:00,2018-06-16 00:00:00,CURRENT
A560804,DOG,TERRIER,BRUSS GRIFFON,L15-033261,LIC ALTERED,HLP SCAN,9.0,2015-05-16 00:00:00,2016-03-16 00:00:00,RENEWED
A593507,DOG,HOUND,BEAGLE,,,,,,,
A578612,DOG,TOY,YORKSHIRE TERR,U15-005630,RABIES CERT,HLP IMPORT,,2015-12-12 00:00:00,2018-11-16 00:00:00,CURRENT
A589262,DOG,POODLE,POODLE STND,L17-017158,LIC 3Y,HLP WEB,27.5,2017-03-31 00:00:00,2020-03-31 00:00:00,CURRENT
A604122,DOG,COLLIE,BORDER COLLIE,RAB9585006,RABIES CERT,VET,0.0,2016-11-09 00:00:00,2016-09-22 00:00:00,CURRENT
A227871,DOG,SPANIEL,CAVALIER SPAN,D09-038164,LIC ALTERED,,9.0,2008-12-20 00:00:00,2009-08-13 00:00:00,RENEWED
A483579,CAT,SHORTHAIR,DOMESTIC SH,L16-031811,LIC ALTERED,HLP SCAN,10.0,2016-11-26 00:00:00,2017-11-05 00:00:00,RENEWED
A628520,DOG,MIX,MIX,L17-033303,LIC ALTERED,HLP SCAN,10.0,2017-10-18 00:00:00,2018-09-27 00:00:00,CURRENT
A509781,DOG,TERRIER,JACK RUSS TER,D14-034249,LIC ALTERED,VET,9.0,2013-12-04 00:00:00,2014-11-23 00:00:00,RENEWED
A604273,DOG,MASTIFF,PIT BULL,U16-46254,RAB VAC CERT.,VET,0.0,2016-11-10 00:00:00,2019-08-16 00:00:00,CURRENT
A552188,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A559103,DOG,COLLIE,AUST SHEPHERD,L17-032798,LIC 3Y,HLP SCAN,27.0,2017-04-07 00:00:00,2020-02-24 00:00:00,CURRENT
A587807,DOG,MASTIFF,PIT BULL,L16-057879,LIC ALTERED,HLP SCAN,10.0,2016-04-20 00:00:00,2017-02-27 00:00:00,RENEWED
A573290,CAT,SHORTHAIR,DOMESTIC SH,L16-030524,LIC ALTERED,HLP SCAN,10.0,2016-09-05 00:00:00,2017-08-15 00:00:00,RENEWED
A441522,CAT,SHORTHAIR,SIAMESE,L15-019743,LIC 3YSR,MAIL,12.0,2015-03-16 00:00:00,2018-03-09 00:00:00,CURRENT
A402699,DOG,SETTER/RETRIEVE,LABRADOR RETR,D14-048282,LIC ALTERED,MAIL,9.0,2013-08-19 00:00:00,2014-07-26 00:00:00,CURRENT
A561022,DOG,SPITZ,ALASKAN HUSKY,L14-043104,LIC ALTERED,COUNTER,9.0,2015-05-21 00:00:00,2015-10-20 00:00:00,CURRENT
A629496,DOG,MASTIFF,ROTTWEILER,L17-013808,LIC ALTERED,HLP SCAN,10.0,2017-11-01 00:00:00,2018-08-14 00:00:00,CURRENT
A591703,CAT,SHORTHAIR,DOMESTIC SH,985112007782309,MICROCHIP ADO,HOME AGAIN,25.0,2016-06-28 00:00:00,2017-06-28 00:00:00,CURRENT
A609353,DOG,HOUND,BEAGLE,RAB9722231,RABIES CERT,VET,0.0,2017-02-01 00:00:00,2016-12-17 00:00:00,CURRENT
A561441,DOG,SPITZ,ALASK MALAMUTE,L16-036428,LIC SR,HLP WEB,5.5,2016-02-17 00:00:00,2017-02-16 00:00:00,DEAD
