Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Sara Weller,04/09/2019,1,Cambridge ,DWP event ,Car,NIL return,NIL return,NIL return,£94.50,NIL return
Sara Weller,17/09/2019,1,"London, UK",DWP meetings ,"Bus, Tube, Rail",Standard,NIL return,£19.50,£62.50,NIL return
Sara Weller,26/09/2019,1,"London, UK",DWP meetings ,"Rail, Taxi, Tube",Standard,NIL return,£9.40,£52.40,NIL return
Hayley Tatum,11/07/2019,1,"London, UK ",DWP meeting ,Rail,Standard,NIL return,NIL return,£27.10,NIL return
Hayley Tatum,04/09/2019,1,Cambridge ,DWP Event ,Taxi,Standard,NIL return,NIL return,£13.40,NIL return
Hayley Tatum,26/09/2019,1,"London, UK",DWP meeting ,Rail,standard,NIL return,NIL return,£27.10,NIL return
Ashley Machin,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return
Tim Nolan,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return
David Holt,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return
Jonathon Mills,04/09/2019,1,Cambridge,ET Away Day/Summer School,Rail,Standard,NIL return,NIL return,£50.45,NIL return
Jonathon Mills,11/09/2019,1,"Leeds, UK",Senior Leadership Engagement Event,Rail,Standard,NIL return,NIL return,£103.25,NIL return
James Wolfe,16/07/2019,1,"Sheffield, UK",Visit staff/Team ,Rail,Standard,NIL return,NIL return,£113.00,
James Wolfe,12/08/2019,1,"Leeds, UK",Visit staff/Team ,Rail,Standard,NIL return,NIL return,£68.25,
James Wolfe,13/08/2019,1,"Sheffield, UK",Visit staff/Team ,Rail,Standard,NIL return,NIL return,£44.45,
Donna Ward,29/08/2019,1,"Sheffield, UK",Internal meeting,Rail,Standard,NIL return,NIL return,£215.25,NIL return
Pete Searle,26/06/2019,2,"Blackpool, UK","DWP Story - Blackpool, UK",Rail,Standard,£114.15,NIL return,£344.55,NIL return
Pete Searle,01/07/2019,3,"Taunton & Oldham, UK round trip","DWP Story - Taunton & Oldham, UK",Rail,Standard,£214.35,NIL return,£405.75,NIL return
Pete Searle,10/07/2019,2,Hull,DWP Story - Hull,Rail,Standard,£121.10,NIL return,£290.55,NIL return
Pete Searle,13/08/2019,1,"Birmingham, UK",DWP Summer School Meeting,Rail,Standard,£5.00,NIL return,£61.05,NIL return
Pete Searle,04/09/2019,3,Cambridge,DWP Summer School Meeting,Rail,Standard,NIL return,NIL return,£54.85,NIL return
Pete Searle,18/09/2019,1,Kia Oval,WAB Directorate Learning Day,Rail,Standard,NIL return,NIL return,£4.80,NIL return
Pete Searle,25/09/2019,3,Gleneagles,Glenagles Conference,Air,Economy,£410.80,NIL return,£615.14,NIL return
