Title,Release Year,Locations,Production Company,Distributor,Director,Writer
Broken-A Modern Love Story ,2010,Ina Coolbrith Park (1700 Taylor Street),RKW Films,,Ryan K. Whiting,Ryan K. Whiting
The Parent Trap,1998,Administration Building (Treasure Island),Walt Disney Pictures,Buena Vista Pictures,Nancy Meyers,Nancy Meyers
Looking,2014,2000 Folsom,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Susan Slade,1961,"On Board the SS President Cleveland, docked at Pier 50",Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves
Fat Man and Little Boy,1989,"Postcard Row (Alamo Square, Hayes Valley)",Paramount Pictures,Paramount Pictures,Roland Joffe,Roland Joffe
Basic Instinct,1992,2104 Broadway,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Magnum Force,1973,"Fairmont Hotel (950 Mason Street, Nob Hill)",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius
Sense8,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
The Towering Inferno,1974,2898 Vallejo Street,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant
Patch Adams,1998,Sheraton Palace Hotel (639 Market Street),Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk
San Andreas,2015,"Asia Star Fantasy, 1126 Grant Ave.","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb
Chance - Season 1 Pilot,2016,940 Powell St.,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
A Taiwanese Tale of Two Cities,2018,700 Block of Grant Ave.,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin"
Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero),Solofilm,United Artists,Philip Kaufman,Jack Finney
Looking,2014,Castro St. from Market to 18th St.,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Chance- Season 1 ep104,2016,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd.",TVM Productions,HULU,Carl Franklin,Peter Elkoff
Tales of the City,2019,Castro District,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley"
When We Rise,2017,"Eureka Arts Center, 4400 20th St.",Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
Sneakers,1992,The Embarcadero,Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes
The Bachelor,1999,Pacific Stock Exchange (301 Pine Street at Sansome),George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen
GirlBoss,2017,Filbert and Kearny Steps,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Dim Sum: A Little Bit of Heart,1985,"Li Po (916 Grant Avenue at Washington, Chinatown)",CIM,Orion Classics,Wayne Wang,Terrel Seltzer
The Love Bug,1968,Golden Gate Bridge,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh
Sense8,2015,Van Ness and 12th St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
Chance- Season 1 ep103,2016,"Blue Danube Caf̩, 306 Clement",TVM Productions,HULU,Michael Lehmann,Kem Nunn
Chance - Season 1 Pilot,2016,"William Stout Architectural Books, 804 Montgomery St.",TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
The Game,1997,Bank of America Building (555 California Street),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato
Fearless,1993,5th and Beale Streets,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias
The Diary of a Teenage Girl,2015,Tonic,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller
Basic Instinct,1992,Chinatown,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
180,2011,200 block Market Street,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba "
Chance- Season 1 ep106,2016,2 Rowland,TVM Productions,HULU,Sara Gran,Dan Attias
Venom,2018,Washington Square Park - Filbert St at Stockton St,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
What's Up Doc?,1972,Alta Plaza Park (Steiner Street),Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry
Milk,2008,Duboce Park,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola
Pushing Dead,2016,"915 Naples, San Francisco","Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
James and the Giant Peach,1996,,Skellington Productions,Walt Disney Studios Home Entertainment,Henry Selick,Karey Kirkpatrick
"Murder in the First, Season 1",2014,1541 Grove Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Looking,2014,Muddy Waters Coffee House,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
High Crimes,2002,Condor Club (Columbus and Broadway),Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
Foul Play,1978,Flood Building (870 Market Street),Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
A View to a Kill,1985,Potrero Hill,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum
The House on Telegraph Hill,1951,Market Street,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll
Alexander's Ragtime Band,1938,San Francisco Bay,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola
"Murder in the First, Season 2",2015,901 Missouri Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
"Looking ""Special""",2016,Fisherman's Wharf,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Terminator - Genisys,2015,Front St. between Market and Clay,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
Boys and Girls,2000,Aquatic Park (Jefferson Street),Punch 21 Productions,Dimension Films,Robert Iscove,The Drews
Pushing Dead,2016,1069 Tennessee Street,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
Quitters,2015,21st St & Sanchez,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker
"Smile Again, Jenny Lee",2015,Unitarian Church (1187 Franklin St.),Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick
Looking Season 2 ep 209,2015,"Tonga Room, Fairmont Hotel, 950 Mason Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
The Last of the Gladiators,1988,,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff
Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
Chance- Season 1 ep102,2016,"Betelnut restaurant, 2030 Union St.",TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham 
Magnum Force,1973,City Hall,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius
GirlBoss,2017,"The Castro Theater, 429 Castro St.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
The Core,2003,Golden Gate Bridge,David Foster Productions,Paramount Pictures,John Amiel,Cooper Lane
Etruscan Smile,2017,"Bentley Reserve, 301 Battery Street","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
"Murder in the First, Season 2",2015,901 Missouri Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
So I Married an Axe Murderer,1993,Alcatraz Island,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox
Cardinal X,2015,3639 Taraval St,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang
Birth of the Dragon,2016,California at Mason,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele"
Freebie and the Bean,1974,Embarcadero Freeway,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
Sudden Impact,1983,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
The OA Part II,2019,1001 Vallejo St,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Invasion of the Body Snatchers,1978,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)",Solofilm,United Artists,Philip Kaufman,Jack Finney
Magnum Force,1973,Golden Gate Bridge,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius
180,2011,Randall Museum,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba"
Terminator - Genisys,2015,Construction Site in front of 260 Stockton St. at Post St.,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
The Dead Pool,1988,"Nam Yuen Restaurant (740 Washington Street, Chinatown)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
"Looking ""Special""",2016,"Capital Restaurant, 839 Clay Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
San Andreas,2015,"Vallejo St. Garage, 766 Vallejo St.","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb
The Last Black Man in San Francisco,2019,363 Lyon St,"LBMISF, LLC",A55,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Americana,2015,Romolo Place @ Fresno St.,Sutro Films LLC,,Zachary Shedd,Zachary Shedd
Birth of the Dragon,2016,Grant between Bush and Broadway,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
Americana,2015,St. Francis Episcopal Church (399 San Fernando Way),Sutro Films LLC,,Zachary Shedd,Zachary Shedd
Bullitt,1968,20th & Vermont Streets (Potrero Hill),"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman
Basic Instinct,1992,Pier 7 (The Embarcadero),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan
Dawn of the Planet of the Apes,2014,Alioto Park,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa
Birth of the Dragon,2016,Lands End Trail at Eagles Point/ Lincoln Park Golf Course,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
Golden Gate,1994,University of California Hastings College of the Law,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,David Henry Hwang
The Dead Pool,1988,One Thousand Powell Apartments (1000 Powell Street),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
The Wedding Planner,2001,Montgomery Street at Union Street,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk
Tales of the City,2019,Dolores Park,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley"
Maxie,1985,"Asian Art Museum (200 Larkin Street, Civic Center)",Elsboy Entertainment,Orion Pictures Corporation,Paul Aaron,Patricia Resnick
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Perlsea Company,Paramount Pictures,George Seaton,Samuel A. Taylor
Looking Season 2 ep 209,2015,1246 Folsom Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Twisted,2004,,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp
The Bachelor,1999,Nina M. Designs (52 2nd Street at Jessie),George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen
Fearless,1993,90 Gold Street,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias
The Diary of a Teenage Girl,2015,The Royal Oak,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller
Knife Fight,2013,City Hall,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane
Blue Jasmine,2013,330 Santa Clara Ave.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
The Last Black Man in San Francisco,2019,801 Innes Ave,"LBMISF, LLC",A27,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Chance Season 2,2017,Union St at Leavenworth St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
D.O.A,1950,Westin St. Francis Hotel (335 Powell Street),Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse
Beautiful Boy,2018,Wisconsin between 19th and 20th St,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies
Pal Joey,1957,Barbary Coast,Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley
Etruscan Smile,2017,Mason Street @ Vallejo ,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
Sense8,2015,Van Ness and 12th St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
Faces of Death,1978,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black
Crackers,1984,La Rondalla (Valencia and 20th Streets),Universal Pictures,Universal Pictures,Louis Malle,Jeffrey Fiskin
"Murder in the First, Season 1",2014,13 Lucky Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
When We Rise,2017,Powell St. at Market St.,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
Sense8,2015,16th St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
They Call Me MISTER Tibbs,1970,,Mirisch Corporation,United Artists,Gordon Douglas,Alan R. Trustman
Dirty Harry,1971,Portsmouth Square (Chinatown),The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink
"Murder in the First, Season 1",2014,Alamo Square Park,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
CSI: NY- episode 903,2012,Palace of Fine Arts,CBS Television Studios,Columbia Broadcasting System,Vikki Williams,Anthony E. Zuiker
The Nightmare Before Christmas,1993,,Touchstone Pictures,Buena Vista Pictures,Henry Selick,Tim Burton
Twisted,2004,La Bodega (1332 Grant Avenue at Vallejo),Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp
Pushing Dead,2016,"Matching Half Caf̩, 1799 McAllister Street","Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
Looking,2014,"Tiburon Hiking Trail, Tiburon, CA","Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Basic Instinct,1992,Gibb Street (Chinatown),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley),Solofilm,United Artists,Philip Kaufman,Jack Finney
Doctor Dolittle,1998,Larkin & Hyde Streets,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
Looking,2014,Dolores Park,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
On the Beach,1959,,Stanley Kramer Productions,United Artists,Stanley Kramer,John Paxton
Big Eyes,2014,Caffe Trieste,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander
"Murder in the First, Season 1",2014,Hall of Justice (850 Bryant Street),Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
180,2011,Epic Roasthouse (399 Embarcadero),SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba"
The Dead Pool,1988,New Asia Restaurant (772 Pacific Avenue at Grant),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Sudden Fear,1952,Brocklebank Apartments (1000 Mason Street),Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee
Milk,2008,Treasure Island,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black
Boys and Girls,2000,628 Cole Street,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews
Big Eyes,2014,Palace of Fine Arts,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander
Star Trek IV: The Voyage Home,1986,"Bessie Charmichael Elementary School (375 Seventh Street, SOMA)",Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson
The Dead Pool,1988,Carl & Cole Streets (Cole Valley),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Godzilla,2014,Kearney & Pine St.,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Looking Season 2 ep 204,2015,"Larken Street Youth Services, 1138 Sutter Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
The Caine Mutiny,1954,The Embarcadero,Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts
Pushing Dead,2016,2930 3rd Street,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
Blue Jasmine,2013,330 Santa Clara Ave.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
Petulia,1968,Cala Foods (California Street and Hyde),Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus
Golden Gate,1994,Ross Alley (Chinatown),American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang
Class Action,1991,Bix Restaurant (56 Gold Street),Interscope Communications,Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby
Getting Even with Dad,1994,140 Maiden Lane,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
"Murder in the First, Season 2",2015,Embarcadero Street at Washington Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
GirlBoss,2017,Taylor and Union,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Dr. Dolittle 2,2001,Hyde Street & Lombard Street,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin
Patty Hearst,1988,"Postcard Row (Alamo Square, Hayes Valley)",Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan
Superman,1978,Golden Gate Bridge,Dovemead Films,Warner Bros. Pictures,Richard Donner,Jerry Siegel
Sense8,2015,Harrison & 20th,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
San Andreas,2015,Intersection of Lombard and Hyde,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb 
So I Married an Axe Murderer,1993,Edinburgh Castle (950 Geary Street),TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox
The Other Sister,1999,Transbay Terminal (Mission Street at 1st Street),Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall
Sense8,2015,18th Street between Guerrero and Valencia Streets,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
Chance Season 2,2017,Heron @ Berwick (off 8th and Harrison St),TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
Looking,2014,Eros,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Chance - Season 1 Pilot,2016,Ellis and Jones St.,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
A Smile Like Yours ,1997,San Francisco International Airport,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer
Invasion of the Body Snatchers,1978,Lafayette Park (Pacific Heights),Solofilm,United Artists,Philip Kaufman,Jack Finney
