Title,Release Year,Locations,Production Company,Distributor,Director,Writer
Dream with the Fishes,1997,Pier 39,3 Ring Circus Films,Sony Pictures Classics,Finn Taylor,Finn Taylor & Jeffrey Brown
Terminator - Genisys,2015,Union Square,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
The Maltese Falcon,1941,Golden Gate Bridge,Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston
Getting Even with Dad,1994,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
Bitter Melon,2018,66 Danton St,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza
High Anxiety,1977,"Conservatory of Flowers, Golden Gate Park",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
Looking Season 2 ep 208,2015,"Citizens Band, 1198 Folsom Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Etruscan Smile,2017,"Benu Restaurant, 22 Hawthorne Street","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs
Godzilla,2014,California & Davis St,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Chance Season 2,2017,Coit Tower,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,Sutro Films LLC,,Zachary Shedd,Zachary Shedd
"Murder in the First, Season 2",2015,Columbus Avenue between Washington and Bay Streets,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Knife Fight,2013,Green & Laguna Streets,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane
Dream for an Insomniac,1996,Elbo Room (647 Valencia Street),Triton Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo
Basic Instinct,1992,Gibb Street (Chinatown),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Joy Luck Club,1993,375 Laguna Honda Blvd.,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan
The Wedding Planner,2001,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk
Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill),Solofilm,United Artists,Philip Kaufman,Jack Finney
Twisted,2004,Pier 24,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp
Looking Season 2 ep 204,2015,"Larken Street Youth Services, 1138 Sutter Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Junior,1994,Chinatown Gate,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade
Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
Invasion of the Body Snatchers,1978,San Francisco Drydock (20th and Illinois Streets),Solofilm,United Artists,Philip Kaufman,Jack Finney
Knife Fight,2013,City Hall,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane
Love & Taxes,2014,20 Hill Street,Bad Company Films,,Jacob Kornbluth,Jacob Kornbluth
Age of Adaline,2015,California @ Montgomery,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe
Sweet November,2001,"Foote, Cone & Belding (733 Front Street at Pacific)",Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Hulk,2003,Vallejo Street at Sansome,Universal Pictures,Universal Pictures,Ang Lee,Stan Lee
Alcatraz,2012,Leavenworth from Filbert & Francisco St,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien
What's Up Doc?,1972,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry
Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
Dark Passage,1947,"Filbert Steps, Filbert Street",Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis
Hard to Hold,1984,"Fairmont Hotel (950 Mason Street, Nob Hill)",Universal Pictures,Universal Pictures,Larry Peerce,"Thomas Hedley, Jr. "
Time After Time,1979,Merchant Exchange (465 California Street at Leidesdorff),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
"Looking ""Special""",2016,"The Stud, 399 9th Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
San Andreas,2015,Water work in SF Bay,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb
Chance - Season 1 ep105,2016,"The Drew School, 2901 California",TVM Productions,HULU,Victoria Morrow,Roxann Dawson
Silicon Valley Season 4,2017,Howard St between 3rd and 4th St.,"Brown Hill Productions, LLC",HBO,Mike Judge,John Altschuler
Time After Time,1979,100 Block of Union Street (Cow Hollow),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
About a Boy,2014,Powell from Bush and Sutter,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims
What's Up Doc?,1972,Lombard Street between Hyde and Leavenworth,Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry
Doctor Dolittle,1998,Telegraph Hill Blvd (Telegraph Hill),Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
Blue Jasmine,2013,The Ramp Restaurant,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
Looking,2014,2413 Harrison St.,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
"Murder in the First, Season 1",2014,13 Lucky Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
50 First Dates,2004,Rainforest CafÃ© (145 Jefferson Street),Columbia Pictures Corporation,Columbia Pictures,Peter Segal,George Wing
Americana,2015,Treasure Island,Sutro Films LLC,,Zachary Shedd,Zachary Shedd
Magnum Force,1973,2190 Washington Street (Pacific Heights),The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius
Time After Time,1979,Marina Green (Marina District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Chance- Season 1 ep102,2016,Mason and Pacific,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham 
Looking,2014,24th and Church St. ,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Looking Season 2 ep 202,2015,Church @ Duboce Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller
Magnum Force,1973,Vermont Street between 20th and 22nd Streets,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius
Godzilla,2014,Embarcadero & Washington,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Steve Jobs,2015,Mission St and 5th St,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller
"Murder in the First, Season 3",2016,Howard Street at Steuart Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Boys and Girls,2000,Alcatraz Island,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews
Tales of the City,2019,"Hotel Jefferson, 440 Eddy St",Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley"
Chance Season 2,2017,Lombard St between Leavenworth and Hyde St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
Chan is Missing,1982,Golden Dragon Restaurant (816 Washington Street at Grant),New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang
Blue Jasmine,2013,Heald College,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
When We Rise,2017,City Hall,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
Chance Season 2,2017,Jefferson St at Taylor St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
Joy Luck Club,1993,180 Manchester Street,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan
"Looking ""Special""",2016,3079 16th Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Chance- Season 1 ep103,2016,878-898 Chestnut St.,TVM Productions,HULU,Michael Lehmann,Kem Nunn
Time After Time,1979,Lombard & Divisadero Streets (Marina District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Chance Season 2,2017,California between Mason and Taylor St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
Basic Instinct,1992,Pier 7 (The Embarcadero),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Raising Cain,1992,,Pacific Western,Universal Pictures,Brian DePalma,Brian DePalma
Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman
Terminator - Genisys,2015,California St. between Drumm St. and Kearny St.,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
Americana,2015,679 Madrid St,Sutro Films LLC,,Zachary Shedd,Zachary Shedd
Terminator - Genisys,2015,Union Square,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
The Parent Trap,1998,Administration Building (Treasure Island),Walt Disney Pictures,Buena Vista Pictures,Nancy Meyers,Nancy Meyers
Chance - Season 1 Pilot,2016,"Mario's CafÃ©, 566 Columbus",TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Ant-Man,2015,601 Buena Vista Ave West at Java St.,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari
Birth of the Dragon,2016,California at Mason,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
I Am Michael,2015,Flint & 16th (Castro),Thatâs Hollywood,,Justin Kelly,Justin Kelly
Heart Beat,1980,Washington Square Bar & Grill (1707 Powell),Orion Pictures Corporation,Orion Pictures Corporation,John Byrum,John Byrum
180,2011,Randall Museum,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba"
The Core,2003,Golden Gate Bridge,David Foster Productions,Paramount Pictures,John Amiel,Cooper Lane
Looking,2014,Muddy Waters Coffee House,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Innerspace,1987,Golden Gate Bridge,Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser
Terminator - Genisys,2015,Pine and Leavenworth,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
Class Action,1991,Bix Restaurant (56 Gold Street),Interscope Communications,Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby
A Night Full of Rain,1978,Broadway (North Beach),Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller
Experiment in Terror,1962,100 St. Germain Avenue,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons
Sweet November,2001,Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place),Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick
"Looking ""Special""",2016,"Encore Karaoke, 1550 California Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Looking Season 2 ep 210,2015,"Mission Rec Center, 2450 Harrison Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
The Fog of War,2003,,Sony Pictures Classics,Sony Pictures Classics,Errol Morris,
Sneakers,1992,Hills Brothers Plaza (The Embarcadero at Harrison),Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes
Etruscan Smile,2017,San Francisco Airport,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
When a Man Loves a Woman,1994,Grant Street at Pacific Avenue,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass
Alexander's Ragtime Band,1938,San Francisco Bay,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola
Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero),Solofilm,United Artists,Philip Kaufman,Jack Finney
A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin)",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum
Sudden Fear,1952,Lombard Street,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee
Birth of the Dragon,2016,California at Grant,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele"
Sense8 - Season 2,2016,Green between Kearny and Montgomery,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
The Princess Diaries,2001,Fisherman's Wharf,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos
Quitters,2015,21st St & Sanchez,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker
Sudden Impact,1983,"Near Point Lobos, El Camino Del Mar ",Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
Birdman of Alcatraz,1962,Pier 43 1/2,Norma Productions,United Artists,John Frankenheimer,Guy Trosper
George of the Jungle,1997,"Neiman Marcus (150 Stockton Street, Union Square)",Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward
Terminator - Genisys,2015,Mission at 1st and 2nd,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
The Diary of a Teenage Girl,2015,304 Lily St.,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller
San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street),"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb 
Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink
Bedazzled,2000,"Washington Square Park (Filbert, between Stockton and Powell)",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis
Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster
Chance - Season 1 Pilot,2016,"Ellis Food Center, 398 Ellis",TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Pushing Dead,2016,Koshland Park,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
Chance- Season 1 ep107,2016,157 Commonwealth,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
A Night Full of Rain,1978,Broadway (North Beach),Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller
Vegas in Space,1992,422 Oak Street at Laguna,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish
Interview With The Vampire,1994,Ferry Building,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice
The Assassination of Richard Nixon,2004,"Tosca CafÃ© (242 Columbus Avenue, North Beach)",Anhelo Productions,THINKFilm,Niels Mueller,Niels Mueller & Kevin Kennedy
The Presidio,1988,Market & 2nd Streets,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson
Sense8 - Season 2,2016,67-69 Deming St.,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
Class Action,1991,Bix Restaurant (56 Gold Street),Interscope Communications,Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby
Chance Season 2,2017,Steiner St between Jackson and Clay St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
