ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
vagabon,35,1.14,0.00%,92.50%,75.46,1.8
fairy tail,34,1.32,0.00%,53.33%,271.09,7.97
gorillaz humanz,34,1.18,2.94%,90.00%,88.06,2.41
louise penny,34,1.15,8.82%,41.03%,405.06,6.26
marc levy,34,1.47,2.94%,58.00%,290.59,8.18
minecraft,34,2.0,0.00%,30.88%,681.32,20.15
Nora roberts,34,1.21,0.00%,24.39%,239.15,7.53
elementary,33,1.18,3.03%,76.92%,64.48,3.09
gotham,33,1.3,6.06%,53.49%,254.94,5.7
moonlight,33,1.27,3.03%,52.38%,141.03,5.39
sophie kinsella,33,1.3,0.00%,58.14%,186.52,6.48
supernatural,33,1.0,3.03%,78.79%,126.64,4.03
waxahatchee,33,1.09,0.00%,94.44%,17.48,1.67
batman,32,1.56,3.13%,44.00%,377.53,8.03
Musso,32,1.25,6.25%,55.00%,182.28,3.5
sapiens,32,1.41,3.13%,42.22%,233.38,7.13
shabazz,32,1.09,0.00%,97.14%,59.56,1.66
the 100,32,1.25,9.38%,67.50%,85.09,3.84
twin peaks,32,1.75,0.00%,32.14%,237.34,9.03
big little lies,31,1.1,16.13%,58.82%,182.1,4.06
dark matter,31,1.32,12.90%,58.54%,249.84,3.39
nezet-seguin,31,1.0,0.00%,16.13%,65.74,1.94
silence,31,1.35,0.00%,64.29%,245.87,7.48
the affair,31,1.26,0.00%,56.41%,404.45,7.9
the americans,31,1.1,6.45%,61.76%,128.81,4.84
chrystine brouillet,30,1.3,10.00%,46.15%,248.03,7.43
danielle steel,30,1.5,3.33%,55.56%,462.03,15.03
leonard cohen,30,1.5,6.67%,53.33%,514.53,10.17
musso,30,1.33,0.00%,57.50%,138.3,5.07
naruto,30,1.57,3.33%,48.94%,340.2,9.17
power rangers,30,1.1,10.00%,54.55%,53.9,4.03
demain tout commence,29,1.38,0.00%,57.50%,69.66,5.59
hidden figures,29,1.1,3.45%,56.25%,88.41,7.34
la servante Ã©carlate,29,2.1,10.34%,31.15%,345.72,8.55
margaret atwood,29,1.31,13.79%,44.74%,329.76,12.31
pokemon,29,2.83,0.00%,28.05%,723.1,18.72
silicon valley,29,1.0,34.48%,41.38%,92.34,1.93
the walking dead,29,1.24,3.45%,61.11%,200.24,8.07
Guillaume musso,28,1.54,7.14%,46.51%,207.89,7.21
guy delisle,28,1.86,0.00%,38.46%,432.18,14.25
le petit robert,28,1.11,3.57%,6.45%,31.75,2.36
scandal,28,1.18,0.00%,87.88%,356.14,4.32
vernon subutex,28,1.36,0.00%,42.11%,105.96,5.32
virginie despentes,28,1.43,3.57%,62.50%,632.79,13.14
american gods,27,1.56,14.81%,40.48%,389.85,9.22
calvin harris funk bounces,27,1.04,0.00%,100.00%,25.04,1.15
Harry Potter,27,1.67,0.00%,40.00%,356.19,16.22
japandroids,27,1.04,0.00%,71.43%,34.04,2.56
life,27,1.48,0.00%,57.50%,163.56,6.67
moussaka,27,1.0,0.00%,3.70%,3.93,1.04
Nora Roberts,27,1.26,0.00%,23.53%,220.37,12.52
Outlander,27,1.33,3.70%,19.44%,176.81,5.59
pink floyd,27,1.7,0.00%,45.65%,245.56,12.81
rASCAL FLATTS,27,1.0,0.00%,92.59%,25.22,2.07
simone veil,27,1.48,0.00%,45.00%,233.89,9.19
trainspotting,27,1.33,3.70%,58.33%,278.41,11.59
((TypeOfDocumentFacet=Livres_numeriques) and (TypeContentLimit=romans) not ((OFF=f) or (OFF=s))) not RELB=m,26,1.15,3.85%,56.67%,503.73,13.54
american horror story,26,1.5,3.85%,53.85%,212.35,4.81
billions,26,1.08,3.85%,85.71%,152.77,2.0
biographie,26,1.31,0.00%,58.82%,479.65,13.31
girls,26,1.35,3.85%,62.86%,314.65,7.23
madame figaro,26,1.04,0.00%,25.93%,124.31,5.81
normand baillargeon,26,1.58,11.54%,14.63%,135.58,5.08
orange is the new black,26,1.92,11.54%,28.00%,233.77,4.73
protÃ©gez-vous,26,1.35,0.00%,25.71%,245.65,4.73
python,26,1.35,0.00%,37.14%,242.69,7.42
rogue one,26,1.35,7.69%,45.71%,376.88,6.31
the librarians,26,1.23,7.69%,75.00%,294.54,4.27
vegan,26,2.23,11.54%,34.48%,788.15,18.31
westworld,26,1.04,11.54%,62.96%,111.15,4.58
2017,25,1.2,12.00%,36.67%,379.32,11.28
camilla lackberg,25,1.2,0.00%,36.67%,309.44,9.0
dalida,25,1.28,0.00%,46.88%,326.0,8.96
david bowie,25,1.16,0.00%,68.97%,382.44,11.84
hurray riff,25,1.08,0.00%,100.00%,71.08,1.48
imagine dragons,25,1.28,8.00%,62.50%,194.88,9.76
la fille du train,25,1.12,0.00%,60.71%,246.24,5.56
mary higgins clark,25,1.64,0.00%,26.83%,371.52,10.84
phoenix ti,25,1.04,0.00%,96.15%,33.4,1.96
sharko,25,1.08,0.00%,85.19%,95.88,2.76
au fond de l'eau,24,1.08,8.33%,61.54%,185.83,4.21
game of throne,24,1.38,0.00%,63.64%,206.75,6.42
L'amie prodigieuse,24,1.38,0.00%,33.33%,161.54,5.21
les furies,24,1.13,0.00%,81.48%,143.0,4.08
murakami,24,1.46,0.00%,60.00%,445.04,10.58
nicole bordeleau,24,1.25,0.00%,56.67%,291.42,7.54
slowdive,24,1.13,0.00%,85.19%,156.13,4.17
snowden,24,1.04,0.00%,68.00%,455.08,8.75
stranger things,24,1.13,16.67%,40.74%,233.38,2.17
suicide squad,24,1.21,0.00%,48.28%,135.42,4.54
aftermath,23,1.35,0.00%,64.52%,74.91,3.48
beatles,23,1.26,0.00%,55.17%,155.57,7.87
Harry potter,23,1.26,4.35%,34.48%,270.65,8.35
jean pierre charland,23,1.26,0.00%,68.97%,347.26,5.35
john wick 2,23,1.26,4.35%,75.86%,30.57,2.3
metallica,23,1.22,0.00%,53.57%,196.17,10.22
milk and honey,23,1.61,0.00%,45.95%,348.57,11.17
naomi klein,23,1.35,4.35%,32.26%,239.04,6.48
Quand sort la recluse,23,1.09,13.04%,52.00%,99.7,2.96
tokyo ghoul,23,1.17,0.00%,74.07%,194.35,10.35
anne dufourmantelle,22,1.91,0.00%,26.19%,402.95,13.23
Anne Dufourmantelle,22,1.5,9.09%,9.09%,258.45,7.0
bones,22,1.18,4.55%,57.69%,189.18,5.64
breaking bad,22,1.18,9.09%,38.46%,392.77,7.59
david goudreault,22,1.64,0.00%,41.67%,179.18,5.68
hugh jackman,22,1.05,4.55%,43.48%,137.77,3.73
hunger games,22,1.36,9.09%,50.00%,195.86,5.41
La servante Ã©carlate,22,1.45,9.09%,21.88%,166.64,4.82
lang lang,22,1.68,0.00%,35.14%,140.27,8.05
le bonheur des autres,22,1.77,9.09%,17.95%,23.05,1.91
london grammar truth,22,1.09,18.18%,66.67%,152.05,2.09
michel onfray,22,1.41,4.55%,54.84%,709.55,15.05
paterson,22,1.14,0.00%,72.00%,124.91,3.91
percy jackson,22,1.41,0.00%,54.84%,301.59,5.59
sherlock,22,1.32,0.00%,31.03%,99.91,6.55
the promise,22,1.18,0.00%,76.92%,65.5,2.86
aa,21,1.33,14.29%,3.57%,157.9,5.62
agatha christie,21,1.05,0.00%,72.73%,613.19,19.9
au devoir,21,1.05,0.00%,9.09%,55.9,3.48
better call saul,21,1.19,4.76%,44.00%,132.33,2.9
blockchain,21,1.95,4.76%,34.15%,519.67,8.24
boucar diouf,21,1.19,0.00%,60.00%,199.9,6.67
cuisine,21,1.67,0.00%,42.86%,592.05,14.14
Deux hommes de bien,21,1.19,9.52%,24.00%,112.1,3.67
disney,21,1.29,4.76%,55.56%,234.48,13.38
doctor who,21,1.1,0.00%,60.87%,575.57,13.05
ed sheeran,21,1.57,0.00%,57.58%,205.76,9.86
Elena ferrante,21,1.05,0.00%,36.36%,264.19,7.0
Fred Vargas,21,1.24,0.00%,57.69%,312.19,8.24
jacques cardinal,21,1.19,0.00%,0.00%,63.0,20.95
kim thuy,21,1.71,0.00%,55.56%,497.76,13.19
land of mine,21,1.05,4.76%,81.82%,73.0,2.67
lorde,21,1.05,0.00%,86.36%,202.86,4.1
Roman policier,21,1.38,0.00%,27.59%,443.95,14.29
rome,21,1.19,0.00%,48.00%,273.71,7.0
sacred paws,21,1.05,0.00%,95.45%,11.52,0.24
Sapiens,21,1.38,9.52%,37.93%,296.19,4.57
sgt pepper's lonely hearts club band,21,1.0,0.00%,33.33%,189.95,8.48
simon boulerice,21,1.14,0.00%,66.67%,243.1,9.0
styx,21,1.24,4.76%,57.69%,86.62,4.0
underworld blood wars,21,1.0,33.33%,66.67%,10.76,0.0
valÃ©rie chevalier,21,1.67,0.00%,48.57%,152.52,4.24
arcade fire everything,20,1.1,10.00%,86.36%,26.85,1.3
architecture,20,1.3,0.00%,65.38%,467.65,10.4
connelly,20,1.05,5.00%,38.10%,169.95,4.75
couture,20,1.55,0.00%,54.84%,411.9,9.65
drake,20,1.2,5.00%,87.50%,254.1,5.0
expo 67,20,1.15,5.00%,43.48%,387.6,11.65
fiona barton,20,1.2,5.00%,50.00%,158.55,3.75
forex,20,1.0,0.00%,80.00%,548.3,9.95
harlan coben,20,1.15,5.00%,73.91%,255.5,7.7
Homeland,20,1.1,10.00%,18.18%,93.05,4.6
la belle et la bete,20,1.35,25.00%,44.44%,74.8,4.45
maya banks,20,1.1,0.00%,68.18%,357.1,9.8
nelly,20,1.05,0.00%,71.43%,161.95,6.1
patrick senecal,20,1.85,0.00%,37.84%,298.8,10.15
quand sort la recluse,20,1.1,5.00%,59.09%,170.2,3.45
radiohead,20,1.25,0.00%,64.00%,297.2,6.1
roman,20,1.15,0.00%,65.22%,291.45,9.3
table 19,20,1.05,5.00%,90.48%,54.85,0.35
the fall,20,1.25,10.00%,60.00%,132.45,3.0
the wire,20,1.25,0.00%,48.00%,169.75,7.85
turn,20,1.25,20.00%,36.00%,420.25,13.85
unforgettable,20,1.05,5.00%,80.95%,42.4,2.0
cauvin monographie,19,1.32,0.00%,32.00%,118.16,1.68
chanson douce,19,1.63,0.00%,51.61%,196.0,5.32
criminal minds,19,1.11,5.26%,80.95%,73.95,4.26
criterion,19,1.37,0.00%,42.31%,327.11,20.63
diana krall,19,1.32,0.00%,40.00%,376.42,12.53
games of thrones,19,1.53,5.26%,51.72%,190.47,6.74
homo deus,19,1.26,0.00%,58.33%,185.05,5.05
into the water,19,1.26,0.00%,83.33%,50.21,2.84
James patterson,19,1.11,0.00%,28.57%,271.32,10.32
John Wick,19,1.05,10.53%,65.00%,41.79,2.26
kendrick lamar,19,1.63,0.00%,38.71%,298.68,8.0
