Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (Â£)
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON DIGITAL SVCS,Publicity and Promotion,Arts & Leisure Services  ,29.04.2018,16.05.2018,GPC04180000166,3.99
Stockport MBC,Services to People,Childrens & Educational Services,NETFLIX.COM,Information and Communications Technology,Information Communication Technology  ,26.04.2018,16.05.2018,GPC04180000167,9.99
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,21.04.2018,16.05.2018,GPC04180000168,180.99
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Catering Supplies,Catering Food & Beverages ,22.04.2018,16.05.2018,GPC04180000169,20.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,20.04.2018,16.05.2018,GPC04180000170,148.96
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Publicity and Promotion,Arts & Leisure Services  ,20.04.2018,16.05.2018,GPC04180000171,49.99
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ARGOS.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,18.04.2018,16.05.2018,GPC04180000172,422.94
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,13.04.2018,16.05.2018,GPC04180000173,165.56
Stockport MBC,Services to People,Childrens & Educational Services,BLACKPOOL PLEASURE BEA,Publicity and Promotion,Arts & Leisure Services  ,14.04.2018,16.05.2018,GPC04180000174,26.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,14.04.2018,16.05.2018,GPC04180000175,267.84
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ICELAND.CO.UK,Catering Supplies,Catering Food & Beverages ,14.04.2018,16.05.2018,GPC04180000176,97.49
Stockport MBC,Services to People,Childrens & Educational Services,GBP JUMP NATION LTD,Publicity and Promotion,Arts & Leisure Services  ,12.04.2018,16.05.2018,GPC04180000177,39.80
Stockport MBC,Services to People,Childrens & Educational Services,BLACKPOOL PLEASURE BEA,Publicity and Promotion,Arts & Leisure Services  ,11.04.2018,16.05.2018,GPC04180000178,140.00
Stockport MBC,Services to People,Childrens & Educational Services,SHEFFIELD CABLE WATERS,Publicity and Promotion,Arts & Leisure Services  ,10.04.2018,16.05.2018,GPC04180000179,60.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,07.04.2018,16.05.2018,GPC04180000180,162.83
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,06.04.2018,16.05.2018,GPC04180000181,157.47
Stockport MBC,Services to People,Childrens & Educational Services,TOTALNINJA.CO.UK,Catering Supplies,Catering Food & Beverages ,04.04.2018,16.05.2018,GPC04180000182,50.00
Stockport MBC,Services to People,Childrens & Educational Services,FONE ZONE 52 NK3 L,Fees and Charges,Financial Services  ,02.04.2018,16.05.2018,GPC04180000183,68.00
Stockport MBC,Services to People,Adult Social Care,AFC BUXTON,Travelling Expenses,Human Resources Travel & Subsistence ,23.04.2018,16.05.2018,GPC04180000184,6.60
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,09.04.2018,16.05.2018,GPC04180000185,3.50
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,09.04.2018,16.05.2018,GPC04180000186,13.00
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,04.04.2018,16.05.2018,GPC04180000187,3.50
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,05.04.2018,16.05.2018,GPC04180000188,3.50
Stockport MBC,Services to People,Adult Social Care,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,27.04.2018,16.05.2018,GPC04180000189,229.00
Stockport MBC,Services to People,Adult Social Care,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,20.04.2018,16.05.2018,GPC04180000190,264.00
Stockport MBC,Services to People,Adult Social Care,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,12.04.2018,16.05.2018,GPC04180000191,353.00
