Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (Â£)
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 97DCEFAUU2,Publicity and Promotion,Facilities & Management Services  ,30.04.2018,16.05.2018,GPC04180000011,72.78
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 6NNAQF6MG2,Publicity and Promotion,Facilities & Management Services  ,30.04.2018,16.05.2018,GPC04180000012,246.86
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN-376 4205854,Publicity and Promotion,Facilities & Management Services  ,14.04.2018,16.05.2018,GPC04180000013,64.32
Stockport MBC,Corporate and Support Services,Central Support Costs,AWARENESSDAYS.CO.UK,Publicity and Promotion,Facilities & Management Services  ,05.04.2018,16.05.2018,GPC04180000014,-39.99
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.05.2018,16.05.2018,GPC04180000015,18.47
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.04.2018,16.05.2018,GPC04180000016,30.83
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.04.2018,16.05.2018,GPC04180000017,7.39
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.04.2018,16.05.2018,GPC04180000018,7.43
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.04.2018,16.05.2018,GPC04180000019,19.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.04.2018,16.05.2018,GPC04180000020,13.98
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.04.2018,16.05.2018,GPC04180000021,28.34
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.04.2018,16.05.2018,GPC04180000022,9.22
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.04.2018,16.05.2018,GPC04180000023,21.41
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.04.2018,16.05.2018,GPC04180000024,18.73
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.04.2018,16.05.2018,GPC04180000025,13.72
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.04.2018,16.05.2018,GPC04180000026,37.07
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000027,71.35
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2018,16.05.2018,GPC04180000028,75.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2018,16.05.2018,GPC04180000029,110.80
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,18.04.2018,16.05.2018,GPC04180000030,-240.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44024415,Expenses and Allowances,Catering  ,16.04.2018,16.05.2018,GPC04180000031,176.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.04.2018,16.05.2018,GPC04180000032,280.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.04.2018,16.05.2018,GPC04180000033,244.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.04.2018,16.05.2018,GPC04180000034,86.15
Stockport MBC,Services to People,Childrens & Educational Services,WWW.THOMANN.DE,Furniture and Equipment,Furniture & Soft Furnishings  ,30.04.2018,16.05.2018,GPC04180000035,46.90
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,19.04.2018,16.05.2018,GPC04180000036,26.66
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,14.04.2018,16.05.2018,GPC04180000037,4.10
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,01.05.2018,16.05.2018,GPC04180000038,25.05
Stockport MBC,Services to People,Childrens & Educational Services,HOTELS.COM147652777575,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000039,270.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000040,501.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000041,63.50
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536865,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000042,122.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000043,24.15
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000044,182.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Office Expenses,Facilities & Management Services  ,23.04.2018,16.05.2018,GPC04180000045,500.00
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEECE1 ECE1SV,Travelling Expenses,Human Resources Travel & Subsistence ,19.04.2018,16.05.2018,GPC04180000046,110.98
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.04.2018,16.05.2018,GPC04180000047,263.50
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Office Expenses,Facilities & Management Services  ,14.04.2018,16.05.2018,GPC04180000048,500.00
Stockport MBC,Services to People,Childrens & Educational Services,CARTRIDGE SAVE,Office Expenses,Stationery    ,04.04.2018,16.05.2018,GPC04180000049,301.01
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Office Expenses,Facilities & Management Services  ,04.04.2018,16.05.2018,GPC04180000050,500.00
Stockport MBC,Services to People,Childrens & Educational Services,TOWN CENTRE CAR PARK L,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000051,8.00
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,26.04.2018,16.05.2018,GPC04180000052,18.50
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2018,16.05.2018,GPC04180000053,18.50
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,06.04.2018,16.05.2018,GPC04180000054,18.50
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000055,4.50
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000056,12.20
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2018,16.05.2018,GPC04180000057,6.10
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,18.04.2018,16.05.2018,GPC04180000058,12.20
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,17.04.2018,16.05.2018,GPC04180000059,6.10
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,13.04.2018,16.05.2018,GPC04180000060,6.10
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,04.04.2018,16.05.2018,GPC04180000061,12.20
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1279,Furniture and Equipment,Environmental Services Technical Equipment ,27.04.2018,16.05.2018,GPC04180000062,60.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,25.04.2018,16.05.2018,GPC04180000063,22.97
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,25.04.2018,16.05.2018,GPC04180000064,36.88
Stockport MBC,Services to People,Childrens & Educational Services,OSCARS CHEADLE HULME,Furniture and Equipment,Environmental Services Technical Equipment ,24.04.2018,16.05.2018,GPC04180000065,20.64
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.04.2018,16.05.2018,GPC04180000066,148.35
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,20.04.2018,16.05.2018,GPC04180000067,23.10
Stockport MBC,Services to People,Childrens & Educational Services,ADOBE  PHOTOGPHY PLAN,Furniture and Equipment,Environmental Services Technical Equipment ,21.04.2018,16.05.2018,GPC04180000068,119.21
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  MISP,Staff Training,Human Resources  ,18.04.2018,16.05.2018,GPC04180000069,90.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,16.04.2018,16.05.2018,GPC04180000070,24.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,LIDL UK  STOCKPORT,Expenses and Allowances,Catering  ,01.05.2018,16.05.2018,GPC04180000071,18.68
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,CARTRIDGE CARE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,26.04.2018,16.05.2018,GPC04180000072,41.66
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON EU,Expenses and Allowances,Catering  ,25.04.2018,16.05.2018,GPC04180000073,17.24
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON UK MARKETPLACE,Expenses and Allowances,Catering  ,24.04.2018,16.05.2018,GPC04180000074,12.99
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON UK MARKETPLACE,Expenses and Allowances,Catering  ,24.04.2018,16.05.2018,GPC04180000075,16.66
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.UKWRISTBANDS.COM,Furniture and Equipment,Environmental Services Technical Equipment ,20.04.2018,16.05.2018,GPC04180000076,13.15
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,14.04.2018,16.05.2018,GPC04180000077,89.90
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,10.04.2018,16.05.2018,GPC04180000078,11.99
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,CARTRIDGE CARE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,09.04.2018,16.05.2018,GPC04180000079,37.50
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,10.04.2018,16.05.2018,GPC04180000080,8.99
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,17.04.2018,16.05.2018,GPC04180000081,10.00
Stockport MBC,Corporate and Support Services,Central Support Costs,COUNTY COURT,Legal Fees,Legal Services  ,11.04.2018,16.05.2018,GPC04180000082,100.00
Stockport MBC,Services to People,Public Health,WWW.THE-BEADSHOP.UK,Office Expenses,Stationery    ,04.04.2018,16.05.2018,GPC04180000083,-36.98
Stockport MBC,Corporate and Support Services,Planning Services,W M MORRISONS,Publicity and Promotion,Arts & Leisure Services  ,26.04.2018,16.05.2018,GPC04180000084,22.54
Stockport MBC,Corporate and Support Services,Planning Services,CURRYS STOCKPORT 2828,Furniture and Equipment,Environmental Services Technical Equipment ,24.04.2018,16.05.2018,GPC04180000085,109.98
Stockport MBC,Corporate and Support Services,Planning Services,W M MORRISONS,Publicity and Promotion,Arts & Leisure Services  ,20.04.2018,16.05.2018,GPC04180000086,18.39
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Library Equipment,Education Library Books ,30.04.2018,16.05.2018,GPC04180000087,18.24
Stockport MBC,Services to People,Childrens & Educational Services,WAITROSE DIRECT,Furniture and Equipment,Environmental Services Technical Equipment ,16.04.2018,16.05.2018,GPC04180000088,30.95
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,01.05.2018,16.05.2018,GPC04180000089,151.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Environmental Services Technical Equipment ,26.04.2018,16.05.2018,GPC04180000090,16.16
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,25.04.2018,16.05.2018,GPC04180000091,1.54
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.04.2018,16.05.2018,GPC04180000092,27.96
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail ServicesÂ   ,30.04.2018,16.05.2018,GPC04180000093,20.88
Stockport MBC,Services to People,Childrens & Educational Services,TIMPSON LTD,Furniture and Equipment,Environmental Services Technical Equipment ,27.04.2018,16.05.2018,GPC04180000094,75.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44521330,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,26.04.2018,16.05.2018,GPC04180000095,64.00
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,23.04.2018,16.05.2018,GPC04180000096,108.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,23.04.2018,16.05.2018,GPC04180000097,108.70
Stockport MBC,Services to People,Childrens & Educational Services,WWW.CORAM.ORG.UK,Library Equipment,Education Library Books ,18.04.2018,16.05.2018,GPC04180000098,129.60
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,17.04.2018,16.05.2018,GPC04180000099,49.00
Stockport MBC,Services to People,Childrens & Educational Services,HUB BY PREMIER INN 496,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,12.04.2018,16.05.2018,GPC04180000100,87.00
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,13.04.2018,16.05.2018,GPC04180000101,"1,507.00"
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44028665,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,13.04.2018,16.05.2018,GPC04180000102,96.99
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,12.04.2018,16.05.2018,GPC04180000103,42.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,12.04.2018,16.05.2018,GPC04180000104,30.00
