ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moyenne_de_la_recherche
paula hawkins,34.0,1.18,2.94%,52.50%,133.44,4.44
woody allen,34.0,1.26,0.00%,65.12%,339.0,11.59
agatha christie,33.0,1.3,6.06%,51.16%,328.97,8.12
avengers,33.0,1.18,3.03%,58.97%,305.97,8.03
brooklyn,33.0,1.33,3.03%,56.82%,80.21,4.15
game of throne,33.0,1.27,6.06%,40.48%,249.64,4.48
James patterson,33.0,1.15,0.00%,34.21%,331.09,10.94
naruto,33.0,1.52,0.00%,56.00%,182.94,6.73
shameless,33.0,1.24,3.03%,63.41%,127.24,3.15
spotlight,33.0,1.33,6.06%,59.09%,135.09,5.67
supernatural,33.0,1.27,0.00%,54.76%,330.48,7.15
the americans,33.0,1.33,0.00%,59.09%,100.82,3.82
fear the walking dead,32.0,1.03,3.13%,36.36%,127.19,2.06
games of thrones,32.0,1.41,0.00%,44.44%,305.25,3.69
harry potter and the cursed child,32.0,1.25,0.00%,20.00%,95.41,5.22
kim thuy,32.0,1.56,3.13%,46.00%,224.13,6.63
mr robot,32.0,1.28,9.38%,60.98%,221.19,6.19
Nora roberts,32.0,1.34,0.00%,32.56%,358.25,12.72
trumbo,32.0,1.22,0.00%,58.97%,202.0,3.84
bine,31.0,1.03,3.23%,9.38%,50.06,2.84
camilla lackberg,31.0,1.32,6.45%,46.34%,330.13,7.84
couture,31.0,1.48,0.00%,50.00%,328.55,10.19
protÃ©gez-vous,31.0,1.32,6.45%,24.39%,354.94,6.26
Robert Markland Smith The statues of easter island,31.0,1.13,9.68%,14.29%,19.74,1.26
suits,31.0,1.19,3.23%,54.05%,265.87,7.29
wim wenders,31.0,1.03,0.00%,59.38%,208.26,8.19
badbadnotgood,30.0,1.07,0.00%,90.63%,153.4,4.47
bates motel,30.0,1.3,10.00%,61.54%,82.9,2.1
brian k vaughan,30.0,1.07,0.00%,37.50%,155.13,4.43
joel dicker,30.0,1.33,0.00%,40.00%,179.47,3.7
mankell,30.0,1.33,3.33%,57.50%,305.03,8.2
mein kampf,30.0,1.07,0.00%,9.38%,31.83,3.53
musso,30.0,1.37,0.00%,56.10%,239.87,6.1
patrick senecal,30.0,1.6,0.00%,56.25%,460.37,9.77
star trek,30.0,1.33,0.00%,57.50%,270.8,11.43
youth,30.0,1.07,6.67%,59.38%,174.8,7.43
blood orange,29.0,1.03,24.14%,60.00%,54.24,1.69
station eleven,29.0,1.34,0.00%,51.28%,253.31,4.59
suicide squad,29.0,1.31,17.24%,50.00%,311.66,4.52
the blacklist,29.0,1.1,10.34%,62.50%,138.1,2.72
adele,28.0,1.21,0.00%,67.65%,133.21,4.14
carol,28.0,1.21,3.57%,64.71%,194.86,7.36
la liste,28.0,1.18,0.00%,42.42%,329.96,5.36
Le trÃ´ne de fer,28.0,1.57,10.71%,11.36%,148.46,4.25
les beaux malaises,28.0,1.14,0.00%,62.50%,247.96,7.68
mad max,28.0,1.61,3.57%,42.22%,266.46,4.29
Michel bussi,28.0,1.54,10.71%,25.58%,233.46,7.04
naufrage,28.0,1.11,3.57%,61.29%,144.61,3.54
normand baillargeon,28.0,1.36,0.00%,31.58%,48.57,3.79
the dark horse,28.0,1.07,0.00%,93.33%,49.46,2.25
vegan,28.0,1.43,3.57%,45.00%,521.71,20.93
fatima,27.0,1.04,0.00%,28.57%,32.67,2.33
Harry potter,27.0,1.11,3.70%,43.33%,165.7,3.93
joy,27.0,1.26,0.00%,61.76%,147.11,8.48
la fille de brooklyn,27.0,1.11,7.41%,33.33%,113.26,3.52
nao for all we know,27.0,1.04,0.00%,92.86%,94.74,0.59
pool porches,27.0,1.0,0.00%,85.19%,28.78,1.41
sapiens,27.0,1.52,0.00%,36.59%,362.93,7.37
secret in their eyes,27.0,1.26,0.00%,73.53%,282.26,6.78
wallander,27.0,1.19,18.52%,56.25%,238.11,7.52
19-2,26.0,1.62,3.85%,38.10%,239.19,4.85
american horror story,26.0,1.42,11.54%,37.84%,173.04,4.54
colleen hoover,26.0,1.38,3.85%,36.11%,246.92,9.31
count basie,26.0,1.0,0.00%,46.15%,74.27,2.88
divergent,26.0,1.27,0.00%,57.58%,480.27,10.0
downton abbey,26.0,1.19,3.85%,35.48%,887.04,18.69
les nombrils,26.0,1.42,0.00%,64.86%,380.81,7.77
mon roi,26.0,1.04,46.15%,40.74%,28.38,1.35
ncis,26.0,1.12,3.85%,55.17%,150.38,4.81
Nora Roberts,26.0,1.19,3.85%,22.58%,176.38,8.73
rome,26.0,1.23,3.85%,43.75%,238.12,4.85
scandal,26.0,1.08,3.85%,57.14%,171.38,4.27
spectre,26.0,1.15,0.00%,60.00%,110.35,5.65
tfi,26.0,1.96,0.00%,41.18%,409.73,12.73
wordpress,26.0,1.35,3.85%,51.43%,487.46,13.08
le mercato d hiver,25.0,1.0,0.00%,24.00%,11.16,1.44
locash,25.0,1.16,8.00%,86.21%,26.28,0.92
paul a quebec,25.0,1.24,0.00%,38.71%,213.84,9.16
purity,25.0,1.16,4.00%,55.17%,111.48,3.4
roman,25.0,1.32,4.00%,45.45%,716.12,21.16
Roman,25.0,1.2,0.00%,60.00%,322.6,7.0
sia,25.0,1.24,0.00%,67.74%,177.0,8.76
sing street,25.0,1.16,12.00%,41.38%,121.52,3.24
the fall,25.0,1.64,4.00%,48.78%,142.6,5.76
anne robillard,24.0,1.42,0.00%,44.12%,317.04,6.5
call the midwife,24.0,1.29,0.00%,29.03%,172.04,5.33
how to get away with murder,24.0,1.08,0.00%,61.54%,109.75,4.71
marie kondo,24.0,1.71,0.00%,36.59%,318.13,5.58
mary higgins clark,24.0,1.17,0.00%,53.57%,259.08,8.58
Michel Bussi,24.0,1.38,0.00%,27.27%,258.79,7.04
Orphan Black,24.0,1.33,0.00%,75.00%,89.13,2.21
pierre lemaitre,24.0,1.17,0.00%,53.57%,296.0,6.46
Seinfeld,24.0,1.25,0.00%,20.00%,289.58,5.58
The affair,24.0,1.13,8.33%,62.96%,84.25,2.67
the witch,24.0,1.0,12.50%,87.50%,136.79,1.54
vampire diaries,24.0,1.25,8.33%,56.67%,156.75,3.92
Xbox One,24.0,1.29,12.50%,9.68%,417.63,14.5
avant toi,23.0,1.04,4.35%,66.67%,188.39,3.35
boris cyrulnik,23.0,1.13,0.00%,61.54%,313.91,6.3
ciro guerra,23.0,1.0,4.35%,86.96%,17.04,1.17
cuisine,23.0,1.39,8.70%,43.75%,274.04,7.83
Elena ferrante,23.0,1.3,0.00%,16.67%,223.96,5.0
empire,23.0,1.22,0.00%,57.14%,174.96,4.17
harlan coben,23.0,1.17,0.00%,51.85%,251.04,6.57
le temps des regrets,23.0,1.09,4.35%,68.00%,63.7,2.13
no man's sky,23.0,1.13,43.48%,38.46%,33.13,1.74
photographie,23.0,1.52,4.35%,65.71%,177.39,7.0
psychologie,23.0,1.26,4.35%,65.52%,196.74,6.91
python,23.0,1.87,4.35%,39.53%,499.0,15.83
Rebelle,23.0,1.0,4.35%,43.48%,34.13,1.48
supergirl,23.0,1.17,21.74%,66.67%,138.43,1.3
wild beasts boy king,23.0,1.0,8.70%,91.30%,99.13,1.04
a hologram for the king,22.0,1.05,4.55%,82.61%,35.77,0.59
arduino,22.0,1.68,0.00%,43.24%,375.86,10.95
biz,22.0,1.23,4.55%,55.56%,120.27,4.45
blindspot,22.0,1.05,4.55%,86.96%,69.14,3.64
captain america,22.0,1.14,4.55%,68.00%,104.82,3.23
christophe andrÃ©,22.0,1.73,4.55%,31.58%,455.41,15.14
danish girl,22.0,1.14,0.00%,80.00%,81.0,4.23
embrace of the serpent,22.0,1.05,9.09%,86.96%,46.5,1.45
fairy tail,22.0,1.73,4.55%,55.26%,498.18,7.05
frankie cosmos next,22.0,1.0,4.55%,95.45%,72.14,1.91
fred vargas,22.0,1.32,4.55%,65.52%,471.18,7.55
gone girl,22.0,1.36,0.00%,56.67%,261.82,4.59
Guillaume Musso,22.0,1.23,0.00%,37.04%,207.05,6.68
hell on wheels,22.0,1.23,0.00%,66.67%,86.77,2.64
into the wild,22.0,1.32,0.00%,72.41%,259.14,7.05
marc levy,22.0,1.55,4.55%,44.12%,372.32,7.5
masters of sex,22.0,1.32,22.73%,37.93%,85.86,4.18
meditation,22.0,1.36,0.00%,60.00%,375.95,7.64
millenium,22.0,1.55,4.55%,44.12%,228.77,4.86
monique le maner,22.0,6.32,27.27%,2.88%,63.05,6.05
narcos,22.0,1.18,27.27%,65.38%,93.36,0.23
saga,22.0,1.14,0.00%,48.00%,298.23,9.82
the walk,22.0,1.0,0.00%,68.18%,64.27,3.77
true blood,22.0,1.23,0.00%,40.74%,453.5,8.0
wild,22.0,1.27,4.55%,64.29%,213.36,4.73
xavier dolan,22.0,1.14,0.00%,64.00%,182.86,3.5
abbi glines,21.0,1.0,4.76%,52.38%,263.38,6.71
anna todd,21.0,1.1,0.00%,34.78%,239.48,6.0
annie ernaux,21.0,1.24,4.76%,61.54%,308.76,7.24
criminal,21.0,1.0,0.00%,90.48%,258.62,4.43
dan shay,21.0,1.14,9.52%,87.50%,21.05,1.29
danielle steel,21.0,1.57,4.76%,30.30%,378.14,11.95
deepak chopra,21.0,1.52,0.00%,50.00%,541.57,14.57
everybody wants some,21.0,1.62,19.05%,58.82%,82.0,4.24
freetown sound,21.0,1.67,28.57%,60.00%,266.19,1.76
,,,,,,
