name,address1,address2,borough_name,website,borough_code,ward_2018_name,contact_name
Belvedere House,Lemon Grove,Hounslow,Hounslow,http://fcda.org.uk/,E09000018,Feltham West,
Ann Tayler Children Centre,1-13 Triangle Road,Hackney,Hackney,https://www.learningtrust.co.uk/school/ann-tayler-childrens-centre,E09000012,London Fields,Emma Wilson
The Barnes Green Centre,49 Station Road,Richmond Upon Thames,Richmond upon Thames,https://www.barnesgreencentre.org.uk/#,E09000027,Mortlake and Barnes Common,
Klinger Hall,Pickwick Mews,Enfield,Enfield,,E09000010,Haselbury,
Azalea Court ,Finsbury Park Place, Queens Drive,Hackney,,E09000012,Brownswood,
Andover Estate Community Centre,56 Corker Walk,Islington,Islington,http://www.octopuscommunities.org.uk/our-projects/community-hubs/about-the-hubs/finsbury-park-community-hub-andover-community-centre/,E09000019,Finsbury Park,
SCOPE Day Centre (VCS Hub),1 Russell Road, London,Waltham Forest,,E09000031,Lea Bridge,
Ackroydon Community Clubroom,26 Montfort Place,Wandsworth,Wandsworth,http://www.ackroydonhall.com,E09000032,West Hill,
Brady Arts and Community Centre,192-196 Hanbury Street,Tower Hamlets,Tower Hamlets,http://www.towerhamletsarts.org.uk/?cat=6&cid=17672&guide=Venues,E09000030,Spitalfields & Banglatown,
High Trees Community Development Centre,High Trees Community Development Centre,High Trees,Lambeth,http://www.high-trees.org/,E09000022,Tulse Hill,
Nelson Mandela,Cazenove Road,Hackney,Hackney,n16boilerhouse.com,E09000012,Cazenove,
Halfmoon Crescent Co-op,183 Wynford Road,Islington,Islington,,E09000019,Barnsbury,
Trelawney Club House,Paragon Road,Hackney,Hackney,,E09000012,Homerton,
Richard Mayo Hall,11 Eden Street,Kingston Upon Thames,Kingston upon Thames,https://mayocentre.org.uk/,E09000021,Grove,
Dryburgh Community Hall,Dry Burgh House,Abbots Manor estate,Westminster,https://www.cwh.org.uk/your-community/hall-hire/dryburgh-community-hall,E09000033,Warwick,
Darrick Wood Community Centre,Broadwater Gardens,Bromley,Bromley,http://www.facebook.com/darrick.wood,E09000006,Farnborough and Crofton,
Selby Street Community Centre,Selby Street Community Centre,Selby Street,Tower Hamlets,https://www.shgroup.org.uk/media/233109/selby-street.pdf,E09000030,Spitalfields & Banglatown,
St Christophers Fellowship,96 Shoot-up Hill,,Camden,,E09000007,Fortune Green,
Chadswell Healthy Living Centre,Cromer Street,Camden,Camden,http://www.kcbna.org.uk/locations/chadswell-centre/,E09000007,King's Cross,
Skylark Community Centre,Pine Place,Hillingdon,Hillingdon,,E09000017,Charville,
Willow Tree Community House,12 Mandarin Way,Hayes,Hillingdon,,E09000017,Yeading,
Hook Centre Community Hall,Hook Road,Kingston Upon Thames,Kingston upon Thames,https://www.kingston.gov.uk/info/200203/hook_centre/434/hook_centre_community_hall_and_meeting_room/4,E09000021,Chessington North and Hook,
Provost Community Centre,Provost Estate,Hackney,Hackney,,E09000012,Hoxton West,
Kensington Town Hall,Hornton Street,Kensington And Chelsea,Kensington and Chelsea,http://www.rbkc.gov.uk/venueskensington,E09000020,Campden,
Sue Bramley Community Centre,Bastable Avenue, Barking,Barking and Dagenham,,E09000002,Thames,
Sangam Community Centre,210 Burnt Oak Broadway,Barnet,Barnet,,E09000003,Burnt Oak,
Sidcup Youth Centre,Burnt Oak Lane, Sidcup,Bexley,,E09000004,Sidcup,
