ï»¿Title,"All staff (excluding atypical) by academic contract marker, mode of employment, hourly paid marker, terms of employment, zero hours contract and sex",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Male,Hourly paid,0
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Male,Other,0
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Male,Total,5
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Male,Salaried,125
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Male,Hourly paid,260
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Male,Other,0
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Male,Total,380
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,Male,Salaried,130
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,Male,Hourly paid,260
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,Male,Other,0
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,Male,Total,390
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Other,Salaried,10
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Other,Hourly paid,0
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Other,Other,0
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Other,Total,10
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Other,Salaried,0
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Other,Hourly paid,0
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Other,Other,0
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Other,Total,5
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Other,Salaried,15
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Other,Hourly paid,0
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Other,Other,0
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Other,Total,15
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Other,Salaried,70
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Other,Hourly paid,0
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Other,Other,0
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Other,Total,70
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Other,Salaried,15
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Other,Hourly paid,0
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Other,Other,0
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Other,Total,15
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Other,Salaried,85
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Other,Hourly paid,0
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Other,Other,0
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Other,Total,85
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,All,Salaried,35555
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,All,Hourly paid,710
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,All,Other,15
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,All,Total,36280
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,All,Salaried,18780
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,All,Hourly paid,15980
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,All,Other,115
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,All,Total,34875
Academic contract,All,Fixed-term contract,Not on a zero hours contract,All,Salaried,54335
Academic contract,All,Fixed-term contract,Not on a zero hours contract,All,Hourly paid,16690
Academic contract,All,Fixed-term contract,Not on a zero hours contract,All,Other,130
Academic contract,All,Fixed-term contract,Not on a zero hours contract,All,Total,71155
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,All,Salaried,106755
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,All,Hourly paid,345
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,All,Other,15
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,All,Total,107110
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,All,Salaried,26400
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,All,Hourly paid,8145
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,All,Other,20
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,All,Total,34560
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,All,Salaried,133150
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,All,Hourly paid,8490
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,All,Other,30
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,All,Total,141670
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,All,Salaried,5
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,All,Hourly paid,5
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,All,Other,15
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,All,Total,25
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,All,Salaried,45
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,All,Hourly paid,1495
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,All,Other,25
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,All,Total,1570
Academic contract,All,Fixed-term contract,On a zero hours contract,All,Salaried,50
Academic contract,All,Fixed-term contract,On a zero hours contract,All,Hourly paid,1505
Academic contract,All,Fixed-term contract,On a zero hours contract,All,Other,40
Academic contract,All,Fixed-term contract,On a zero hours contract,All,Total,1595
Academic contract,Full-time,Open-ended/permanent,On a zero hours contract,All,Salaried,10
Academic contract,Full-time,Open-ended/permanent,On a zero hours contract,All,Hourly paid,90
Academic contract,Full-time,Open-ended/permanent,On a zero hours contract,All,Other,0
Academic contract,Full-time,Open-ended/permanent,On a zero hours contract,All,Total,100
Academic contract,Part-time,Open-ended/permanent,On a zero hours contract,All,Salaried,165
Academic contract,Part-time,Open-ended/permanent,On a zero hours contract,All,Hourly paid,2380
Academic contract,Part-time,Open-ended/permanent,On a zero hours contract,All,Other,5
Academic contract,Part-time,Open-ended/permanent,On a zero hours contract,All,Total,2545
Academic contract,All,Open-ended/permanent,On a zero hours contract,All,Salaried,170
Academic contract,All,Open-ended/permanent,On a zero hours contract,All,Hourly paid,2470
Academic contract,All,Open-ended/permanent,On a zero hours contract,All,Other,5
Academic contract,All,Open-ended/permanent,On a zero hours contract,All,Total,2645
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,All,Salaried,20205
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,All,Hourly paid,140
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,All,Other,5
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,All,Total,20350
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,All,Salaried,8795
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,All,Hourly paid,3090
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,All,Other,5
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,All,Total,11890
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,All,Salaried,29000
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,All,Hourly paid,3230
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,All,Other,10
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,All,Total,32240
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,All,Salaried,131945
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,All,Hourly paid,340
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,All,Other,10
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,All,Total,132295
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,All,Salaried,54070
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,All,Hourly paid,1560
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,All,Other,5
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,All,Total,55635
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,All,Salaried,186020
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,All,Hourly paid,1900
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,All,Other,15
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,All,Total,187935
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,All,Salaried,5
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,All,Hourly paid,5
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,All,Other,0
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,All,Total,10
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,All,Salaried,145
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,All,Hourly paid,1660
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,All,Other,0
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,All,Total,1810
Non-academic contract,All,Fixed-term contract,On a zero hours contract,All,Salaried,150
Non-academic contract,All,Fixed-term contract,On a zero hours contract,All,Hourly paid,1665
Non-academic contract,All,Fixed-term contract,On a zero hours contract,All,Other,0
Non-academic contract,All,Fixed-term contract,On a zero hours contract,All,Total,1815
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,All,Salaried,20
