animal_id,animal_type,color_group,primary_color,breed_group,primary_breed,status_date,location,animal_identity,tag_no,tag_type,tag_subtype
A572362,CAT,OO,UNKNOWN,SHORTHAIR,DOMESTIC SH,2015-09-24 00:00:00,WEB,487303.0,,,
A616002,DOG,B,BLACK,COLLIE,AUST SHEPHERD,2017-04-25 00:00:00,SHELTER,530754.0,L17-029551,LIC UNALTERED,MAIL
A549829,DOG,BR,TAN,MASTIFF,CANE CORSO,2015-01-08 00:00:00,LOCKBOX,464723.0,L14-063205,LIC ALTERED,HLP WEB
A548057,DOG,B,BLUE,MASTIFF,PIT BULL,2015-01-16 00:00:00,SHELTER,462951.0,,,
A573848,DOG,B,BLUE,MASTIFF,PIT BULL,2015-10-12 00:00:00,SHELTER,488792.0,R15-1292,RAB VAC CERT.,RESQ
A605730,DOG,OO,BROWN,MASTIFF,BOXER,2016-11-30 00:00:00,LOCKBOX,520579.0,L16-030807,LIC ALTERED,VET
A624084,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2017-08-23 00:00:00,SHELTER,538805.0,L17-022936,LIC ALTERED,HLP WEB
A622036,DOG,OO,BLUE,MASTIFF,PIT BULL,2017-07-18 00:00:00,LICENSE,536760.0,L17-038102,LIC ALTERED,VET
A619188,DOG,W,WHITE,POODLE,POODLE MIN,2017-06-02 00:00:00,SHELTER,533913.0,,,
A550407,DOG,B,BLACK,HOUND,BEAGLE,2015-01-13 00:00:00,SHELTER,465302.0,L15-056170,LIC ALTERED,ADOPT
A601329,DOG,OO,UNKNOWN,MASTIFF,BOXER,2016-09-28 00:00:00,WEB,516237.0,,,
A082221,CAT,OO,GRAY,SHORTHAIR,DOMESTIC SH,2005-03-13 00:00:00,SHELTER,57209.0,C09-074898,LIC ALTERED,ONLINE
A575295,CAT,OO,TORTIE,SHORTHAIR,DOMESTIC SH,2015-10-28 00:00:00,SHELTER,490242.0,L17-022981,LIC ALTERED,HLP WEB
A591511,DOG,OO,BLACK,SPANIEL,COCKER SPAN,2016-06-03 00:00:00,SHELTER,506424.0,L17-035786,LIC ALTERED,HLP SCAN
A580899,DOG,B,GRAY,MASTIFF,PIT BULL,2016-01-13 00:00:00,LOCKBOX,495853.0,U16-006210,RABIES CERT,HLP IMPORT
A626779,DOG,BR,YELLOW,SETTER/RETRIEVE,LABRADOR RETR,2017-09-28 00:00:00,LOCKBOX,541492.0,L17-043862,LIC ALTERED,HLP SCAN
A565786,CAT,B,TORTIE,SHORTHAIR,DOMESTIC SH,2015-07-15 00:00:00,SHELTER,480718.0,,,
A613766,DOG,B,BLACK,TOY,HAVANESE,2017-03-27 00:00:00,SHELTER,528521.0,L17-012376,LIC ALTERED,ADOPT
A572245,DOG,W,WHITE,HOUND,BEAGLE,2015-09-23 00:00:00,LOCKBOX,487188.0,U15-004598,RABIES CERT,HLP IMPORT
A564099,CAT,BR,ORANGE,SHORTHAIR,DOMESTIC SH,2015-06-22 00:00:00,LOCKBOX,479025.0,L15-018127,LIC ALTERED,HLP SCAN
A504772,DOG,BR,BROWN,SETTER/RETRIEVE,CHESA BAY RETR,2013-09-24 00:00:00,SHELTER,419468.0,L17-019023,LIC ALTERED,HLP WEB
A580460,DOG,B,BLUE,MASTIFF,PIT BULL,2016-01-09 00:00:00,SHELTER,495413.0,R16-1566,RAB VAC CERT.,ADOPT
A622920,DOG,W,WHITE,,SCHNAUZER MINI,2017-08-05 00:00:00,LOCKBOX,537652.0,U17-009371,RABIES CERT,HLP SCAN
