Title,Release Year,Production Company,Distributor,Director,Writer,Actor 1
Looking,2014,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff
Family Plot,1976,Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black
Looking Season 2 ep 206,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Basic Instinct,1992,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Age of Adaline,2015,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively
Nine Months,1995,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant
40 Days and 40 Nights,2002,Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett
Quicksilver,1986,Columbia Pictures Corporation,Columbia Pictures,Thomas Michael Donnelly,Thomas Michael Donnelly,Kevin Bacon
Looking,2014,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff
Milk,2008,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn
Godzilla,2014,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson
The Woman In Red,1984,Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder
Pacific Heights,1990,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith
Bitter Melon,2018,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider
The Graduate,1967,Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft
Looking Season 2 ep 206,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Americana,2015,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner
Harold and Maude,1971,Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon
Shoot the Moon,1982,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Alan Parker,Bo Goldman,Albert Finney
Quitters,2015,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward
Bullitt,1968,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen
The Lady from Shanghai,1947,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth
Petulia,1968,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie
D.O.A,1950,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien
Terminator - Genisys,2015,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger
Sense8,2015,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton
Looking Season 2 ep 209,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
The Enforcer,1976,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
The Last Black Man in San Francisco,2019,"LBMISF, LLC",A50,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails
Looking Season 2 ep 210,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Beautiful Boy,2018,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell
"Murder in the First, Season 1",2014,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs
Etruscan Smile,2017,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox
Love & Taxes,2014,Bad Company Films,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth
Sudden Impact,1983,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood
Serial,1980,Paramount Pictures,Paramount Pictures,Bill Persky,Rich Eustis,Martin Mull
Americana,2015,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas
The Organization,1971,The Mirisch Corporation,United Artists,Don Medford,James R. Webb,Sidney Poitier
San Andreas,2015,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson
"Looking ""Special""",2016,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Chu Chu and the Philly Flash,1981,Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin
On the Beach,1959,Stanley Kramer Productions,United Artists,Stanley Kramer,John Paxton,Gregory Peck
Chance- Season 1 ep102,2016,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie
Tales of the City,2019,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney
Chance- Season 1 ep110,2016,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie
Basic Instinct,1992,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas
Chance - Season 1 ep105,2016,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie
Magnum Force,1973,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood
What Dreams May Come,1998,Polygram Filmed Entertainment,Polygram Filmed Entertainment,Vincent Ward,Ron Bass,Robin Williams
Etruscan Smile,2017,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox
Patch Adams,1998,Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams
Down Periscope,1996,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,David S. Ward,Hugh Wilson,Kelsey Grammar
