Ã¯Â»Â¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃÂ©ro-de-MinistÃÂ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",24011.22
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",57.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",600.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,10528.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,752241.94
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,53286.13
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,120828.48
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,629.98
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,18644.36
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,464325.26
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,106338.04
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,3942.77
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,128285.11
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,6180.78
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1223,Image/video equipment,50.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,331.48
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,1719.01
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,79026.01
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,744914.63
