ï»¿Terme_de_recherche,Nombre_total_de_recherches,Nombre_total_de_recherches_uniques
Los Angeles,156,7
Michel Tremblay,156,23
Tricot,156,21
Miroirs,155,1
Voyage,154,9
Criterion Collection,154,11
Livre Audio,154,22
Blu-Ray,153,5
Donald Trump,153,15
Egypte,150,3
Ken Follet,150,20
Grossesse,148,22
Salle De Bain,147,1
Dvd,146,15
Dictionnaire Juridique,145,1
Life Plan,145,2
Les Belles Lettres,144,4
Serge Bouchard,144,20
Histoire Jeux,142,1
Musso,142,36
ArtÃ¨re Commerciale,141,1
Danielle Steel,141,18
Funimation,141,7
Sentai Filmworks,140,4
Dany Laferriere,138,16
Amazon,136,3
Incas,135,1
Lewis Carroll,135,1
Psychologie,134,24
Camilla Lackberg,133,23
Dessin,133,10
Kim Thuy,133,26
Naruto,133,29
Beatles,132,11
PUF,131,5
Joel Dicker,131,38
Tintin,131,22
Ayurveda,130,13
Charlevoix,130,3
Films Espagnols,130,7
Harlan Coben,130,13
Corps Humain,128,2
Espagne,128,9
Immobilier,127,21
Ellory,126,30
Guy Delisle,126,25
Zafon,125,25
Prier,125,1
Sylvain Tesson,125,23
Titanic,125,8
"Roberts, Nora",124,10
Espagnol,124,13
La Bolduc,123,61
Cerveau,123,7
Dvd OpÃ©ra,123,6
La Femme Qui Fuit,123,52
Michel Foucault,123,10
"Musso, Guillaume",122,19
Donna Leon,122,18
Lonely Planet,121,36
Manga,121,28
Marie Laberge,121,19
Douance,119,10
L'amie Prodigieuse,119,30
Lego,119,8
Val d'Or,119,1
Vermont,119,4
Asperger,118,14
SociÃ©tÃ© Canadienne Du Microfilm,118,26
Le Plongeur,118,46
Noam Chomsky,118,13
Agatha Raisin,117,28
Sony Pictures Home Entertainment,117,25
Schneider,117,1
Classics,116,2
Excel,116,24
"Follett, Ken",115,14
Dunod,115,12
SexualitÃ©,114,2
Agile,114,11
"Connelly, Michael",114,19
Playstation 4,114,11
Spanish,114,8
Douglas Kennedy,113,16
AdA Ãditions,113,14
Audiolib,113,6
"King, Stephen",112,9
Crochet,112,15
Spinoza,112,16
"Christie, Agatha",111,18
Portugal,111,13
Dave Brubeck,110,6
Astrologie,110,10
Roman Historique,110,3
Sciences ExpÃ©riences,110,5
"Dicker, JoÃ«l",109,33
"Woolf, Virginia",109,9
REST,109,1
Roman Policier,109,17
South Korea,109,1
Warcraft,109,19
Human Resources,108,3
Ecommerce,108,6
Le Dauphin Blanc,108,8
Gestion De Projet,108,11
Moebius,108,11
Sainte,108,1
Greek,107,1
Autobiographie,107,4
Casterman,107,5
Java,107,16
Romans Policiers,107,10
Deep Purple (Groupe Musical),106,9
Xbox One,106,4
Leadership,106,19
Michel Langlois,106,12
One Piece,106,22
Rockabilly,106,6
Sherlock Holmes,106,12
"DostoÃ¯evski, Fedor MikhaÃ¯lovitch",105,10
Dragon Ball,105,21
Robin Hobb,105,16
Quatuors Ã Cordes Partitions,104,1
1984,103,31
Albert Camus,103,14
Artificial Intelligence,103,16
"Harari, Yuval N.",103,43
"Patterson, James",103,13
CorÃ©en,103,12
Jo Nesbo,103,19
Nietzsche,103,16
Mission Impossible,102,30
Atwood,102,16
Christophe AndrÃ©,102,15
Times Books,102,1
Anglais,101,19
Arnaldur Indriadason,101,20
Carl Jung,101,16
Cartoville,101,12
Jojo Moyes,101,20
Machine Learning,101,16
Wonder Woman,101,20
Justice League,100,26
r.j.ellory,100,26
Disneyworld,99,2
Documentaire,99,10
Frederic Lenoir,99,19
Recettes VÃ©gÃ©tarienne,99,2
Saga,99,20
"Levy, Marc",98,13
"Tremblay-D'Essiambre, Louise",98,13
Finance,98,16
Turgeon,98,1
Photography,97,2
Call me by your name,97,41
France,97,4
Le Petit Prince,97,23
Woody Allen,96,13
Bourse,96,19
Romans Fantastiques,96,5
Harper Perennial,96,1
Murakami,96,23
Toronto,96,15
