COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE
Unknown,Allegany,Wirt,31003700000000,Crockett D 88,UN,NL
Unknown,Allegany,Alma,31003700000000,Root F 26,UN,NL
Unknown,Allegany,Alma,31003700000000,Balcerak G 55,UL,NL
"Republic Light, Heat & Power",Erie,Evans,31029000000000,Carpenter 4,UM,GD
Unknown,Cattaraugus,Allegany,31009700000000,KC 345,UN,NL
"Duchscherer, William J.",Orleans,Barre,31073000000000,Daum Reid L 1,UM,DW
Moffett & Tate,Steuben,Canisteo,31101000000000,Ordway 2,UM,DW
DYM Corp.,Cattaraugus,Conewango,31009000000000,Mike Keller 1,UN,OW
Mayrock Oil Co.,Allegany,Scio,31003700000000,Holton o24,UM,OD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-315,UL,IW
Page,Genesee,Stafford,31037600000000,MacDonald #1,UL,NL
Unknown,Chautauqua,Sheridan,31013000000000,Schlepp Charles J,UM,GD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Wallace 0-13,UL,IW
Unknown,Allegany,Alma,31003700000000,Balcerak G 91,UN,NL
Unknown,Allegany,Wirt,31003700000000,Schamberger J 16,UM,NL
"B.C.R. Development, Inc.",Allegany,Alma,31003700000000,Warfield 017,UM,IW
Finance Oil & Gas,Erie,Brant,31029100000000,Williams R-66,UN,GD
Belmont Quadrangle Drilling,Tompkins,Groton,31109000000000,Gagnon Archie 1,UN,DH
Hickory Oil,Allegany,Genesee,31003600000000,Hickory 4,UL,OD
Unknown,Allegany,Genesee,31003700000000,PPP 50,UM,NL
Tri State,Steuben,Rathbone,31101000000000,Allen 2,UL,GD
"B.C.R. Development, Inc.",Allegany,Alma,31003700000000,Warfield 135a,UM,NL
Weaver Oil and Gas Cor.,Genesee,Pavilion,31037000000000,Hume 1,UL,DH
Unknown,Cattaraugus,Allegany,31009700000000,KC 428,UN,NL
Unknown,Cattaraugus,Carrollton,31009100000000,Allegany State Park 143,UN,GD
Seneca Nation of Indians,Cattaraugus,Perrysburg,31009100000000,Johnson 1675,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 276,UN,NL
Olean Freres Corp.,Cattaraugus,Allegany,31009100000000,Bryer-Kinley 47,UM,OD
Messer Oil Corp.,Allegany,Alma,31003600000000,Allen 59,UL,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 414,UN,NL
Unknown,Erie,Amherst,31029000000000,13,UN,GD
C.G.Pipe and Oil Co.,Allegany,Genesee,31003600000000,Camoil(Peary) U5,UL,OD
