ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1239,Other office equipment and parts,216746.63
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1249,Other equipment and parts,1971359.19
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1261,Road motor vehicles,5508.5
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1267,"Misc. vehic. parts, incl tires & tubes",1722.89
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1282,Computer Equip Prod and Ops envir,65148.17
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1283,Computer Equip DCE desktop/pers/portable,10707155.62
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,2900440.45
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1223,Image/Video Communications Equip,448131.4
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1239,Other office equipment and parts,401870.0
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1245,Safety & sanitat.equipment and parts,22046.43
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1249,Other equipment and parts,266833.78
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1261,Road motor vehicles,87728.75
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1282,Computer Equip Prod and Ops envir,374000.0
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,5228519.86
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1289,Comm/networking Equipment,12278.6
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1231,"Off.furn.&furnish.,incl. parts",954.83
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1223,Image/Video Communications Equip,573945.87
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1231,"Off.furn.&furnish.,incl. parts",64291.43
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1239,Other office equipment and parts,35848.49
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1245,Safety & sanitat.equipment and parts,284.9
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1263,Road motor vehicles parts,586.37
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1282,Computer Equip Prod and Ops envir,92399.26
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1283,Computer Equip DCE desktop/pers/portable,346255.9
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1284,Client Software DCE,14978.35
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,34182.18
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1286,Server OS and Utility Software,150700.21
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1287,Networking Software,109356.45
2016/2017,4,Canadian Heritage,16,Cdn Radio-TV Telecommunication Comm.,1289,Comm/networking Equipment,157645.43
2016/2017,4,Canadian Heritage,39,National Film Board,1219,Other machinery and parts,332018.74
2016/2017,4,Canadian Heritage,39,National Film Board,1231,"Off.furn.&furnish.,incl. parts",134617.51
2016/2017,4,Canadian Heritage,39,National Film Board,1282,Computer Equip Prod and Ops envir,856422.7
2016/2017,4,Canadian Heritage,39,National Film Board,1283,Computer Equip DCE desktop/pers/portable,820228.35
2016/2017,4,Canadian Heritage,39,National Film Board,1284,Client Software DCE,162186.96
2016/2017,4,Canadian Heritage,39,National Film Board,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,137334.8
2016/2017,4,Canadian Heritage,39,National Film Board,1286,Server OS and Utility Software,26752.89
2016/2017,4,Canadian Heritage,39,National Film Board,1287,Networking Software,5296.48
2016/2017,4,Canadian Heritage,39,National Film Board,1289,Comm/networking Equipment,72867.05
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1212,"Tools, and implements",86.82
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1223,Image/Video Communications Equip,42.27
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1231,"Off.furn.&furnish.,incl. parts",32823.32
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1239,Other office equipment and parts,9902.18
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1249,Other equipment and parts,6631.99
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1282,Computer Equip Prod and Ops envir,90302.8
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1283,Computer Equip DCE desktop/pers/portable,90661.67
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1284,Client Software DCE,1070.2
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1286,Server OS and Utility Software,10258.68
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1287,Networking Software,1261.62
2016/2017,4,Canadian Heritage,83,"Office of the Co-ordinator, Status of Women",1289,Comm/networking Equipment,33941.64
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1211,Special industry machinery,17618.0
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1239,Other office equipment and parts,6677.81
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1241,"Plumbing equipment & fittings,incl parts",673.54
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1242,"Elec.lighting,distr.&contr.equip.& parts",6781.0
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1245,Safety & sanitat.equipment and parts,6377.96
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1249,Other equipment and parts,10428.72
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1261,Road motor vehicles,37870.02
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1267,"Misc. vehic. parts, incl tires & tubes",7002.71
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1283,Computer Equip DCE desktop/pers/portable,5316.44
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1211,Special industry machinery,27187.84
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1239,Other office equipment and parts,49761.81
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1241,"Plumbing equipment & fittings,incl parts",5319.34
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1242,"Elec.lighting,distr.&contr.equip.& parts",27573.53
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1245,Safety & sanitat.equipment and parts,4642.43
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1249,Other equipment and parts,19127.78
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1261,Road motor vehicles,119080.97
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1267,"Misc. vehic. parts, incl tires & tubes",5388.09
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1283,Computer Equip DCE desktop/pers/portable,6639.71
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1284,Client Software DCE,1604.25
2016/2017,4,Canadian Heritage,102,National Battlefields Commission,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,4649.0
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1231,"Off.furn.&furnish.,incl. parts",215.0
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1212,"Tools, and implements",7182.89
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1219,Other machinery and parts,13489.67
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1223,Image/Video Communications Equip,305717.35
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1231,"Off.furn.&furnish.,incl. parts",449024.46
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1239,Other office equipment and parts,45075.2
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1241,"Plumbing equipment & fittings,incl parts",1080.19
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1242,"Elec.lighting,distr.&contr.equip.& parts",28876.42
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1243,Meas.contr.lab.med.&opt.instr.& parts,152142.68
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1245,Safety & sanitat.equipment and parts,95260.77
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1249,Other equipment and parts,570536.11
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1263,Road motor vehicles parts,1851.06
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1282,Computer Equip Prod and Ops envir,11389.15
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1283,Computer Equip DCE desktop/pers/portable,1729586.75
2016/2017,4,Canadian Heritage,135,Canadian Heritage,1289,Comm/networking Equipment,477855.02
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1212,"Tools, and implements",106.35
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1219,Other machinery and parts,3848.98
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1223,Image/Video Communications Equip,65829.37
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1231,"Off.furn.&furnish.,incl. parts",210574.52
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1239,Other office equipment and parts,7147.31
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1242,"Elec.lighting,distr.&contr.equip.& parts",184.8
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1243,Meas.contr.lab.med.&opt.instr.& parts,20851.2
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1245,Safety & sanitat.equipment and parts,37161.79
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1246,"Other furn.&fixt., incl. parts",31444.27
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1249,Other equipment and parts,73033.21
